,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9994052648544312,textual,True
1,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9991183280944824,textual,True
2,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9991079568862916,textual,True
3,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9989861249923706,textual,True
4,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9989066123962402,textual,True
5,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9985235929489136,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.998044490814209,textual,True
7,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9976210594177246,textual,True
8,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.997208833694458,textual,True
9,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.996729016304016,textual,True
10,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.9958051443099976,textual,True
11,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.995617151260376,textual,True
12,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.9952400922775269,textual,True
13,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.994646430015564,textual,True
14,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.9944348335266112,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.994348645210266,textual,True
16,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.9941518306732178,textual,True
17,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.9939284324645996,textual,True
18,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9938558340072632,textual,True
19,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9937686920166016,textual,True
20,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9936919212341307,textual,True
21,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.9936285018920898,textual,True
22,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.993444800376892,textual,True
23,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9934394359588624,textual,True
24,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9929122924804688,textual,True
25,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9927271604537964,textual,True
26,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.9924665689468384,textual,True
27,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9924596548080444,textual,True
28,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.992345929145813,textual,True
29,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9920235872268676,textual,True
30,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9919581413269044,textual,True
31,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.9919302463531494,textual,True
32,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9918358325958252,textual,True
33,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.9916394948959352,textual,True
34,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9915624856948853,textual,True
35,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.9914968013763428,textual,True
36,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9911215305328368,textual,True
37,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9908440113067628,textual,True
38,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,0.9903643131256104,textual,True
39,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9902688264846802,textual,True
40,cihr_co-applicant_4,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.9901399612426758,textual,True
41,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.9895778894424438,textual,True
42,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9894795417785645,textual,True
