,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,1.000000238418579,textual,True
1,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,1.000000238418579,textual,True
2,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,1.000000238418579,textual,True
3,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.9999999403953552,textual,True
4,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9999998807907104,textual,True
5,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9995169639587402,textual,True
6,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_4,AreasOfScienceEN,0.9992290735244752,textual,True
7,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,0.9991397857666016,textual,True
8,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9990540742874146,textual,True
9,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9990532398223876,textual,True
10,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9988819360733032,textual,True
11,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9987143278121948,textual,True
12,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9986982941627502,textual,True
13,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9984331130981444,textual,True
14,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,0.998206615447998,textual,True
15,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9979897737503052,textual,True
16,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.997475564479828,textual,True
17,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9974193572998048,textual,True
18,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.9972740411758424,textual,True
19,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9972315430641174,textual,True
20,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.996799111366272,textual,True
21,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9967779517173768,textual,True
22,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.99638170003891,textual,True
23,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9957890510559082,textual,True
24,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9957890510559082,textual,True
25,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9957190155982972,textual,True
26,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9950541257858276,textual,True
27,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9948136806488036,textual,True
28,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9948136806488036,textual,True
29,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9948136806488036,textual,True
30,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9947123527526855,textual,True
31,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9946528673171996,textual,True
32,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9942837953567504,textual,True
33,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_4,ResearchClassEN,0.9942774772644044,textual,True
34,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9940086603164672,textual,True
