,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.9863350987434388,textual,True
1,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.985851526260376,textual,True
2,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9826154708862304,textual,True
3,cihr_co-applicant_5,CountryEN,cihr_co-applicant_7,Institution Country,0.9814364314079284,textual,True
4,cihr_co-applicant_7,Institution,cihr_co-applicant_8,Org Name,0.9755507707595824,textual,True
5,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_6,Funding Category,0.9733676910400392,textual,True
6,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9718936085700988,textual,True
7,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_7,Institution,0.9716484546661376,textual,True
8,cihr_co-applicant_10,Province,cihr_co-applicant_11,ProvinceEN,0.9715629816055298,textual,True
9,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.971554160118103,textual,True
10,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_5,AppNm,0.970892369747162,textual,True
11,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9706462025642396,textual,True
12,cihr_co-applicant_3,Applicant Organization,cihr_co-applicant_4,AppOrgNm,0.970211386680603,textual,True
13,cihr_co-applicant_10,Applicant,cihr_co-applicant_6,App Name,0.9698206186294556,textual,True
14,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_7,Researcher,0.9694965481758118,textual,True
15,cihr_co-applicant_7,Institution Country,cihr_co-applicant_8,Country,0.9689011573791504,textual,True
16,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_8,Org Name,0.967921257019043,textual,True
17,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9674432277679444,textual,True
18,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.9673977494239808,textual,True
19,cihr_co-applicant_4,AppNm,cihr_co-applicant_6,App Name,0.9668025374412536,textual,True
20,cihr_co-applicant_4,CountryEN,cihr_co-applicant_9,Country,0.9659845232963562,textual,True
21,cihr_co-applicant_3,Applicant Organization,cihr_co-applicant_7,Institution,0.9658890962600708,textual,True
22,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_4,AppNm,0.9648966193199158,textual,True
23,cihr_co-applicant_4,AppNm,cihr_co-applicant_7,Researcher,0.9648176431655884,textual,True
24,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9646915793418884,textual,True
25,cihr_co-applicant_10,Province,cihr_co-applicant_5,ProvinceEN,0.9646521210670472,textual,True
26,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9644327163696288,textual,True
27,cihr_co-applicant_0,Organization Code,cihr_co-applicant_1,nan3,0.964411735534668,textual,True
28,cihr_co-applicant_10,Applicant,cihr_co-applicant_3,Applicant Name,0.9639257192611694,textual,True
29,cihr_co-applicant_5,ProgramNameEN,cihr_co-applicant_6,Program Name,0.9624279737472534,textual,True
30,cihr_co-applicant_3,Country,cihr_co-applicant_7,Institution Country,0.9623984098434448,textual,True
31,cihr_co-applicant_3,Province,cihr_co-applicant_5,ProvinceEN,0.962357461452484,textual,True
32,cihr_co-applicant_10,Country,cihr_co-applicant_4,CountryEN,0.9621780514717102,textual,True
33,cihr_co-applicant_4,AppNm,cihr_co-applicant_8,App Name,0.961975872516632,textual,True
34,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9619396924972534,textual,True
35,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9618531465530396,textual,True
36,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.9615991115570068,textual,True
37,cihr_co-applicant_7,Institution Country,cihr_co-applicant_9,Country,0.9615291357040404,textual,True
38,cihr_co-applicant_5,AppNm,cihr_co-applicant_7,Researcher,0.960667371749878,textual,True
39,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.960307776927948,textual,True
40,cihr_co-applicant_7,Institution Province,cihr_co-applicant_8,Province,0.9602689743041992,textual,True
41,cihr_co-applicant_11,CountryEN,cihr_co-applicant_7,Institution Country,0.9601848721504213,textual,True
42,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9601313471794128,textual,True
43,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.9600225687026978,textual,True
44,cihr_co-applicant_5,ProgramIDProgramme,cihr_co-applicant_6,Program ID,0.9598527550697328,textual,True
45,cihr_co-applicant_10,Applicant,cihr_co-applicant_4,AppNm,0.9592816233634948,textual,True
46,cihr_co-applicant_3,Applicant Name,cihr_co-applicant_6,App Name,0.9591711163520812,textual,True
47,cihr_co-applicant_5,ProvinceEN,cihr_co-applicant_9,Province,0.9589737057685852,textual,True
