,table_a,column_a,table_b,column_b,similarity,correct
0,sephora_2,price,ulta_1,price,0.8906248,True
1,sephora_1,Price,sephora_2,price,0.83838713,True
2,sephora_2,brand,ulta_1,brand,0.8248863,True
3,sephora_2,number of colors,ulta_1,number of colors/scent,0.8208906,True
4,sephora_2,product name,ulta_1,product name,0.81579846,True
5,sephora_2,rating,ulta_1,rating,0.81499994,True
6,amazon_1,Price,sephora_1,Price,0.7991311,True
7,amazon_1,Description,sephora_1,Description,0.79844916,True
8,amazon_1,Color,sephora_1,Color,0.79521406,True
9,sephora_1,Price,ulta_1,price,0.78524196,True
10,sephora_2,_id,ulta_1,_id,0.76528037,True
11,amazon_1,Price,ulta_1,price,0.7118351,True
12,amazon_1,Price,sephora_2,price,0.7038544,True
13,sephora_1,Product_id,sephora_2,product name,0.46586972,False
14,sephora_1,Product_id,ulta_1,product name,0.4489542,False
15,amazon_1,ID,ulta_1,_id,0.43734512,True
16,amazon_1,Color,sephora_2,number of colors,0.42784888,False
17,amazon_1,ID,sephora_2,_id,0.4270603,True
18,amazon_1,ID,sephora_1,Product_id,0.40626374,True
19,amazon_1,Color,ulta_1,number of colors/scent,0.40416875,False
20,sephora_1,Color,sephora_2,number of colors,0.3832841,False
21,sephora_1,Description,sephora_2,brand,0.3629607,False
22,sephora_1,Color,ulta_1,number of colors/scent,0.33246076,False
23,amazon_1,Description,sephora_2,brand,0.30377644,False
24,sephora_1,Description,ulta_1,brand,0.29237217,False
