,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,_id,ulta_1,_id,0.9964334964752196,numerical,True
1,sephora_1,Price,sephora_2,price,0.9927513003349304,mixed,True
2,amazon_1,Price,ulta_1,price,0.9912512302398682,mixed,True
3,sephora_2,price,ulta_1,price,0.9882426857948304,mixed,True
4,sephora_1,Price,ulta_1,price,0.9858675599098206,mixed,True
5,amazon_1,Price,sephora_1,Price,0.9803808927536012,mixed,True
6,amazon_1,Price,sephora_2,price,0.9794802665710448,mixed,True
7,sephora_2,rating,ulta_1,rating,0.961359977722168,textual,True
8,amazon_1,Color,sephora_1,Color,0.9458783864974976,textual,True
9,sephora_2,product name,ulta_1,product name,0.9126343727111816,textual,True
10,sephora_1,Product_id,ulta_1,_id,0.9105837345123292,numerical,True
11,sephora_1,Product_id,sephora_2,_id,0.9062939882278442,numerical,True
12,amazon_1,ID,sephora_2,_id,0.9024561047554016,textual,True
13,amazon_1,ID,ulta_1,_id,0.8967889547348022,textual,True
14,amazon_1,Description,sephora_1,Description,0.8807305097579956,textual,True
15,sephora_2,brand,ulta_1,brand,0.880374014377594,textual,True
16,sephora_2,number of colors,ulta_1,number of colors/scent,0.87335205078125,numerical,True
17,amazon_1,ID,sephora_1,Product_id,0.8527036905288696,textual,True
18,sephora_1,Description,sephora_2,product name,0.8262823224067688,textual,True
19,amazon_1,Price,sephora_1,Product_id,0.8252637386322021,textual,False
20,sephora_1,Product_id,ulta_1,price,0.8091819286346436,textual,False
21,amazon_1,Description,sephora_2,product name,0.8056224584579468,textual,True
22,sephora_1,Product_id,sephora_2,price,0.8050082325935364,textual,False
23,sephora_1,Description,ulta_1,product name,0.7883567810058594,textual,True
24,sephora_1,Description,sephora_2,brand,0.7692339420318604,textual,False
25,amazon_1,ID,ulta_1,rating,0.7577627897262573,textual,False
26,sephora_1,Description,ulta_1,brand,0.7535486221313477,textual,False
27,sephora_1,Product_id,ulta_1,rating,0.7519862055778503,numerical,False
28,sephora_1,Price,ulta_1,rating,0.7282485961914062,textual,False
29,amazon_1,Price,ulta_1,_id,0.7224518656730652,textual,False
30,amazon_1,Price,ulta_1,rating,0.7216718792915344,textual,False
31,sephora_2,_id,ulta_1,rating,0.7214654684066772,numerical,False
32,sephora_2,price,ulta_1,rating,0.7204200029373169,textual,False
33,amazon_1,Price,sephora_2,_id,0.7155817747116089,textual,False
34,amazon_1,Description,ulta_1,product name,0.7127467393875122,textual,True
35,sephora_2,brand,ulta_1,product name,0.7127436995506287,textual,False
36,sephora_1,Price,ulta_1,_id,0.7124061584472656,textual,False
37,sephora_1,Price,sephora_2,_id,0.7063291072845459,textual,False
38,amazon_1,ID,sephora_1,Price,0.7059415578842163,mixed,False
39,amazon_1,ID,sephora_2,rating,0.7052701711654663,mixed,False
40,sephora_2,price,ulta_1,_id,0.7017943859100342,textual,False
41,sephora_1,Product_id,sephora_2,rating,0.697475790977478,textual,False
42,sephora_2,_id,ulta_1,price,0.6962481141090393,textual,False
43,sephora_2,number of colors,ulta_1,rating,0.6954346895217896,numerical,False
44,amazon_1,Color,ulta_1,product name,0.695326566696167,textual,False
45,sephora_2,product name,ulta_1,brand,0.6925082206726074,textual,False
46,amazon_1,ID,sephora_2,price,0.6874866485595703,mixed,False
47,sephora_2,rating,ulta_1,_id,0.6850649118423462,textual,False
48,amazon_1,ID,ulta_1,price,0.6821795701980591,mixed,False
49,amazon_1,Description,sephora_2,brand,0.6815379858016968,textual,False
50,sephora_1,Price,sephora_2,rating,0.6807183027267456,mixed,False
51,amazon_1,Color,ulta_1,number of colors/scent,0.6745671033859253,textual,False
52,sephora_1,Color,ulta_1,product name,0.6734408140182495,textual,False
53,amazon_1,Color,sephora_2,product name,0.6717049479484558,textual,False
54,amazon_1,Price,sephora_2,rating,0.6698893308639526,mixed,False
55,amazon_1,Color,sephora_2,number of colors,0.6685866713523865,textual,False
56,sephora_2,rating,ulta_1,price,0.6668725609779358,mixed,False
57,sephora_2,rating,ulta_1,number of colors/scent,0.6586626768112183,textual,False
58,amazon_1,Color,sephora_1,Description,0.6492096781730652,textual,False
59,sephora_1,Color,ulta_1,brand,0.6430929899215698,textual,False
60,amazon_1,Description,ulta_1,brand,0.6364226937294006,textual,False
61,sephora_1,Color,sephora_2,product name,0.6356550455093384,textual,False
62,sephora_1,Color,ulta_1,number of colors/scent,0.6236701011657715,textual,False
63,amazon_1,Price,sephora_2,number of colors,0.6214032173156738,textual,False
64,amazon_1,Price,ulta_1,number of colors/scent,0.6193580031394958,textual,False
65,sephora_2,number of colors,ulta_1,price,0.6185368299484253,textual,False
66,amazon_1,Color,ulta_1,brand,0.6162381172180176,textual,False
67,amazon_1,Description,sephora_1,Color,0.6111486554145813,textual,False
68,sephora_1,Price,sephora_2,number of colors,0.6090031862258911,textual,False
69,sephora_1,Price,ulta_1,number of colors/scent,0.6040050983428955,textual,False
70,sephora_1,Color,sephora_2,brand,0.5939957499504089,textual,False
71,sephora_2,price,ulta_1,number of colors/scent,0.5923961400985718,textual,False
72,amazon_1,ID,sephora_2,number of colors,0.5913613438606262,textual,False
73,sephora_1,Product_id,sephora_2,number of colors,0.5902484655380249,numerical,False
74,sephora_1,Color,sephora_2,number of colors,0.5832953453063965,textual,False
75,sephora_2,number of colors,ulta_1,_id,0.5809165835380554,numerical,False
76,amazon_1,Color,sephora_2,brand,0.5663116574287415,textual,False
77,sephora_1,Product_id,ulta_1,number of colors/scent,0.5658546686172485,numerical,False
78,amazon_1,ID,ulta_1,number of colors/scent,0.5438514351844788,textual,False
79,sephora_2,_id,ulta_1,number of colors/scent,0.5120640993118286,numerical,False
80,sephora_1,Product_id,ulta_1,product name,0.4622613191604614,textual,False
81,amazon_1,Price,ulta_1,product name,0.4557107090950012,textual,False
82,sephora_2,number of colors,ulta_1,product name,0.4154961109161377,textual,False
83,sephora_1,Price,ulta_1,product name,0.4138796329498291,textual,False
84,sephora_2,product name,ulta_1,number of colors/scent,0.4120606780052185,textual,False
85,amazon_1,Color,sephora_2,rating,0.4055367708206177,textual,False
86,amazon_1,Price,sephora_2,product name,0.4051040410995483,textual,False
87,sephora_2,price,ulta_1,product name,0.4049270153045654,textual,False
88,sephora_2,product name,ulta_1,price,0.3947345018386841,textual,False
89,amazon_1,Color,ulta_1,rating,0.3675133883953094,textual,False
90,sephora_1,Color,sephora_2,rating,0.3632927536964416,textual,False
91,amazon_1,ID,ulta_1,product name,0.3624995052814483,textual,False
92,sephora_1,Price,sephora_2,product name,0.3614627122879028,textual,False
93,sephora_1,Description,ulta_1,number of colors/scent,0.3537430167198181,textual,False
94,sephora_2,rating,ulta_1,product name,0.3530421257019043,textual,False
95,amazon_1,Color,ulta_1,price,0.3506134748458862,textual,False
96,sephora_1,Product_id,sephora_2,product name,0.3485494554042816,textual,False
97,sephora_2,_id,ulta_1,product name,0.3402708172798157,textual,False
98,amazon_1,Description,ulta_1,number of colors/scent,0.3297240138053894,textual,False
99,sephora_1,Color,ulta_1,rating,0.328959584236145,textual,False
100,amazon_1,Color,sephora_1,Product_id,0.3209261894226074,textual,False
101,sephora_2,brand,ulta_1,number of colors/scent,0.3205319046974182,textual,False
102,amazon_1,Color,sephora_1,Price,0.3191033005714416,textual,False
103,amazon_1,Price,sephora_1,Color,0.3113542199134826,textual,False
104,amazon_1,Color,sephora_2,price,0.3060929477214813,textual,False
105,sephora_1,Color,ulta_1,price,0.3044948875904083,textual,False
106,amazon_1,Price,ulta_1,brand,0.2905229926109314,textual,False
107,sephora_1,Product_id,ulta_1,brand,0.2866089940071106,textual,False
108,amazon_1,Color,ulta_1,_id,0.2863430976867676,textual,False
109,amazon_1,Color,sephora_2,_id,0.284177303314209,textual,False
110,sephora_2,number of colors,ulta_1,brand,0.2804121375083923,textual,False
111,sephora_2,rating,ulta_1,brand,0.2768120467662811,textual,False
112,sephora_1,Description,sephora_2,number of colors,0.2699943780899048,textual,False
113,sephora_1,Color,sephora_2,price,0.2616680860519409,textual,False
114,sephora_1,Price,ulta_1,brand,0.2508333623409271,textual,False
115,sephora_1,Color,ulta_1,_id,0.2499025017023086,textual,False
116,sephora_1,Color,sephora_2,_id,0.247622013092041,textual,False
117,sephora_2,price,ulta_1,brand,0.2465330362319946,textual,False
118,amazon_1,Price,sephora_1,Description,0.2453582882881164,textual,False
119,sephora_2,product name,ulta_1,rating,0.2440993785858154,textual,False
120,amazon_1,Description,sephora_2,number of colors,0.2405241429805755,textual,False
121,sephora_1,Description,ulta_1,price,0.2380443215370178,textual,False
122,amazon_1,Price,sephora_2,brand,0.2342809587717056,textual,False
123,sephora_2,brand,ulta_1,price,0.2319485545158386,textual,False
124,amazon_1,ID,sephora_2,product name,0.2295655310153961,textual,False
125,sephora_2,product name,ulta_1,_id,0.2290412187576294,textual,False
126,amazon_1,ID,sephora_1,Color,0.2260414212942123,textual,False
127,amazon_1,ID,ulta_1,brand,0.2131523638963699,textual,False
128,sephora_1,Product_id,sephora_2,brand,0.2129395604133606,textual,False
129,sephora_1,Price,sephora_2,brand,0.2008553147315979,textual,False
130,sephora_1,Description,sephora_2,price,0.2006572484970092,textual,False
131,sephora_1,Description,sephora_2,rating,0.1943950355052948,textual,False
132,sephora_2,_id,ulta_1,brand,0.190398097038269,textual,False
133,amazon_1,Description,ulta_1,price,0.1877490878105163,textual,False
134,sephora_2,brand,ulta_1,rating,0.1857682019472122,textual,False
135,sephora_1,Description,ulta_1,rating,0.1716822385787964,textual,False
136,amazon_1,Description,sephora_1,Price,0.1569902002811432,textual,False
137,amazon_1,Description,sephora_2,price,0.1541582643985748,textual,False
138,amazon_1,ID,sephora_2,brand,0.1418400406837463,textual,False
139,amazon_1,ID,sephora_1,Description,0.1332346946001052,textual,False
140,amazon_1,Description,sephora_2,rating,0.1330764144659042,textual,False
141,amazon_1,Description,sephora_1,Product_id,0.1300704330205917,textual,False
142,sephora_1,Description,ulta_1,_id,0.1265920996665954,textual,False
143,sephora_1,Description,sephora_2,_id,0.1166292577981948,textual,False
144,sephora_2,brand,ulta_1,_id,0.1113177984952926,textual,False
145,amazon_1,Description,ulta_1,rating,0.1091140210628509,textual,False
146,amazon_1,Description,ulta_1,_id,0.0591149181127548,textual,False
147,amazon_1,Description,sephora_2,_id,0.0492825023829937,textual,False
