,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.8732913136482239,mixed,True
1,sephora_2,number of colors,ulta_1,number of colors/scent,0.8452403545379639,numerical,True
2,sephora_2,brand,ulta_1,brand,0.8444490432739258,textual,True
3,sephora_2,_id,ulta_1,_id,0.8379711508750916,numerical,True
4,sephora_2,product name,ulta_1,product name,0.8345840573310852,textual,True
5,sephora_1,Description,ulta_1,product name,0.8254973292350769,textual,True
6,sephora_1,Description,sephora_2,product name,0.8214142322540283,textual,True
7,sephora_1,Product_id,sephora_2,_id,0.795665979385376,numerical,True
8,sephora_1,Product_id,ulta_1,_id,0.7762246131896973,numerical,True
9,sephora_1,Price,sephora_2,price,0.7525385022163391,mixed,True
10,sephora_1,Price,ulta_1,price,0.7372544407844543,mixed,True
11,sephora_2,rating,ulta_1,rating,0.7320063710212708,textual,True
12,amazon_1,ID,sephora_1,Product_id,0.7044199109077454,textual,True
13,amazon_1,ID,sephora_2,_id,0.6045218706130981,textual,True
14,amazon_1,Color,sephora_1,Color,0.6032434105873108,textual,True
15,amazon_1,ID,ulta_1,_id,0.5998739004135132,textual,True
16,sephora_1,Color,ulta_1,number of colors/scent,0.5684664845466614,textual,False
17,amazon_1,Price,sephora_2,price,0.5650330781936646,mixed,True
18,amazon_1,Description,sephora_1,Color,0.5613749623298645,textual,False
19,amazon_1,Price,ulta_1,price,0.5514166951179504,mixed,True
20,amazon_1,Price,sephora_1,Price,0.5486294031143188,mixed,True
21,sephora_1,Color,sephora_2,number of colors,0.5440463423728943,textual,False
22,amazon_1,Color,sephora_2,number of colors,0.4697722196578979,textual,False
23,sephora_1,Color,sephora_2,product name,0.4665657877922058,textual,False
24,amazon_1,Description,sephora_2,brand,0.4655984342098236,textual,False
25,sephora_1,Color,ulta_1,product name,0.4595037996768951,textual,False
26,amazon_1,Color,ulta_1,number of colors/scent,0.4533990919589996,textual,False
27,amazon_1,Description,ulta_1,brand,0.4421181380748749,textual,False
28,sephora_2,brand,ulta_1,_id,0.434789091348648,textual,False
29,amazon_1,Color,sephora_1,Description,0.4291399419307709,textual,False
30,sephora_2,_id,ulta_1,brand,0.4279444217681885,textual,False
31,sephora_1,Product_id,sephora_2,product name,0.4050982892513275,textual,False
32,sephora_1,Description,sephora_2,brand,0.385566234588623,textual,False
33,sephora_1,Price,sephora_2,product name,0.3804232478141784,textual,False
