,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,_id,ulta_1,_id,0.990514874458313,numerical,True
1,sephora_2,price,ulta_1,price,0.9885735511779784,mixed,True
2,sephora_2,product name,ulta_1,product name,0.9803814888000488,textual,True
3,sephora_2,brand,ulta_1,brand,0.9695953130722046,textual,True
4,amazon_1,Price,sephora_1,Price,0.9668641090393066,mixed,True
5,amazon_1,Description,sephora_1,Description,0.9397952556610109,textual,True
6,sephora_2,number of colors,ulta_1,number of colors/scent,0.90034019947052,numerical,True
7,amazon_1,Color,sephora_1,Color,0.8832628726959229,textual,True
8,sephora_1,Price,sephora_2,price,0.8414616584777832,mixed,True
9,sephora_1,Price,ulta_1,price,0.8344760537147522,mixed,True
10,amazon_1,Price,ulta_1,price,0.8150245547294617,mixed,True
11,amazon_1,Price,sephora_2,price,0.8139365911483765,mixed,True
12,sephora_1,Product_id,sephora_2,_id,0.7720051407814026,numerical,True
13,sephora_2,rating,ulta_1,rating,0.7716189622879028,textual,True
14,sephora_1,Product_id,ulta_1,_id,0.7714660167694092,numerical,True
15,amazon_1,Description,ulta_1,product name,0.6893352270126343,textual,True
16,sephora_1,Description,sephora_2,product name,0.6869591474533081,textual,True
17,sephora_1,Description,ulta_1,product name,0.6853458881378174,textual,True
18,amazon_1,Description,sephora_2,product name,0.6843147277832031,textual,True
19,sephora_1,Color,ulta_1,brand,0.6829332709312439,textual,False
20,sephora_1,Color,sephora_2,brand,0.6710139513015747,textual,False
21,amazon_1,Color,ulta_1,brand,0.597459077835083,textual,False
22,amazon_1,Color,sephora_2,brand,0.5884600877761841,textual,False
23,amazon_1,ID,ulta_1,_id,0.5713504552841187,textual,True
24,amazon_1,ID,sephora_2,_id,0.5712763071060181,textual,True
25,amazon_1,ID,sephora_1,Product_id,0.5431281924247742,textual,True
26,amazon_1,Color,ulta_1,number of colors/scent,0.5308486223220825,textual,False
27,amazon_1,Color,sephora_2,number of colors,0.5272769927978516,textual,False
28,amazon_1,Color,sephora_2,rating,0.4469103217124939,textual,False
29,sephora_1,Color,ulta_1,number of colors/scent,0.4312482476234436,textual,False
30,sephora_1,Color,sephora_2,number of colors,0.426706850528717,textual,False
31,sephora_1,Color,sephora_2,rating,0.4136614799499511,textual,False
32,sephora_2,rating,ulta_1,brand,0.3672467470169067,textual,False
33,sephora_2,rating,ulta_1,number of colors/scent,0.3469648361206054,textual,False
34,amazon_1,Description,sephora_1,Color,0.3441289067268371,textual,False
35,sephora_1,Color,sephora_2,_id,0.33017098903656,textual,False
36,sephora_1,Color,ulta_1,_id,0.3265105783939361,textual,False
37,amazon_1,Color,sephora_1,Description,0.3255179524421692,textual,False
38,amazon_1,Color,sephora_2,_id,0.3200717568397522,textual,False
39,sephora_1,Color,ulta_1,rating,0.3179292678833008,textual,False
40,amazon_1,Color,ulta_1,rating,0.3166022002696991,textual,False
41,amazon_1,Color,ulta_1,_id,0.3158945739269256,textual,False
