,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9839153289794922,mixed,True
1,sephora_2,product name,ulta_1,product name,0.9800530672073364,textual,True
2,sephora_2,_id,ulta_1,_id,0.9783047437667848,numerical,True
3,amazon_1,Price,sephora_1,Price,0.9608850479125975,mixed,True
4,sephora_2,brand,ulta_1,brand,0.9599264860153198,textual,True
5,amazon_1,Description,sephora_1,Description,0.9399510622024536,textual,True
6,sephora_2,number of colors,ulta_1,number of colors/scent,0.8945257067680359,numerical,True
7,amazon_1,Color,sephora_1,Color,0.8491588234901428,textual,True
8,sephora_1,Price,sephora_2,price,0.8403826951980591,mixed,True
9,sephora_1,Price,ulta_1,price,0.8298641443252563,mixed,True
10,amazon_1,Price,sephora_2,price,0.807633101940155,mixed,True
11,amazon_1,Price,ulta_1,price,0.8060790300369263,mixed,True
12,sephora_1,Product_id,ulta_1,_id,0.7730026841163635,numerical,True
13,sephora_1,Product_id,sephora_2,_id,0.7631660103797913,numerical,True
14,sephora_2,rating,ulta_1,rating,0.7608153223991394,textual,True
15,sephora_1,Description,sephora_2,product name,0.6845332384109497,textual,True
16,amazon_1,Description,ulta_1,product name,0.6804935932159424,textual,True
17,sephora_1,Description,ulta_1,product name,0.6804919242858887,textual,True
18,amazon_1,Description,sephora_2,product name,0.6797555685043335,textual,True
19,sephora_1,Color,ulta_1,brand,0.6779381036758423,textual,False
20,sephora_1,Color,sephora_2,brand,0.6619725823402405,textual,False
21,amazon_1,ID,ulta_1,_id,0.5715870261192322,textual,True
22,amazon_1,Color,ulta_1,brand,0.5690593719482422,textual,False
23,amazon_1,ID,sephora_2,_id,0.5683706998825073,textual,True
24,amazon_1,Color,sephora_2,number of colors,0.5591089129447937,textual,False
25,amazon_1,Color,sephora_2,brand,0.5589921474456787,textual,False
26,amazon_1,Color,ulta_1,number of colors/scent,0.5589528679847717,textual,False
27,amazon_1,ID,sephora_1,Product_id,0.5435896515846252,textual,True
28,amazon_1,Color,sephora_2,rating,0.4526973366737366,textual,False
29,sephora_1,Color,ulta_1,number of colors/scent,0.4336766004562378,textual,False
30,sephora_1,Color,sephora_2,number of colors,0.4327428936958313,textual,False
31,sephora_1,Color,sephora_2,rating,0.4221464097499847,textual,False
32,sephora_2,rating,ulta_1,brand,0.3703872263431549,textual,False
33,amazon_1,Description,sephora_1,Color,0.3636338710784912,textual,False
34,sephora_2,rating,ulta_1,number of colors/scent,0.3566245138645172,textual,False
35,sephora_1,Color,sephora_2,_id,0.3299882411956787,textual,False
36,sephora_1,Color,ulta_1,rating,0.3261912763118744,textual,False
37,amazon_1,Color,sephora_2,_id,0.3215569853782654,textual,False
38,sephora_1,Color,ulta_1,_id,0.3172937631607055,textual,False
39,sephora_2,_id,ulta_1,brand,0.3165198564529419,textual,False
40,amazon_1,Color,sephora_1,Description,0.3158712387084961,textual,False
41,amazon_1,Color,ulta_1,rating,0.3094139695167541,textual,False
42,sephora_1,Description,ulta_1,brand,0.3062554895877838,textual,False
43,amazon_1,Color,ulta_1,_id,0.3059421479701996,textual,False
44,amazon_1,Description,ulta_1,brand,0.3035002946853637,textual,False
45,sephora_2,brand,ulta_1,_id,0.3000673949718475,textual,False
46,sephora_1,Color,sephora_2,product name,0.2974695563316345,textual,False
47,sephora_1,Color,ulta_1,product name,0.2968921363353729,textual,False
48,sephora_2,brand,ulta_1,rating,0.2882652878761291,textual,False
49,sephora_1,Description,sephora_2,brand,0.2840267419815063,textual,False
50,amazon_1,Description,sephora_2,brand,0.2813669145107269,textual,False
51,sephora_1,Product_id,ulta_1,brand,0.2777680456638336,textual,False
52,amazon_1,Description,sephora_2,rating,0.2763189077377319,textual,False
53,sephora_2,rating,ulta_1,_id,0.2753394842147827,textual,False
54,sephora_1,Description,sephora_2,rating,0.2734505236148834,textual,False
55,sephora_1,Product_id,sephora_2,brand,0.2715571522712707,textual,False
56,sephora_1,Product_id,sephora_2,product name,0.2669447958469391,textual,False
57,sephora_1,Product_id,ulta_1,product name,0.2646924257278442,textual,False
58,sephora_2,number of colors,ulta_1,brand,0.2577201128005981,textual,False
59,sephora_2,product name,ulta_1,brand,0.2572748363018036,textual,False
60,amazon_1,Color,sephora_1,Product_id,0.2572088837623596,textual,False
61,amazon_1,ID,sephora_1,Color,0.2545908689498901,textual,False
62,sephora_2,brand,ulta_1,number of colors/scent,0.2504869699478149,textual,False
63,amazon_1,Color,sephora_2,product name,0.250181496143341,textual,False
64,amazon_1,Color,ulta_1,product name,0.2498624622821808,textual,False
65,sephora_2,_id,ulta_1,rating,0.2476157248020172,numerical,False
66,sephora_1,Product_id,sephora_2,rating,0.2417171895503997,textual,False
67,sephora_1,Price,sephora_2,product name,0.2404050827026367,textual,False
68,sephora_1,Price,ulta_1,product name,0.239819586277008,textual,False
69,amazon_1,Price,sephora_2,product name,0.2393665015697479,textual,False
70,amazon_1,Price,ulta_1,product name,0.2387134432792663,textual,False
71,amazon_1,Description,sephora_2,_id,0.2385013401508331,textual,False
72,sephora_1,Description,sephora_2,_id,0.2342764288187027,textual,False
73,sephora_2,brand,ulta_1,product name,0.2335187941789627,textual,False
74,amazon_1,Description,ulta_1,rating,0.2317541539669037,textual,False
75,amazon_1,Description,ulta_1,_id,0.2303351908922195,textual,False
76,sephora_1,Description,ulta_1,rating,0.2291618138551712,textual,False
77,sephora_1,Description,ulta_1,_id,0.2260268479585647,textual,False
78,amazon_1,ID,ulta_1,brand,0.2202834039926529,textual,False
79,sephora_1,Product_id,ulta_1,rating,0.2158020883798599,numerical,False
80,amazon_1,ID,sephora_2,brand,0.2139127254486084,textual,False
81,amazon_1,Description,sephora_1,Product_id,0.2132516503334045,textual,False
82,amazon_1,Description,sephora_1,Price,0.2109183371067047,textual,False
83,amazon_1,ID,sephora_2,rating,0.2057025134563446,mixed,False
84,sephora_2,rating,ulta_1,product name,0.1984737366437912,textual,False
85,amazon_1,Price,sephora_1,Product_id,0.1965543925762176,textual,False
86,amazon_1,Price,sephora_1,Description,0.1962332427501678,textual,False
87,amazon_1,ID,ulta_1,rating,0.1938191354274749,textual,False
88,sephora_2,_id,ulta_1,number of colors/scent,0.1913685351610183,numerical,False
89,amazon_1,ID,sephora_1,Description,0.1887768805027008,textual,False
90,sephora_2,product name,ulta_1,price,0.1836118549108505,textual,False
91,sephora_2,price,ulta_1,product name,0.1803911179304123,textual,False
92,amazon_1,Price,sephora_2,_id,0.1730257868766784,textual,False
93,sephora_2,product name,ulta_1,number of colors/scent,0.1724711954593658,textual,False
94,sephora_2,_id,ulta_1,product name,0.1719475984573364,textual,False
95,amazon_1,Description,ulta_1,number of colors/scent,0.1674294620752334,textual,False
96,sephora_2,number of colors,ulta_1,_id,0.167179137468338,numerical,False
97,amazon_1,Price,ulta_1,_id,0.1652603447437286,textual,False
98,sephora_2,product name,ulta_1,_id,0.1651861369609832,textual,False
99,amazon_1,Price,sephora_1,Color,0.1650525331497192,textual,False
100,sephora_1,Description,ulta_1,number of colors/scent,0.1644385159015655,textual,False
101,sephora_2,number of colors,ulta_1,rating,0.1631744801998138,numerical,False
102,sephora_1,Price,sephora_2,_id,0.1605968475341797,textual,False
103,sephora_1,Product_id,ulta_1,number of colors/scent,0.1575256139039993,numerical,False
104,amazon_1,Description,sephora_2,number of colors,0.1569425165653228,textual,False
105,amazon_1,ID,sephora_1,Price,0.1543574929237365,mixed,False
106,amazon_1,Description,ulta_1,price,0.1542361825704574,textual,False
107,sephora_1,Description,sephora_2,number of colors,0.1541503071784973,textual,False
108,sephora_1,Price,ulta_1,_id,0.1525907814502716,textual,False
109,sephora_2,number of colors,ulta_1,product name,0.1519586741924286,textual,False
110,amazon_1,Description,sephora_2,price,0.1516975313425064,textual,False
111,amazon_1,ID,sephora_2,product name,0.1516541093587875,textual,False
112,sephora_2,product name,ulta_1,rating,0.1491725891828537,textual,False
113,amazon_1,ID,ulta_1,product name,0.1489402055740356,textual,False
114,amazon_1,Color,sephora_1,Price,0.1457842290401458,textual,False
115,sephora_1,Price,ulta_1,brand,0.1456210911273956,textual,False
116,amazon_1,Price,ulta_1,brand,0.1454766988754272,textual,False
117,sephora_1,Product_id,sephora_2,number of colors,0.1426969468593597,numerical,False
118,sephora_1,Description,ulta_1,price,0.1397416740655899,textual,False
119,sephora_1,Description,sephora_2,price,0.1374010741710662,textual,False
120,amazon_1,Price,sephora_2,rating,0.1367521733045578,mixed,False
121,sephora_1,Price,sephora_2,rating,0.1366429775953292,mixed,False
122,sephora_1,Price,sephora_2,brand,0.1342509090900421,textual,False
123,amazon_1,Price,sephora_2,brand,0.1341792792081833,textual,False
124,amazon_1,ID,sephora_2,price,0.1172970011830329,mixed,False
125,amazon_1,ID,ulta_1,price,0.1161973997950553,mixed,False
126,sephora_1,Color,ulta_1,price,0.1150497645139694,textual,False
127,sephora_1,Product_id,sephora_2,price,0.1140889078378677,textual,False
128,sephora_1,Color,sephora_2,price,0.1136970371007919,textual,False
129,sephora_1,Product_id,ulta_1,price,0.113042414188385,textual,False
130,amazon_1,Price,ulta_1,rating,0.1093307584524154,textual,False
131,sephora_1,Price,ulta_1,rating,0.1073579490184784,textual,False
132,sephora_2,_id,ulta_1,price,0.1036093458533287,textual,False
133,sephora_2,price,ulta_1,_id,0.0966148972511291,textual,False
134,amazon_1,Color,ulta_1,price,0.096058003604412,textual,False
135,amazon_1,Color,sephora_2,price,0.0947343558073043,textual,False
136,sephora_2,price,ulta_1,brand,0.0894620344042778,textual,False
137,sephora_1,Price,ulta_1,number of colors/scent,0.0892233178019523,textual,False
138,amazon_1,Price,ulta_1,number of colors/scent,0.0871015489101409,textual,False
139,sephora_2,rating,ulta_1,price,0.0869321525096893,mixed,False
140,amazon_1,ID,sephora_2,number of colors,0.0855351313948631,textual,False
141,amazon_1,ID,ulta_1,number of colors/scent,0.0835373923182487,textual,False
142,sephora_1,Price,sephora_2,number of colors,0.0798883736133575,textual,False
143,sephora_2,brand,ulta_1,price,0.0783919841051101,textual,False
144,amazon_1,Price,sephora_2,number of colors,0.0778778567910194,textual,False
145,sephora_2,price,ulta_1,rating,0.0554096847772598,textual,False
146,sephora_2,price,ulta_1,number of colors/scent,0.0464993119239807,textual,False
147,sephora_2,number of colors,ulta_1,price,0.0451983734965324,textual,False
