,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,number of colors,ulta_1,number of colors/scent,0.8829036951065063,numerical,True
1,sephora_2,price,ulta_1,price,0.8815985321998596,mixed,True
2,sephora_2,_id,ulta_1,_id,0.8652327656745911,numerical,True
3,sephora_2,brand,ulta_1,brand,0.8462925553321838,textual,True
4,sephora_2,product name,ulta_1,product name,0.8458290100097656,textual,True
5,sephora_1,Price,ulta_1,price,0.8364195823669434,mixed,True
6,sephora_1,Price,sephora_2,price,0.8283878564834595,mixed,True
7,sephora_2,rating,ulta_1,rating,0.8168402910232544,textual,True
8,sephora_1,Product_id,ulta_1,_id,0.8141569495201111,numerical,True
9,sephora_1,Description,ulta_1,product name,0.8124074935913086,textual,True
10,sephora_1,Product_id,sephora_2,_id,0.8024778366088867,numerical,True
11,sephora_1,Description,sephora_2,product name,0.7962788343429565,textual,True
12,amazon_1,ID,sephora_1,Product_id,0.7116662859916687,textual,True
13,amazon_1,ID,sephora_2,_id,0.675456702709198,textual,True
14,amazon_1,ID,ulta_1,_id,0.6591216921806335,textual,True
15,amazon_1,Color,sephora_1,Color,0.6347038745880127,textual,True
16,amazon_1,Price,sephora_2,price,0.6051220893859863,mixed,True
17,amazon_1,Price,sephora_1,Price,0.6014372706413269,mixed,True
18,amazon_1,Price,ulta_1,price,0.5822017192840576,mixed,True
19,sephora_1,Color,sephora_2,number of colors,0.5735070109367371,textual,False
20,amazon_1,Color,sephora_2,number of colors,0.5429084897041321,textual,False
21,amazon_1,Description,sephora_1,Color,0.5415526032447815,textual,False
22,sephora_1,Color,ulta_1,number of colors/scent,0.5379537343978882,textual,False
23,amazon_1,Description,sephora_2,brand,0.5116526484489441,textual,False
24,amazon_1,Description,ulta_1,brand,0.5094454884529114,textual,False
25,amazon_1,Color,ulta_1,number of colors/scent,0.4542580842971802,textual,False
26,sephora_2,_id,ulta_1,brand,0.4463437497615814,textual,False
