,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,product name,ulta_1,product name,0.9922260046005248,textual,True
1,sephora_2,price,ulta_1,price,0.9916653633117676,mixed,True
2,sephora_2,_id,ulta_1,_id,0.9881106615066528,numerical,True
3,amazon_1,Price,sephora_1,Price,0.9800976514816284,mixed,True
4,sephora_2,brand,ulta_1,brand,0.9782538414001464,textual,True
5,amazon_1,Description,sephora_1,Description,0.9676944017410278,textual,True
6,amazon_1,Color,sephora_1,Color,0.912472367286682,textual,True
7,sephora_2,number of colors,ulta_1,number of colors/scent,0.8817604780197144,numerical,True
8,sephora_1,Price,sephora_2,price,0.8727176785469055,mixed,True
9,sephora_1,Price,ulta_1,price,0.8674789071083069,mixed,True
10,amazon_1,Price,ulta_1,price,0.8582277894020081,mixed,True
11,amazon_1,Price,sephora_2,price,0.8563234210014343,mixed,True
12,sephora_2,rating,ulta_1,rating,0.7999901175498962,textual,True
13,sephora_1,Product_id,ulta_1,_id,0.7677311301231384,numerical,True
14,sephora_1,Product_id,sephora_2,_id,0.7653356194496155,numerical,True
15,amazon_1,ID,sephora_1,Product_id,0.7026585340499878,textual,True
16,amazon_1,ID,sephora_2,_id,0.7002031803131104,textual,True
17,amazon_1,ID,ulta_1,_id,0.6993249654769897,textual,True
18,sephora_1,Color,ulta_1,brand,0.6149755120277405,textual,False
19,amazon_1,Description,ulta_1,product name,0.611541748046875,textual,True
20,amazon_1,Description,sephora_2,product name,0.6104652881622314,textual,True
21,sephora_1,Color,sephora_2,brand,0.6023952960968018,textual,False
22,sephora_1,Description,ulta_1,product name,0.5992715954780579,textual,True
23,sephora_1,Description,sephora_2,product name,0.5976420640945435,textual,True
24,amazon_1,Color,ulta_1,number of colors/scent,0.582647979259491,textual,False
25,amazon_1,Color,sephora_2,number of colors,0.5789245367050171,textual,False
26,amazon_1,Color,ulta_1,brand,0.5649808645248413,textual,False
27,amazon_1,Color,sephora_2,brand,0.5545927286148071,textual,False
28,sephora_1,Color,ulta_1,number of colors/scent,0.507300078868866,textual,False
29,sephora_1,Color,sephora_2,number of colors,0.5041633248329163,textual,False
30,amazon_1,Color,sephora_2,rating,0.4305842220783233,textual,False
31,sephora_1,Color,sephora_2,rating,0.4024391174316406,textual,False
32,sephora_2,rating,ulta_1,number of colors/scent,0.4016340970993042,textual,False
33,amazon_1,Color,ulta_1,rating,0.294678658246994,textual,False
34,sephora_1,Color,ulta_1,rating,0.2854289412498474,textual,False
35,amazon_1,Description,sephora_2,rating,0.2801421284675598,textual,False
36,sephora_2,number of colors,ulta_1,brand,0.279851883649826,textual,False
37,sephora_2,rating,ulta_1,brand,0.2786907851696014,textual,False
38,sephora_2,brand,ulta_1,number of colors/scent,0.277142733335495,textual,False
39,sephora_1,Description,sephora_2,rating,0.275293618440628,textual,False
40,amazon_1,Color,sephora_1,Description,0.256336510181427,textual,False
41,amazon_1,Description,sephora_1,Color,0.2524539232254028,textual,False
42,amazon_1,Description,ulta_1,brand,0.2368691265583038,textual,False
43,sephora_1,Description,ulta_1,brand,0.2349324971437454,textual,False
44,amazon_1,Description,ulta_1,rating,0.2347067445516586,textual,False
45,sephora_1,Description,ulta_1,rating,0.2315989583730697,textual,False
46,amazon_1,Description,sephora_2,brand,0.2312282621860504,textual,False
47,sephora_1,Description,sephora_2,brand,0.2296094596385955,textual,False
48,sephora_1,Product_id,ulta_1,product name,0.225341796875,textual,False
49,sephora_1,Product_id,sephora_2,product name,0.2253311723470688,textual,False
50,amazon_1,Color,sephora_2,_id,0.2228278070688247,textual,False
51,amazon_1,Color,ulta_1,_id,0.2149121463298797,textual,False
52,sephora_2,number of colors,ulta_1,rating,0.212034672498703,numerical,False
53,sephora_2,_id,ulta_1,number of colors/scent,0.2103278338909149,numerical,False
54,sephora_2,rating,ulta_1,_id,0.2080273181200027,textual,False
55,sephora_1,Color,sephora_2,_id,0.2074020206928253,textual,False
56,sephora_1,Product_id,ulta_1,brand,0.2072227001190185,textual,False
57,amazon_1,Description,sephora_2,_id,0.2048488557338714,textual,False
58,sephora_1,Description,sephora_2,_id,0.2039926499128341,textual,False
59,sephora_1,Product_id,sephora_2,brand,0.2032665908336639,textual,False
60,sephora_1,Color,ulta_1,_id,0.2003296166658401,textual,False
61,amazon_1,Description,ulta_1,_id,0.1997411698102951,textual,False
62,sephora_1,Description,ulta_1,_id,0.1989626884460449,textual,False
63,amazon_1,Description,ulta_1,number of colors/scent,0.1984176486730575,textual,False
64,sephora_2,number of colors,ulta_1,_id,0.1983864605426788,numerical,False
65,amazon_1,Description,sephora_1,Price,0.1963324546813964,textual,False
66,amazon_1,ID,sephora_2,rating,0.1945284456014633,mixed,False
67,amazon_1,Price,sephora_1,Description,0.1934449672698974,textual,False
68,sephora_1,Description,ulta_1,number of colors/scent,0.1930603384971618,textual,False
69,amazon_1,Description,sephora_2,number of colors,0.1927859038114547,textual,False
70,sephora_2,product name,ulta_1,brand,0.1925975084304809,textual,False
71,sephora_1,Description,sephora_2,number of colors,0.187571182847023,textual,False
72,sephora_2,brand,ulta_1,product name,0.1869080066680908,textual,False
73,sephora_2,brand,ulta_1,rating,0.1866650730371475,textual,False
74,amazon_1,ID,sephora_1,Color,0.1833098530769348,textual,False
75,sephora_2,_id,ulta_1,brand,0.1821066737174987,textual,False
76,amazon_1,Color,sephora_1,Product_id,0.1819070279598236,textual,False
77,amazon_1,Description,sephora_1,Product_id,0.1814688891172409,textual,False
78,amazon_1,ID,sephora_1,Description,0.1749897301197052,textual,False
79,sephora_2,brand,ulta_1,_id,0.1723559200763702,textual,False
80,amazon_1,ID,ulta_1,number of colors/scent,0.171453058719635,textual,False
81,amazon_1,ID,sephora_2,number of colors,0.1688601374626159,textual,False
82,sephora_2,_id,ulta_1,rating,0.1680892258882522,numerical,False
83,sephora_1,Price,sephora_2,rating,0.1669985055923462,mixed,False
84,amazon_1,Price,sephora_2,rating,0.1666756570339203,mixed,False
85,sephora_1,Product_id,ulta_1,number of colors/scent,0.1637292206287384,numerical,False
86,sephora_1,Product_id,sephora_2,rating,0.1595168560743332,textual,False
87,sephora_1,Product_id,sephora_2,number of colors,0.1572141647338867,numerical,False
88,amazon_1,Price,sephora_2,_id,0.1559300273656845,textual,False
89,amazon_1,ID,ulta_1,rating,0.1516870558261871,textual,False
90,sephora_1,Price,sephora_2,_id,0.1513077616691589,textual,False
91,amazon_1,Price,ulta_1,_id,0.1500894576311111,textual,False
92,amazon_1,ID,ulta_1,brand,0.1479833573102951,textual,False
93,amazon_1,Description,ulta_1,price,0.1458214819431305,textual,False
94,amazon_1,Color,sephora_2,product name,0.1457875370979309,textual,False
95,amazon_1,Color,ulta_1,product name,0.145616352558136,textual,False
96,sephora_1,Price,ulta_1,_id,0.1453960239887237,textual,False
97,amazon_1,Description,sephora_2,price,0.1447146534919738,textual,False
98,amazon_1,ID,sephora_2,brand,0.1442005187273025,textual,False
99,sephora_1,Description,ulta_1,price,0.1439545601606369,textual,False
100,sephora_1,Description,sephora_2,price,0.1429078429937362,textual,False
101,amazon_1,ID,sephora_1,Price,0.140681579709053,mixed,False
102,amazon_1,Color,sephora_1,Price,0.1393699645996093,textual,False
103,sephora_1,Color,sephora_2,product name,0.1377051174640655,textual,False
104,sephora_1,Color,ulta_1,product name,0.1376233249902725,textual,False
105,sephora_1,Price,ulta_1,product name,0.1375674158334732,textual,False
106,sephora_1,Price,sephora_2,product name,0.1367370039224624,textual,False
107,amazon_1,Price,ulta_1,product name,0.1363859623670578,textual,False
108,sephora_2,rating,ulta_1,product name,0.135643184185028,textual,False
109,amazon_1,Price,sephora_2,product name,0.1355538964271545,textual,False
110,sephora_2,_id,ulta_1,product name,0.1306907087564468,textual,False
111,amazon_1,Price,sephora_1,Color,0.1259131878614425,textual,False
112,sephora_2,product name,ulta_1,_id,0.1254534274339676,textual,False
113,amazon_1,Price,sephora_1,Product_id,0.1244135424494743,textual,False
114,sephora_1,Price,ulta_1,brand,0.1236272454261779,textual,False
115,sephora_1,Price,sephora_2,brand,0.122050866484642,textual,False
116,amazon_1,Price,ulta_1,rating,0.1218266412615776,textual,False
117,sephora_1,Price,ulta_1,rating,0.1208410859107971,textual,False
118,sephora_2,product name,ulta_1,number of colors/scent,0.1207241415977478,textual,False
119,amazon_1,Price,ulta_1,brand,0.1200753301382064,textual,False
120,amazon_1,Price,sephora_2,brand,0.1184320300817489,textual,False
121,sephora_1,Product_id,ulta_1,rating,0.1163299232721328,numerical,False
122,sephora_1,Price,ulta_1,number of colors/scent,0.1154691874980926,textual,False
123,sephora_2,rating,ulta_1,price,0.1143110990524292,mixed,False
124,amazon_1,Price,ulta_1,number of colors/scent,0.1139521598815918,textual,False
125,sephora_1,Price,sephora_2,number of colors,0.1115220636129379,textual,False
126,amazon_1,Price,sephora_2,number of colors,0.1100285649299621,textual,False
127,sephora_2,product name,ulta_1,price,0.1085431054234504,textual,False
128,sephora_2,price,ulta_1,product name,0.1083356812596321,textual,False
129,sephora_2,_id,ulta_1,price,0.105442464351654,textual,False
130,sephora_2,number of colors,ulta_1,product name,0.1042385026812553,textual,False
131,sephora_2,price,ulta_1,_id,0.0984743386507034,textual,False
132,amazon_1,ID,ulta_1,product name,0.0927359014749527,textual,False
133,amazon_1,ID,sephora_2,product name,0.0926925539970398,textual,False
134,amazon_1,Color,sephora_2,price,0.0875356644392013,textual,False
135,amazon_1,Color,ulta_1,price,0.08707045763731,textual,False
136,amazon_1,ID,ulta_1,price,0.0869868397712707,mixed,False
137,amazon_1,ID,sephora_2,price,0.0859986841678619,mixed,False
138,sephora_2,product name,ulta_1,rating,0.0839041247963905,textual,False
139,sephora_1,Color,sephora_2,price,0.0767932683229446,textual,False
140,sephora_1,Color,ulta_1,price,0.0761215016245842,textual,False
141,sephora_2,number of colors,ulta_1,price,0.0757659077644348,textual,False
142,sephora_1,Product_id,ulta_1,price,0.0735964104533195,textual,False
143,sephora_1,Product_id,sephora_2,price,0.0725281685590744,textual,False
144,sephora_2,price,ulta_1,number of colors/scent,0.0715679079294204,textual,False
145,sephora_2,price,ulta_1,brand,0.0715156942605972,textual,False
146,sephora_2,brand,ulta_1,price,0.068782202899456,textual,False
147,sephora_2,price,ulta_1,rating,0.0672926232218742,textual,False
