,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_2,price,ulta_1,price,0.9396580457687378,mixed,True
1,sephora_2,number of colors,ulta_1,number of colors/scent,0.9346818327903748,numerical,True
2,sephora_2,brand,ulta_1,brand,0.9131162762641908,textual,True
3,sephora_2,_id,ulta_1,_id,0.9079959988594056,numerical,True
4,sephora_2,product name,ulta_1,product name,0.8991442918777466,textual,True
5,sephora_1,Product_id,sephora_2,_id,0.887572169303894,numerical,True
6,sephora_1,Price,sephora_2,price,0.8251796960830688,mixed,True
7,sephora_1,Description,ulta_1,product name,0.8251024484634399,textual,True
8,sephora_1,Price,ulta_1,price,0.824482798576355,mixed,True
9,sephora_2,rating,ulta_1,rating,0.805346667766571,textual,True
10,sephora_1,Description,sephora_2,product name,0.8038898706436157,textual,True
11,sephora_1,Product_id,ulta_1,_id,0.7940443754196167,numerical,True
12,amazon_1,ID,sephora_1,Product_id,0.7787463068962097,textual,True
13,amazon_1,ID,sephora_2,_id,0.7190374732017517,textual,True
14,amazon_1,ID,ulta_1,_id,0.7092593908309937,textual,True
15,amazon_1,Price,sephora_1,Price,0.6570318937301636,mixed,True
16,amazon_1,Color,sephora_1,Color,0.641760528087616,textual,True
17,amazon_1,Price,ulta_1,price,0.6195232272148132,mixed,True
18,amazon_1,Color,ulta_1,number of colors/scent,0.6065654754638672,textual,False
19,amazon_1,Price,sephora_2,price,0.5998610258102417,mixed,True
20,amazon_1,Color,sephora_2,number of colors,0.5809522867202759,textual,False
21,sephora_1,Color,sephora_2,number of colors,0.5563154220581055,textual,False
22,amazon_1,Description,sephora_1,Color,0.5510930418968201,textual,False
23,sephora_1,Color,ulta_1,number of colors/scent,0.542574405670166,textual,False
24,sephora_1,Price,sephora_2,number of colors,0.4240826368331909,textual,False
25,amazon_1,Color,sephora_1,Description,0.4192217588424682,textual,False
26,amazon_1,Description,ulta_1,brand,0.4116728901863098,textual,False
27,sephora_1,Price,ulta_1,number of colors/scent,0.403333455324173,textual,False
28,sephora_1,Product_id,sephora_2,number of colors,0.4002131819725036,numerical,False
29,amazon_1,Description,sephora_2,brand,0.392852783203125,textual,False
30,sephora_2,brand,ulta_1,price,0.3928477466106415,textual,False
31,sephora_1,Price,sephora_2,brand,0.3885978460311889,textual,False
32,amazon_1,Color,sephora_2,product name,0.3775639235973358,textual,False
33,sephora_2,_id,ulta_1,number of colors/scent,0.3686431646347046,numerical,False
34,sephora_1,Product_id,ulta_1,number of colors/scent,0.3609283864498138,numerical,False
35,sephora_1,Color,sephora_2,product name,0.3568090200424194,textual,False
36,amazon_1,Description,sephora_2,rating,0.3506752550601959,textual,False
37,sephora_2,rating,ulta_1,product name,0.3459468483924866,textual,False
38,sephora_1,Color,sephora_2,rating,0.3440322279930115,textual,False
39,sephora_2,number of colors,ulta_1,_id,0.3439761102199554,numerical,False
40,sephora_1,Color,sephora_2,brand,0.3418083786964416,textual,False
41,amazon_1,Color,sephora_1,Price,0.3354667127132416,textual,False
42,sephora_2,product name,ulta_1,rating,0.3324034512042999,textual,False
43,sephora_1,Color,ulta_1,brand,0.3298889994621277,textual,False
44,amazon_1,Color,ulta_1,product name,0.3250374495983124,textual,False
45,sephora_1,Price,ulta_1,brand,0.3232046365737915,textual,False
46,sephora_1,Description,sephora_2,brand,0.3188508152961731,textual,False
47,sephora_1,Color,ulta_1,product name,0.3127603828907013,textual,False
48,amazon_1,Price,sephora_1,Description,0.3083954155445099,textual,False
49,amazon_1,Color,sephora_1,Product_id,0.3080305755138397,textual,False
50,sephora_1,Description,ulta_1,brand,0.3071236610412597,textual,False
51,sephora_2,rating,ulta_1,number of colors/scent,0.3061981499195099,textual,False
52,sephora_2,rating,ulta_1,price,0.2979208827018738,mixed,False
53,sephora_2,number of colors,ulta_1,price,0.2972757816314697,textual,False
54,amazon_1,Color,sephora_2,_id,0.296901524066925,textual,False
55,sephora_2,brand,ulta_1,product name,0.2936231791973114,textual,False
56,sephora_1,Price,sephora_2,_id,0.2902249097824096,textual,False
57,amazon_1,ID,sephora_1,Price,0.2899735867977142,mixed,False
58,sephora_2,price,ulta_1,number of colors/scent,0.2880544066429138,textual,False
59,amazon_1,Color,ulta_1,_id,0.2877116203308105,textual,False
60,sephora_2,product name,ulta_1,brand,0.2835684716701507,textual,False
61,sephora_1,Description,sephora_2,rating,0.2814578413963318,textual,False
62,amazon_1,Color,sephora_2,price,0.2808131277561188,textual,False
63,sephora_1,Description,ulta_1,number of colors/scent,0.2729447185993194,textual,False
64,sephora_2,price,ulta_1,brand,0.2707482874393463,textual,False
65,amazon_1,Description,ulta_1,rating,0.2701724171638489,textual,False
66,sephora_1,Description,sephora_2,price,0.2701423466205597,textual,False
67,sephora_2,price,ulta_1,rating,0.2701393961906433,textual,False
68,sephora_1,Color,ulta_1,rating,0.2666549682617187,textual,False
69,sephora_1,Description,ulta_1,rating,0.2648211419582367,textual,False
70,sephora_1,Price,ulta_1,_id,0.2631240487098694,textual,False
71,sephora_1,Description,sephora_2,number of colors,0.2621917724609375,textual,False
72,sephora_1,Description,ulta_1,price,0.2618210017681122,textual,False
73,amazon_1,ID,sephora_2,number of colors,0.261728972196579,textual,False
74,sephora_1,Product_id,sephora_2,price,0.2606207728385925,textual,False
75,sephora_1,Color,sephora_2,_id,0.2546755373477936,textual,False
76,sephora_2,_id,ulta_1,price,0.2546451389789581,textual,False
77,amazon_1,Description,sephora_1,Price,0.2525741457939148,textual,False
78,amazon_1,ID,ulta_1,number of colors/scent,0.2519079744815826,textual,False
79,sephora_2,brand,ulta_1,number of colors/scent,0.2499396800994873,textual,False
80,sephora_2,price,ulta_1,_id,0.2492837905883789,textual,False
81,sephora_2,number of colors,ulta_1,brand,0.2482601404190063,textual,False
82,sephora_2,brand,ulta_1,_id,0.2470824569463729,textual,False
83,sephora_1,Price,sephora_2,rating,0.2459448873996734,mixed,False
84,sephora_2,rating,ulta_1,_id,0.2429526150226593,textual,False
85,amazon_1,Description,sephora_2,price,0.2417626827955246,textual,False
86,amazon_1,Price,sephora_1,Product_id,0.2395273000001907,textual,False
87,amazon_1,Description,ulta_1,price,0.2324986308813095,textual,False
