,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.997405171394348,textual,True
1,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9940526485443116,textual,True
2,tmdb_2,year,tmdb_4,year,0.9929366111755372,numerical,True
3,tmdb_3,year,tmdb_4,year,0.9927150011062622,numerical,True
4,tmdb_2,year,tmdb_3,year,0.9926717281341552,numerical,True
5,imdb_4,id,rotten_tomatoes_3,id,0.9924933910369872,numerical,True
6,imdb_2,year,tmdb_1,year,0.9924436807632446,numerical,True
7,metacritic_3,_id,walmart_1,_id,0.9918521642684937,numerical,True
8,metacritic_2,_id,walmart_1,_id,0.9907718896865844,numerical,True
9,metacritic_3,_id,tmdb_3,_id,0.9907314777374268,numerical,True
10,tmdb_3,_id,walmart_1,_id,0.9905260801315308,numerical,True
11,amazon_1,id,rotten_tomatoes_3,id,0.9903913736343384,numerical,True
12,metacritic_2,_id,tmdb_3,_id,0.990267276763916,numerical,True
13,metacritic_3,id,tmdb_3,id,0.9901710748672484,numerical,True
14,imdb_2,ID,tmdb_1,ID,0.9899511337280272,numerical,True
15,metacritic_1,_id,metacritic_3,_id,0.9896672964096068,numerical,True
16,amazon_1,year,rotten_tomatoes_3,year,0.989055037498474,numerical,True
17,amazon_1,year,tmdb_2,year,0.989051342010498,numerical,True
18,metacritic_1,_id,walmart_1,_id,0.9890083074569702,numerical,True
19,amazon_1,year,tmdb_3,year,0.988797664642334,numerical,True
20,metacritic_2,_id,metacritic_3,_id,0.988671898841858,numerical,True
21,metacritic_1,_id,metacritic_2,_id,0.9886713027954102,numerical,True
22,imdb_4,movie_rating,metacritic_2,movie_rating,0.9879652261734008,numerical,True
23,metacritic_1,_id,tmdb_3,_id,0.9879450798034668,numerical,True
24,amazon_1,id,imdb_4,id,0.9878367185592652,numerical,True
25,metacritic_1,_id,rotten_tomatoes_4,_id,0.9873392581939696,numerical,True
26,metacritic_3,_id,tmdb_2,_id,0.986735224723816,numerical,True
27,tmdb_2,_id,tmdb_3,_id,0.986518621444702,numerical,True
28,amazon_1,year,tmdb_4,year,0.9865111112594604,numerical,True
29,metacritic_4,_id,rotten_tomatoes_4,_id,0.9863958358764648,numerical,True
30,rotten_tomatoes_3,year,tmdb_4,year,0.9861774444580078,numerical,True
31,metacritic_1,_id,metacritic_4,_id,0.986106276512146,numerical,True
32,metacritic_3,_id,metacritic_4,_id,0.9856088161468506,numerical,True
33,metacritic_4,_id,tmdb_3,_id,0.9854727983474731,numerical,True
34,rotten_tomatoes_3,year,tmdb_3,year,0.985409379005432,numerical,True
35,roger_ebert_1,id,tmdb_3,id,0.9850796461105348,numerical,True
36,tmdb_2,_id,walmart_1,_id,0.9850552082061768,numerical,True
37,metacritic_3,id,roger_ebert_1,id,0.9845905303955078,numerical,True
38,metacritic_2,title,metacritic_3,title,0.9843260049819946,textual,True
39,rotten_tomatoes_3,year,tmdb_2,year,0.9841060638427734,numerical,True
