,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_4,movie_rating,metacritic_2,movie_rating,0.999871551990509,numerical,True
1,metacritic_4,duration,rotten_tomatoes_1,Duration,0.9996808767318726,textual,True
2,rotten_tomatoes_1,Year,tmdb_2,year,0.9993771314620972,numerical,True
3,imdb_3,Duration,metacritic_4,duration,0.9992630481719972,textual,True
4,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9992480874061584,textual,True
5,tmdb_3,year,tmdb_4,year,0.999074935913086,numerical,True
6,tmdb_2,_id,tmdb_3,_id,0.9986714124679564,numerical,True
7,imdb_4,year,rotten_tomatoes_1,Year,0.9986426830291748,numerical,True
8,imdb_4,year,tmdb_2,year,0.9985325932502748,numerical,True
9,imdb_2,year,tmdb_1,year,0.9985275268554688,numerical,True
10,metacritic_1,Runtime,metacritic_3,runtime,0.9984979033470154,textual,True
11,metacritic_1,Year,tmdb_1,year,0.998324692249298,numerical,True
12,rotten_tomatoes_3,id,tmdb_3,id,0.9982178807258606,numerical,True
13,imdb_4,id,rotten_tomatoes_3,id,0.9982155561447144,numerical,True
14,metacritic_1,_id,metacritic_3,_id,0.9981435537338256,numerical,True
15,tmdb_2,year,tmdb_3,year,0.9981415271759032,numerical,True
16,metacritic_1,_id,walmart_1,_id,0.9981139302253724,numerical,True
17,metacritic_3,_id,rotten_tomatoes_4,_id,0.9980907440185548,numerical,True
18,metacritic_3,_id,metacritic_4,_id,0.9980131387710572,numerical,True
19,rotten_tomatoes_1,Year,tmdb_3,year,0.9980089664459229,numerical,True
20,amazon_1,year,tmdb_3,year,0.9979643821716307,numerical,True
21,metacritic_1,ID,metacritic_3,id,0.9979379773139954,numerical,True
22,roger_ebert_1,id,tmdb_3,id,0.9978916645050048,numerical,True
23,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9978086352348328,textual,True
24,metacritic_1,ID,roger_ebert_1,id,0.9978044033050536,numerical,True
25,imdb_4,duration,metacritic_4,duration,0.997763991355896,textual,True
26,tmdb_1,ID,tmdb_3,id,0.997727632522583,numerical,True
27,metacritic_2,_id,rotten_tomatoes_4,_id,0.9977065324783324,numerical,True
28,rotten_tomatoes_4,_id,walmart_1,_id,0.9976935386657716,numerical,True
29,rotten_tomatoes_1,Year,tmdb_4,year,0.9976568222045898,numerical,True
30,imdb_4,id,tmdb_3,id,0.9976227879524232,numerical,True
31,metacritic_2,_id,walmart_1,_id,0.9976179599761964,numerical,True
32,metacritic_1,_id,metacritic_4,_id,0.9975671768188475,numerical,True
33,metacritic_1,_id,rotten_tomatoes_4,_id,0.9975415468215942,numerical,True
34,imdb_2,year,metacritic_1,Year,0.9975168704986572,numerical,True
35,metacritic_1,_id,metacritic_2,_id,0.9974371194839478,numerical,True
36,tmdb_2,year,tmdb_4,year,0.9974149465560912,numerical,True
37,metacritic_1,Year,roger_ebert_1,year,0.9973984956741332,numerical,True
38,imdb_2,ID,imdb_4,id,0.9973124265670776,numerical,True
39,metacritic_2,_id,tmdb_3,_id,0.9972994923591614,numerical,True
40,roger_ebert_1,id,rotten_tomatoes_3,id,0.9972904324531556,numerical,True
41,rotten_tomatoes_3,id,tmdb_1,ID,0.9972802996635436,numerical,True
42,metacritic_2,_id,metacritic_3,_id,0.997279167175293,numerical,True
43,rotten_tomatoes_4,_id,tmdb_2,_id,0.9972578883171082,numerical,True
44,metacritic_3,id,roger_ebert_1,id,0.9972344040870668,numerical,True
45,metacritic_3,_id,walmart_1,_id,0.9972171783447266,numerical,True
46,metacritic_1,ID,tmdb_3,id,0.9972051978111268,numerical,True
47,rotten_tomatoes_4,_id,tmdb_3,_id,0.9971923828125,numerical,True
48,amazon_1,year,tmdb_2,year,0.9971216917037964,numerical,True
49,tmdb_3,_id,walmart_1,_id,0.9971182346343994,numerical,True
50,imdb_2,ID,tmdb_1,ID,0.9969323873519896,numerical,True
51,imdb_2,ID,tmdb_3,id,0.996924877166748,numerical,True
52,imdb_4,duration,rotten_tomatoes_1,Duration,0.9968360662460328,textual,True
53,tmdb_2,_id,tmdb_4,_id,0.9967527389526368,numerical,True
54,imdb_4,id,roger_ebert_1,id,0.9967190027236938,numerical,True
55,tmdb_2,_id,walmart_1,_id,0.9967084527015686,numerical,True
56,metacritic_3,_id,tmdb_4,_id,0.9966171979904176,numerical,True
57,imdb_4,id,tmdb_1,ID,0.9965993165969848,numerical,True
58,amazon_1,id,metacritic_3,id,0.9965544939041138,numerical,True
59,metacritic_4,_id,rotten_tomatoes_4,_id,0.9964879751205444,numerical,True
