,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_3,Genre,rotten_tomatoes_2,Genre,0.8450860381126404,textual,True
1,metacritic_1,ID,rotten_tomatoes_4,movie_ind,0.8383700251579285,numerical,True
2,imdb_2,director,tmdb_1,director(s),0.8197329044342041,textual,True
3,imdb_3,Director,rotten_tomatoes_2,Director,0.8165233135223389,textual,True
4,imdb_3,Creators,rotten_tomatoes_2,Creators,0.812855064868927,textual,True
5,imdb_3,Title,rotten_tomatoes_2,Title,0.8078166246414185,textual,True
6,imdb_2,name,tmdb_1,title,0.8067575097084045,textual,True
7,metacritic_3,genres,rotten_tomatoes_4,genre,0.8022133708000183,textual,True
8,imdb_2,writers,tmdb_1,writer(s),0.8017501831054688,textual,True
9,metacritic_1,Name,tmdb_1,title,0.7893244028091431,textual,True
10,metacritic_2,title,tmdb_1,title,0.7892796397209167,textual,True
11,imdb_4,movie_name,rotten_tomatoes_3,title,0.7829380631446838,textual,True
12,imdb_4,movie_name,tmdb_2,name,0.7812074422836304,textual,True
13,metacritic_2,title,tmdb_2,name,0.7798404097557068,textual,True
14,imdb_2,name,tmdb_3,title,0.7783414125442505,textual,True
15,imdb_4,movie_name,metacritic_2,title,0.7764574885368347,textual,True
16,imdb_3,ID,rotten_tomatoes_2,ID,0.7763872146606445,mixed,True
17,imdb_2,name,imdb_4,movie_name,0.774859607219696,textual,True
18,imdb_3,Cast,rotten_tomatoes_2,Cast,0.7747939229011536,textual,True
19,metacritic_1,Name,rotten_tomatoes_4,name,0.7733889222145081,textual,True
20,imdb_3,Summary,rotten_tomatoes_2,Summary,0.7730520963668823,textual,True
21,imdb_4,movie_name,roger_ebert_1,movie_name,0.7712290287017822,textual,True
22,imdb_4,actors,metacritic_3,starring,0.7710557579994202,textual,True
23,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.7655594944953918,textual,True
24,imdb_2,name,metacritic_2,title,0.7638172507286072,textual,True
25,imdb_4,id,metacritic_3,_id,0.7637026309967041,numerical,True
26,metacritic_3,title,rotten_tomatoes_4,name,0.7636251449584961,textual,True
27,imdb_2,ID,tmdb_1,ID,0.7622489333152771,numerical,True
28,imdb_2,year,tmdb_1,year,0.7612233757972717,numerical,True
29,imdb_4,year,tmdb_3,year,0.7602903246879578,numerical,True
30,rotten_tomatoes_3,title,tmdb_2,name,0.7595664262771606,textual,True
31,metacritic_3,title,tmdb_3,title,0.7584819793701172,textual,True
32,imdb_2,name,tmdb_2,name,0.7554293274879456,textual,True
33,imdb_1,YearRange,rotten_tomatoes_1,Year,0.7551149725914001,textual,True
34,imdb_2,name,metacritic_1,Name,0.7539243698120117,textual,True
35,rotten_tomatoes_4,name,tmdb_3,title,0.7516588568687439,textual,True
36,imdb_3,Rating,rotten_tomatoes_2,Rating,0.7512505650520325,textual,True
37,imdb_4,movie_name,tmdb_1,title,0.751144528388977,textual,True
38,metacritic_3,id,tmdb_3,id,0.7501263618469238,numerical,True
39,metacritic_1,ID,metacritic_3,id,0.7488695979118347,numerical,True
40,imdb_2,name,rotten_tomatoes_4,name,0.7464649677276611,textual,True
41,imdb_2,name,metacritic_3,title,0.7463399767875671,textual,True
42,tmdb_2,stars,tmdb_3,actors,0.745919406414032,textual,True
43,imdb_4,id,roger_ebert_1,id,0.745854914188385,numerical,True
44,imdb_4,movie_name,tmdb_3,title,0.7455036044120789,textual,True
45,tmdb_1,title,tmdb_2,name,0.7445306181907654,textual,True
46,imdb_4,genre,roger_ebert_1,genre,0.7440422177314758,textual,True
47,metacritic_2,title,tmdb_3,title,0.7434231638908386,textual,True
48,rotten_tomatoes_1,Creator,rotten_tomatoes_3,star2,0.742931604385376,textual,False
49,imdb_4,actors,roger_ebert_1,actors,0.742715060710907,textual,True
50,imdb_1,Creator,rotten_tomatoes_1,Actors,0.741143524646759,textual,False
51,imdb_2,ID,metacritic_1,_id,0.7410544157028198,numerical,True
52,rotten_tomatoes_1,Actors,rotten_tomatoes_2,Creators,0.7409908175468445,textual,False
53,amazon_1,title,imdb_2,name,0.7372545003890991,textual,True
54,imdb_4,movie_name,metacritic_1,Name,0.7361574769020081,textual,True
55,metacritic_2,title,metacritic_3,title,0.7358808517456055,textual,True
56,metacritic_1,Name,tmdb_3,title,0.7346974015235901,textual,True
57,metacritic_3,title,tmdb_2,name,0.7341069579124451,textual,True
58,roger_ebert_1,movie_name,walmart_1,name,0.7310990691184998,textual,True
59,metacritic_4,name,tmdb_2,name,0.7300926446914673,textual,True
60,rotten_tomatoes_1,Name,rotten_tomatoes_2,Title,0.7297478914260864,textual,True
61,metacritic_1,Name,metacritic_2,title,0.7275955080986023,textual,True
62,imdb_3,Creators,metacritic_3,starring,0.7273383736610413,textual,False
63,imdb_3,Title,rotten_tomatoes_1,Name,0.725002110004425,textual,True
64,metacritic_3,genres,walmart_1,genre,0.7216212153434753,textual,True
65,imdb_4,year,tmdb_2,year,0.7213988304138184,numerical,True
66,metacritic_3,_id,roger_ebert_1,id,0.7205399870872498,numerical,True
67,tmdb_2,stars,walmart_1,stars,0.7196605205535889,textual,True
68,rotten_tomatoes_4,name,walmart_1,name,0.7191078662872314,textual,True
69,tmdb_2,name,tmdb_3,title,0.716323733329773,textual,True
70,imdb_2,name,roger_ebert_1,movie_name,0.7159201502799988,textual,True
71,metacritic_1,_id,tmdb_1,ID,0.7153940200805664,numerical,True
72,metacritic_4,name,rotten_tomatoes_3,title,0.7140344381332397,textual,True
73,metacritic_1,_id,roger_ebert_1,id,0.7138673663139343,numerical,True
74,metacritic_2,release_year,tmdb_2,year,0.7137983441352844,numerical,True
75,imdb_3,Year,rotten_tomatoes_2,Year,0.7134344577789307,mixed,False
76,metacritic_1,Actors,walmart_1,stars,0.7133781909942627,textual,True
77,tmdb_1,title,tmdb_3,title,0.7120652198791504,textual,True
78,metacritic_3,release year,tmdb_3,year,0.7119998335838318,numerical,True
79,imdb_2,actors,tmdb_1,actor(s),0.7112499475479126,textual,True
80,metacritic_3,_id,walmart_1,_id,0.7109718322753906,numerical,True
81,rotten_tomatoes_4,_id,walmart_1,_id,0.7109015583992004,numerical,True
82,metacritic_1,ID,tmdb_3,id,0.7103278636932373,numerical,True
83,imdb_2,name,walmart_1,name,0.7097442150115967,textual,True
84,amazon_1,id,imdb_2,ID,0.7087243795394897,numerical,True
85,roger_ebert_1,movie_name,rotten_tomatoes_4,name,0.7079774737358093,textual,True
86,rotten_tomatoes_2,Creators,rotten_tomatoes_3,star3,0.7075144052505493,textual,False
87,imdb_4,id,metacritic_1,_id,0.7063906788825989,numerical,True
88,amazon_1,id,tmdb_2,_id,0.7051858901977539,numerical,True
89,rotten_tomatoes_1,Actors,rotten_tomatoes_3,star3,0.7049499154090881,textual,True
90,imdb_1,Cast,rotten_tomatoes_1,Cast,0.7038974165916443,textual,True
91,imdb_1,Director,rotten_tomatoes_1,Director,0.7035439014434814,textual,True
92,imdb_1,ReleaseDate,rotten_tomatoes_1,Release Date,0.703252375125885,textual,True
93,metacritic_3,release year,tmdb_2,year,0.7031448483467102,numerical,True
94,imdb_4,movie_name,metacritic_3,title,0.7015946507453918,textual,True
95,metacritic_3,starring,roger_ebert_1,actors,0.6997458338737488,textual,True
96,imdb_3,Creators,rotten_tomatoes_1,Actors,0.6994309425354004,textual,False
97,imdb_3,Creators,roger_ebert_1,actors,0.69936203956604,textual,False
98,imdb_3,Duration,rotten_tomatoes_2,Duration,0.6987514495849609,textual,True
99,metacritic_3,title,tmdb_1,title,0.6986692547798157,textual,True
100,metacritic_3,starring,rotten_tomatoes_2,Creators,0.6982758641242981,textual,False
101,imdb_1,Name,rotten_tomatoes_1,Name,0.696834146976471,textual,True
102,metacritic_1,_id,metacritic_3,_id,0.6954846382141113,numerical,True
103,metacritic_1,Name,metacritic_3,title,0.6949666738510132,textual,True
104,rotten_tomatoes_1,Creator,rotten_tomatoes_2,Creators,0.6947301626205444,textual,True
105,imdb_4,movie_name,rotten_tomatoes_4,name,0.694053053855896,textual,True
106,imdb_2,director,roger_ebert_1,directors,0.6910244226455688,textual,True
107,imdb_3,Creators,imdb_4,actors,0.6909950375556946,textual,False
108,amazon_1,title,tmdb_2,name,0.6907320618629456,textual,True
109,roger_ebert_1,id,walmart_1,_id,0.6898569464683533,numerical,True
110,imdb_2,writers,metacritic_3,starring,0.6894907355308533,textual,False
111,rotten_tomatoes_4,movie_ind,tmdb_3,id,0.6893703937530518,numerical,True
112,imdb_1,Creator,roger_ebert_1,actors,0.6891005039215088,textual,False
113,imdb_1,Id,roger_ebert_1,id,0.6890441179275513,textual,True
114,metacritic_1,_id,rotten_tomatoes_4,_id,0.6881003379821777,numerical,True
115,metacritic_1,Name,tmdb_2,name,0.687027096748352,textual,True
116,metacritic_4,name,tmdb_3,title,0.6865900158882141,textual,True
117,metacritic_3,_id,rotten_tomatoes_4,_id,0.68636554479599,numerical,True
118,tmdb_2,year,tmdb_3,year,0.6851010918617249,numerical,True
119,rotten_tomatoes_4,name,tmdb_1,title,0.6835826635360718,textual,True
120,amazon_1,title,metacritic_3,title,0.6833073496818542,textual,True
121,metacritic_3,starring,rotten_tomatoes_4,star,0.6832127571105957,textual,True
122,imdb_3,Duration,imdb_4,duration,0.6829360723495483,textual,True
123,imdb_3,Creators,rotten_tomatoes_2,Cast,0.6827352046966553,textual,False
124,roger_ebert_1,actors,rotten_tomatoes_1,Actors,0.6823263168334961,textual,True
125,imdb_2,writers,imdb_4,actors,0.681755006313324,textual,False
126,rotten_tomatoes_4,name,tmdb_2,name,0.681432843208313,textual,True
127,imdb_1,Creator,rotten_tomatoes_2,Creators,0.6813107132911682,textual,True
128,metacritic_3,id,rotten_tomatoes_4,movie_ind,0.6807029843330383,numerical,True
129,metacritic_3,title,metacritic_4,name,0.6802737712860107,textual,True
130,imdb_1,Creator,imdb_3,Creators,0.6783322095870972,textual,True
131,metacritic_1,Name,roger_ebert_1,movie_name,0.6779047250747681,textual,True
132,metacritic_3,starring,tmdb_1,writer(s),0.677856981754303,textual,False
133,tmdb_2,genres,walmart_1,genre,0.6776221990585327,textual,True
134,amazon_1,title,walmart_1,name,0.6766064167022705,textual,True
135,imdb_4,actors,tmdb_1,writer(s),0.6765467524528503,textual,False
136,metacritic_1,Actors,tmdb_3,writers,0.6745487451553345,textual,False
137,tmdb_2,_id,walmart_1,_id,0.6738454699516296,numerical,True
138,metacritic_1,_id,walmart_1,_id,0.6731310486793518,numerical,True
139,imdb_1,YearRange,imdb_4,year,0.6718685626983643,textual,True
140,tmdb_2,_id,tmdb_3,_id,0.6718488335609436,numerical,True
141,roger_ebert_1,id,rotten_tomatoes_4,_id,0.6712558269500732,numerical,True
142,rotten_tomatoes_3,title,tmdb_1,title,0.6700738668441772,textual,True
143,imdb_4,actors,metacritic_1,Actors,0.6700354814529419,textual,True
144,imdb_4,movie_name,walmart_1,name,0.6699097752571106,textual,True
145,roger_ebert_1,actors,rotten_tomatoes_2,Creators,0.6689124703407288,textual,False
146,rotten_tomatoes_1,Id,rotten_tomatoes_2,ID,0.6687716841697693,mixed,True
