,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_2,ID,tmdb_1,ID,0.9154435992240906,numerical,True
1,imdb_3,Cast,rotten_tomatoes_2,Cast,0.913166344165802,textual,True
2,imdb_2,director,tmdb_1,director(s),0.8974910974502563,textual,True
3,imdb_3,Creators,rotten_tomatoes_2,Creators,0.896743893623352,textual,True
4,imdb_2,name,tmdb_1,title,0.869132399559021,textual,True
5,imdb_2,year,tmdb_1,year,0.8563473224639893,numerical,True
6,tmdb_2,year,tmdb_3,year,0.8550966382026672,numerical,True
7,tmdb_2,stars,walmart_1,stars,0.852984607219696,textual,True
8,imdb_3,Director,rotten_tomatoes_2,Director,0.84742671251297,textual,True
9,metacritic_1,ID,rotten_tomatoes_4,movie_ind,0.8430677056312561,numerical,True
10,imdb_2,writers,tmdb_1,writer(s),0.8349538445472717,textual,True
11,metacritic_1,Name,tmdb_3,title,0.8233688473701477,textual,True
12,imdb_4,year,tmdb_2,year,0.8204910159111023,numerical,True
13,amazon_1,id,tmdb_2,_id,0.8196423053741455,numerical,True
14,metacritic_3,release year,tmdb_2,year,0.8107466101646423,numerical,True
15,metacritic_1,ID,tmdb_3,id,0.8100534081459045,numerical,True
16,metacritic_1,Actors,walmart_1,stars,0.8074737191200256,textual,True
17,tmdb_2,_id,tmdb_3,_id,0.8012347221374512,numerical,True
18,metacritic_3,release year,tmdb_3,year,0.797831654548645,numerical,True
19,imdb_2,actors,tmdb_1,actor(s),0.7970800995826721,textual,True
20,imdb_3,Genre,rotten_tomatoes_2,Genre,0.7932764291763306,textual,True
21,imdb_3,Duration,rotten_tomatoes_2,Duration,0.7910029888153076,textual,True
22,metacritic_1,Actors,tmdb_2,stars,0.7884399890899658,textual,True
23,imdb_4,actors,metacritic_3,starring,0.7852045297622681,textual,True
24,metacritic_1,_id,roger_ebert_1,id,0.784813404083252,numerical,True
25,rotten_tomatoes_4,movie_ind,tmdb_3,id,0.7712544798851013,numerical,True
26,metacritic_3,_id,tmdb_2,_id,0.7688354849815369,numerical,True
27,metacritic_3,starring,roger_ebert_1,actors,0.7675904035568237,textual,True
28,imdb_3,Creators,roger_ebert_1,actors,0.7674486041069031,textual,False
29,amazon_1,id,imdb_4,id,0.7669484615325928,numerical,True
30,imdb_4,id,tmdb_2,_id,0.7667165994644165,numerical,True
31,imdb_3,Title,rotten_tomatoes_2,Title,0.7651247382164001,textual,True
32,metacritic_1,Year,roger_ebert_1,year,0.7647042870521545,numerical,True
33,metacritic_3,id,tmdb_3,id,0.7630670070648193,numerical,True
34,imdb_3,Rating,rotten_tomatoes_2,Rating,0.7625747323036194,textual,True
35,metacritic_1,ID,metacritic_3,id,0.7599359750747681,numerical,True
36,metacritic_3,rating,tmdb_2,subtext,0.7594184279441833,textual,True
37,imdb_4,year,tmdb_3,year,0.7587974071502686,numerical,True
38,metacritic_2,title,metacritic_3,title,0.7580416798591614,textual,True
39,imdb_4,movie_name,tmdb_2,name,0.7580200433731079,textual,True
40,rotten_tomatoes_4,name,tmdb_3,title,0.7549062967300415,textual,True
41,imdb_3,Year,rotten_tomatoes_2,Year,0.7539383172988892,mixed,False
42,tmdb_3,_id,walmart_1,_id,0.7534156441688538,numerical,True
43,metacritic_1,Actors,roger_ebert_1,actors,0.7514522075653076,textual,True
44,imdb_4,id,metacritic_3,_id,0.7483989596366882,numerical,True
45,metacritic_3,_id,tmdb_3,_id,0.7465517520904541,numerical,True
46,imdb_3,Summary,rotten_tomatoes_2,Summary,0.7462407350540161,textual,True
47,imdb_1,Creator,rotten_tomatoes_1,Creator,0.7422631978988647,textual,True
48,imdb_3,Creators,metacritic_3,starring,0.7402195334434509,textual,False
49,tmdb_2,name,tmdb_3,title,0.7372558116912842,textual,True
50,tmdb_2,_id,walmart_1,_id,0.7347007393836975,numerical,True
51,tmdb_3,title,walmart_1,name,0.7339003086090088,textual,True
52,roger_ebert_1,id,walmart_1,_id,0.7328945398330688,numerical,True
53,roger_ebert_1,movie_name,walmart_1,name,0.7299441695213318,textual,True
54,roger_ebert_1,actors,rotten_tomatoes_2,Creators,0.7280650734901428,textual,False
55,imdb_4,actors,roger_ebert_1,actors,0.7275874018669128,textual,True
56,metacritic_3,genres,walmart_1,genre,0.7267118692398071,textual,True
57,imdb_1,Director,rotten_tomatoes_1,Director,0.7257657051086426,textual,True
58,metacritic_1,_id,tmdb_3,_id,0.7249982953071594,numerical,True
59,rotten_tomatoes_4,_id,tmdb_2,_id,0.7235138416290283,numerical,True
60,imdb_3,Duration,imdb_4,duration,0.7217411994934082,textual,True
61,imdb_2,year,metacritic_1,Year,0.7201448678970337,numerical,True
62,imdb_1,Creator,imdb_3,Creators,0.7194453477859497,textual,True
63,metacritic_3,starring,walmart_1,stars,0.7173716425895691,textual,True
64,roger_ebert_1,id,tmdb_3,_id,0.7168226838111877,numerical,True
65,imdb_1,Creator,rotten_tomatoes_3,star3,0.7152471542358398,textual,False
66,metacritic_1,Year,tmdb_1,year,0.7148781418800354,numerical,True
67,amazon_1,id,metacritic_3,_id,0.7136824727058411,numerical,True
68,metacritic_3,id,rotten_tomatoes_4,movie_ind,0.7135480642318726,numerical,True
69,roger_ebert_1,movie_name,tmdb_2,name,0.713447630405426,textual,True
70,metacritic_1,Actors,rotten_tomatoes_4,star,0.7131016850471497,textual,True
71,amazon_1,time,walmart_1,duration,0.7130705118179321,textual,True
72,metacritic_3,title,tmdb_3,title,0.7121349573135376,textual,True
73,imdb_1,ReleaseDate,rotten_tomatoes_1,Release Date,0.7110376954078674,textual,True
74,amazon_1,title,walmart_1,name,0.7079192399978638,textual,True
75,metacritic_1,Name,rotten_tomatoes_4,name,0.7074499726295471,textual,True
76,amazon_1,id,tmdb_3,_id,0.7065593600273132,numerical,True
77,metacritic_1,Name,metacritic_3,title,0.7042736411094666,textual,True
78,imdb_1,Id,rotten_tomatoes_1,Id,0.7037259936332703,textual,True
79,imdb_1,YearRange,tmdb_2,year,0.7025085091590881,textual,True
80,metacritic_3,_id,walmart_1,_id,0.7024874687194824,numerical,True
81,metacritic_1,Name,roger_ebert_1,movie_name,0.7021520733833313,textual,True
82,imdb_4,year,metacritic_3,release year,0.7015051245689392,numerical,True
