,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9963476657867432,textual,True
1,imdb_2,year,tmdb_1,year,0.9947515726089478,numerical,True
2,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9934061765670776,textual,True
3,amazon_1,id,rotten_tomatoes_3,id,0.9932949542999268,numerical,True
4,imdb_4,id,rotten_tomatoes_3,id,0.9932074546813964,numerical,True
5,metacritic_1,_id,rotten_tomatoes_4,_id,0.9931930303573608,numerical,True
6,amazon_1,id,imdb_4,id,0.9919174909591676,numerical,True
7,metacritic_2,_id,walmart_1,_id,0.991170048713684,numerical,True
8,metacritic_2,_id,tmdb_3,_id,0.9910255670547484,numerical,True
9,tmdb_3,_id,walmart_1,_id,0.9907143115997314,numerical,True
10,metacritic_3,_id,metacritic_4,_id,0.9905714988708496,numerical,True
11,tmdb_2,_id,walmart_1,_id,0.9894064664840698,numerical,True
12,metacritic_1,_id,tmdb_3,_id,0.9892370700836182,numerical,True
13,metacritic_3,id,tmdb_3,id,0.9891799688339232,numerical,True
14,metacritic_1,_id,metacritic_3,_id,0.9890094995498656,numerical,True
15,metacritic_3,_id,rotten_tomatoes_4,_id,0.9889512062072754,numerical,True
16,tmdb_2,_id,tmdb_4,_id,0.9887516498565674,numerical,True
17,metacritic_2,_id,tmdb_2,_id,0.988669753074646,numerical,True
18,tmdb_2,year,tmdb_4,year,0.9886552095413208,numerical,True
19,metacritic_1,_id,metacritic_2,_id,0.9879344701766968,numerical,True
20,imdb_2,ID,tmdb_1,ID,0.9878888130187988,numerical,True
21,metacritic_4,_id,rotten_tomatoes_4,_id,0.987828493118286,numerical,True
22,metacritic_3,_id,walmart_1,_id,0.9873194694519044,numerical,True
23,metacritic_2,_id,metacritic_3,_id,0.9870702028274536,numerical,True
24,metacritic_1,_id,walmart_1,_id,0.9870625734329224,numerical,True
25,metacritic_3,_id,tmdb_3,_id,0.9870491027832032,numerical,True
26,tmdb_2,_id,tmdb_3,_id,0.9868338108062744,numerical,True
27,rotten_tomatoes_4,_id,tmdb_3,_id,0.9868077039718628,numerical,True
28,metacritic_1,_id,metacritic_4,_id,0.986659288406372,numerical,True
