,table_a,column_a,table_b,column_b,similarity,type,correct
0,imdb_4,movie_rating,metacritic_2,movie_rating,0.99968159198761,numerical,True
1,imdb_3,Duration,metacritic_4,duration,0.999286949634552,textual,True
2,metacritic_4,duration,rotten_tomatoes_1,Duration,0.9991650581359864,textual,True
3,imdb_3,Duration,rotten_tomatoes_1,Duration,0.9990957379341124,textual,True
4,tmdb_3,year,tmdb_4,year,0.9988160729408264,numerical,True
5,rotten_tomatoes_1,Year,tmdb_4,year,0.9986557960510254,numerical,True
6,metacritic_1,Runtime,metacritic_3,runtime,0.9986310601234436,textual,True
7,rotten_tomatoes_1,Year,tmdb_2,year,0.9986116886138916,numerical,True
8,imdb_4,year,rotten_tomatoes_1,Year,0.998565137386322,numerical,True
9,metacritic_1,ID,metacritic_3,id,0.9985471367836,numerical,True
10,tmdb_2,year,tmdb_4,year,0.9985372424125672,numerical,True
11,rotten_tomatoes_1,Year,tmdb_3,year,0.9982179403305054,numerical,True
12,metacritic_3,_id,walmart_1,_id,0.9981672167778016,numerical,True
13,tmdb_2,year,tmdb_3,year,0.99814110994339,numerical,True
14,imdb_4,year,tmdb_2,year,0.997929573059082,numerical,True
15,imdb_2,ID,imdb_4,id,0.9979195594787598,numerical,True
16,metacritic_1,Year,tmdb_1,year,0.9978956580162048,numerical,True
17,imdb_2,year,tmdb_1,year,0.9978625178337096,numerical,True
18,metacritic_1,_id,metacritic_2,_id,0.9977880120277404,numerical,True
19,imdb_4,year,tmdb_4,year,0.9977428317070008,numerical,True
20,metacritic_2,_id,metacritic_3,_id,0.9976813793182372,numerical,True
21,metacritic_2,_id,walmart_1,_id,0.9976779818534852,numerical,True
22,metacritic_1,_id,metacritic_3,_id,0.9974734783172609,numerical,True
23,metacritic_1,_id,metacritic_4,_id,0.9973620772361756,numerical,True
24,metacritic_1,_id,rotten_tomatoes_4,_id,0.9972587823867798,numerical,True
25,amazon_1,year,tmdb_3,year,0.9972002506256104,numerical,True
26,metacritic_1,_id,walmart_1,_id,0.9971594214439392,numerical,True
27,roger_ebert_1,id,tmdb_3,id,0.9969849586486816,numerical,True
28,imdb_4,year,tmdb_3,year,0.9969347715377808,numerical,True
29,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.996922731399536,textual,True
30,metacritic_4,_id,tmdb_2,_id,0.9968107342720032,numerical,True
31,imdb_4,id,rotten_tomatoes_3,id,0.996626079082489,numerical,True
32,amazon_1,year,rotten_tomatoes_3,year,0.9966154098510742,numerical,True
33,metacritic_2,_id,rotten_tomatoes_4,_id,0.9966093301773072,numerical,True
34,metacritic_4,_id,tmdb_3,_id,0.996540069580078,numerical,True
35,metacritic_3,id,tmdb_3,id,0.9964002370834352,numerical,True
36,metacritic_4,_id,rotten_tomatoes_4,_id,0.9963244199752808,numerical,True
37,amazon_1,id,roger_ebert_1,id,0.9963229894638062,numerical,True
38,amazon_1,id,imdb_4,id,0.9962356686592102,numerical,True
39,metacritic_3,_id,metacritic_4,_id,0.9962090253829956,numerical,True
40,imdb_2,year,metacritic_1,Year,0.9961941242218018,numerical,True
41,amazon_1,year,imdb_4,year,0.9961788654327391,numerical,True
42,tmdb_2,_id,tmdb_3,_id,0.996151566505432,numerical,True
43,amazon_1,year,rotten_tomatoes_1,Year,0.9960800409317015,numerical,True
44,metacritic_1,_id,tmdb_2,_id,0.9960538148880004,numerical,True
45,imdb_2,ID,roger_ebert_1,id,0.9959971308708192,numerical,True
46,imdb_4,duration,metacritic_4,duration,0.9959810972213744,textual,True
47,amazon_1,year,tmdb_2,year,0.9959669709205629,numerical,True
48,imdb_4,id,roger_ebert_1,id,0.9959174990653992,numerical,True
49,metacritic_3,_id,rotten_tomatoes_4,_id,0.9958398342132568,numerical,True
50,imdb_2,ID,rotten_tomatoes_3,id,0.995812177658081,numerical,True
51,amazon_1,year,tmdb_4,year,0.995763659477234,numerical,True
52,amazon_1,id,rotten_tomatoes_3,id,0.9957231283187866,numerical,True
53,tmdb_3,_id,tmdb_4,_id,0.9955668449401855,numerical,True
54,metacritic_1,_id,tmdb_3,_id,0.9955517053604126,numerical,True
55,metacritic_2,_id,metacritic_4,_id,0.9954336881637572,numerical,True
56,metacritic_1,ID,tmdb_3,id,0.995392680168152,numerical,True
57,tmdb_2,_id,tmdb_4,_id,0.9953783750534058,numerical,True
58,imdb_1,Duration,rotten_tomatoes_2,Duration,0.9952808618545532,textual,True
59,metacritic_3,id,roger_ebert_1,id,0.9952530264854432,numerical,True
60,metacritic_4,_id,walmart_1,_id,0.9952076077461244,numerical,True
61,imdb_4,duration,rotten_tomatoes_1,Duration,0.9950262904167176,textual,True
62,metacritic_3,_id,tmdb_2,_id,0.9950063824653624,numerical,True
63,rotten_tomatoes_4,_id,walmart_1,_id,0.9949991703033448,numerical,True
64,tmdb_1,ID,tmdb_3,id,0.9949803352355956,numerical,True
65,roger_ebert_1,id,rotten_tomatoes_3,id,0.9949442744255066,numerical,True
66,rotten_tomatoes_4,_id,tmdb_2,_id,0.994819164276123,numerical,True
67,amazon_1,id,imdb_2,ID,0.9945281744003296,numerical,True
68,amazon_1,id,tmdb_3,id,0.9944825172424316,numerical,True
69,metacritic_2,_id,tmdb_3,_id,0.9944733381271362,numerical,True
70,metacritic_2,_id,tmdb_2,_id,0.994412899017334,numerical,True
71,imdb_3,Duration,imdb_4,duration,0.9944003224372864,textual,True
72,rotten_tomatoes_3,id,tmdb_3,id,0.9943599700927734,numerical,True
73,imdb_2,ID,tmdb_3,id,0.9943457841873168,numerical,True
74,imdb_2,ID,tmdb_1,ID,0.9942925572395324,numerical,True
75,metacritic_1,ID,roger_ebert_1,id,0.9942397475242616,numerical,True
76,rotten_tomatoes_3,year,tmdb_3,year,0.9941614866256714,numerical,True
77,metacritic_1,Year,roger_ebert_1,year,0.9940574169158936,numerical,True
78,metacritic_4,_id,tmdb_4,_id,0.9940020442008972,numerical,True
79,roger_ebert_1,id,tmdb_1,ID,0.9939889907836914,numerical,True
80,metacritic_3,_id,tmdb_3,_id,0.9939411878585817,numerical,True
81,tmdb_3,_id,walmart_1,_id,0.9937748908996582,numerical,True
82,amazon_1,id,metacritic_3,id,0.9934576749801636,numerical,True
83,imdb_4,id,tmdb_3,id,0.993406057357788,numerical,True
84,metacritic_1,Genre,roger_ebert_1,genre,0.9933143258094788,textual,True
85,rotten_tomatoes_4,_id,tmdb_3,_id,0.9931047558784484,numerical,True
86,rotten_tomatoes_3,year,tmdb_4,year,0.9929839372634888,numerical,True
87,rotten_tomatoes_1,Year,rotten_tomatoes_3,year,0.9926111698150636,numerical,True
88,tmdb_2,_id,walmart_1,_id,0.9924612641334534,numerical,True
89,rotten_tomatoes_3,year,tmdb_2,year,0.9922295212745668,numerical,True
90,metacritic_3,_id,tmdb_4,_id,0.9921446442604064,numerical,True
91,rotten_tomatoes_3,id,tmdb_1,ID,0.9920434951782228,numerical,True
92,metacritic_1,_id,tmdb_4,_id,0.9918882846832277,numerical,True
93,roger_ebert_1,year,tmdb_1,year,0.9916834235191344,numerical,True
94,imdb_3,Director,tmdb_2,director,0.9916812777519226,textual,True
95,imdb_3,Director,rotten_tomatoes_2,Director,0.9916621446609496,textual,True
96,imdb_4,year,rotten_tomatoes_3,year,0.9916396141052246,numerical,True
97,amazon_1,id,metacritic_1,ID,0.991543173789978,numerical,True
98,imdb_4,id,tmdb_1,ID,0.9915354251861572,numerical,True
99,metacritic_3,id,tmdb_1,ID,0.9915298819541932,numerical,True
100,imdb_2,writers,tmdb_3,writers,0.9915141463279724,textual,True
101,metacritic_1,ID,tmdb_1,ID,0.991293728351593,numerical,True
102,rotten_tomatoes_2,Director,tmdb_2,director,0.990993857383728,textual,True
103,metacritic_3,id,rotten_tomatoes_3,id,0.9909037947654724,numerical,True
104,amazon_1,id,tmdb_1,ID,0.9906824231147766,numerical,True
105,imdb_2,director,imdb_3,Director,0.9903594255447388,textual,True
106,roger_ebert_1,genre,rotten_tomatoes_1,Genre,0.9903026819229126,textual,True
107,tmdb_4,_id,walmart_1,_id,0.990292191505432,numerical,True
108,imdb_2,ID,metacritic_3,id,0.9902536273002625,numerical,True
109,metacritic_2,_id,tmdb_4,_id,0.990126609802246,numerical,True
110,imdb_4,id,metacritic_3,id,0.989892601966858,numerical,True
111,metacritic_1,ID,rotten_tomatoes_3,id,0.9891586899757384,numerical,True
112,imdb_2,year,roger_ebert_1,year,0.989043116569519,numerical,True
113,rotten_tomatoes_4,_id,tmdb_4,_id,0.9886394739151,numerical,True
114,imdb_2,ID,metacritic_1,ID,0.9883745908737184,numerical,True
115,amazon_1,director,imdb_3,Director,0.9874938726425172,textual,True
116,imdb_4,id,metacritic_1,ID,0.9874666929244996,numerical,True
117,imdb_1,Director,imdb_3,Director,0.987346053123474,textual,True
118,amazon_1,director,imdb_2,director,0.9872584939002992,textual,True
119,amazon_1,director,imdb_1,Director,0.9867222309112548,textual,True
120,imdb_1,Director,rotten_tomatoes_2,Director,0.9863274097442628,textual,True
121,imdb_3,ID,rotten_tomatoes_2,ID,0.9862468242645264,mixed,True
122,amazon_1,director,rotten_tomatoes_2,Director,0.9862164258956908,textual,True
123,rotten_tomatoes_2,Director,rotten_tomatoes_4,director,0.9861952066421508,textual,True
124,imdb_2,director,rotten_tomatoes_2,Director,0.9861673712730408,textual,True
125,imdb_3,Genre,roger_ebert_1,genre,0.9859309196472168,textual,True
126,imdb_3,Director,rotten_tomatoes_4,director,0.9859278798103333,textual,True
127,imdb_3,Rating,rotten_tomatoes_2,Rating,0.985845386981964,textual,True
128,imdb_2,director,metacritic_1,Director,0.9857851266860962,textual,True
129,imdb_4,directors,tmdb_3,directors,0.9856683015823364,textual,True
130,amazon_1,director,metacritic_3,director,0.9856220483779908,textual,True
131,rotten_tomatoes_4,director,tmdb_2,director,0.9853461980819702,textual,True
132,imdb_2,director,tmdb_2,director,0.9844827055931092,textual,True
133,amazon_1,director,rotten_tomatoes_1,Director,0.9844024181365968,textual,True
134,imdb_3,Creators,rotten_tomatoes_2,Creators,0.9841594696044922,textual,True
135,imdb_1,Director,rotten_tomatoes_4,director,0.9840806722640992,textual,True
136,imdb_3,Director,metacritic_1,Director,0.9840156435966492,textual,True
137,rotten_tomatoes_1,Language,tmdb_3,language,0.9836310148239136,textual,True
138,metacritic_1,Genre,rotten_tomatoes_1,Genre,0.9835619330406188,textual,True
139,imdb_1,Director,imdb_2,director,0.983514130115509,textual,True
140,imdb_1,Director,tmdb_2,director,0.9834395051002502,textual,True
141,metacritic_4,director,rotten_tomatoes_3,director,0.9833276271820068,textual,True
142,rotten_tomatoes_1,Director,rotten_tomatoes_2,Director,0.9831699132919312,textual,True
143,rotten_tomatoes_3,director,rotten_tomatoes_4,director,0.9825322031974792,textual,True
144,imdb_1,Director,rotten_tomatoes_3,director,0.9823899269104004,textual,True
145,imdb_1,Genre,rotten_tomatoes_2,Genre,0.9817290902137756,textual,True
146,amazon_1,director,metacritic_1,Director,0.9816938638687134,textual,True
147,imdb_2,director,rotten_tomatoes_4,director,0.9816462993621826,textual,True
148,imdb_1,RatingValue,rotten_tomatoes_1,RatingValue,0.9815032482147216,textual,True
149,imdb_2,ID,tmdb_3,_id,0.9814669489860536,numerical,True
150,amazon_1,director,tmdb_2,director,0.981102705001831,textual,True
151,imdb_2,director,rotten_tomatoes_1,Director,0.980884313583374,textual,True
152,metacritic_1,Director,rotten_tomatoes_1,Director,0.9808188676834106,textual,True
153,roger_ebert_1,directors,walmart_1,directors,0.9807703495025636,textual,True
154,rotten_tomatoes_3,id,tmdb_4,_id,0.9807543754577636,numerical,True
155,imdb_3,Genre,metacritic_1,Genre,0.9807404279708862,textual,True
156,amazon_1,id,tmdb_3,_id,0.9805485606193542,numerical,True
157,rotten_tomatoes_3,id,tmdb_3,_id,0.9804692268371582,numerical,True
158,rotten_tomatoes_1,Director,tmdb_2,director,0.9804679155349731,textual,True
159,roger_ebert_1,id,tmdb_3,_id,0.9804673790931702,numerical,True
160,rotten_tomatoes_2,Title,tmdb_3,title,0.980292558670044,textual,True
161,imdb_3,Genre,rotten_tomatoes_1,Genre,0.980193257331848,textual,True
162,imdb_4,id,tmdb_3,_id,0.980100154876709,numerical,True
163,metacritic_2,_id,metacritic_3,id,0.9799612164497375,numerical,True
164,metacritic_1,Director,tmdb_2,director,0.9798967838287354,textual,True
165,roger_ebert_1,year,rotten_tomatoes_3,year,0.9798396825790404,numerical,True
166,imdb_3,Director,metacritic_3,director,0.979824423789978,textual,True
167,rotten_tomatoes_2,Director,rotten_tomatoes_3,director,0.979772686958313,textual,True
168,imdb_3,Director,rotten_tomatoes_1,Director,0.9797650575637816,textual,True
169,imdb_4,id,tmdb_4,_id,0.9797523617744446,numerical,True
