,table_a,column_a,table_b,column_b,similarity,correct
0,imdb_3,ContentRating,rotten_tomatoes_2,ContentRating,0.9492076,True
1,tmdb_2,year,tmdb_4,year,0.9163021,True
2,imdb_3,Duration,imdb_4,duration,0.90394413,True
3,tmdb_3,year,tmdb_4,year,0.90366614,True
4,imdb_3,Genre,rotten_tomatoes_2,Genre,0.89780486,True
5,imdb_2,year,tmdb_1,year,0.89578295,True
6,metacritic_1,Runtime,metacritic_3,runtime,0.89324105,True
7,imdb_3,Rating,rotten_tomatoes_2,Rating,0.8917311,True
8,imdb_4,year,tmdb_4,year,0.8860346,True
9,tmdb_3,genres,tmdb_4,genres,0.8849311,True
10,imdb_4,genre,roger_ebert_1,genre,0.8847307,True
11,imdb_3,Genre,imdb_4,genre,0.883891,True
12,imdb_2,year,metacritic_1,Year,0.88186246,True
13,tmdb_2,year,tmdb_3,year,0.8792391,True
14,tmdb_2,genres,tmdb_4,genres,0.8791916,True
15,metacritic_3,genres,tmdb_3,genres,0.87554646,True
16,imdb_4,duration,roger_ebert_1,duration,0.87320346,True
17,tmdb_2,genres,tmdb_3,genres,0.8714442,True
18,imdb_4,year,tmdb_2,year,0.86766165,True
19,rotten_tomatoes_2,Genre,rotten_tomatoes_4,genre,0.8643077,True
20,metacritic_1,Genre,roger_ebert_1,genre,0.86043805,True
21,imdb_4,duration,metacritic_4,duration,0.86011106,True
22,metacritic_3,runtime,tmdb_3,runtime,0.85997236,True
23,imdb_3,Genre,roger_ebert_1,genre,0.8567775,True
24,imdb_3,Genre,metacritic_1,Genre,0.85412776,True
25,imdb_4,duration,rotten_tomatoes_1,Duration,0.8533306,True
26,imdb_4,year,tmdb_3,year,0.8496644,True
27,imdb_4,year,rotten_tomatoes_1,Year,0.84946316,True
28,metacritic_1,Runtime,tmdb_3,runtime,0.84781045,True
29,imdb_4,genre,walmart_1,genre,0.8460245,True
30,imdb_2,year,roger_ebert_1,year,0.8446169,True
31,imdb_3,Duration,metacritic_4,duration,0.8436597,True
32,metacritic_1,Year,roger_ebert_1,year,0.8430542,True
33,roger_ebert_1,genre,rotten_tomatoes_1,Genre,0.8420161,True
34,amazon_1,year,tmdb_3,year,0.8404625,True
35,imdb_4,genre,metacritic_1,Genre,0.84021074,True
36,amazon_1,year,tmdb_2,year,0.83957684,True
37,metacritic_1,Genre,walmart_1,genre,0.8395074,True
38,imdb_3,Director,rotten_tomatoes_2,Director,0.8381952,True
39,amazon_1,year,tmdb_4,year,0.83780813,True
40,amazon_1,year,imdb_4,year,0.83693427,True
41,metacritic_1,Year,tmdb_1,year,0.8367125,True
42,roger_ebert_1,genre,walmart_1,genre,0.8353546,True
43,metacritic_4,duration,rotten_tomatoes_1,Duration,0.834264,True
44,rotten_tomatoes_1,Year,tmdb_2,year,0.8334675,True
45,roger_ebert_1,year,tmdb_1,year,0.83296144,True
46,roger_ebert_1,genre,rotten_tomatoes_2,Genre,0.83132917,True
47,imdb_3,Genre,walmart_1,genre,0.83034456,True
48,imdb_4,genre,rotten_tomatoes_1,Genre,0.8301045,True
49,imdb_3,Creators,rotten_tomatoes_2,Creators,0.8284109,True
50,metacritic_3,genres,tmdb_2,genres,0.82824296,True
51,imdb_1,Genre,imdb_4,genre,0.82388306,True
52,imdb_3,Duration,roger_ebert_1,duration,0.82363904,True
53,imdb_1,Genre,roger_ebert_1,genre,0.82146204,True
54,imdb_4,movie_rating,metacritic_2,movie_rating,0.82084626,True
55,metacritic_1,Genre,rotten_tomatoes_4,genre,0.8200345,True
56,imdb_1,Genre,rotten_tomatoes_4,genre,0.8194412,True
57,imdb_1,Genre,walmart_1,genre,0.8177453,True
58,imdb_1,Genre,metacritic_1,Genre,0.8173501,True
59,metacritic_1,Genre,metacritic_4,genre,0.81390417,True
60,rotten_tomatoes_4,runtime,tmdb_3,runtime,0.810147,True
61,imdb_3,Cast,rotten_tomatoes_2,Cast,0.8084606,True
62,rotten_tomatoes_4,year,tmdb_4,year,0.8073782,True
63,imdb_3,Title,rotten_tomatoes_2,Title,0.80735636,True
64,metacritic_1,_id,metacritic_4,_id,0.80552685,True
65,metacritic_1,Genre,rotten_tomatoes_2,Genre,0.804958,True
