,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_1,RATING,yelp_2,rating,0.9061097502708436,numerical,True
1,zomato_1,RATING,zomato_2,rating,0.8512942790985107,numerical,True
2,yelp_2,name,zomato_2,name,0.8372584581375122,textual,True
3,yelp_4,name,zomato_2,name,0.8184243440628052,textual,True
4,yelp_5,Name,zomato_3,Name,0.8109534382820129,textual,True
5,yelp_5,Address,zomato_2,address,0.8088211417198181,textual,True
6,yelp_2,name,yelp_4,name,0.8039385676383972,textual,True
7,yelp_2,name,yelp_5,Name,0.8027471899986267,textual,True
8,zomato_2,name,zomato_3,Name,0.7997035980224609,textual,True
9,yelp_2,name,zomato_3,Name,0.7987184524536133,textual,True
10,fodors_1,city,zagats_1,city,0.7969751358032227,textual,True
11,yelp_5,_id,zomato_3,_id,0.7945574522018433,numerical,True
12,yelp_2,rating,zomato_2,rating,0.7942295074462891,numerical,True
13,zomato_1,NAME,zomato_3,Name,0.7896420359611511,textual,True
14,yelp_4,name,zomato_3,Name,0.7823783159255981,textual,True
15,zomato_1,NAME,zomato_2,name,0.7820519804954529,textual,True
16,yelp_2,zip,zomato_2,zip,0.7814850211143494,numerical,True
17,yelp_2,phone,zomato_2,phone,0.7751332521438599,mixed,True
18,yelp_1,RATING,zomato_2,rating,0.7731503248214722,numerical,True
19,yelp_1,PHONENUMBER,yelp_2,phone,0.7716335654258728,mixed,True
20,fodors_1,phone,zagats_1,phone,0.7695859670639038,mixed,True
21,yelp_4,name,zomato_1,NAME,0.768207311630249,textual,True
22,yelp_1,ADDRESS,zomato_1,ADDRESS,0.768002986907959,textual,True
23,yelp_2,name,zomato_1,NAME,0.7676634192466736,textual,True
24,yelp_4,name,yelp_5,Name,0.7659265398979187,textual,True
25,fodors_1,name,zagats_1,name,0.7624683380126953,textual,True
26,yelp_1,NAME,yelp_2,name,0.7557739615440369,textual,True
27,yelp_5,Cuisine,zomato_2,cuisine,0.7546066641807556,textual,True
28,yelp_5,Name,zomato_2,name,0.7531657814979553,textual,True
29,yelp_2,ID,zomato_3,_id,0.7526833415031433,numerical,True
30,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.7521235942840576,textual,True
31,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.7521085739135742,mixed,True
32,yellow_pages_2,name,yelp_2,name,0.7520583271980286,textual,True
33,yelp_1,RATING,zomato_1,RATING,0.7465801239013672,numerical,True
34,fodors_1,addr,zagats_1,addr,0.7462083101272583,textual,True
35,yellow_pages_2,name,yelp_5,Name,0.7423495650291443,textual,True
36,yellow_pages_1,name,zomato_3,Name,0.7419905066490173,textual,True
37,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.7387776374816895,mixed,True
38,yelp_4,id,zomato_3,_id,0.7372274994850159,numerical,True
39,yelp_2,rating,zomato_1,RATING,0.7366223931312561,numerical,True
40,yelp_2,rating,yelp_3,ratingValue,0.7339282035827637,numerical,True
41,yelp_2,address,zomato_3,Address,0.7331282496452332,textual,True
42,yelp_2,address,zomato_2,address,0.7317565083503723,textual,True
43,zomato_2,address,zomato_3,Address,0.7308521270751953,textual,True
44,yelp_5,Address,zomato_3,Address,0.7273024916648865,textual,True
45,yellow_pages_1,id,yelp_3,id,0.7260763645172119,numerical,True
46,yelp_1,PHONENUMBER,zomato_2,phone,0.7240296602249146,mixed,True
47,yelp_1,NAME,yelp_4,name,0.7178038954734802,textual,True
48,yelp_1,NAME,zomato_1,NAME,0.7166358232498169,textual,True
49,yelp_2,cuisine,yelp_5,Cuisine,0.7148433327674866,textual,True
50,yelp_1,NAME,zomato_3,Name,0.7133944034576416,textual,True
51,yelp_2,ID,yelp_5,_id,0.7117743492126465,numerical,True
52,yellow_pages_2,name,yelp_4,name,0.7112784385681152,textual,True
