,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_1,RATING,yelp_2,rating,0.9999394416809082,numerical,True
1,zomato_1,RATING,zomato_2,rating,0.9986615180969238,numerical,True
2,yellow_pages_2,zipcode,yelp_4,zipcode,0.9979011416435242,numerical,True
3,yellow_pages_1,priceRange,yelp_3,priceRange,0.997752845287323,textual,True
4,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9975717663764954,mixed,True
5,yelp_2,zip,zomato_2,zip,0.997443437576294,numerical,True
6,yellow_pages_1,city,yelp_3,city,0.9973735213279724,textual,True
7,yellow_pages_1,state,yelp_3,state,0.996860921382904,textual,True
8,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.996484100818634,numerical,True
9,yelp_4,id,zomato_2,ID,0.9960705041885376,numerical,True
10,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.9958630204200744,mixed,True
11,yelp_2,ID,yelp_3,id,0.9956086277961732,numerical,True
12,yelp_5,_id,zomato_3,_id,0.9954296350479126,numerical,True
13,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9950597286224364,numerical,True
14,yellow_pages_2,id,zomato_2,ID,0.994693160057068,numerical,True
15,yelp_2,votes,zomato_2,votes,0.9932605028152466,numerical,True
16,yellow_pages_2,id,yelp_3,id,0.9929888248443604,numerical,True
17,yellow_pages_1,id,yelp_4,id,0.992281436920166,numerical,True
18,yellow_pages_1,id,zomato_2,ID,0.9920386075973512,numerical,True
19,yellow_pages_2,id,yelp_4,id,0.991997003555298,numerical,True
20,yelp_3,id,zomato_2,ID,0.9918979406356812,numerical,True
21,yelp_2,phone,zomato_2,phone,0.9918588399887084,mixed,True
22,yellow_pages_2,id,yelp_2,ID,0.9918035864830016,numerical,True
23,yellow_pages_2,zipcode,yelp_3,zipCode,0.9915895462036132,numerical,True
24,yelp_2,ID,yelp_4,id,0.9914520978927612,numerical,True
25,yelp_2,ID,zomato_2,ID,0.9905109405517578,numerical,True
26,yelp_3,zipCode,yelp_4,zipcode,0.990029275417328,numerical,True
27,yellow_pages_1,id,yellow_pages_2,id,0.989981472492218,numerical,True
28,yelp_3,id,yelp_4,id,0.989797830581665,numerical,True
29,yelp_2,rating,zomato_2,rating,0.989199995994568,numerical,True
30,yelp_1,RATING,zomato_2,rating,0.9889978170394896,numerical,True
