,table_a,column_a,table_b,column_b,similarity,type,correct
0,fodors_1,city,zagats_1,city,0.9093196392059326,textual,True
1,yelp_5,Name,zomato_3,Name,0.8963571190834045,textual,True
2,fodors_1,phone,zagats_1,phone,0.8858858346939087,mixed,True
3,yelp_4,name,zomato_3,Name,0.8799358606338501,textual,True
4,fodors_1,id,zagats_1,id,0.8771042823791504,numerical,True
5,fodors_1,class,zagats_1,class,0.8760615587234497,numerical,True
6,yelp_5,_id,zomato_3,_id,0.8668362498283386,numerical,True
7,yellow_pages_2,address,yelp_4,address,0.8642107248306274,textual,True
8,yellow_pages_2,zipcode,yelp_4,zipcode,0.8611727356910706,numerical,True
9,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.8610476851463318,mixed,True
10,fodors_1,type,zagats_1,type,0.8560130000114441,textual,True
11,yelp_4,name,yelp_5,Name,0.8529323935508728,textual,True
12,yelp_1,PHONENUMBER,yelp_2,phone,0.8497900366783142,mixed,True
13,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.8411331176757812,numerical,True
14,yelp_2,zip,zomato_2,zip,0.8392208218574524,numerical,True
15,fodors_1,name,zagats_1,name,0.8317452073097229,textual,True
16,yellow_pages_1,state,yelp_3,state,0.8303694725036621,textual,True
17,yelp_2,name,zomato_2,name,0.8251259326934814,textual,True
18,yelp_2,ID,zomato_3,_id,0.824836254119873,numerical,True
19,yelp_2,ID,zomato_2,ID,0.8232006430625916,numerical,True
20,yelp_1,ADDRESS,zomato_1,ADDRESS,0.8226878643035889,textual,True
21,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.8187435865402222,mixed,True
22,zomato_2,name,zomato_3,Name,0.8155063986778259,textual,True
23,yelp_5,Name,zomato_2,name,0.8139348030090332,textual,True
24,yellow_pages_2,id,yelp_4,id,0.8130083084106445,numerical,True
25,yelp_2,ID,yelp_4,id,0.8118060231208801,numerical,True
26,yelp_2,name,yelp_4,name,0.8045101165771484,textual,True
27,yelp_2,cuisine,zomato_2,cuisine,0.7993654608726501,textual,True
28,zomato_2,ID,zomato_3,_id,0.7977426052093506,numerical,True
29,yellow_pages_2,name,zomato_2,name,0.7971410155296326,textual,True
30,yelp_2,name,yelp_5,Name,0.7944700717926025,textual,True
31,yelp_1,ID,yelp_4,id,0.7932447195053101,numerical,True
32,fodors_1,addr,zagats_1,addr,0.7923237085342407,textual,True
33,yellow_pages_1,city,yelp_3,city,0.7919137477874756,textual,True
34,yelp_1,PHONENUMBER,zomato_2,phone,0.7914276719093323,mixed,True
35,yelp_1,ID,zomato_1,ID,0.7870362997055054,numerical,True
36,yelp_2,name,zomato_3,Name,0.786957323551178,textual,True
37,yellow_pages_2,name,yelp_4,name,0.7841413617134094,textual,True
38,yelp_4,id,zomato_3,_id,0.7823948264122009,numerical,True
39,zomato_1,PHONENUMBER,zomato_2,phone,0.7800151705741882,mixed,True
40,yelp_5,_id,zomato_2,ID,0.7799801826477051,numerical,True
41,yellow_pages_2,name,yelp_5,Name,0.7794923782348633,textual,True
42,yelp_1,ID,yelp_2,ID,0.7752205729484558,numerical,True
43,yelp_2,ID,yelp_5,_id,0.7750415205955505,numerical,True
44,yellow_pages_2,phone,yelp_4,phone,0.7740796208381653,mixed,True
45,yelp_2,votes,zomato_2,votes,0.7715846300125122,numerical,True
46,yellow_pages_1,name,yelp_3,name,0.7669457197189331,textual,True
47,yelp_5,Address,zomato_3,Address,0.7635855674743652,textual,True
48,yellow_pages_2,name,yelp_2,name,0.7614380121231079,textual,True
49,yelp_4,name,zomato_2,name,0.7605910301208496,textual,True
50,yelp_2,phone,zomato_1,PHONENUMBER,0.7603470087051392,mixed,True
51,yelp_2,phone,zomato_2,phone,0.759335994720459,mixed,True
52,yelp_2,rating,zomato_2,rating,0.7588963508605957,numerical,True
53,yelp_1,NAME,zomato_1,NAME,0.7563856840133667,textual,True
54,yelp_4,id,yelp_5,_id,0.753171443939209,numerical,True
55,yelp_1,RATING,zomato_1,RATING,0.7481340765953064,numerical,True
56,yellow_pages_2,id,yelp_5,_id,0.7479130625724792,numerical,True
57,yelp_1,ID,zomato_3,_id,0.7470901608467102,numerical,True
58,yelp_2,address,zomato_2,address,0.7441418170928955,textual,True
59,yelp_1,ID,zomato_2,ID,0.7434882521629333,numerical,True
60,yellow_pages_2,id,yelp_2,ID,0.7429269552230835,numerical,True
61,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.7390251159667969,textual,True
62,yelp_2,address,zomato_3,Address,0.7377543449401855,textual,True
63,yellow_pages_2,name,zomato_3,Name,0.7310305237770081,textual,True
64,yelp_4,id,zomato_1,ID,0.720532238483429,numerical,True
65,yellow_pages_2,city,yelp_4,city,0.7202171087265015,textual,True
66,yellow_pages_2,id,zomato_3,_id,0.7153100967407227,numerical,True
67,yelp_4,id,zomato_2,ID,0.7144008278846741,numerical,True
68,yellow_pages_1,id,yelp_4,id,0.7056839466094971,numerical,True
69,yellow_pages_2,state,yelp_4,state,0.7051355838775635,textual,True
70,yellow_pages_2,id,zomato_2,ID,0.7017751336097717,numerical,True
71,yellow_pages_1,zipCode,yelp_3,zipCode,0.6980947852134705,numerical,True
72,zomato_1,ID,zomato_3,_id,0.6955226063728333,numerical,True
73,yelp_1,ID,yelp_5,_id,0.6937317252159119,numerical,True
74,yellow_pages_1,id,yelp_3,id,0.6930879950523376,numerical,True
75,yellow_pages_1,id,yelp_2,ID,0.6929669380187988,numerical,True
76,yelp_2,address,yelp_5,Address,0.6918140649795532,textual,True
77,yelp_5,Address,zomato_2,address,0.6911780834197998,textual,True
78,yelp_2,ID,zomato_1,ID,0.6887050867080688,numerical,True
79,yellow_pages_1,id,yellow_pages_2,id,0.6864725947380066,numerical,True
80,yelp_3,id,zomato_2,ID,0.685702919960022,numerical,True
81,yellow_pages_1,id,zomato_2,ID,0.6839799880981445,numerical,True
82,yellow_pages_2,id,yelp_3,id,0.6754383444786072,numerical,True
83,yellow_pages_1,id,yelp_5,_id,0.6720967888832092,numerical,True
84,yellow_pages_1,id,yelp_1,ID,0.6676685214042664,numerical,True
85,yelp_1,NAME,zomato_2,name,0.6667308807373047,textual,True
86,yelp_4,id,zagats_1,id,0.663253903388977,numerical,True
87,yellow_pages_2,id,yelp_1,ID,0.6614338159561157,numerical,True
88,zomato_1,ID,zomato_2,ID,0.661416232585907,numerical,True
89,yellow_pages_2,address,yelp_5,PhoneNumber,0.6480573415756226,textual,False
90,yellow_pages_2,zipcode,yelp_3,zipCode,0.6460243463516235,numerical,True
91,yelp_4,address,zagats_1,addr,0.6458841562271118,textual,True
92,zomato_2,address,zomato_3,Address,0.6422213315963745,textual,True
93,yellow_pages_2,id,zagats_1,id,0.6417076587677002,numerical,True
94,yellow_pages_1,id,zomato_1,ID,0.6393914818763733,numerical,True
95,yelp_5,Cuisine,zomato_3,Cuisine,0.6366432905197144,textual,True
96,zagats_1,id,zomato_3,_id,0.6326625347137451,numerical,True
97,zagats_1,id,zomato_2,ID,0.6322215795516968,numerical,True
98,fodors_1,id,yelp_4,id,0.6301663517951965,numerical,True
99,yellow_pages_1,aka,yelp_2,cuisine,0.6290775537490845,textual,False
100,yellow_pages_1,id,zomato_3,_id,0.6252842545509338,numerical,True
