,table_a,column_a,table_b,column_b,similarity,type,correct
0,zomato_1,RATING,zomato_2,rating,0.9996427297592164,numerical,True
1,yelp_1,RATING,yelp_2,rating,0.9996024966239928,numerical,True
2,yellow_pages_1,state,yelp_3,state,0.9984139800071716,textual,True
3,yelp_2,zip,zomato_2,zip,0.997215747833252,numerical,True
4,yelp_2,votes,zomato_2,votes,0.9972087144851683,numerical,True
5,yellow_pages_2,zipcode,yelp_4,zipcode,0.996421992778778,numerical,True
6,yelp_3,id,zomato_2,ID,0.9960443377494812,numerical,True
7,yelp_3,id,yelp_4,id,0.9958223104476928,numerical,True
8,yelp_4,id,zomato_2,ID,0.9954057931900024,numerical,True
9,yelp_5,_id,zomato_3,_id,0.994795560836792,numerical,True
10,yellow_pages_1,id,yellow_pages_2,id,0.9946553111076356,numerical,True
11,yelp_5,Cuisine,zomato_2,cuisine,0.994282364845276,textual,True
12,yelp_2,ID,zomato_2,ID,0.9942320585250854,numerical,True
13,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.993938684463501,numerical,True
14,yellow_pages_2,id,yelp_3,id,0.9935192465782166,numerical,True
15,yelp_3,zipCode,yelp_4,zipcode,0.992913007736206,numerical,True
16,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.9926097393035888,mixed,True
17,yellow_pages_2,id,yelp_4,id,0.9923750162124634,numerical,True
18,yellow_pages_2,id,zomato_2,ID,0.9922710657119752,numerical,True
19,yellow_pages_1,phone,yelp_2,phone,0.9919810891151428,mixed,True
20,yellow_pages_1,id,zomato_2,ID,0.9907519221305848,numerical,True
21,yelp_2,ID,yelp_4,id,0.9906651377677916,numerical,True
22,yellow_pages_2,zipcode,yelp_3,zipCode,0.9905399680137634,numerical,True
23,yelp_2,ID,yelp_3,id,0.990505576133728,numerical,True
24,yellow_pages_1,id,yelp_3,id,0.989632248878479,numerical,True
25,yellow_pages_1,id,yelp_4,id,0.9889261722564696,numerical,True
26,yellow_pages_1,id,yelp_2,ID,0.98763108253479,numerical,True
27,yellow_pages_2,state,yelp_4,state,0.9866188168525696,textual,True
28,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9865596294403076,mixed,True
29,yellow_pages_2,id,yelp_2,ID,0.9857059717178344,numerical,True
30,yellow_pages_2,phone,yelp_2,phone,0.9855065941810608,mixed,True
31,yelp_1,RATING,zomato_2,rating,0.9846816062927246,numerical,True
32,yelp_2,phone,zomato_2,phone,0.9846217036247252,mixed,True
33,yelp_1,RATING,zomato_1,RATING,0.9843727350234984,numerical,True
34,yelp_2,rating,zomato_2,rating,0.9838064312934875,numerical,True
35,yellow_pages_1,phone,yellow_pages_2,phone,0.9836412668228148,mixed,True
36,yelp_2,rating,zomato_1,RATING,0.983532965183258,numerical,True
37,yelp_3,id,yelp_5,_id,0.9817166924476624,numerical,True
38,fodors_1,class,zagats_1,class,0.9806473255157472,numerical,True
39,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9804967641830444,numerical,True
40,yelp_5,_id,zomato_2,ID,0.9802366495132446,numerical,True
41,yelp_2,ID,zomato_3,_id,0.9794596433639526,numerical,True
42,yelp_4,id,yelp_5,_id,0.9779998064041138,numerical,True
43,zomato_2,ID,zomato_3,_id,0.9777153134346008,numerical,True
44,yelp_3,id,zomato_3,_id,0.977657437324524,numerical,True
45,yelp_2,ID,yelp_5,_id,0.9776186347007751,numerical,True
46,yellow_pages_1,phone,zomato_2,phone,0.9776149988174438,mixed,True
47,yelp_4,id,zomato_3,_id,0.9773844480514526,numerical,True
48,yelp_2,rating,yelp_3,ratingValue,0.975701868534088,numerical,True
49,yelp_1,RATING,yelp_3,ratingValue,0.975395679473877,numerical,True
50,yellow_pages_2,id,yelp_5,_id,0.9753770232200624,numerical,True
51,yellow_pages_2,phone,zomato_2,phone,0.974705457687378,mixed,True
52,yelp_1,ID,zomato_1,ID,0.9746549725532532,numerical,True
