,table_a,column_a,table_b,column_b,similarity,type,correct
0,fodors_1,type,zagats_1,type,0.8751395344734192,textual,True
1,fodors_1,id,zagats_1,id,0.851839542388916,numerical,True
2,fodors_1,phone,zagats_1,phone,0.841683030128479,mixed,True
3,fodors_1,city,zagats_1,city,0.8309688568115234,textual,True
4,yelp_5,Name,zomato_3,Name,0.8219872117042542,textual,True
5,yellow_pages_1,state,yelp_3,state,0.8137896060943604,textual,True
6,yellow_pages_1,city,yelp_3,city,0.8113952279090881,textual,True
7,yellow_pages_2,zipcode,yelp_4,zipcode,0.8105289936065674,numerical,True
8,fodors_1,class,zagats_1,class,0.8063867688179016,numerical,True
9,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.8041160702705383,textual,True
10,fodors_1,addr,zagats_1,addr,0.800087571144104,textual,True
11,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.7952396869659424,mixed,True
12,yellow_pages_2,name,zomato_2,name,0.7837819457054138,textual,True
13,yellow_pages_1,name,zomato_2,name,0.7827795743942261,textual,True
14,yelp_2,name,zomato_2,name,0.7822927832603455,textual,True
15,yellow_pages_1,name,yelp_3,name,0.782058835029602,textual,True
16,yelp_2,ID,zomato_3,_id,0.7818363904953003,numerical,True
17,zomato_2,name,zomato_3,Name,0.7776339054107666,textual,True
18,yelp_5,_id,zomato_3,_id,0.7772271633148193,numerical,True
19,yelp_1,RATING,zomato_1,RATING,0.7761761546134949,numerical,True
20,yelp_4,name,zomato_3,Name,0.7751871943473816,textual,True
21,yellow_pages_1,id,yelp_3,id,0.7721740007400513,numerical,True
22,yelp_1,NAME,zomato_1,NAME,0.7710945010185242,textual,True
23,yellow_pages_2,name,yelp_5,Name,0.7694367170333862,textual,True
24,yelp_2,name,yelp_5,Name,0.7643656730651855,textual,True
25,yelp_1,ID,zomato_2,ID,0.7633715867996216,numerical,True
26,yelp_1,ID,yelp_4,id,0.759537935256958,numerical,True
27,yellow_pages_2,name,yelp_2,name,0.7582135796546936,textual,True
28,yelp_1,ADDRESS,zomato_1,ADDRESS,0.7579094767570496,textual,True
29,yelp_2,votes,zomato_2,votes,0.755469560623169,numerical,True
30,yellow_pages_2,id,zomato_3,_id,0.7515580654144287,numerical,True
31,yelp_5,Name,zomato_2,name,0.7510117292404175,textual,True
32,yelp_2,zip,zomato_2,zip,0.7505778074264526,numerical,True
33,yellow_pages_2,address,yelp_4,address,0.7495009899139404,textual,True
34,yelp_2,phone,zomato_2,phone,0.74897700548172,mixed,True
35,yellow_pages_2,name,yelp_4,name,0.7486066818237305,textual,True
36,yellow_pages_1,zipCode,yelp_3,zipCode,0.7485248446464539,numerical,True
37,yelp_1,PHONENUMBER,zomato_2,phone,0.7477577924728394,mixed,True
38,yellow_pages_2,name,zomato_3,Name,0.7473135590553284,textual,True
39,yellow_pages_1,id,yellow_pages_2,id,0.7471900582313538,numerical,True
40,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.7452527284622192,numerical,True
41,yellow_pages_2,id,yelp_5,_id,0.7428738474845886,numerical,True
42,yellow_pages_1,name,yelp_2,name,0.7400811910629272,textual,True
43,yellow_pages_1,id,zomato_2,ID,0.7343030571937561,numerical,True
44,yelp_1,ID,zomato_3,_id,0.7339828014373779,numerical,True
45,yellow_pages_2,id,yelp_2,ID,0.7321571111679077,numerical,True
46,fodors_1,name,zagats_1,name,0.730344831943512,textual,True
47,yelp_4,name,yelp_5,Name,0.727785050868988,textual,True
48,zomato_2,ID,zomato_3,_id,0.7244936227798462,numerical,True
49,yelp_1,PHONENUMBER,yelp_2,phone,0.7239909768104553,mixed,True
50,yelp_2,ID,zomato_2,ID,0.7225970029830933,numerical,True
51,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.7218480706214905,mixed,True
52,yelp_2,name,zomato_3,Name,0.7189041972160339,textual,True
53,yelp_2,name,yelp_3,name,0.7166162133216858,textual,True
54,yellow_pages_1,name,yellow_pages_2,name,0.7164077162742615,textual,True
55,yelp_2,address,zomato_2,address,0.7159098982810974,textual,True
56,yelp_2,rating,zomato_2,rating,0.714751660823822,numerical,True
57,yellow_pages_1,id,zomato_3,_id,0.7115992307662964,numerical,True
58,yellow_pages_1,id,yelp_5,_id,0.7105765342712402,numerical,True
59,yelp_2,cuisine,zomato_2,cuisine,0.7096415758132935,textual,True
60,yelp_1,ID,zomato_1,ID,0.7091205716133118,numerical,True
61,yelp_5,Address,zomato_3,Address,0.7082549333572388,textual,True
62,yellow_pages_2,name,zomato_1,NAME,0.7075130343437195,textual,True
63,yellow_pages_2,id,yelp_4,id,0.7073894739151001,numerical,True
64,yelp_3,name,zomato_2,name,0.7063119411468506,textual,True
65,yellow_pages_1,name,yelp_5,Name,0.7055290341377258,textual,True
66,yelp_4,name,zomato_2,name,0.7035011649131775,textual,True
67,yelp_1,NAME,zomato_2,name,0.7030619382858276,textual,True
68,yelp_1,NAME,yelp_4,name,0.7021877765655518,textual,True
69,zomato_1,PHONENUMBER,zomato_2,phone,0.7019265294075012,mixed,True
70,yelp_2,ID,yelp_5,_id,0.7009280323982239,numerical,True
71,yellow_pages_2,name,yelp_1,NAME,0.7004689574241638,textual,True
72,yellow_pages_2,state,yelp_4,state,0.6962668299674988,textual,True
73,yellow_pages_1,id,yelp_4,id,0.695303201675415,numerical,True
74,zomato_1,ID,zomato_2,ID,0.6934705376625061,numerical,True
75,yelp_2,name,yelp_4,name,0.6933978199958801,textual,True
76,yelp_4,id,zomato_3,_id,0.6909464597702026,numerical,True
77,yellow_pages_1,id,yelp_1,ID,0.6893059611320496,numerical,True
78,yellow_pages_2,id,yelp_3,id,0.6882630586624146,numerical,True
79,yelp_2,ID,yelp_4,id,0.687901496887207,numerical,True
80,yelp_2,address,zomato_3,Address,0.6819106340408325,textual,True
81,yellow_pages_1,id,yelp_2,ID,0.6813330054283142,numerical,True
82,yelp_1,NAME,zomato_3,Name,0.6802863478660583,textual,True
