,table_a,column_a,table_b,column_b,similarity,type,correct
0,fodors_1,phone,zagats_1,phone,0.9266480803489684,mixed,True
1,fodors_1,city,zagats_1,city,0.9100438356399536,textual,True
2,yelp_5,Name,zomato_3,Name,0.8971128463745117,textual,True
3,fodors_1,id,zagats_1,id,0.8958858251571655,numerical,True
4,yelp_5,_id,zomato_3,_id,0.8932725191116333,numerical,True
5,fodors_1,class,zagats_1,class,0.8814148902893066,numerical,True
6,fodors_1,type,zagats_1,type,0.8729555010795593,textual,True
7,yelp_4,name,zomato_3,Name,0.8728722333908081,textual,True
8,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.8701404929161072,mixed,True
9,yellow_pages_2,address,yelp_4,address,0.8683770298957825,textual,True
10,yelp_1,PHONENUMBER,yelp_2,phone,0.8673474788665771,mixed,True
11,yelp_4,name,yelp_5,Name,0.8635782599449158,textual,True
12,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.8543488383293152,numerical,True
13,yellow_pages_2,zipcode,yelp_4,zipcode,0.8537020087242126,numerical,True
14,yellow_pages_1,state,yelp_3,state,0.8522336483001709,textual,True
15,yelp_2,ID,zomato_2,ID,0.8416423797607422,numerical,True
16,yellow_pages_2,name,yelp_4,name,0.8415079116821289,textual,True
17,yellow_pages_2,id,yelp_4,id,0.8375259637832642,numerical,True
18,yelp_2,name,zomato_2,name,0.8302229046821594,textual,True
19,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.8295580148696899,mixed,True
20,fodors_1,name,zagats_1,name,0.8230394721031189,textual,True
21,yelp_5,Name,zomato_2,name,0.8213412165641785,textual,True
22,yelp_1,ID,yelp_4,id,0.8213410377502441,numerical,True
23,yelp_2,zip,zomato_2,zip,0.8180968761444092,numerical,True
24,zomato_2,name,zomato_3,Name,0.8173713684082031,textual,True
25,yelp_5,Address,zomato_3,Address,0.8173397183418274,textual,True
26,yelp_2,ID,zomato_3,_id,0.813227653503418,numerical,True
27,yellow_pages_2,name,zomato_2,name,0.8122067451477051,textual,True
28,yellow_pages_2,name,yelp_5,Name,0.8111550211906433,textual,True
29,yelp_2,ID,yelp_4,id,0.800192654132843,numerical,True
30,yelp_1,ADDRESS,zomato_1,ADDRESS,0.7976977825164795,textual,True
31,zomato_2,ID,zomato_3,_id,0.7968221306800842,numerical,True
32,yelp_4,name,zomato_2,name,0.7966811060905457,textual,True
33,yelp_2,ID,yelp_5,_id,0.7954195737838745,numerical,True
34,yelp_2,name,yelp_5,Name,0.7953311204910278,textual,True
35,fodors_1,addr,zagats_1,addr,0.7923613786697388,textual,True
36,yelp_1,NAME,zomato_1,NAME,0.7922669649124146,textual,True
37,yelp_2,cuisine,zomato_2,cuisine,0.7908021807670593,textual,True
38,yelp_1,ID,yelp_2,ID,0.790490448474884,numerical,True
39,yelp_2,name,zomato_3,Name,0.7894204258918762,textual,True
40,yelp_1,PHONENUMBER,zomato_2,phone,0.7864103317260742,mixed,True
41,yelp_2,name,yelp_4,name,0.7854903340339661,textual,True
42,yellow_pages_1,city,yelp_3,city,0.784361720085144,textual,True
43,yelp_1,ID,zomato_1,ID,0.7840608358383179,numerical,True
44,yelp_2,votes,zomato_2,votes,0.7819299101829529,numerical,True
45,yelp_4,id,yelp_5,_id,0.7801862955093384,numerical,True
46,yelp_4,id,zomato_3,_id,0.7780832648277283,numerical,True
47,yellow_pages_2,id,yelp_5,_id,0.7778638601303101,numerical,True
48,yellow_pages_2,phone,yelp_4,phone,0.7764759063720703,mixed,True
49,yellow_pages_2,name,yelp_2,name,0.7746286988258362,textual,True
50,yelp_5,_id,zomato_2,ID,0.7708523273468018,numerical,True
51,yelp_1,RATING,zomato_1,RATING,0.7693452835083008,numerical,True
52,yellow_pages_2,id,yelp_2,ID,0.7627654075622559,numerical,True
53,yellow_pages_2,name,zomato_3,Name,0.7612236142158508,textual,True
54,yellow_pages_1,name,yelp_3,name,0.7585395574569702,textual,True
55,yelp_2,phone,zomato_1,PHONENUMBER,0.7583685517311096,mixed,True
56,zomato_1,PHONENUMBER,zomato_2,phone,0.7513495683670044,mixed,True
57,yelp_1,ID,zomato_3,_id,0.7510915994644165,numerical,True
58,yelp_2,address,zomato_2,address,0.7454493045806885,textual,True
59,yellow_pages_2,city,yelp_4,city,0.7445622682571411,textual,True
60,yelp_2,rating,zomato_2,rating,0.7418872714042664,numerical,True
61,yelp_4,id,zomato_2,ID,0.736534059047699,numerical,True
62,yelp_2,phone,zomato_2,phone,0.7364813089370728,mixed,True
