,table_a,column_a,table_b,column_b,similarity,type,correct
0,fodors_1,id,zagats_1,id,0.8372309803962708,numerical,True
1,yellow_pages_1,state,yelp_3,state,0.8360545039176941,textual,True
2,yellow_pages_1,city,yelp_3,city,0.8271900415420532,textual,True
3,fodors_1,type,zagats_1,type,0.8220038414001465,textual,True
4,yelp_4,name,yelp_5,Name,0.8210469484329224,textual,True
5,yelp_1,RATING,zomato_1,RATING,0.8210445642471313,numerical,True
6,yellow_pages_2,zipcode,yelp_4,zipcode,0.8174973726272583,numerical,True
7,fodors_1,addr,zagats_1,addr,0.806821346282959,textual,True
8,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.8030434846878052,textual,True
9,fodors_1,class,zagats_1,class,0.8006142973899841,numerical,True
10,yelp_2,phone,zomato_2,phone,0.7970653772354126,mixed,True
11,zomato_2,ID,zomato_3,_id,0.797012448310852,numerical,True
12,yellow_pages_1,id,yelp_3,id,0.7878650426864624,numerical,True
13,fodors_1,phone,zagats_1,phone,0.7841445803642273,mixed,True
14,zomato_2,name,zomato_3,Name,0.7838737368583679,textual,True
15,fodors_1,name,zagats_1,name,0.7805092930793762,textual,True
16,yellow_pages_1,name,yelp_3,name,0.777348518371582,textual,True
17,yellow_pages_2,state,yelp_4,state,0.775751531124115,textual,True
18,yelp_4,name,zomato_3,Name,0.7673478722572327,textual,True
19,yellow_pages_2,name,yelp_4,name,0.7632763385772705,textual,True
20,yelp_1,NAME,zomato_1,NAME,0.759556770324707,textual,True
21,yelp_5,_id,zomato_3,_id,0.751929521560669,numerical,True
22,yellow_pages_2,name,yelp_5,Name,0.7512362003326416,textual,True
23,yelp_5,_id,zomato_2,ID,0.7489014267921448,numerical,True
24,yelp_1,PHONENUMBER,yelp_2,phone,0.7460926175117493,mixed,True
25,yellow_pages_1,zipCode,yelp_3,zipCode,0.7451497316360474,numerical,True
26,yelp_1,ADDRESS,zomato_1,ADDRESS,0.744968831539154,textual,True
27,yellow_pages_1,id,zomato_2,ID,0.7446343898773193,numerical,True
28,yelp_2,cuisine,zomato_2,cuisine,0.7422605752944946,textual,True
29,fodors_1,city,zagats_1,city,0.7385995984077454,textual,True
30,yelp_5,Name,zomato_3,Name,0.7381998300552368,textual,True
31,yellow_pages_2,address,yelp_4,address,0.737951397895813,textual,True
32,yelp_2,zip,zomato_2,zip,0.7376916408538818,numerical,True
33,yelp_2,ID,zomato_2,ID,0.7373876571655273,numerical,True
34,zomato_1,PHONENUMBER,zomato_2,phone,0.7367150187492371,mixed,True
35,yelp_2,ID,yelp_5,_id,0.7354674339294434,numerical,True
36,zomato_1,ID,zomato_2,ID,0.7310314178466797,numerical,True
37,yelp_2,address,zomato_2,address,0.7303674817085266,textual,True
38,yelp_2,address,zomato_3,Address,0.7253988981246948,textual,True
39,yelp_1,PHONENUMBER,zomato_2,phone,0.7245941758155823,mixed,True
40,yelp_1,NAME,zomato_2,name,0.7244080901145935,textual,True
41,yellow_pages_2,id,yelp_4,id,0.7226110100746155,numerical,True
42,yelp_1,ID,yelp_4,id,0.7216005325317383,numerical,True
43,yelp_1,ID,zomato_2,ID,0.7202092409133911,numerical,True
44,yelp_2,rating,zomato_2,rating,0.7158342003822327,numerical,True
45,yellow_pages_2,name,zomato_2,name,0.7095934748649597,textual,True
46,yellow_pages_2,id,yelp_5,_id,0.7065784335136414,numerical,True
47,yelp_2,name,yelp_4,name,0.705253541469574,textual,True
48,yelp_5,Address,zomato_3,Address,0.7041377425193787,textual,True
49,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.703972578048706,mixed,True
50,yellow_pages_2,name,zomato_3,Name,0.7029825448989868,textual,True
51,yelp_2,ID,yelp_4,id,0.7028464078903198,numerical,True
52,yellow_pages_1,id,yellow_pages_2,id,0.7028379440307617,numerical,True
53,yellow_pages_2,id,yelp_3,id,0.6997058987617493,numerical,True
54,yelp_4,name,zomato_2,name,0.6985266804695129,textual,True
55,yelp_2,ID,zomato_3,_id,0.696150541305542,numerical,True
56,yelp_1,ID,yelp_5,_id,0.6942195296287537,numerical,True
57,yellow_pages_2,id,zomato_3,_id,0.6927525401115417,numerical,True
58,yelp_1,ID,yelp_2,ID,0.6914571523666382,numerical,True
59,yelp_1,ID,zomato_1,ID,0.6872353553771973,numerical,True
60,yelp_3,id,yelp_5,_id,0.6852658987045288,numerical,True
61,yelp_3,id,zomato_2,ID,0.6845946311950684,numerical,True
62,yellow_pages_2,id,zomato_2,ID,0.6842455863952637,numerical,True
63,yellow_pages_1,name,zomato_2,name,0.6834848523139954,textual,True
64,yelp_2,address,yelp_5,Address,0.6820642948150635,textual,True
65,yelp_4,id,yelp_5,_id,0.6794226765632629,numerical,True
66,yellow_pages_1,id,yelp_5,_id,0.6790950298309326,numerical,True
67,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.6778910756111145,mixed,True
68,yelp_1,NAME,yelp_5,Name,0.676459550857544,textual,True
69,yelp_2,name,yelp_5,Name,0.6761723756790161,textual,True
70,yelp_1,NO_OF_REVIEWS,zomato_1,NO_OF_REVIEWS,0.6746575832366943,numerical,True
71,yelp_1,NAME,zomato_3,Name,0.6745417714118958,textual,True
72,yelp_2,ID,zomato_1,ID,0.6729716062545776,numerical,True
73,zomato_1,ID,zomato_3,_id,0.6661386489868164,numerical,True
74,yellow_pages_2,name,zomato_1,NAME,0.6580028533935547,textual,True
75,yellow_pages_1,id,zomato_3,_id,0.6573305726051331,numerical,True
76,yelp_1,NAME,yelp_4,name,0.6552276015281677,textual,True
77,yelp_5,Name,zomato_2,name,0.6537348628044128,textual,True
78,yelp_1,ID,zomato_3,_id,0.6530106067657471,numerical,True
79,yellow_pages_2,name,yelp_1,NAME,0.6524592041969299,textual,True
80,yellow_pages_2,name,yelp_2,name,0.652221143245697,textual,True
81,yellow_pages_1,name,yellow_pages_2,name,0.6513996720314026,textual,True
82,yelp_2,phone,zomato_1,PHONENUMBER,0.6506831049919128,mixed,True
83,zomato_1,NAME,zomato_2,name,0.6506058573722839,textual,True
84,yellow_pages_2,id,yelp_2,ID,0.6504054665565491,numerical,True
85,yelp_5,_id,zomato_1,ID,0.6453191637992859,numerical,True
86,yellow_pages_1,id,yelp_4,id,0.6441299915313721,numerical,True
87,yelp_2,votes,zomato_2,votes,0.6440209150314331,numerical,True
88,yelp_4,id,zomato_2,ID,0.6428321599960327,numerical,True
89,zomato_2,address,zomato_3,Address,0.6418876051902771,textual,True
90,yellow_pages_2,id,zomato_1,ID,0.6415009498596191,numerical,True
91,yelp_3,name,yelp_5,Name,0.6290927529335022,textual,True
92,yellow_pages_2,name,yelp_3,name,0.6287422180175781,textual,True
93,yellow_pages_2,id,yelp_1,ID,0.6280937790870667,numerical,True
94,yellow_pages_1,name,yelp_5,Name,0.6228260397911072,textual,True
95,fodors_1,id,yellow_pages_2,id,0.6212915182113647,numerical,True
96,yellow_pages_2,id,zagats_1,id,0.620603621006012,numerical,True
97,yelp_3,id,yelp_4,id,0.619138777256012,numerical,True
98,yelp_1,ID,yelp_3,id,0.6126843094825745,numerical,True
99,yelp_3,name,zomato_2,name,0.6105861663818359,textual,True
100,yelp_4,id,zomato_3,_id,0.6098178625106812,numerical,True
101,yelp_5,Address,zomato_2,address,0.6046251654624939,textual,True
102,yelp_3,id,zomato_3,_id,0.6038930416107178,numerical,True
103,yellow_pages_2,phone,yelp_4,phone,0.6008195281028748,mixed,True
104,yellow_pages_1,id,yelp_2,ID,0.599744975566864,numerical,True
105,yelp_5,Cuisine,zomato_3,Cuisine,0.5981104969978333,textual,True
106,yelp_2,name,zomato_2,name,0.5976114869117737,textual,True
107,zomato_1,NAME,zomato_3,Name,0.5971214175224304,textual,True
108,yellow_pages_2,city,yelp_4,city,0.5944762229919434,textual,True
109,yellow_pages_1,priceRange,yelp_3,priceRange,0.5941758751869202,textual,True
110,yellow_pages_1,id,zomato_1,ID,0.5917807221412659,numerical,True
111,yelp_4,id,zomato_1,ID,0.5904325842857361,numerical,True
112,yellow_pages_1,streetAddress,yellow_pages_2,address,0.5883700847625732,textual,True
113,yelp_2,name,zomato_3,Name,0.5875340104103088,textual,True
114,yellow_pages_1,id,yelp_1,ID,0.5863824486732483,numerical,True
115,yelp_1,NO_OF_REVIEWS,yelp_2,address,0.5860359072685242,textual,False
116,yelp_5,Name,zomato_1,NAME,0.5843857526779175,textual,True
117,yellow_pages_1,name,yelp_2,name,0.5821151733398438,textual,True
118,yelp_1,RATING,yelp_2,rating,0.5780670642852783,numerical,True
119,yellow_pages_2,address,zomato_3,PhoneNumber,0.5748636722564697,textual,False
