,table_a,column_a,table_b,column_b,similarity,type,correct
0,yellow_pages_2,zipcode,yelp_4,zipcode,0.9959865808486938,numerical,True
1,yelp_2,phone,zomato_2,phone,0.9935171604156494,mixed,True
2,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9919043779373168,mixed,True
3,yellow_pages_1,phone,zomato_2,phone,0.9914350509643556,mixed,True
4,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.991407036781311,mixed,True
5,yellow_pages_1,phone,yelp_2,phone,0.9907865524291992,mixed,True
6,yellow_pages_1,phone,yellow_pages_2,phone,0.990166425704956,mixed,True
7,yellow_pages_2,phone,zomato_2,phone,0.989901065826416,mixed,True
8,yelp_5,Name,zomato_3,Name,0.9885891675949096,textual,True
9,yelp_3,id,yelp_4,id,0.9878320693969728,numerical,True
10,fodors_1,phone,zagats_1,phone,0.9874039888381958,mixed,True
11,yellow_pages_1,website,yellow_pages_2,website,0.9872379302978516,textual,True
12,yellow_pages_2,phone,yelp_2,phone,0.9861191511154176,mixed,True
13,yelp_2,zip,zomato_2,zip,0.9845703840255736,numerical,True
14,yelp_2,name,zomato_2,name,0.9843497276306152,textual,True
15,yellow_pages_2,address,yelp_4,address,0.983817219734192,textual,True
16,yellow_pages_1,state,yelp_3,state,0.983583927154541,textual,True
17,yelp_4,name,zomato_2,name,0.9835445880889891,textual,True
18,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9832295179367064,textual,True
19,yellow_pages_2,address,yelp_2,address,0.9830671548843384,textual,True
20,yelp_3,name,zagats_1,name,0.9830377101898192,textual,True
21,yellow_pages_2,name,yelp_2,name,0.9827412366867064,textual,True
22,yellow_pages_2,phone,yelp_4,phone,0.9825178384780884,mixed,True
23,fodors_1,name,zagats_1,name,0.9822450876235962,textual,True
24,fodors_1,addr,zagats_1,addr,0.981348991394043,textual,True
25,fodors_1,name,yelp_3,name,0.9810490608215332,textual,True
26,yelp_1,NAME,zomato_1,NAME,0.9809141159057616,textual,True
27,yellow_pages_1,id,yellow_pages_2,id,0.9804806709289552,numerical,True
28,yelp_4,phone,zomato_2,phone,0.9801374673843384,mixed,True
29,yellow_pages_1,name,yelp_3,name,0.9800517559051514,textual,True
30,yelp_2,name,yelp_4,name,0.9799138307571412,textual,True
31,fodors_1,phone,yellow_pages_1,phone,0.9798883199691772,mixed,True
32,yellow_pages_2,state,yelp_4,state,0.979290246963501,textual,True
33,yellow_pages_1,phone,yelp_4,phone,0.9791409969329834,mixed,True
34,yellow_pages_1,city,yelp_3,city,0.9790587425231934,textual,True
35,fodors_1,phone,zomato_2,phone,0.9788302183151244,mixed,True
36,fodors_1,phone,yelp_2,phone,0.9787123203277588,mixed,True
37,yellow_pages_2,name,zomato_2,name,0.9786310195922852,textual,True
38,yelp_3,state,yelp_4,state,0.9784187078475952,textual,True
39,fodors_1,phone,yellow_pages_2,phone,0.9781732559204102,mixed,True
40,yellow_pages_1,phone,zagats_1,phone,0.9780683517456056,mixed,True
41,yellow_pages_2,state,yelp_3,state,0.9780429601669312,textual,True
42,zagats_1,phone,zomato_2,phone,0.9779255390167236,mixed,True
43,yellow_pages_2,phone,zagats_1,phone,0.9778289794921876,mixed,True
44,yellow_pages_1,priceRange,yelp_3,priceRange,0.9778242111206056,textual,True
