,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_5,PhoneNumber,zomato_3,PhoneNumber,0.9967144727706908,mixed,True
1,yellow_pages_1,streetAddress,yelp_3,streetAddress,0.9961717128753662,textual,True
2,yellow_pages_1,phone,yellow_pages_2,phone,0.9959372282028198,mixed,True
3,yellow_pages_1,website,yellow_pages_2,website,0.995927095413208,textual,True
4,fodors_1,phone,zagats_1,phone,0.9944775104522704,mixed,True
5,yellow_pages_1,city,yelp_3,city,0.9943444728851318,textual,True
6,yelp_5,Name,zomato_3,Name,0.9935319423675536,textual,True
7,yellow_pages_1,state,yelp_3,state,0.9928590059280396,textual,True
8,yellow_pages_1,name,yelp_3,name,0.9921751022338868,textual,True
9,yelp_2,phone,zomato_2,phone,0.991962432861328,mixed,True
10,yelp_1,PHONENUMBER,zomato_1,PHONENUMBER,0.991582989692688,mixed,True
11,yellow_pages_2,zipcode,yelp_4,zipcode,0.9914379119873048,numerical,True
12,yelp_2,name,zomato_2,name,0.9909859895706176,textual,True
13,yelp_2,zip,zomato_2,zip,0.9908769130706788,numerical,True
14,fodors_1,phone,yellow_pages_1,phone,0.9901350736618042,mixed,True
15,yellow_pages_2,phone,yelp_4,phone,0.9896628856658936,mixed,True
16,fodors_1,phone,yellow_pages_2,phone,0.9892055988311768,mixed,True
17,yellow_pages_1,phone,zagats_1,phone,0.989182472229004,mixed,True
18,yellow_pages_1,name,zagats_1,name,0.9889299869537354,textual,True
19,yellow_pages_2,phone,zagats_1,phone,0.988389253616333,mixed,True
20,yellow_pages_1,phone,yelp_4,phone,0.9882056713104248,mixed,True
21,yelp_4,phone,zomato_2,phone,0.98799729347229,mixed,True
22,yellow_pages_2,address,yelp_2,address,0.9877066612243652,textual,True
23,yelp_3,name,zagats_1,name,0.9876494407653807,textual,True
24,yelp_2,name,yelp_4,name,0.9873833656311036,textual,True
25,yellow_pages_2,name,yelp_2,name,0.9862219095230104,textual,True
26,fodors_1,name,zagats_1,name,0.9862154722213744,textual,True
27,yellow_pages_2,phone,zomato_2,phone,0.986013650894165,mixed,True
28,yelp_4,name,zomato_2,name,0.9854871034622192,textual,True
29,fodors_1,phone,yelp_4,phone,0.9845730066299438,mixed,True
30,yellow_pages_1,phone,zomato_2,phone,0.9842066764831544,mixed,True
31,yelp_4,phone,zagats_1,phone,0.9839872121810912,mixed,True
32,yellow_pages_2,name,zomato_2,name,0.9826881885528564,textual,True
33,yellow_pages_1,priceRange,yelp_3,priceRange,0.982490062713623,textual,True
34,yelp_1,NAME,zomato_1,NAME,0.9821289777755736,textual,True
35,fodors_1,phone,zomato_2,phone,0.9819945096969604,mixed,True
36,yelp_2,phone,yelp_4,phone,0.9817110300064088,mixed,True
37,zagats_1,phone,zomato_2,phone,0.9816446304321288,mixed,True
38,yellow_pages_2,state,yelp_4,state,0.9809542894363404,textual,True
39,yellow_pages_2,phone,yelp_2,phone,0.9808104038238524,mixed,True
40,yellow_pages_2,name,yelp_4,name,0.9797631502151488,textual,True
41,fodors_1,addr,zagats_1,addr,0.9796364307403564,textual,True
42,fodors_1,name,yellow_pages_1,name,0.9795186519622804,textual,True
43,yelp_3,id,yelp_4,id,0.978929877281189,numerical,True
44,yellow_pages_1,id,yellow_pages_2,id,0.9789032936096193,numerical,True
45,yellow_pages_1,phone,yelp_2,phone,0.9788882732391356,mixed,True
46,fodors_1,name,yelp_3,name,0.9781416654586792,textual,True
47,yelp_5,Address,zomato_3,Address,0.9775420427322388,textual,True
48,yellow_pages_2,id,yelp_3,id,0.9772775173187256,numerical,True
49,fodors_1,phone,yelp_2,phone,0.9772416353225708,mixed,True
50,yelp_2,phone,zagats_1,phone,0.9770479202270508,mixed,True
51,yellow_pages_2,address,yelp_4,address,0.9766116142272948,textual,True
52,yelp_1,ADDRESS,zomato_1,ADDRESS,0.9765433073043824,textual,True
53,yelp_2,cuisine,zomato_2,cuisine,0.9764138460159302,textual,True
54,yellow_pages_1,ratingValue,yelp_3,ratingValue,0.9751956462860109,numerical,True
55,yelp_5,_id,zomato_3,_id,0.9735913276672364,numerical,True
56,yelp_5,Cuisine,zomato_3,Cuisine,0.9717023372650146,textual,True
57,yellow_pages_2,id,yelp_4,id,0.9715505838394164,numerical,True
58,yelp_2,address,yelp_4,address,0.9693697690963744,textual,True
59,yellow_pages_2,state,yelp_3,state,0.9690195322036744,textual,True
60,yelp_4,address,zomato_2,address,0.968315362930298,textual,True
61,yelp_3,state,yelp_4,state,0.9672764539718628,textual,True
62,yellow_pages_1,state,yellow_pages_2,state,0.9661871194839478,textual,True
63,yellow_pages_1,id,yelp_3,id,0.96616530418396,numerical,True
64,fodors_1,type,zagats_1,type,0.9655855894088744,textual,True
65,yelp_2,address,zomato_2,address,0.96429181098938,textual,True
66,yellow_pages_1,id,yelp_4,id,0.963359236717224,numerical,True
67,yellow_pages_2,address,zomato_2,address,0.9632084369659424,textual,True
68,yellow_pages_1,state,yelp_4,state,0.9629688262939452,textual,True
69,yelp_2,ID,zomato_2,ID,0.9602243900299072,numerical,True
70,yellow_pages_2,website,yelp_3,website,0.9546993970870972,textual,True
