,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Contract Title,stockport_contracts_2,Contract Title,0.9156479239463806,textual,True
1,stockport_contracts_1,Pro Class,stockport_contracts_2,Pro Class,0.8955850005149841,textual,True
2,stockport_contracts_6,Council Directorate,stockport_contracts_9,Council Directorate,0.8934732675552368,textual,True
3,stockport_contracts_3,Council Directorate,stockport_contracts_6,Council Directorate,0.8930600881576538,textual,True
4,stockport_contracts_7,Council Directorate,stockport_contracts_9,Council Directorate,0.8926966190338135,textual,True
5,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.8917791247367859,textual,True
6,stockport_contracts_0,unnamed18,stockport_contracts_7,Council Directorate,0.8909564018249512,textual,True
7,stockport_contracts_3,Pro Class,stockport_contracts_6,Pro Class,0.8904093503952026,textual,True
8,stockport_contracts_0,unnamed18,stockport_contracts_6,Council Directorate,0.8894054293632507,textual,True
9,stockport_contracts_2,Council Directorate,stockport_contracts_7,Council Directorate,0.888519287109375,textual,True
10,stockport_contracts_3,Estimated Total Value,stockport_contracts_6,Estimated Total Value,0.8880419731140137,mixed,True
11,stockport_contracts_11,nan19,stockport_contracts_3,Council Directorate,0.886432409286499,textual,True
12,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.8857408761978149,textual,True
13,stockport_contracts_0,unnamed18,stockport_contracts_8,Council Directorate,0.885014533996582,textual,True
14,stockport_contracts_0,unnamed18,stockport_contracts_3,Council Directorate,0.8845324516296387,textual,True
15,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.8834437131881714,mixed,True
16,stockport_contracts_11,nan2,stockport_contracts_6,Pro Class,0.8832387924194336,textual,True
17,stockport_contracts_0,unnamed18,stockport_contracts_11,nan19,0.8820226192474365,textual,True
18,stockport_contracts_5,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.8810646533966064,numerical,True
19,stockport_contracts_10,Council Directorate,stockport_contracts_2,Council Directorate,0.880168616771698,textual,True
20,stockport_contracts_1,Client,stockport_contracts_2,Client,0.8799788951873779,textual,True
21,stockport_contracts_0,unnamed18,stockport_contracts_9,Council Directorate,0.8795121312141418,textual,True
22,stockport_contracts_0,unnamed0,stockport_contracts_3,UID,0.8793597221374512,numerical,True
