,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Pro Class,stockport_contracts_3,Pro Class,0.9829130172729492,textual,True
1,stockport_contracts_2,Pro Class,stockport_contracts_3,Pro Class,0.9793092012405396,textual,True
2,stockport_contracts_1,Client,stockport_contracts_3,Client,0.9751873016357422,textual,True
3,stockport_contracts_6,Pro Class,stockport_contracts_7,Pro Class,0.973764955997467,textual,True
4,stockport_contracts_1,Pro Class,stockport_contracts_2,Pro Class,0.9704080820083618,textual,True
5,stockport_contracts_2,Client,stockport_contracts_3,Client,0.9676164984703064,textual,True
6,stockport_contracts_3,Estimated Total Value,stockport_contracts_6,Estimated Total Value,0.9672772884368896,mixed,True
7,stockport_contracts_6,Client,stockport_contracts_7,Client,0.9663591384887696,textual,True
8,stockport_contracts_0,unnamed2,stockport_contracts_11,nan2,0.964341163635254,textual,True
9,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_2,Ext. Applied to Contract,0.9597718119621276,textual,True
10,stockport_contracts_3,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.9570035934448242,mixed,True
11,stockport_contracts_1,Client,stockport_contracts_2,Client,0.9545486569404602,textual,True
12,stockport_contracts_1,Contract End Date,stockport_contracts_2,Contract End Date,0.9506475925445556,mixed,True
13,stockport_contracts_3,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.947361171245575,numerical,True
14,stockport_contracts_3,UID,stockport_contracts_6,UID,0.9465820789337158,numerical,True
15,stockport_contracts_6,Council Directorate,stockport_contracts_9,Council Directorate,0.9454554915428162,textual,True
16,stockport_contracts_3,Council Directorate,stockport_contracts_8,Council Directorate,0.9452647566795348,textual,True
17,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.9446345567703248,mixed,True
18,stockport_contracts_3,Maximum Extend Date,stockport_contracts_6,Maximum Extend Date,0.9416460394859314,textual,True
19,stockport_contracts_2,Council Directorate,stockport_contracts_5,Council Directorate,0.9412426352500916,textual,True
20,stockport_contracts_3,Client,stockport_contracts_9,Client,0.9400116801261902,textual,True
21,stockport_contracts_3,Contract Start Date,stockport_contracts_8,Contract Start Date,0.9382599592208862,textual,True
22,stockport_contracts_3,Client,stockport_contracts_6,Client,0.9381511807441713,textual,True
23,stockport_contracts_2,Estimated Total Value,stockport_contracts_5,Estimated Total Value,0.93812894821167,mixed,True
24,stockport_contracts_2,Client,stockport_contracts_9,Client,0.9381089210510254,textual,True
25,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_2,Maximum Duration of Contract (Months),0.9380611181259156,numerical,True
26,stockport_contracts_7,Client,stockport_contracts_8,Client,0.9368759989738464,textual,True
27,stockport_contracts_1,unnamed,stockport_contracts_3,Council Directorate,0.935780704021454,textual,True
28,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.9353640079498292,textual,True
29,stockport_contracts_3,Client,stockport_contracts_7,Client,0.9351804256439208,textual,True
30,stockport_contracts_3,Client,stockport_contracts_5,Client Name,0.9351377487182616,textual,True
31,stockport_contracts_3,Client,stockport_contracts_8,Client,0.9344148635864258,textual,True
32,stockport_contracts_6,Estimated Total Value,stockport_contracts_9,Estimated Total Value,0.933110535144806,mixed,True
33,stockport_contracts_5,Client Name,stockport_contracts_9,Client,0.932977557182312,textual,True
34,stockport_contracts_2,Client,stockport_contracts_5,Client Name,0.9325734972953796,textual,True
35,stockport_contracts_2,Council Directorate,stockport_contracts_9,Council Directorate,0.9319446086883544,textual,True
36,stockport_contracts_8,Client,stockport_contracts_9,Client,0.9316568970680236,textual,True
37,stockport_contracts_6,Estimated Annual Value,stockport_contracts_7,Estimated Annual Value,0.9313735961914062,mixed,True
