,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_3,Estimated Annual Value,stockport_contracts_8,Estimated Annual Value,0.8991206288337708,mixed,True
1,stockport_contracts_3,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.8963228464126587,mixed,True
2,stockport_contracts_1,Pro Class,stockport_contracts_2,Pro Class,0.8960550427436829,textual,True
3,stockport_contracts_11,nan14,stockport_contracts_6,Estimated Total Value,0.8948345184326172,mixed,True
4,stockport_contracts_1,unnamed,stockport_contracts_2,Council Directorate,0.891351044178009,textual,True
5,stockport_contracts_0,unnamed18,stockport_contracts_7,Council Directorate,0.8912813663482666,textual,True
6,stockport_contracts_1,Client,stockport_contracts_2,Client,0.8900572061538696,textual,True
7,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_2,Ext. Applied to Contract,0.8851853013038635,textual,True
8,stockport_contracts_3,UID,stockport_contracts_6,UID,0.8847492933273315,numerical,True
9,stockport_contracts_0,unnamed18,stockport_contracts_11,nan19,0.8832395672798157,textual,True
10,stockport_contracts_5,Council Directorate,stockport_contracts_6,Council Directorate,0.883216917514801,textual,True
11,stockport_contracts_3,Maximum Duration of Contract (Months),stockport_contracts_6,Maximum Duration of Contract (Months),0.8829588890075684,numerical,True
12,stockport_contracts_7,Council Directorate,stockport_contracts_9,Council Directorate,0.8797503709793091,textual,True
13,stockport_contracts_11,nan19,stockport_contracts_6,Council Directorate,0.8784877061843872,textual,True
14,stockport_contracts_3,Ext. Applied to Contract,stockport_contracts_6,Ext. Applied to Contract,0.8781771659851074,textual,True
15,stockport_contracts_11,nan19,stockport_contracts_7,Council Directorate,0.876579999923706,textual,True
16,stockport_contracts_5,Council Directorate,stockport_contracts_7,Council Directorate,0.8761258125305176,textual,True
17,stockport_contracts_11,nan0,stockport_contracts_6,UID,0.8755573630332947,numerical,True
18,stockport_contracts_1,Estimated Annual Value,stockport_contracts_8,Estimated Annual Value,0.8739355206489563,mixed,True
19,stockport_contracts_11,nan13,stockport_contracts_6,Estimated Annual Value,0.8731446862220764,mixed,True
20,stockport_contracts_3,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.8726117610931396,mixed,True
21,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_2,Maximum Duration of Contract (Months),0.8725345134735107,numerical,True
22,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.8716992735862732,textual,True
23,stockport_contracts_1,Postcode,stockport_contracts_3,Postcode,0.8711507320404053,textual,True
24,stockport_contracts_11,nan19,stockport_contracts_9,Council Directorate,0.8707398772239685,textual,True
25,stockport_contracts_11,nan13,stockport_contracts_3,Estimated Annual Value,0.8706058859825134,mixed,True
26,stockport_contracts_1,UID,stockport_contracts_2,UID,0.87043297290802,numerical,True
27,stockport_contracts_3,Estimated Total Value,stockport_contracts_6,Estimated Total Value,0.8704193234443665,mixed,True
28,stockport_contracts_1,UID,stockport_contracts_3,UID,0.8702475428581238,numerical,True
29,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.8693453669548035,mixed,True
30,stockport_contracts_1,Estimated Total Value,stockport_contracts_6,Estimated Total Value,0.8689236640930176,mixed,True
31,stockport_contracts_0,unnamed18,stockport_contracts_5,Council Directorate,0.8689112067222595,textual,True
32,stockport_contracts_1,Estimated Annual Value,stockport_contracts_3,Estimated Annual Value,0.8687681555747986,mixed,True
33,stockport_contracts_1,Estimated Annual Value,stockport_contracts_11,nan13,0.8685830235481262,mixed,True
34,stockport_contracts_6,Ext. Applied to Contract,stockport_contracts_7,Ext. Applied to Contract,0.867904543876648,textual,True
35,stockport_contracts_0,unnamed6,stockport_contracts_11,nan7,0.8672679662704468,numerical,True
36,stockport_contracts_5,Council Directorate,stockport_contracts_8,Council Directorate,0.8671616315841675,textual,True
37,stockport_contracts_0,unnamed18,stockport_contracts_9,Council Directorate,0.8670457601547241,textual,True
38,stockport_contracts_11,nan8,stockport_contracts_6,Maximum Duration of Contract (Months),0.8668829798698425,numerical,True
39,stockport_contracts_1,Estimated Total Value,stockport_contracts_11,nan14,0.8666209578514099,mixed,True
40,stockport_contracts_3,Maximum Extend Date,stockport_contracts_6,Maximum Extend Date,0.8662158846855164,textual,True
41,stockport_contracts_0,unnamed14,stockport_contracts_11,nan15,0.86556077003479,textual,True
42,stockport_contracts_3,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.8654677867889404,numerical,True
43,stockport_contracts_0,unnamed1,stockport_contracts_1,Client,0.865386962890625,textual,True
44,stockport_contracts_2,Estimated Annual Value,stockport_contracts_3,Estimated Annual Value,0.8649634718894958,mixed,True
45,stockport_contracts_3,Contract Start Date,stockport_contracts_6,Contract Start Date,0.864781379699707,textual,True
46,stockport_contracts_1,Estimated Total Value,stockport_contracts_2,Estimated Total Value,0.8644298315048218,mixed,True
47,stockport_contracts_1,unnamed,stockport_contracts_7,Council Directorate,0.8639770150184631,textual,True
48,stockport_contracts_1,Supplier Name,stockport_contracts_6,Supplier Name,0.8635258674621582,textual,True
49,stockport_contracts_1,unnamed,stockport_contracts_11,nan19,0.8634673357009888,textual,True
50,stockport_contracts_1,Contract Title,stockport_contracts_2,Contract Title,0.8633660078048706,textual,True
51,stockport_contracts_0,unnamed1,stockport_contracts_11,nan1,0.8623660206794739,textual,True
52,stockport_contracts_5,Client Name,stockport_contracts_9,Client,0.8620440363883972,textual,True
53,stockport_contracts_1,Estimated Total Value,stockport_contracts_3,Estimated Total Value,0.8610328435897827,mixed,True
54,stockport_contracts_8,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.8609753251075745,mixed,True
55,stockport_contracts_3,Estimated Total Value,stockport_contracts_8,Estimated Total Value,0.860917329788208,mixed,True
56,stockport_contracts_3,Estimated Total Value,stockport_contracts_9,Estimated Total Value,0.8608934879302979,mixed,True
57,stockport_contracts_2,Council Directorate,stockport_contracts_5,Council Directorate,0.8604257106781006,textual,True
58,stockport_contracts_0,unnamed1,stockport_contracts_7,Client,0.8600077033042908,textual,True
59,stockport_contracts_11,nan19,stockport_contracts_8,Council Directorate,0.8588708639144897,textual,True
60,stockport_contracts_6,Council Directorate,stockport_contracts_8,Council Directorate,0.8586645722389221,textual,True
61,stockport_contracts_11,nan10,stockport_contracts_7,Ext. Applied to Contract,0.8581013083457947,textual,True
62,stockport_contracts_1,unnamed,stockport_contracts_5,Council Directorate,0.8577544689178467,textual,True
63,stockport_contracts_6,Council Directorate,stockport_contracts_9,Council Directorate,0.8577018976211548,textual,True
64,stockport_contracts_3,Client,stockport_contracts_5,Client Name,0.85770183801651,textual,True
65,stockport_contracts_0,unnamed7,stockport_contracts_6,Maximum Duration of Contract (Months),0.8575751781463623,numerical,True
66,stockport_contracts_6,Agreement Type,stockport_contracts_7,Agreement Type,0.857147753238678,textual,True
67,stockport_contracts_1,unnamed,stockport_contracts_3,Council Directorate,0.8570041060447693,textual,True
68,stockport_contracts_0,unnamed0,stockport_contracts_3,UID,0.8568114042282104,numerical,True
69,stockport_contracts_0,unnamed18,stockport_contracts_1,unnamed,0.8564483523368835,textual,True
70,stockport_contracts_0,unnamed0,stockport_contracts_1,UID,0.8562904000282288,numerical,True
71,stockport_contracts_3,Contract Start Date,stockport_contracts_7,Contract Start Date,0.8555369973182678,textual,True
72,stockport_contracts_1,Maximum Extend Date,stockport_contracts_2,Maximum Extend Date,0.8554379343986511,mixed,True
73,stockport_contracts_11,nan1,stockport_contracts_7,Client,0.8553978204727173,textual,True
74,stockport_contracts_3,Estimated Annual Value,stockport_contracts_5,Estimated Annual Value,0.8548668622970581,mixed,True
75,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_3,Maximum Duration of Contract (Months),0.8547847270965576,numerical,True
76,stockport_contracts_0,unnamed18,stockport_contracts_6,Council Directorate,0.854377269744873,textual,True
77,stockport_contracts_11,nan19,stockport_contracts_3,Council Directorate,0.8543026447296143,textual,True
78,stockport_contracts_11,nan2,stockport_contracts_7,Pro Class,0.8541812896728516,textual,True
79,stockport_contracts_1,Postcode,stockport_contracts_2,Postcode,0.8539420962333679,textual,True
80,stockport_contracts_11,nan8,stockport_contracts_7,Maximum Contract Term (months),0.8537507057189941,numerical,False
81,stockport_contracts_3,Council Directorate,stockport_contracts_6,Council Directorate,0.8536098599433899,textual,True
82,stockport_contracts_11,nan13,stockport_contracts_8,Estimated Annual Value,0.8532814979553223,mixed,True
83,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_6,Maximum Duration of Contract (Months),0.853150486946106,numerical,True
84,stockport_contracts_10,Council Directorate,stockport_contracts_7,Council Directorate,0.8527488708496094,textual,True
85,stockport_contracts_6,Maximum Duration of Contract (Months),stockport_contracts_8,Maximum Duration of Contract (Months),0.8523116707801819,numerical,True
86,stockport_contracts_11,nan0,stockport_contracts_8,UID,0.8508914709091187,numerical,True
87,stockport_contracts_1,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.8499584794044495,mixed,True
88,stockport_contracts_1,unnamed,stockport_contracts_6,Council Directorate,0.8495522737503052,textual,True
89,stockport_contracts_1,Supplier Name,stockport_contracts_11,nan15,0.849527895450592,textual,True
90,stockport_contracts_10,Supplier,stockport_contracts_5,Supplier Name,0.8489772081375122,textual,False
91,stockport_contracts_3,Review Date,stockport_contracts_6,Review Date,0.8483677506446838,textual,True
92,stockport_contracts_11,nan7,stockport_contracts_7,Contract Term (Months),0.8477046489715576,numerical,True
