,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,Client,stockport_contracts_10,Client,1.0000001192092896,textual,True
1,stockport_contracts_1,Client,stockport_contracts_2,Client,1.0000001192092896,textual,True
2,stockport_contracts_1,Client,stockport_contracts_3,Client,1.0000001192092896,textual,True
3,stockport_contracts_1,Client,stockport_contracts_7,Client,1.0000001192092896,textual,True
4,stockport_contracts_10,Client,stockport_contracts_2,Client,1.0000001192092896,textual,True
5,stockport_contracts_10,Client,stockport_contracts_3,Client,1.0000001192092896,textual,True
6,stockport_contracts_10,Client,stockport_contracts_7,Client,1.0000001192092896,textual,True
7,stockport_contracts_2,Client,stockport_contracts_3,Client,1.0000001192092896,textual,True
8,stockport_contracts_2,Client,stockport_contracts_7,Client,1.0000001192092896,textual,True
9,stockport_contracts_3,Client,stockport_contracts_7,Client,1.0000001192092896,textual,True
10,stockport_contracts_1,Client,stockport_contracts_9,Client,1.0,textual,True
11,stockport_contracts_10,Client,stockport_contracts_9,Client,1.0,textual,True
12,stockport_contracts_2,Client,stockport_contracts_9,Client,1.0,textual,True
13,stockport_contracts_3,Client,stockport_contracts_9,Client,1.0,textual,True
14,stockport_contracts_7,Client,stockport_contracts_9,Client,1.0,textual,True
15,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.999534010887146,textual,True
16,stockport_contracts_2,Maximum Duration of Contract (Months),stockport_contracts_3,Maximum Duration of Contract (Months),0.9986421465873718,numerical,True
17,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_5,Maximum Duration of Contract (Months),0.9984641671180724,numerical,True
18,stockport_contracts_2,Council Directorate,stockport_contracts_7,Council Directorate,0.9982099533081056,textual,True
19,stockport_contracts_2,UID,stockport_contracts_3,UID,0.9980300664901732,numerical,True
20,stockport_contracts_1,UID,stockport_contracts_2,UID,0.9979966282844543,numerical,True
21,stockport_contracts_2,Maximum Extend Date,stockport_contracts_7,Maximum Extend Date,0.9979158639907836,mixed,True
22,stockport_contracts_6,Client,stockport_contracts_8,Client,0.997790277004242,textual,True
23,stockport_contracts_10,Council Directorate,stockport_contracts_5,Council Directorate,0.9974061846733092,textual,True
24,stockport_contracts_2,Council Directorate,stockport_contracts_3,Council Directorate,0.997339367866516,textual,True
25,stockport_contracts_2,Council Directorate,stockport_contracts_9,Council Directorate,0.9972458481788636,textual,True
26,stockport_contracts_3,Ext. Applied to Contract,stockport_contracts_7,Ext. Applied to Contract,0.9972251653671264,textual,True
27,stockport_contracts_2,Ext. Applied to Contract,stockport_contracts_3,Ext. Applied to Contract,0.9970821738243104,textual,True
28,stockport_contracts_1,UID,stockport_contracts_3,UID,0.9969561696052552,numerical,True
29,stockport_contracts_7,Council Directorate,stockport_contracts_9,Council Directorate,0.996933937072754,textual,True
30,stockport_contracts_2,Contract Term (Months),stockport_contracts_7,Contract Term (Months),0.9965369701385498,numerical,True
31,stockport_contracts_2,Contract End Date,stockport_contracts_7,Contract End Date,0.9964746236801147,mixed,True
32,stockport_contracts_1,Contract Term (Months),stockport_contracts_5,Contract Term (Months),0.9964205026626588,numerical,True
33,stockport_contracts_10,Council Directorate,stockport_contracts_3,Council Directorate,0.996321141719818,textual,True
34,stockport_contracts_2,Review Date,stockport_contracts_7,Review Date,0.9963085651397704,mixed,True
35,stockport_contracts_6,Council Directorate,stockport_contracts_8,Council Directorate,0.996267557144165,textual,True
36,stockport_contracts_6,Ext. Applied to Contract,stockport_contracts_8,Ext. Applied to Contract,0.9960801601409912,textual,True
37,stockport_contracts_10,Council Directorate,stockport_contracts_2,Council Directorate,0.9959956407546996,textual,True
38,stockport_contracts_10,Council Directorate,stockport_contracts_7,Council Directorate,0.9959754347801208,textual,True
39,stockport_contracts_3,Council Directorate,stockport_contracts_9,Council Directorate,0.995900571346283,textual,True
40,stockport_contracts_2,Contract Start Date,stockport_contracts_7,Contract Start Date,0.9958918690681458,mixed,True
