,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_11,nan2,stockport_contracts_2,Pro Class,0.9749745726585388,textual,True
1,stockport_contracts_6,Pro Class,stockport_contracts_7,Pro Class,0.9701024889945984,textual,True
2,stockport_contracts_3,Estimated Total Value,stockport_contracts_6,Estimated Total Value,0.9668424129486084,mixed,True
3,stockport_contracts_1,Client,stockport_contracts_3,Client,0.9658963680267334,textual,True
4,stockport_contracts_6,Client,stockport_contracts_7,Client,0.9642369747161864,textual,True
5,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_2,Ext. Applied to Contract,0.9624384045600892,textual,True
6,stockport_contracts_3,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.9571784138679504,mixed,True
7,stockport_contracts_3,Maximum Extend Date,stockport_contracts_6,Maximum Extend Date,0.9548779129981996,textual,True
8,stockport_contracts_1,Contract End Date,stockport_contracts_2,Contract End Date,0.9526211023330688,mixed,True
9,stockport_contracts_1,Client,stockport_contracts_6,Client,0.950408399105072,textual,True
10,stockport_contracts_1,Client,stockport_contracts_2,Client,0.95028817653656,textual,True
11,stockport_contracts_1,Client,stockport_contracts_7,Client,0.9486839771270752,textual,True
12,stockport_contracts_3,UID,stockport_contracts_6,UID,0.9484714865684508,numerical,True
13,stockport_contracts_2,Client,stockport_contracts_3,Client,0.9475510120391846,textual,True
14,stockport_contracts_5,Supplier Name,stockport_contracts_7,Supplier Name,0.9466585516929626,textual,True
15,stockport_contracts_3,Contract End Date,stockport_contracts_6,Contract End Date,0.9463796615600586,textual,True
16,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.945536732673645,mixed,True
17,stockport_contracts_2,Client,stockport_contracts_5,Client Name,0.9454176425933838,textual,True
18,stockport_contracts_6,Estimated Total Value,stockport_contracts_9,Estimated Total Value,0.9441717863082886,mixed,True
19,stockport_contracts_7,Client,stockport_contracts_8,Client,0.9435253143310548,textual,True
20,stockport_contracts_2,Council Directorate,stockport_contracts_5,Council Directorate,0.942628800868988,textual,True
21,stockport_contracts_6,Council Directorate,stockport_contracts_9,Council Directorate,0.941808581352234,textual,True
22,stockport_contracts_3,Contract Term (Months),stockport_contracts_6,Contract Term (Months),0.9399938583374025,numerical,True
23,stockport_contracts_3,Council Directorate,stockport_contracts_8,Council Directorate,0.9391580820083618,textual,True
24,stockport_contracts_7,Council Directorate,stockport_contracts_9,Council Directorate,0.9390990734100342,textual,True
25,stockport_contracts_0,unnamed18,stockport_contracts_3,Council Directorate,0.9377098679542542,textual,True
26,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_2,Maximum Duration of Contract (Months),0.9366904497146606,numerical,True
27,stockport_contracts_3,Client,stockport_contracts_8,Client,0.9357990026474,textual,True
28,stockport_contracts_2,Client,stockport_contracts_9,Client,0.9356521368026732,textual,True
29,stockport_contracts_3,Client,stockport_contracts_6,Client,0.9355772733688354,textual,True
30,stockport_contracts_10,Council Directorate,stockport_contracts_6,Council Directorate,0.93402099609375,textual,True
31,stockport_contracts_6,Council Directorate,stockport_contracts_7,Council Directorate,0.933904230594635,textual,True
32,stockport_contracts_2,Estimated Annual Value,stockport_contracts_5,Estimated Annual Value,0.9337696433067322,mixed,True
33,stockport_contracts_2,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.9333338141441344,mixed,True
34,stockport_contracts_3,Client,stockport_contracts_7,Client,0.9323241710662842,textual,True
35,stockport_contracts_2,Estimated Total Value,stockport_contracts_5,Estimated Total Value,0.9317513704299928,mixed,True
36,stockport_contracts_3,Estimated Total Value,stockport_contracts_9,Estimated Total Value,0.931594729423523,mixed,True
37,stockport_contracts_1,Client,stockport_contracts_5,Client Name,0.9315750002861024,textual,True
38,stockport_contracts_8,Estimated Annual Value,stockport_contracts_9,Estimated Annual Value,0.9314299821853638,mixed,True
39,stockport_contracts_3,Client,stockport_contracts_5,Client Name,0.9311642646789552,textual,True
40,stockport_contracts_11,nan19,stockport_contracts_2,Council Directorate,0.9301444888114928,textual,True
41,stockport_contracts_0,unnamed1,stockport_contracts_1,Client,0.9300479292869568,textual,True
42,stockport_contracts_1,Pro Class,stockport_contracts_7,Pro Class,0.9299455285072328,textual,True
43,stockport_contracts_11,nan19,stockport_contracts_6,Council Directorate,0.9298378825187684,textual,True
44,stockport_contracts_2,Estimated Annual Value,stockport_contracts_8,Estimated Annual Value,0.9296878576278688,mixed,True
45,stockport_contracts_7,Client,stockport_contracts_9,Client,0.9292311668395996,textual,True
46,stockport_contracts_5,Maximum Duration of Contract (Months),stockport_contracts_8,Maximum Duration of Contract (Months),0.9291666746139526,numerical,True
47,stockport_contracts_11,nan0,stockport_contracts_2,UID,0.9288816452026368,numerical,True
48,stockport_contracts_2,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.9287683963775636,mixed,True
49,stockport_contracts_6,Estimated Annual Value,stockport_contracts_7,Estimated Annual Value,0.9286326169967652,mixed,True
50,stockport_contracts_5,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.9284281730651855,mixed,True
51,stockport_contracts_11,nan19,stockport_contracts_9,Council Directorate,0.9279939532279968,textual,True
52,stockport_contracts_8,Estimated Total Value,stockport_contracts_9,Estimated Total Value,0.9272862672805786,mixed,True
53,stockport_contracts_1,Client,stockport_contracts_8,Client,0.9269965887069702,textual,True
54,stockport_contracts_11,nan1,stockport_contracts_9,Client,0.9269346594810486,textual,True
55,stockport_contracts_8,Client,stockport_contracts_9,Client,0.9257373809814452,textual,True
56,stockport_contracts_11,nan1,stockport_contracts_5,Client Name,0.9255775213241576,textual,True
57,stockport_contracts_1,Estimated Annual Value,stockport_contracts_8,Estimated Annual Value,0.925152063369751,mixed,True
