,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,1.0,textual,True
4,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
5,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
6,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
7,1007ipopayments,Entity,1009ipopayments,Entity,0.9999999403953552,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.9999818205833436,numerical,True
9,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9998669624328612,mixed,True
10,1007ipopayments,Expense type,1009ipopayments,Expense type,0.999728798866272,textual,True
11,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9997244477272034,textual,True
12,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9996758103370668,textual,True
13,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.999670147895813,mixed,True
14,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9996684193611144,textual,True
15,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9996356964111328,mixed,True
16,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.999625325202942,mixed,True
17,1006ipopayments,Date,1007ipopayments,Date,0.9995888471603394,mixed,True
18,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.999572217464447,textual,True
19,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9995410442352296,textual,True
20,1005ipopayments,Date,1007ipopayments,Date,0.9994724988937378,mixed,True
21,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9994379878044128,textual,True
22,1008ipopayments,Date,1009ipopayments,Date,0.9994195699691772,mixed,True
23,1005ipopayments,Date,1006ipopayments,Date,0.9993973970413208,mixed,True
24,1007ipopayments,Date,1008ipopayments,Date,0.9992534518241882,mixed,True
25,1006ipopayments,Date,1008ipopayments,Date,0.9992520809173584,mixed,True
26,1007ipopayments,Date,1009ipopayments,Date,0.9990646839141846,mixed,True
27,1006ipopayments,Date,1009ipopayments,Date,0.9989341497421264,mixed,True
28,1005ipopayments,Date,1008ipopayments,Date,0.9988285899162292,mixed,True
29,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9986620545387268,textual,True
30,1005ipopayments,Date,1009ipopayments,Date,0.9985174536705016,mixed,True
31,1007ipopayments,Amount,1008ipopayments,Amount,0.9984956979751588,numerical,True
32,1008ipopayments,Amount,1009ipopayments,Amount,0.998473048210144,numerical,True
33,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9784125089645386,numerical,True
34,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.9610969424247742,textual,True
35,1005ipopayments,Vendor,1009ipopayments,Supplier,0.9498142600059508,textual,True
36,1005ipopayments,Vendor,1008ipopayments,Supplier,0.9489081501960754,textual,True
37,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9410380721092224,textual,True
38,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.9408364295959472,textual,True
39,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.9401986598968506,textual,True
40,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.9258366823196412,textual,True
41,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.9257898330688475,numerical,True
42,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.9257769584655762,numerical,True
43,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.9254828095436096,textual,True
44,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.9254776239395142,textual,True
45,1008ipopayments,Amount,1010ipopayments,Transaction Amount,0.9242342710494996,numerical,True
46,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.9238095879554749,textual,True
