,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,1.0,textual,True
4,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
5,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
6,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
7,1007ipopayments,Entity,1009ipopayments,Entity,0.9999999403953552,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.9999841451644896,numerical,True
9,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9998835325241088,mixed,True
10,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9997626543045044,textual,True
11,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9997588992118835,textual,True
12,1006ipopayments,Expense type,1007ipopayments,Expense type,0.999716341495514,textual,True
13,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.999711275100708,mixed,True
14,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9997098445892334,textual,True
15,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9996812343597412,mixed,True
16,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9996720552444458,mixed,True
17,1006ipopayments,Date,1007ipopayments,Date,0.9996402859687804,mixed,True
18,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9996256828308104,textual,True
19,1006ipopayments,Expense area,1007ipopayments,Expense area,0.999598503112793,textual,True
20,1005ipopayments,Date,1007ipopayments,Date,0.9995384812355042,mixed,True
21,1007ipopayments,Expense area,1009ipopayments,Expense area,0.999508261680603,textual,True
22,1008ipopayments,Date,1009ipopayments,Date,0.9994921684265136,mixed,True
23,1005ipopayments,Date,1006ipopayments,Date,0.999472677707672,mixed,True
24,1007ipopayments,Date,1008ipopayments,Date,0.9993467926979064,mixed,True
25,1006ipopayments,Date,1008ipopayments,Date,0.999345600605011,mixed,True
26,1007ipopayments,Date,1009ipopayments,Date,0.999181628227234,mixed,True
27,1006ipopayments,Date,1009ipopayments,Date,0.9990674257278442,mixed,True
28,1005ipopayments,Date,1008ipopayments,Date,0.9989750385284424,mixed,True
29,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9988293647766112,textual,True
30,1005ipopayments,Date,1009ipopayments,Date,0.9987027645111084,mixed,True
31,1007ipopayments,Amount,1008ipopayments,Amount,0.9986836910247804,numerical,True
32,1008ipopayments,Amount,1009ipopayments,Amount,0.9986640214920044,numerical,True
33,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9970703125,numerical,True
34,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.98983496427536,textual,True
35,1005ipopayments,Vendor,1009ipopayments,Supplier,0.9834139347076416,textual,True
36,1005ipopayments,Vendor,1008ipopayments,Supplier,0.9826210737228394,textual,True
37,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9782836437225342,textual,True
38,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.9781072735786438,textual,True
39,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.9775491952896118,textual,True
40,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.965684413909912,textual,True
41,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.965635061264038,numerical,True
42,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.9656237363815308,numerical,True
43,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.9653748273849488,textual,True
44,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.965370237827301,textual,True
45,1008ipopayments,Amount,1010ipopayments,Transaction Amount,0.9642739295959472,numerical,True
46,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.9637869596481324,textual,True
