,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0000000029802325,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0000000029802325,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000000029802325,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,1.0000000029802325,textual,True
4,1007ipopayments,Entity,1009ipopayments,Entity,1.0000000029802325,textual,True
5,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0000000029802325,textual,True
6,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000000029802325,textual,True
7,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000000029802325,textual,True
8,1006ipopayments,Date,1007ipopayments,Date,0.9773486968563492,mixed,True
9,1007ipopayments,Amount,1009ipopayments,Amount,0.9768906916815512,numerical,True
10,1008ipopayments,Date,1009ipopayments,Date,0.9747865029184491,mixed,True
11,1005ipopayments,Date,1006ipopayments,Date,0.9728665957356264,mixed,True
12,1005ipopayments,Date,1007ipopayments,Date,0.97219316450916,mixed,True
13,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9696863781334252,textual,True
14,1007ipopayments,Date,1008ipopayments,Date,0.9670863555234592,mixed,True
15,1007ipopayments,Date,1009ipopayments,Date,0.966892989724084,mixed,True
16,1006ipopayments,Date,1008ipopayments,Date,0.9667561687570132,mixed,True
17,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9658701556500844,textual,True
18,1006ipopayments,Date,1009ipopayments,Date,0.9652877737530988,mixed,True
19,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9643425688225964,textual,True
20,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9625173438602062,textual,True
21,1005ipopayments,Date,1008ipopayments,Date,0.9615862123987092,mixed,True
22,1005ipopayments,Date,1009ipopayments,Date,0.9593759448131868,mixed,True
23,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9569787426809664,textual,True
24,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9562155567407644,textual,True
25,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9546750320288964,numerical,True
26,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9543958528165968,textual,True
27,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9442552471897744,mixed,True
28,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9412287263688082,mixed,True
29,1008ipopayments,Amount,1009ipopayments,Amount,0.9385707009900376,numerical,True
30,1007ipopayments,Amount,1008ipopayments,Amount,0.9385261662084128,numerical,True
31,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9383584357925034,textual,True
32,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9352994460086548,mixed,True
33,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.9349932315423716,mixed,True
34,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9203697592170876,textual,True
35,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.9145709678530692,textual,True
36,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.9145709678530692,textual,True
37,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.9145709678530692,textual,True
38,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.9145709678530692,textual,True
39,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.9131205583535112,textual,True
40,1008ipopayments,Entity Category,1010ipopayments,Department Primary,0.9123894453048706,textual,True
41,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.9104983220583152,textual,True
42,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.904988865737832,textual,True
43,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.9027221207786889,numerical,True
44,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.9015072613305394,numerical,True
45,1005ipopayments,ExpenseCategory,1009ipopayments,Expense area,0.8982692014816287,textual,True
46,1005ipopayments,ExpenseCategory,1008ipopayments,Expense Office,0.8974150549892191,textual,True
47,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.8952004001600562,numerical,True
48,1005ipopayments,DeptName,1008ipopayments,Department Category,0.8943228229880333,textual,True
49,1005ipopayments,ExpenseCategory,1006ipopayments,Expense area,0.894179992338885,textual,True
50,1004ipopayments,Transaction Total,1007ipopayments,Amount,0.8933471975555602,numerical,True
51,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.8913974227476695,textual,True
52,1007ipopayments,Entity,1008ipopayments,Entity Category,0.889543879032135,textual,True
53,1008ipopayments,Entity Category,1009ipopayments,Entity,0.889543879032135,textual,True
54,1007ipopayments,Department family,1008ipopayments,Department Category,0.8881426259875298,textual,True
55,1008ipopayments,Department Category,1009ipopayments,Department family,0.8881426259875298,textual,True
56,1008ipopayments,Expense Category,1009ipopayments,Expense type,0.8873691561473297,textual,True
57,1009ipopayments,Expense type,1010ipopayments,Expense Category,0.882894653425171,textual,True
58,1007ipopayments,Entity,1010ipopayments,Department Primary,0.876703928411007,textual,True
59,1009ipopayments,Entity,1010ipopayments,Department Primary,0.876703928411007,textual,True
60,1007ipopayments,Expense type,1008ipopayments,Expense Category,0.8763430373344279,textual,True
61,1006ipopayments,Expense type,1008ipopayments,Expense Category,0.8749545002048085,textual,True
62,1006ipopayments,Expense type,1010ipopayments,Expense Category,0.8697270967666118,textual,True
63,1005ipopayments,DeptName,1007ipopayments,Department family,0.8693991109728814,textual,True
64,1005ipopayments,DeptName,1009ipopayments,Department family,0.8693991109728814,textual,True
65,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.8661949415279467,textual,True
66,1008ipopayments,Amount,1010ipopayments,Transaction Amount,0.8642579417606577,numerical,True
67,1005ipopayments,Expense,1006ipopayments,Expense type,0.8616903534150344,textual,True
68,1004ipopayments,Category,1005ipopayments,ExpenseCategory,0.8612140003323678,textual,True
69,1004ipopayments,Title,1009ipopayments,Expense type,0.8610821065333717,textual,True
70,1004ipopayments,Title,1007ipopayments,Expense type,0.8607199766172079,textual,True
71,1005ipopayments,Expense,1009ipopayments,Expense type,0.8579060282719315,textual,True
72,1004ipopayments,Transaction Total,1008ipopayments,Amount,0.8568816542913743,numerical,True
73,1005ipopayments,OfficeName,1008ipopayments,Entity Category,0.856126106530428,textual,True
74,1005ipopayments,Expense,1007ipopayments,Expense type,0.8559045284297153,textual,True
75,1009ipopayments,Transaction number,1010ipopayments,Transaction ID,0.8549357495824114,mixed,True
