,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0000001668930054,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0000001668930054,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000001668930054,textual,True
3,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0000001668930054,textual,True
4,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000001668930054,textual,True
5,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0000001668930054,textual,True
6,1007ipopayments,Department family,1009ipopayments,Department family,0.9999999880790712,textual,True
7,1007ipopayments,Entity,1009ipopayments,Entity,0.9999999880790712,textual,True
8,1006ipopayments,Date,1007ipopayments,Date,0.991505748282615,mixed,True
9,1007ipopayments,Amount,1009ipopayments,Amount,0.9913340559467104,numerical,True
10,1008ipopayments,Date,1009ipopayments,Date,0.9905449255559023,mixed,True
11,1005ipopayments,Date,1006ipopayments,Date,0.989824960362344,mixed,True
12,1005ipopayments,Date,1007ipopayments,Date,0.989572423652419,mixed,True
13,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9886324383661632,textual,True
14,1007ipopayments,Date,1008ipopayments,Date,0.9876573702827812,mixed,True
15,1007ipopayments,Date,1009ipopayments,Date,0.9875848581080156,mixed,True
16,1006ipopayments,Date,1008ipopayments,Date,0.987533550245364,mixed,True
17,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9872013549349103,textual,True
18,1006ipopayments,Date,1009ipopayments,Date,0.986982902118896,mixed,True
19,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9866284502699576,textual,True
20,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9859439909090612,textual,True
21,1005ipopayments,Date,1008ipopayments,Date,0.985594816611,mixed,True
22,1005ipopayments,Date,1009ipopayments,Date,0.984765966266429,mixed,True
23,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9843219717328782,numerical,True
24,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9838670750714912,textual,True
25,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9835808207392708,textual,True
26,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9828984913723526,textual,True
27,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9790956450530046,mixed,True
28,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.977960759349787,mixed,True
29,1008ipopayments,Amount,1009ipopayments,Amount,0.9769640594373928,numerical,True
30,1007ipopayments,Amount,1008ipopayments,Amount,0.9769473588942836,numerical,True
31,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9768844003836727,textual,True
32,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9757372196100847,mixed,True
33,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.9756223891852284,mixed,True
34,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.94369094182823,textual,True
35,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9418384991642774,textual,True
36,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.9391200488404362,textual,True
37,1006ipopayments,Expense area,1008ipopayments,Expense Office,0.9360706641095566,textual,True
38,1005ipopayments,Vendor,1009ipopayments,Supplier,0.9279636360701096,textual,True
39,1005ipopayments,Vendor,1008ipopayments,Supplier,0.923244077525315,textual,True
