,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.0,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
3,1007ipopayments,Department family,1009ipopayments,Department family,1.0,textual,True
4,1007ipopayments,Entity,1009ipopayments,Entity,1.0,textual,True
5,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.0,textual,True
6,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
7,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.0,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.996399998664856,numerical,True
9,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.990348219871521,mixed,True
10,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9862422943115234,textual,True
11,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9861014485359192,textual,True
12,1006ipopayments,Expense type,1007ipopayments,Expense type,0.984824538230896,textual,True
13,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.9845067858695984,mixed,True
14,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9839669466018676,mixed,True
15,1008ipopayments,Supplier,1009ipopayments,Supplier,0.983794927597046,textual,True
16,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9832375049591064,mixed,True
17,1006ipopayments,Date,1007ipopayments,Date,0.9828611612319946,mixed,True
18,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9822949171066284,textual,True
19,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9808112978935242,textual,True
20,1005ipopayments,Date,1007ipopayments,Date,0.9805887937545776,mixed,True
21,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9798776507377625,textual,True
22,1008ipopayments,Date,1009ipopayments,Date,0.9796299934387208,mixed,True
23,1005ipopayments,Date,1006ipopayments,Date,0.9792507886886596,mixed,True
24,1007ipopayments,Date,1008ipopayments,Date,0.976902723312378,mixed,True
25,1006ipopayments,Date,1008ipopayments,Date,0.97688090801239,mixed,True
26,1007ipopayments,Date,1009ipopayments,Date,0.974143922328949,mixed,True
27,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9733990430831908,numerical,True
28,1006ipopayments,Date,1009ipopayments,Date,0.972399115562439,mixed,True
29,1005ipopayments,Date,1008ipopayments,Date,0.9710696935653688,mixed,True
30,1006ipopayments,Expense area,1009ipopayments,Expense area,0.9677178263664246,textual,True
31,1005ipopayments,Date,1009ipopayments,Date,0.9674495458602904,mixed,True
32,1007ipopayments,Amount,1008ipopayments,Amount,0.9642943143844604,numerical,True
33,1008ipopayments,Amount,1009ipopayments,Amount,0.9640386700630188,numerical,True
34,1008ipopayments,Expense Office,1009ipopayments,Expense area,0.9307266473770142,textual,True
35,1004ipopayments,Supplier Name,1006ipopayments,Vendor Name,0.9257299304008484,textual,True
36,1007ipopayments,Expense area,1008ipopayments,Expense Office,0.925000548362732,textual,True
37,1009ipopayments,Amount,1010ipopayments,Transaction Amount,0.9216156601905824,numerical,True
38,1007ipopayments,Amount,1010ipopayments,Transaction Amount,0.9206299781799316,numerical,True
39,1005ipopayments,ExpenseCategory,1007ipopayments,Expense area,0.9159150123596193,textual,True
40,1004ipopayments,VAT registration number,1008ipopayments,VAT number,0.9145709872245787,textual,True
41,1007ipopayments,VAT registration number,1008ipopayments,VAT number,0.9145709872245787,textual,True
42,1008ipopayments,VAT number,1009ipopayments,VAT registration number,0.9145709872245787,textual,True
43,1008ipopayments,VAT number,1010ipopayments,VAT registration number,0.9145709872245787,textual,True
44,1004ipopayments,Transaction Total,1009ipopayments,Amount,0.914392113685608,numerical,True
45,1007ipopayments,Expense type,1010ipopayments,Expense Category,0.9135832190513612,textual,True
46,1004ipopayments,Transaction Total,1007ipopayments,Amount,0.9135593771934508,numerical,True
