,table_a,column_a,table_b,column_b,similarity,type,correct
0,1004ipopayments,VAT registration number,1007ipopayments,VAT registration number,1.000000238418579,textual,True
1,1004ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.000000238418579,textual,True
2,1004ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.000000238418579,textual,True
3,1007ipopayments,VAT registration number,1009ipopayments,VAT registration number,1.000000238418579,textual,True
4,1007ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.000000238418579,textual,True
5,1009ipopayments,VAT registration number,1010ipopayments,VAT registration number,1.000000238418579,textual,True
6,1007ipopayments,Department family,1009ipopayments,Department family,1.0,textual,True
7,1007ipopayments,Entity,1009ipopayments,Entity,1.0,textual,True
8,1007ipopayments,Amount,1009ipopayments,Amount,0.998650074005127,numerical,True
9,1008ipopayments,Transaction number,1009ipopayments,Transaction number,0.9963805079460144,mixed,True
10,1006ipopayments,Expense type,1009ipopayments,Expense type,0.9948408603668212,textual,True
11,1007ipopayments,Expense type,1009ipopayments,Expense type,0.9947880506515504,textual,True
12,1006ipopayments,Expense type,1007ipopayments,Expense type,0.9943091869354248,textual,True
13,1006ipopayments,Transaction number,1008ipopayments,Transaction number,0.994189977645874,mixed,True
14,1004ipopayments,Transaction ID,1010ipopayments,Transaction ID,0.9939875602722168,mixed,True
15,1008ipopayments,Supplier,1009ipopayments,Supplier,0.9939230680465698,textual,True
16,1006ipopayments,Transaction number,1009ipopayments,Transaction number,0.9937139749526978,mixed,True
17,1006ipopayments,Date,1007ipopayments,Date,0.9935729503631592,mixed,True
18,1008ipopayments,Expense Category,1010ipopayments,Expense Category,0.9933606386184692,textual,True
19,1006ipopayments,Expense area,1007ipopayments,Expense area,0.9928042888641356,textual,True
20,1005ipopayments,Date,1007ipopayments,Date,0.9927208423614502,mixed,True
21,1007ipopayments,Expense area,1009ipopayments,Expense area,0.9924541711807252,textual,True
22,1008ipopayments,Date,1009ipopayments,Date,0.9923612475395204,mixed,True
23,1005ipopayments,Date,1006ipopayments,Date,0.9922190308570862,mixed,True
24,1004ipopayments,Transaction Total,1010ipopayments,Transaction Amount,0.9913434982299804,numerical,True
