,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kjul12,Department family,25kjun11,Department family,1.000000001490116,textual,True
1,25kjul12,Department family,25kmar12,Department family,1.000000001490116,textual,True
2,25kjul12,Department family,25kmay10,Department family,1.000000001490116,textual,True
3,25kjul12,Department family,25koct10,Department family,1.000000001490116,textual,True
4,25kjul12,Entity,25kjun11,Entity,1.000000001490116,textual,True
5,25kjul12,Entity,25kmar12,Entity,1.000000001490116,textual,True
6,25kjul12,Entity,25kmay10,Entity,1.000000001490116,textual,True
7,25kjun11,Department family,25kmar12,Department family,1.000000001490116,textual,True
8,25kjun11,Department family,25kmay10,Department family,1.000000001490116,textual,True
9,25kjun11,Department family,25knov10,Department family,1.000000001490116,textual,True
10,25kjun11,Department family,25koct10,Department family,1.000000001490116,textual,True
11,25kjun11,Department family,25koct11,Department family,1.000000001490116,textual,True
12,25kjun11,Department family,25ksep11,Department family,1.000000001490116,textual,True
13,25kjun11,Entity,25kmar12,Entity,1.000000001490116,textual,True
14,25kjun11,Entity,25kmay10,Entity,1.000000001490116,textual,True
15,25kjun11,Entity,25knov10,Entity,1.000000001490116,textual,True
16,25kjun11,Entity,25koct11,Entity,1.000000001490116,textual,True
17,25kjun11,Entity,25ksep11,Entity,1.000000001490116,textual,True
18,25kmar12,Department family,25kmay10,Department family,1.000000001490116,textual,True
19,25kmar12,Department family,25koct10,Department family,1.000000001490116,textual,True
20,25kmar12,Entity,25kmay10,Entity,1.000000001490116,textual,True
21,25kmay10,Department family,25knov10,Department family,1.000000001490116,textual,True
22,25kmay10,Department family,25koct10,Department family,1.000000001490116,textual,True
23,25kmay10,Department family,25koct11,Department family,1.000000001490116,textual,True
24,25kmay10,Department family,25ksep11,Department family,1.000000001490116,textual,True
25,25kmay10,Entity,25knov10,Entity,1.000000001490116,textual,True
26,25kmay10,Entity,25koct11,Entity,1.000000001490116,textual,True
27,25kmay10,Entity,25ksep11,Entity,1.000000001490116,textual,True
28,25knov10,Department family,25koct10,Department family,1.000000001490116,textual,True
29,25knov10,Department family,25koct11,Department family,1.000000001490116,textual,True
30,25knov10,Department family,25ksep11,Department family,1.000000001490116,textual,True
31,25knov10,Entity,25koct11,Entity,1.000000001490116,textual,True
32,25knov10,Entity,25ksep11,Entity,1.000000001490116,textual,True
33,25koct10,Department family,25koct11,Department family,1.000000001490116,textual,True
34,25koct10,Department family,25ksep11,Department family,1.000000001490116,textual,True
35,25koct11,Department family,25ksep11,Department family,1.000000001490116,textual,True
36,25koct11,Entity,25ksep11,Entity,1.000000001490116,textual,True
37,25kmar12,Department family,25knov10,Department family,0.9998563616781664,textual,True
38,25kmar12,Department family,25koct11,Department family,0.9998563616781664,textual,True
39,25kmar12,Department family,25ksep11,Department family,0.9998563616781664,textual,True
40,25kmar12,Entity,25knov10,Entity,0.9998563616781664,textual,True
41,25kmar12,Entity,25koct11,Entity,0.9998563616781664,textual,True
42,25kmar12,Entity,25ksep11,Entity,0.9998563616781664,textual,True
43,25kjul12,Department family,25knov10,Department family,0.9997968641234368,textual,True
44,25kjul12,Department family,25koct11,Department family,0.9997968641234368,textual,True
45,25kjul12,Department family,25ksep11,Department family,0.9997968641234368,textual,True
46,25kjul12,Entity,25knov10,Entity,0.9997968641234368,textual,True
47,25kjul12,Entity,25koct11,Entity,0.9997968641234368,textual,True
48,25kjul12,Entity,25ksep11,Entity,0.9997968641234368,textual,True
49,25kjul12,Entity,25kjun10,Ent,0.9833685025572776,textual,True
50,25kjun10,Ent,25kjun11,Entity,0.9833685025572776,textual,True
51,25kjun10,Ent,25kmar12,Entity,0.9833685025572776,textual,True
52,25kjun10,Ent,25kmay10,Entity,0.9833685025572776,textual,True
53,25kjun10,Ent,25knov10,Entity,0.9831653651905984,textual,True
54,25kjun10,Ent,25koct11,Entity,0.9831653651905984,textual,True
55,25kjun10,Ent,25ksep11,Entity,0.9831653651905984,textual,True
56,25kjul12,Entity,25kjun10,Dept,0.9741645693778992,textual,False
57,25kjun10,Dept,25kjun11,Entity,0.9741645693778992,textual,False
58,25kjun10,Dept,25kmar12,Entity,0.9741645693778992,textual,False
59,25kjun10,Dept,25kmay10,Entity,0.9741645693778992,textual,False
60,25kjun10,Dept,25knov10,Entity,0.97396143201122,textual,False
61,25kjun10,Dept,25koct11,Entity,0.97396143201122,textual,False
62,25kjun10,Dept,25ksep11,Entity,0.97396143201122,textual,False
63,25kmay10,Expense area,25knov10,Expense area,0.9708505832842022,textual,True
64,25kjul12,Department family,25kmar11,Secondary Organization,0.9702539086341858,textual,True
65,25kjun11,Department family,25kmar11,Secondary Organization,0.9702539086341858,textual,True
66,25kmar11,Secondary Organization,25kmar12,Department family,0.9702539086341858,textual,True
67,25kmar11,Secondary Organization,25kmay10,Department family,0.9702539086341858,textual,True
68,25kmar11,Secondary Organization,25koct10,Department family,0.9702539086341858,textual,True
69,25kmar11,Secondary Organization,25knov10,Department family,0.9701102688222362,textual,True
70,25kmar11,Secondary Organization,25koct11,Department family,0.9701102688222362,textual,True
71,25kmar11,Secondary Organization,25ksep11,Department family,0.9701102688222362,textual,True
72,25kjun10,Dept,25kmar11,Secondary Organization,0.9688089281320572,textual,True
73,25kjul12,Entity,25kmar11,Secondary Organization,0.9641202703118325,textual,False
74,25kjun11,Entity,25kmar11,Secondary Organization,0.9641202703118325,textual,False
75,25kmar11,Secondary Organization,25kmar12,Entity,0.9641202703118325,textual,False
76,25kmar11,Secondary Organization,25kmay10,Entity,0.9641202703118325,textual,False
77,25kmar11,Secondary Organization,25knov10,Entity,0.9639766304998828,textual,False
78,25kmar11,Secondary Organization,25koct11,Entity,0.9639766304998828,textual,False
79,25kmar11,Secondary Organization,25ksep11,Entity,0.9639766304998828,textual,False
80,25kjul12,Department family,25kmar11,Primary Organization,0.9630753189325332,textual,False
81,25kjun11,Department family,25kmar11,Primary Organization,0.9630753189325332,textual,False
82,25kmar11,Primary Organization,25kmar12,Department family,0.9630753189325332,textual,False
83,25kmar11,Primary Organization,25kmay10,Department family,0.9630753189325332,textual,False
84,25kmar11,Primary Organization,25koct10,Department family,0.9630753189325332,textual,False
85,25kmar11,Primary Organization,25knov10,Department family,0.9629316791205836,textual,False
86,25kmar11,Primary Organization,25koct11,Department family,0.9629316791205836,textual,False
87,25kmar11,Primary Organization,25ksep11,Department family,0.9629316791205836,textual,False
