,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kjun11,Department family,25koct10,Department family,0.9999999403953552,textual,True
1,25knov10,Department family,25koct11,Department family,0.9999999403953552,textual,True
2,25knov10,Department family,25ksep11,Department family,0.9999999403953552,textual,True
3,25knov10,Entity,25koct11,Entity,0.9999999403953552,textual,True
4,25knov10,Entity,25ksep11,Entity,0.9999999403953552,textual,True
5,25koct11,Department family,25ksep11,Department family,0.9999999403953552,textual,True
6,25koct11,Entity,25ksep11,Entity,0.9999999403953552,textual,True
7,25kjun11,Department family,25kmay10,Department family,0.9999996423721312,textual,True
8,25kjun11,Entity,25kmay10,Entity,0.9999996423721312,textual,True
9,25kmay10,Department family,25koct10,Department family,0.9999996423721312,textual,True
10,25kjul12,Department family,25kjun11,Department family,0.9999995231628418,textual,True
11,25kjul12,Department family,25kmay10,Department family,0.9999995231628418,textual,True
12,25kjul12,Department family,25koct10,Department family,0.9999995231628418,textual,True
13,25kjul12,Entity,25kjun11,Entity,0.9999995231628418,textual,True
14,25kjul12,Entity,25kmay10,Entity,0.9999995231628418,textual,True
15,25kmar12,Department family,25kmay10,Department family,0.9999995231628418,textual,True
16,25kmar12,Entity,25kmay10,Entity,0.9999995231628418,textual,True
17,25kjun11,Department family,25kmar12,Department family,0.999999463558197,textual,True
18,25kjun11,Entity,25kmar12,Entity,0.999999463558197,textual,True
19,25kmar12,Department family,25koct10,Department family,0.999999463558197,textual,True
20,25kjul12,Department family,25kmar12,Department family,0.9999994039535522,textual,True
21,25kjul12,Entity,25kmar12,Entity,0.9999994039535522,textual,True
22,25kjul12,Department family,25knov10,Department family,0.9999993443489076,textual,True
23,25kjul12,Department family,25koct11,Department family,0.9999993443489076,textual,True
24,25kjul12,Department family,25ksep11,Department family,0.9999993443489076,textual,True
25,25kjul12,Entity,25knov10,Entity,0.9999993443489076,textual,True
26,25kjul12,Entity,25koct11,Entity,0.9999993443489076,textual,True
27,25kjul12,Entity,25ksep11,Entity,0.9999993443489076,textual,True
28,25kmar12,Department family,25knov10,Department family,0.9999993443489076,textual,True
29,25kmar12,Department family,25koct11,Department family,0.9999993443489076,textual,True
30,25kmar12,Department family,25ksep11,Department family,0.9999993443489076,textual,True
31,25kmar12,Entity,25knov10,Entity,0.9999993443489076,textual,True
32,25kmar12,Entity,25koct11,Entity,0.9999993443489076,textual,True
33,25kmar12,Entity,25ksep11,Entity,0.9999993443489076,textual,True
34,25kmay10,Department family,25knov10,Department family,0.9999993443489076,textual,True
35,25kmay10,Department family,25koct11,Department family,0.9999993443489076,textual,True
36,25kmay10,Department family,25ksep11,Department family,0.9999993443489076,textual,True
37,25kmay10,Entity,25knov10,Entity,0.9999993443489076,textual,True
38,25kmay10,Entity,25koct11,Entity,0.9999993443489076,textual,True
39,25kmay10,Entity,25ksep11,Entity,0.9999993443489076,textual,True
40,25kjun11,Department family,25knov10,Department family,0.9999992847442628,textual,True
41,25kjun11,Department family,25koct11,Department family,0.9999992847442628,textual,True
42,25kjun11,Department family,25ksep11,Department family,0.9999992847442628,textual,True
43,25kjun11,Entity,25knov10,Entity,0.9999992847442628,textual,True
44,25kjun11,Entity,25koct11,Entity,0.9999992847442628,textual,True
45,25kjun11,Entity,25ksep11,Entity,0.9999992847442628,textual,True
46,25knov10,Department family,25koct10,Department family,0.9999992847442628,textual,True
47,25koct10,Department family,25koct11,Department family,0.9999992847442628,textual,True
48,25koct10,Department family,25ksep11,Department family,0.9999992847442628,textual,True
49,25kmar11,Amount,25kmar12,Amount,0.9910029768943788,numerical,True
50,25kmar11,Amount,25knov10,Amount,0.98778235912323,numerical,True
51,25kmar12,Amount,25knov10,Amount,0.9876888394355774,numerical,True
52,25kmay10,Expense area,25knov10,Expense area,0.98674213886261,textual,True
53,25kjun11,Expense area,25koct10,Expense area,0.9827693104743958,textual,True
54,25kmar11,Transaction number,25kmar12,Transaction number,0.981597900390625,numerical,True
55,25kjun12,Expense area,25kmar12,Expense area,0.9815258383750916,textual,True
56,25koct11,Supplier,25ksep11,Supplier,0.9803601503372192,textual,True
57,25knov10,Expense area,25koct10,Expense area,0.9802759885787964,textual,True
58,25kmar11,Expense Category,25kmay10,Expense area,0.9799932837486268,textual,True
59,25kjun11,Supplier,25knov10,Supplier,0.9797513484954834,textual,True
60,25kjul12,Supplier,25kmar12,Supplier,0.9789958000183104,textual,True
61,25kjun11,Supplier,25ksep11,Supplier,0.9778825640678406,textual,True
62,25kmay10,Expense area,25koct10,Expense area,0.9756384491920472,textual,True
63,25kmay10,Supplier,25knov10,Supplier,0.9752765893936156,textual,True
64,25knov10,Supplier,25ksep11,Supplier,0.9746335744857788,textual,True
65,25knov10,Supplier,25koct10,Supplier,0.9745447039604188,textual,True
66,25kjun11,Expense area,25knov10,Expense area,0.9742568731307985,textual,True
67,25kmar12,Supplier,25koct11,Supplier,0.973323404788971,textual,True
68,25kjul12,Supplier,25koct11,Supplier,0.9731685519218444,textual,True
69,25koct10,Supplier,25ksep11,Supplier,0.9731571674346924,textual,True
70,25kjun11,Supplier,25koct10,Supplier,0.9730026721954346,textual,True
71,25kjul12,Supplier,25kmay10,Supplier,0.972926914691925,textual,True
72,25koct11,Expense area,25ksep11,Expense Category,0.9723551869392396,textual,True
73,25kjun11,Supplier,25koct11,Supplier,0.9723315834999084,textual,True
74,25kjul12,Expense area,25kmar12,Expense area,0.9718260169029236,textual,True
75,25kjun11,Supplier,25kmay10,Supplier,0.9717342853546144,textual,True
76,25kjun11,Expense area,25kmay10,Expense area,0.9716145396232604,textual,True
77,25kmar11,Expense Category,25ksep11,Expense Category,0.9711334109306335,textual,True
78,25kmay10,Supplier,25ksep11,Supplier,0.9704897999763488,textual,True
79,25kjul12,Expense area,25knov10,Expense area,0.970410704612732,textual,True
80,25kmay10,Supplier,25koct10,Supplier,0.970338761806488,textual,True
81,25kjul12,Supplier,25ksep11,Supplier,0.9701637625694276,textual,True
82,25kmar11,Expense Category,25knov10,Expense area,0.9695558547973632,textual,True
83,25kjun11,Expense area,25ksep11,Expense Category,0.9692365527153016,textual,True
84,25koct10,Supplier,25koct11,Supplier,0.9692100286483764,textual,True
85,25knov10,Supplier,25koct11,Supplier,0.968934953212738,textual,True
86,25kjul12,Expense area,25kmay10,Expense area,0.9689273238182068,textual,True
87,25kmay10,Supplier,25koct11,Supplier,0.9685669541358948,textual,True
88,25kmar12,Supplier,25kmay10,Supplier,0.9676786661148072,textual,True
89,25kjul12,Expense area,25kjun12,Expense area,0.9673181176185608,textual,True
90,25koct10,Expense area,25ksep11,Expense Category,0.9671697616577148,textual,True
91,25kjul12,Supplier,25knov10,Supplier,0.9669728875160216,textual,True
92,25kjul12,Entity,25kjun10,Ent,0.9667369723320008,textual,True
93,25kjun10,Ent,25kjun11,Entity,0.9667365550994872,textual,True
94,25kjun10,Ent,25kmay10,Entity,0.9667365550994872,textual,True
95,25kjun10,Ent,25kmar12,Entity,0.9667364358901978,textual,True
96,25kjun10,Ent,25knov10,Entity,0.966736376285553,textual,True
97,25kjun10,Ent,25koct11,Entity,0.966736376285553,textual,True
98,25kjun10,Ent,25ksep11,Entity,0.966736376285553,textual,True
99,25kmay10,Expense area,25koct11,Expense area,0.9665382504463196,textual,True
100,25kjun11,Expense area,25koct11,Expense area,0.9664722084999084,textual,True
101,25kjul12,Expense area,25koct11,Expense area,0.9662477970123292,textual,True
102,25kjul12,Expense area,25koct10,Expense area,0.9662382006645204,textual,True
103,25kmay10,Expense type,25knov10,Expense type,0.9659959077835084,textual,True
104,25kmar12,Supplier,25ksep11,Supplier,0.9656786918640136,textual,True
105,25kmar11,Expense Category,25koct10,Expense area,0.9654783606529236,textual,True
106,25kjul12,Supplier,25kjun11,Supplier,0.9649962186813354,textual,True
107,25kmay10,Expense area,25ksep11,Expense Category,0.9640291929244996,textual,True
108,25kjun11,Expense type,25ksep11,Expense Title,0.9639155268669128,textual,True
109,25koct10,Expense area,25koct11,Expense area,0.9638279676437378,textual,True
110,25kjul12,Expense type,25kmar12,Expense type,0.9636822938919068,textual,True
111,25kjul12,Expense type,25kjun12,Expense type,0.9634689092636108,textual,True
112,25kjul12,Supplier,25koct10,Supplier,0.962983787059784,textual,True
113,25kjun12,Expense type,25kmar12,Expense type,0.962695300579071,textual,True
114,25kjul12,Expense area,25kjun11,Expense area,0.9626457691192628,textual,True
115,25kmar11,Expense Category,25koct11,Expense area,0.9622804522514344,textual,True
116,25kjun10,Vendor,25koct10,Supplier,0.9619510769844056,textual,True
117,25knov10,Expense area,25koct11,Expense area,0.961061716079712,textual,True
118,25kjun11,Expense area,25kmar11,Expense Category,0.960899531841278,textual,True
119,25knov10,Expense area,25ksep11,Expense Category,0.9608279466629028,textual,True
120,25kmar12,Supplier,25knov10,Supplier,0.9607411026954652,textual,True
121,25kjun11,Supplier,25kmar12,Supplier,0.958952009677887,textual,True
122,25knov10,Expense type,25koct10,Expense type,0.9583232402801514,textual,True
123,25kmar12,Supplier,25koct10,Supplier,0.95725816488266,textual,True
124,25kjul12,Expense area,25kmar11,Expense Category,0.9567078351974488,textual,True
125,25kjun10,Vendor,25kmay10,Supplier,0.956587016582489,textual,True
126,25kjul12,Expense area,25ksep11,Expense Category,0.955760896205902,textual,True
127,25kjun11,Expense type,25knov10,Expense type,0.9550620317459106,textual,True
128,25kmar11,Vendor,25knov10,Supplier,0.9549337029457092,textual,True
129,25kjun10,Vendor,25ksep11,Supplier,0.9545204043388368,textual,True
130,25kjun10,Vendor,25knov10,Supplier,0.9544770121574402,textual,True
131,25kjun12,Description,25kmar12,Description,0.9540182948112488,textual,True
132,25kjun10,Vendor,25kjun11,Supplier,0.9534193277359008,textual,True
