,table_a,column_a,table_b,column_b,similarity,type,correct
0,25kjun11,Department family,25koct10,Department family,0.9999999403953552,textual,True
1,25knov10,Department family,25koct11,Department family,0.9999999403953552,textual,True
2,25knov10,Department family,25ksep11,Department family,0.9999999403953552,textual,True
3,25knov10,Entity,25koct11,Entity,0.9999999403953552,textual,True
4,25knov10,Entity,25ksep11,Entity,0.9999999403953552,textual,True
5,25koct11,Department family,25ksep11,Department family,0.9999999403953552,textual,True
6,25koct11,Entity,25ksep11,Entity,0.9999999403953552,textual,True
7,25kjun11,Department family,25kmay10,Department family,0.9999996423721312,textual,True
8,25kjun11,Entity,25kmay10,Entity,0.9999996423721312,textual,True
9,25kmay10,Department family,25koct10,Department family,0.9999996423721312,textual,True
10,25kjul12,Department family,25kjun11,Department family,0.9999995231628418,textual,True
11,25kjul12,Department family,25kmay10,Department family,0.9999995231628418,textual,True
12,25kjul12,Department family,25koct10,Department family,0.9999995231628418,textual,True
13,25kjul12,Entity,25kjun11,Entity,0.9999995231628418,textual,True
14,25kjul12,Entity,25kmay10,Entity,0.9999995231628418,textual,True
15,25kmar12,Department family,25kmay10,Department family,0.9999995231628418,textual,True
16,25kmar12,Entity,25kmay10,Entity,0.9999995231628418,textual,True
17,25kjun11,Department family,25kmar12,Department family,0.999999463558197,textual,True
18,25kjun11,Entity,25kmar12,Entity,0.999999463558197,textual,True
19,25kmar12,Department family,25koct10,Department family,0.999999463558197,textual,True
20,25kjul12,Department family,25kmar12,Department family,0.9999994039535522,textual,True
21,25kjul12,Entity,25kmar12,Entity,0.9999994039535522,textual,True
22,25kjul12,Department family,25knov10,Department family,0.9999993443489076,textual,True
23,25kjul12,Department family,25koct11,Department family,0.9999993443489076,textual,True
24,25kjul12,Department family,25ksep11,Department family,0.9999993443489076,textual,True
25,25kjul12,Entity,25knov10,Entity,0.9999993443489076,textual,True
26,25kjul12,Entity,25koct11,Entity,0.9999993443489076,textual,True
27,25kjul12,Entity,25ksep11,Entity,0.9999993443489076,textual,True
28,25kmar12,Department family,25knov10,Department family,0.9999993443489076,textual,True
29,25kmar12,Department family,25koct11,Department family,0.9999993443489076,textual,True
30,25kmar12,Department family,25ksep11,Department family,0.9999993443489076,textual,True
31,25kmar12,Entity,25knov10,Entity,0.9999993443489076,textual,True
32,25kmar12,Entity,25koct11,Entity,0.9999993443489076,textual,True
33,25kmar12,Entity,25ksep11,Entity,0.9999993443489076,textual,True
34,25kmay10,Department family,25knov10,Department family,0.9999993443489076,textual,True
35,25kmay10,Department family,25koct11,Department family,0.9999993443489076,textual,True
36,25kmay10,Department family,25ksep11,Department family,0.9999993443489076,textual,True
37,25kmay10,Entity,25knov10,Entity,0.9999993443489076,textual,True
38,25kmay10,Entity,25koct11,Entity,0.9999993443489076,textual,True
39,25kmay10,Entity,25ksep11,Entity,0.9999993443489076,textual,True
40,25kjun11,Department family,25knov10,Department family,0.9999992847442628,textual,True
41,25kjun11,Department family,25koct11,Department family,0.9999992847442628,textual,True
42,25kjun11,Department family,25ksep11,Department family,0.9999992847442628,textual,True
43,25kjun11,Entity,25knov10,Entity,0.9999992847442628,textual,True
44,25kjun11,Entity,25koct11,Entity,0.9999992847442628,textual,True
45,25kjun11,Entity,25ksep11,Entity,0.9999992847442628,textual,True
46,25knov10,Department family,25koct10,Department family,0.9999992847442628,textual,True
47,25koct10,Department family,25koct11,Department family,0.9999992847442628,textual,True
48,25koct10,Department family,25ksep11,Department family,0.9999992847442628,textual,True
49,25kmar11,Amount,25kmar12,Amount,0.991002917289734,numerical,True
50,25kmar11,Amount,25knov10,Amount,0.9877822995185852,numerical,True
51,25kmar12,Amount,25knov10,Amount,0.9876887798309326,numerical,True
52,25kmay10,Expense area,25knov10,Expense area,0.9867420792579652,textual,True
53,25kjun11,Expense area,25koct10,Expense area,0.982769250869751,textual,True
54,25kmar11,Transaction number,25kmar12,Transaction number,0.9815978407859802,numerical,True
55,25kjun12,Expense area,25kmar12,Expense area,0.9815257787704468,textual,True
56,25koct11,Supplier,25ksep11,Supplier,0.9803601503372192,textual,True
57,25knov10,Expense area,25koct10,Expense area,0.9802759289741516,textual,True
58,25kjun11,Supplier,25knov10,Supplier,0.9797513484954834,textual,True
59,25kjul12,Supplier,25kmar12,Supplier,0.9789958000183104,textual,True
60,25kjun11,Supplier,25ksep11,Supplier,0.9778825640678406,textual,True
61,25kmay10,Expense area,25koct10,Expense area,0.9756383895874025,textual,True
62,25kmay10,Supplier,25knov10,Supplier,0.9752765893936156,textual,True
63,25knov10,Supplier,25ksep11,Supplier,0.9746335744857788,textual,True
64,25knov10,Supplier,25koct10,Supplier,0.9745447039604188,textual,True
65,25kjun11,Expense area,25knov10,Expense area,0.9742568135261536,textual,True
66,25kmar12,Supplier,25koct11,Supplier,0.973323404788971,textual,True
67,25kjul12,Supplier,25koct11,Supplier,0.9731685519218444,textual,True
68,25koct10,Supplier,25ksep11,Supplier,0.9731571674346924,textual,True
69,25kjun11,Supplier,25koct10,Supplier,0.9730026721954346,textual,True
70,25kjul12,Supplier,25kmay10,Supplier,0.972926914691925,textual,True
71,25kjun11,Supplier,25koct11,Supplier,0.9723315834999084,textual,True
72,25kjul12,Expense area,25kmar12,Expense area,0.9718259572982788,textual,True
73,25kjun11,Supplier,25kmay10,Supplier,0.9717342853546144,textual,True
74,25kjun11,Expense area,25kmay10,Expense area,0.9716144800186156,textual,True
75,25kmar11,Expense Category,25ksep11,Expense Category,0.9711333513259888,textual,True
76,25kmay10,Supplier,25ksep11,Supplier,0.9704897999763488,textual,True
77,25kjul12,Expense area,25knov10,Expense area,0.9704106450080872,textual,True
78,25kmay10,Supplier,25koct10,Supplier,0.970338761806488,textual,True
79,25kjul12,Supplier,25ksep11,Supplier,0.9701637625694276,textual,True
80,25koct10,Supplier,25koct11,Supplier,0.9692100286483764,textual,True
81,25knov10,Supplier,25koct11,Supplier,0.968934953212738,textual,True
82,25kjul12,Expense area,25kmay10,Expense area,0.968927264213562,textual,True
83,25kmay10,Supplier,25koct11,Supplier,0.9685669541358948,textual,True
84,25kmar12,Supplier,25kmay10,Supplier,0.9676786661148072,textual,True
85,25kjul12,Expense area,25kjun12,Expense area,0.967318058013916,textual,True
86,25kjul12,Supplier,25knov10,Supplier,0.9669728875160216,textual,True
87,25kmay10,Expense area,25koct11,Expense area,0.9665381908416748,textual,True
88,25kjun11,Expense area,25koct11,Expense area,0.9664721488952636,textual,True
89,25kjul12,Expense area,25koct11,Expense area,0.9662477374076844,textual,True
90,25kjul12,Expense area,25koct10,Expense area,0.9662381410598756,textual,True
91,25kmay10,Expense type,25knov10,Expense type,0.9659959077835084,textual,True
92,25kmar12,Supplier,25ksep11,Supplier,0.9656786918640136,textual,True
93,25kjul12,Supplier,25kjun11,Supplier,0.9649962186813354,textual,True
94,25koct10,Expense area,25koct11,Expense area,0.963827908039093,textual,True
95,25kjul12,Expense type,25kmar12,Expense type,0.9636822938919068,textual,True
96,25kjul12,Expense type,25kjun12,Expense type,0.9634689092636108,textual,True
97,25kjul12,Supplier,25koct10,Supplier,0.962983787059784,textual,True
98,25kjun12,Expense type,25kmar12,Expense type,0.962695300579071,textual,True
99,25kjul12,Expense area,25kjun11,Expense area,0.962645709514618,textual,True
100,25knov10,Expense area,25koct11,Expense area,0.9610616564750672,textual,True
101,25kmar12,Supplier,25knov10,Supplier,0.9607411026954652,textual,True
102,25kjun11,Supplier,25kmar12,Supplier,0.958952009677887,textual,True
103,25knov10,Expense type,25koct10,Expense type,0.9583232402801514,textual,True
104,25kmar12,Supplier,25koct10,Supplier,0.95725816488266,textual,True
105,25kjun11,Expense type,25knov10,Expense type,0.9550620317459106,textual,True
106,25kjun12,Description,25kmar12,Description,0.954018235206604,textual,True
107,25knov10,Expense type,25koct11,Expense type,0.9533063769340516,textual,True
108,25kmay10,Expense type,25koct11,Expense type,0.9531105160713196,textual,True
109,25kmar12,Description,25koct11,Description,0.9529616832733154,textual,True
110,25kmar12,Expense area,25koct11,Expense area,0.9526902437210084,textual,True
111,25kjun11,Expense type,25koct11,Expense type,0.9524844884872437,textual,True
112,25kmar12,Expense area,25knov10,Expense area,0.952273428440094,textual,True
113,25kmar12,Expense area,25kmay10,Expense area,0.9520951509475708,textual,True
114,25kjun12,Expense area,25koct11,Expense area,0.9519846439361572,textual,True
115,25kmar11,Expense Category,25kmay10,Expense area,0.9515072703361512,textual,True
116,25kjun11,Expense type,25kmay10,Expense type,0.9509296417236328,textual,True
117,25kmar12,Expense type,25koct11,Expense type,0.9498002529144288,textual,True
118,25kjun10,Vendor,25kmar11,Vendor,0.9491406679153442,textual,True
119,25kjun12,Expense area,25kmay10,Expense area,0.9479789137840272,textual,True
120,25kjun11,Expense type,25koct10,Expense type,0.9476036429405212,textual,True
121,25kjul12,Expense type,25koct11,Expense type,0.9474006295204164,textual,True
122,25koct10,Expense type,25koct11,Expense type,0.9470927715301514,textual,True
123,25kjun12,Expense area,25knov10,Expense area,0.9464336633682252,textual,True
124,25kjun12,Description,25koct11,Description,0.9456597566604614,textual,True
125,25koct11,Expense area,25ksep11,Expense Category,0.943869173526764,textual,True
126,25kmar12,Expense area,25koct10,Expense area,0.9434469938278198,textual,True
127,25kjun11,Expense area,25kmar12,Expense area,0.9419812560081482,textual,True
128,25kmar11,Expense Category,25knov10,Expense area,0.9410698413848876,textual,True
129,25kmay10,Expense type,25koct10,Expense type,0.9407539963722228,textual,True
130,25kjun11,Expense area,25ksep11,Expense Category,0.940750539302826,textual,True
131,25kmar12,Expense type,25kmay10,Expense type,0.9396220445632936,textual,True
132,25kjun12,Expense area,25koct10,Expense area,0.9388150572776794,textual,True
