,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,1.0
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.9743589743589743
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-euc,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45614035087719296,0.2736842105263158,0.19548872180451127,0.15204678362573099,0.9743589743589743
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-cos,0.9176470588235294,1.0,0.9570552147239264,1.0,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.9487179487179487
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-euc,0.9176470588235294,1.0,0.9570552147239264,0.9827586206896551,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.9487179487179487
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-cos,0.8823529411764706,0.9615384615384616,0.920245398773006,0.9827586206896551,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.8974358974358975
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-euc,0.8823529411764706,0.9615384615384616,0.920245398773006,0.9655172413793104,0.45348837209302323,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.8974358974358975
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-cos,0.8117647058823529,0.8846153846153846,0.8466257668711656,0.8620689655172413,0.43023255813953487,0.26480836236933797,0.19402985074626866,0.1511627906976744,0.7564102564102564
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-euc,0.788235294117647,0.8589743589743589,0.8220858895705521,0.8620689655172413,0.4418604651162791,0.27177700348432055,0.19402985074626866,0.1511627906976744,0.7564102564102564
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-cos,0.6705882352941176,0.7307692307692307,0.6993865030674846,0.6724137931034483,0.3953488372093023,0.25435540069686413,0.19402985074626866,0.1511627906976744,0.6153846153846154
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-euc,0.6823529411764706,0.7435897435897436,0.7116564417177913,0.6379310344827587,0.4069767441860465,0.2578397212543554,0.19402985074626866,0.1511627906976744,0.6025641025641025
valentwin-500spend-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-cos,0.5764705882352941,0.6282051282051282,0.6012269938650306,0.46551724137931033,0.3430232558139535,0.24390243902439024,0.1890547263681592,0.1511627906976744,0.4230769230769231
