,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9999148845672609,numerical,True
1,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.999863624572754,numerical,True
2,500spend_may2016,Amount,500spend_sep2015,Amount,0.99983811378479,numerical,True
3,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9997988939285278,numerical,True
4,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.999670386314392,numerical,True
5,500spend_may2016,Description,500spend_sep2015,Description,0.9994701147079468,textual,True
6,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.999367356300354,textual,True
7,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.9987186789512634,textual,True
8,500spend_oct2015,Date,500spend_sep2015,Date,0.9987114667892456,mixed,True
9,500spend_nov2015,Date,500spend_oct2015,Date,0.9985651969909668,mixed,True
10,500spend_nov2015,Date,500spend_sep2015,Date,0.9984828233718872,mixed,True
11,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9978923797607422,textual,True
12,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.997671604156494,textual,True
13,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9976626634597778,textual,True
14,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9975712299346924,textual,True
15,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9968891739845276,textual,True
16,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.9961602687835692,textual,True
17,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9880688190460204,textual,True
18,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.9851326942443848,textual,True
19,500spend_may2016,Date,500spend_oct2015,Date,0.9769465923309326,mixed,True
20,500spend_may2016,Date,500spend_sep2015,Date,0.9764227867126464,mixed,True
21,500spend_may2016,Date,500spend_nov2015,Date,0.975994110107422,mixed,True
22,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.7717834711074829,textual,True
23,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.7690198421478271,textual,True
24,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.728882908821106,textual,True
25,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.7250410318374634,textual,True
26,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.7219237089157104,textual,True
27,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.7216833829879761,textual,True
28,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.7090403437614441,textual,True
29,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.7077618837356567,textual,True
30,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.7073432207107544,textual,True
31,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.7063465118408203,textual,True
32,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.697253942489624,textual,True
33,500spend_jun2016,Details,500spend_may2016,Description,0.6912622451782227,textual,True
34,500spend_jun2016,Details,500spend_sep2015,Description,0.6904661655426025,textual,True
35,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.6871554851531982,textual,True
36,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.6868458986282349,textual,True
37,500spend_jun2016,Primary Service,500spend_nov2015,Merchant Category,0.6849644184112549,textual,True
38,500spend_nov2015,Service,500spend_sep2015,Service Name,0.6796276569366455,textual,True
39,500spend_nov2015,Service,500spend_oct2015,Service Name,0.6791748404502869,textual,True
40,500spend_jul2016,Service Name,500spend_nov2015,Service,0.6731665730476379,textual,True
41,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.6707939505577087,textual,False
42,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.6679450273513794,textual,True
43,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.6666479110717773,textual,True
44,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.6647818088531494,textual,True
45,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.6643543243408203,textual,True
46,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.6585142016410828,textual,True
47,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.6502102613449097,textual,True
48,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.6498070359230042,textual,True
49,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.6490181088447571,textual,True
50,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.6480386257171631,textual,True
51,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.6478844881057739,textual,True
52,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.6449744701385498,textual,True
53,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.6434978246688843,textual,True
54,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.6422814726829529,textual,True
55,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.641827404499054,textual,True
56,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.6414434909820557,textual,True
57,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.6408158540725708,textual,True
58,500spend_jun2016,Primary Service,500spend_sep2015,Merchant Type,0.6176129579544067,textual,True
59,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.6139043569564819,textual,True
60,500spend_may2016,Amount,500spend_sep2016,net_amount,0.6096590757369995,numerical,True
61,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.6096246242523193,numerical,True
62,500spend_may2016,Amount,500spend_oct2015,net_amount,0.6096088886260986,numerical,True
63,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.6095944046974182,numerical,True
64,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.6095824241638184,numerical,True
65,500spend_may2016,Amount,500spend_nov2015,net_amount,0.609542191028595,numerical,True
66,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.5961533784866333,textual,True
67,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.5917981863021851,textual,False
68,500spend_jul2016,Expense Category,500spend_may2016,Description,0.5893167853355408,textual,True
69,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.5892248153686523,textual,True
70,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.5885721445083618,textual,True
71,500spend_jul2016,Category Name,500spend_sep2015,Merchant Type,0.5826666355133057,textual,True
72,500spend_jun2016,Name,500spend_may2016,Merchant,0.5757313966751099,textual,True
73,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.5680058598518372,textual,True
74,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.565893292427063,textual,True
75,500spend_nov2015,Service Category,500spend_oct2015,Service Name,0.554776132106781,textual,False
76,500spend_nov2015,Service Category,500spend_sep2015,Service Name,0.5537852048873901,textual,False
77,500spend_jul2016,Supplier,500spend_jun2016,Name,0.5471172332763672,textual,True
78,500spend_jun2016,Secondary Service,500spend_nov2015,Service Category,0.5457307696342468,textual,False
79,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.5380351543426514,textual,True
80,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.5379689931869507,textual,True
81,500spend_nov2015,Organisation Name,500spend_sep2016,Supplier Name,0.5209124088287354,textual,False
82,500spend_nov2015,Organisation Name,500spend_oct2015,Supplier Name,0.5198747515678406,textual,False
83,500spend_nov2015,Organisation Name,500spend_sep2015,Supplier Name,0.513580322265625,textual,False
84,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.4989782571792602,textual,True
85,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.4987030625343323,textual,True
86,500spend_jul2016,Category Name,500spend_nov2015,Organisation Name,0.4567015171051025,textual,False
87,500spend_nov2015,Service Category,500spend_sep2015,Merchant Type,0.4507904946804046,textual,False
88,500spend_nov2015,Organisation Name,500spend_sep2015,Service Name,0.4503923058509826,textual,False
89,500spend_nov2015,Organisation Name,500spend_oct2015,Service Name,0.4461058974266052,textual,False
90,500spend_jul2016,Service Name,500spend_nov2015,Organisation Name,0.4432889223098755,textual,False
91,500spend_oct2015,Service Name,500spend_sep2015,Supplier Name,0.4338263273239136,textual,False
92,500spend_nov2015,Supplier Name,500spend_oct2015,Service Name,0.433143675327301,textual,False
93,500spend_oct2015,Service Name,500spend_sep2016,Supplier Name,0.4304587543010711,textual,False
94,500spend_jul2016,Expense Category,500spend_sep2015,Transaction Number,0.4281385838985443,textual,False
95,500spend_jul2016,Expense Category,500spend_nov2015,Transaction Number,0.4278829991817474,textual,False
96,500spend_nov2015,Supplier Name,500spend_sep2015,Service Name,0.4254824519157409,textual,False
97,500spend_oct2015,Supplier Name,500spend_sep2015,Service Name,0.4237810969352722,textual,False
98,500spend_sep2015,Service Name,500spend_sep2016,Supplier Name,0.4221932291984558,textual,False
99,500spend_nov2015,Organisation Name,500spend_oct2015,Service Category,0.4173186421394348,textual,False
100,500spend_oct2015,purpose of expenditure,500spend_sep2015,Transaction Number,0.4166092574596405,textual,False
101,500spend_nov2015,Transaction Number,500spend_oct2015,purpose of expenditure,0.4162715971469879,textual,False
102,500spend_jul2016,Service Name,500spend_sep2015,Supplier Name,0.4156136512756347,textual,False
103,500spend_jul2016,Service Name,500spend_nov2015,Supplier Name,0.413959264755249,textual,False
104,500spend_jul2016,Service Name,500spend_oct2015,Supplier Name,0.4127257168292999,textual,False
105,500spend_jul2016,Category Name,500spend_nov2015,Service Category,0.4124896824359894,textual,False
106,500spend_jul2016,Supplier,500spend_oct2015,Service Category,0.4122630953788757,textual,False
107,500spend_jul2016,Service Name,500spend_sep2016,Supplier Name,0.4099930226802826,textual,False
108,500spend_jul2016,Category Name,500spend_jun2016,Name,0.4098883867263794,textual,False
109,500spend_may2016,Merchant,500spend_sep2016,Merchant Category,0.4081194698810577,textual,False
110,500spend_jul2016,Supplier,500spend_oct2015,Service Name,0.407757431268692,textual,False
111,500spend_may2016,Amount,500spend_sep2015,Transaction Number,0.4041852653026581,numerical,False
112,500spend_nov2015,Transaction Number,500spend_sep2015,Amount,0.4034572243690491,numerical,False
113,500spend_may2016,Amount,500spend_nov2015,Transaction Number,0.4032530188560486,numerical,False
114,500spend_jul2016,Supplier,500spend_nov2015,Organisation Name,0.4027806520462036,textual,False
115,500spend_may2016,Merchant,500spend_nov2015,Merchant Category,0.4027330577373504,textual,False
116,500spend_nov2015,Service Category,500spend_sep2016,Merchant Category,0.4009114801883697,textual,False
117,500spend_may2016,Merchant,500spend_sep2015,Merchant Type,0.4007986783981323,textual,False
