,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9999786615371704,numerical,True
1,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9999658465385436,numerical,True
2,500spend_may2016,Amount,500spend_sep2015,Amount,0.9999594688415528,numerical,True
3,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9999496936798096,numerical,True
4,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9999176859855652,numerical,True
5,500spend_may2016,Description,500spend_sep2015,Description,0.9998674392700196,textual,True
6,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.999841809272766,textual,True
7,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.9996796250343324,textual,True
8,500spend_oct2015,Date,500spend_sep2015,Date,0.9996779561042786,mixed,True
9,500spend_nov2015,Date,500spend_oct2015,Date,0.9996413588523864,mixed,True
10,500spend_nov2015,Date,500spend_sep2015,Date,0.999620795249939,mixed,True
11,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9994730949401855,textual,True
12,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.9994178414344788,textual,True
13,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.999415636062622,textual,True
14,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9993927478790284,textual,True
15,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9992225170135498,textual,True
16,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.9990400075912476,textual,True
17,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.9970171451568604,textual,True
18,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.9962831735610962,textual,True
19,500spend_may2016,Date,500spend_oct2015,Date,0.994236707687378,mixed,True
20,500spend_may2016,Date,500spend_sep2015,Date,0.9941057562828064,mixed,True
21,500spend_may2016,Date,500spend_nov2015,Date,0.993998646736145,mixed,True
22,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.9293611645698548,textual,True
23,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.9286702871322632,textual,True
24,500spend_nov2015,Service Category,500spend_oct2015,Service Category,0.9176985621452332,textual,False
25,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.8294405341148376,textual,True
26,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.8270437121391296,textual,True
27,500spend_jul2016,Service Name,500spend_nov2015,Service Category,0.823535144329071,textual,False
28,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.821121096611023,textual,True
29,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.8210610151290894,textual,True
