,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9381686516352702,numerical,True
1,500spend_oct2015,Date,500spend_sep2015,Date,0.9343704846073524,mixed,True
2,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9330802773063648,numerical,True
3,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9326758418606692,numerical,True
4,500spend_nov2015,Date,500spend_oct2015,Date,0.9323958340994828,mixed,True
5,500spend_nov2015,Date,500spend_sep2015,Date,0.932110065662746,mixed,True
6,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.93043524919127,numerical,True
7,500spend_may2016,Amount,500spend_sep2015,Amount,0.9298020827392712,numerical,True
8,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.924808771567578,textual,True
9,500spend_may2016,Description,500spend_sep2015,Description,0.9227358638165298,textual,True
10,500spend_sep2015,Service Name,500spend_oct2015,Service Name,0.9213003934965054,textual,True
11,500spend_nov2015,Service,500spend_oct2015,Service Name,0.9058782899208568,textual,True
12,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9024404725845934,textual,True
13,500spend_may2016,Amount,500spend_sep2016,net_amount,0.8981187471707572,numerical,True
14,500spend_may2016,Amount,500spend_oct2015,net_amount,0.8956416342818362,numerical,True
15,500spend_nov2015,Service,500spend_sep2015,Service Name,0.8954125340207886,textual,True
16,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.894847304447498,numerical,True
17,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.8944553934485447,numerical,True
18,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.892793009010898,numerical,True
19,500spend_may2016,Amount,500spend_nov2015,net_amount,0.8927122417558082,numerical,True
20,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8764967314101236,textual,True
21,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.8745960918420891,textual,True
22,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.8732090094123799,textual,True
23,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8706376428180642,textual,True
24,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8651687419319593,textual,True
25,500spend_jul2016,Service Name,500spend_nov2015,Service,0.8604810427295642,textual,True
26,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.8600123375356823,textual,True
27,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.8590763844287046,textual,True
28,500spend_sep2016,Supplier Name,500spend_may2016,Merchant,0.8588918394131262,textual,True
29,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.8534289150284592,textual,True
30,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.8530298444610085,textual,True
31,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.8505806468227869,textual,True
32,500spend_sep2016,Supplier Name,500spend_oct2015,Supplier Name,0.8489448716269702,textual,True
33,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.8432560273542389,textual,True
34,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.8430047669752448,textual,True
35,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.8429800513267722,textual,True
36,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.8425431721833095,textual,True
37,500spend_sep2016,Supplier Name,500spend_sep2015,Supplier Name,0.8349491846988498,textual,True
38,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.8348696547001555,textual,True
39,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8346633518237476,textual,True
40,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.8333283340509693,textual,True
41,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.8314930807915106,textual,True
42,500spend_jun2016,Details,500spend_may2016,Description,0.8307117141702478,textual,True
43,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.8293964084565096,textual,True
44,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.8290417953140242,textual,True
45,500spend_jun2016,Primary Service,500spend_nov2015,Merchant Category,0.8256725970851369,textual,True
46,500spend_jul2016,Expense Category,500spend_may2016,Description,0.8206062167215266,textual,True
47,500spend_jun2016,Details,500spend_sep2015,Description,0.8202789171052162,textual,True
48,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.8160758701404964,textual,True
49,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.8156254390618407,textual,True
50,500spend_sep2016,Supplier Name,500spend_jul2016,Supplier,0.8141688427297289,textual,True
