,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9450387898637814,numerical,True
1,500spend_oct2015,Date,500spend_sep2015,Date,0.9416626413945214,mixed,True
2,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9405158037057868,numerical,True
3,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.940156305531835,numerical,True
4,500spend_nov2015,Date,500spend_oct2015,Date,0.9399073964986372,mixed,True
5,500spend_nov2015,Date,500spend_sep2015,Date,0.9396533801104264,mixed,True
6,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.93816466760348,numerical,True
7,500spend_may2016,Amount,500spend_sep2015,Amount,0.9376018529794812,numerical,True
8,500spend_may2016,Description,500spend_sep2015,Description,0.9313207761153384,textual,True
9,500spend_sep2015,Service Name,500spend_oct2015,Service Name,0.9300447958748004,textual,True
10,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9132804217308786,textual,True
11,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.8755665040414096,textual,True
12,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.8747345655923109,textual,True
13,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.8693598633988033,textual,True
14,500spend_sep2016,Supplier Name,500spend_oct2015,Supplier Name,0.8657287764352137,textual,True
15,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.8606720259705636,textual,True
16,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.8604267139461488,textual,True
17,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.8597611886214636,textual,True
18,500spend_sep2016,Supplier Name,500spend_sep2015,Supplier Name,0.85328816583244,textual,True
19,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.8480371530459284,textual,True
20,500spend_nov2015,Service,500spend_oct2015,Service Name,0.8334188282006496,textual,True
21,500spend_nov2015,Service,500spend_sep2015,Service Name,0.8241159340672556,textual,True
22,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8154843351198107,textual,True
23,500spend_may2016,Amount,500spend_sep2016,net_amount,0.8143358029886448,numerical,True
24,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.8137948777260021,textual,True
25,500spend_may2016,Amount,500spend_oct2015,net_amount,0.8121339248651595,numerical,True
26,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.8114278539013035,numerical,True
27,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.8110794885689004,numerical,True
28,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.8096018135132144,numerical,True
29,500spend_may2016,Amount,500spend_nov2015,net_amount,0.8095300203975792,numerical,True
30,500spend_may2016,Date,500spend_oct2015,Date,0.8053898722295592,mixed,True
31,500spend_may2016,Date,500spend_sep2015,Date,0.804512774428202,mixed,True
32,500spend_may2016,Date,500spend_nov2015,Date,0.803606693877622,mixed,True
33,500spend_jul2016,Service Name,500spend_nov2015,Service,0.7930657195861672,textual,True
34,500spend_sep2016,Supplier Name,500spend_may2016,Merchant,0.7861230061039041,textual,True
35,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.7857822229711605,textual,True
36,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.7824076323042992,textual,True
