,table_a,column_a,table_b,column_b,similarity,type,correct
0,500spend_nov2015,net_amount,500spend_oct2015,net_amount,0.9887719750404358,numerical,True
1,500spend_oct2015,net_amount,500spend_sep2016,net_amount,0.9857827425003052,numerical,True
2,500spend_may2016,Amount,500spend_sep2015,Amount,0.9844716787338256,numerical,True
3,500spend_nov2015,net_amount,500spend_sep2016,net_amount,0.9827417135238647,numerical,True
4,500spend_nov2015,Transaction Number,500spend_sep2015,Transaction Number,0.9777771234512328,numerical,True
5,500spend_may2016,Description,500spend_sep2015,Description,0.9715892672538756,textual,True
6,500spend_nov2015,Supplier Name,500spend_oct2015,Supplier Name,0.9697619080543518,textual,True
7,500spend_oct2015,Supplier Name,500spend_sep2016,Supplier Name,0.9571728110313416,textual,True
8,500spend_oct2015,Date,500spend_sep2015,Date,0.956005334854126,mixed,True
9,500spend_nov2015,Date,500spend_oct2015,Date,0.9535728693008424,mixed,True
10,500spend_oct2015,Service Name,500spend_sep2015,Service Name,0.9535076022148132,textual,True
11,500spend_nov2015,Date,500spend_sep2015,Date,0.952268660068512,mixed,True
12,500spend_oct2015,Supplier Name,500spend_sep2015,Supplier Name,0.9450515508651732,textual,True
13,500spend_sep2015,Supplier Name,500spend_sep2016,Supplier Name,0.9420583248138428,textual,True
14,500spend_nov2015,Supplier Name,500spend_sep2016,Supplier Name,0.9417607188224792,textual,True
15,500spend_nov2015,Merchant Category,500spend_sep2016,Merchant Category,0.9357789754867554,textual,True
16,500spend_nov2015,Supplier Name,500spend_sep2015,Supplier Name,0.92588871717453,textual,True
17,500spend_jul2016,Service Name,500spend_oct2015,Service Name,0.8955429196357727,textual,True
18,500spend_nov2015,Summary of purpose of expenditure,500spend_oct2015,purpose of expenditure,0.886544942855835,textual,True
19,500spend_jul2016,Service Name,500spend_sep2015,Service Name,0.8847255110740662,textual,True
20,500spend_nov2015,Merchant Category,500spend_oct2015,Service Category,0.8723127245903015,textual,True
21,500spend_jul2016,Supplier,500spend_sep2016,Supplier Name,0.8704715967178345,textual,True
22,500spend_oct2015,Service Category,500spend_sep2016,Merchant Category,0.8680164217948914,textual,True
23,500spend_may2016,Merchant,500spend_sep2016,Supplier Name,0.8651057481765747,textual,True
24,500spend_may2016,Amount,500spend_sep2016,net_amount,0.8608859181404114,numerical,True
25,500spend_oct2015,net_amount,500spend_sep2015,Amount,0.8583716154098511,numerical,True
26,500spend_may2016,Amount,500spend_oct2015,net_amount,0.8574268221855164,numerical,True
27,500spend_jun2016,Primary Service,500spend_sep2016,Merchant Category,0.8566483855247498,textual,True
28,500spend_nov2015,net_amount,500spend_sep2015,Amount,0.8565787076950073,numerical,True
29,500spend_sep2015,Amount,500spend_sep2016,net_amount,0.8559092283248901,numerical,True
30,500spend_nov2015,Service,500spend_sep2015,Service Name,0.8554640412330627,textual,True
31,500spend_may2016,Amount,500spend_nov2015,net_amount,0.8539534211158752,numerical,True
32,500spend_jun2016,Name,500spend_sep2016,Supplier Name,0.853094756603241,textual,True
33,500spend_jun2016,Primary Service,500spend_oct2015,Service Category,0.850776731967926,textual,True
34,500spend_jul2016,Supplier,500spend_may2016,Merchant,0.8501279950141907,textual,True
35,500spend_nov2015,Service,500spend_oct2015,Service Name,0.849519670009613,textual,True
36,500spend_jul2016,Category Name,500spend_sep2016,Merchant Category,0.8490093350410461,textual,True
37,500spend_jul2016,Supplier,500spend_oct2015,Supplier Name,0.8488052487373352,textual,True
38,500spend_jul2016,Category Name,500spend_oct2015,Service Category,0.8481273055076599,textual,True
39,500spend_jul2016,Expense Category,500spend_jun2016,Details,0.8444769382476807,textual,True
40,500spend_jul2016,Supplier,500spend_sep2015,Supplier Name,0.8430143594741821,textual,True
41,500spend_may2016,Merchant,500spend_oct2015,Supplier Name,0.8382787704467773,textual,True
42,500spend_jun2016,Details,500spend_may2016,Description,0.8378209471702576,textual,True
43,500spend_jul2016,Supplier,500spend_nov2015,Supplier Name,0.8339780569076538,textual,True
44,500spend_jul2016,Category Name,500spend_jun2016,Primary Service,0.8339394330978394,textual,True
45,500spend_jun2016,Primary Service,500spend_nov2015,Merchant Category,0.8327385187149048,textual,True
46,500spend_jun2016,Name,500spend_oct2015,Supplier Name,0.8307186365127563,textual,True
47,500spend_jul2016,Supplier,500spend_jun2016,Name,0.8296409845352173,textual,True
48,500spend_jun2016,Name,500spend_may2016,Merchant,0.8289448022842407,textual,True
49,500spend_jul2016,Expense Category,500spend_oct2015,purpose of expenditure,0.8264643549919128,textual,True
50,500spend_jun2016,Details,500spend_sep2015,Description,0.8259578943252563,textual,True
51,500spend_may2016,Merchant,500spend_sep2015,Supplier Name,0.824577271938324,textual,True
52,500spend_jun2016,Name,500spend_sep2015,Supplier Name,0.8242722749710083,textual,True
53,500spend_jul2016,Expense Category,500spend_nov2015,Summary of purpose of expenditure,0.8237126469612122,textual,True
54,500spend_may2016,Merchant,500spend_nov2015,Supplier Name,0.8235677480697632,textual,True
55,500spend_may2016,Description,500spend_nov2015,Summary of purpose of expenditure,0.8175045847892761,textual,True
56,500spend_nov2015,Summary of purpose of expenditure,500spend_sep2015,Description,0.815761148929596,textual,True
57,500spend_may2016,Date,500spend_oct2015,Date,0.8145288228988647,mixed,True
58,500spend_jun2016,Name,500spend_nov2015,Supplier Name,0.8140209317207336,textual,True
59,500spend_jul2016,Category Name,500spend_nov2015,Merchant Category,0.8136299848556519,textual,True
60,500spend_may2016,Date,500spend_sep2015,Date,0.8124732971191406,mixed,True
61,500spend_oct2015,purpose of expenditure,500spend_sep2015,Description,0.8117285966873169,textual,True
62,500spend_may2016,Date,500spend_nov2015,Date,0.8107683658599854,mixed,True
63,500spend_jul2016,Service Name,500spend_nov2015,Service,0.8099830150604248,textual,True
64,500spend_may2016,Description,500spend_oct2015,purpose of expenditure,0.8048419952392578,textual,True
65,500spend_jul2016,Service Name,500spend_jun2016,Secondary Service,0.802614152431488,textual,True
66,500spend_jun2016,Details,500spend_nov2015,Summary of purpose of expenditure,0.801243245601654,textual,True
67,500spend_jul2016,Expense Category,500spend_may2016,Description,0.8001028299331665,textual,True
68,500spend_jun2016,Details,500spend_oct2015,purpose of expenditure,0.7909011244773865,textual,True
69,500spend_jul2016,Expense Category,500spend_sep2015,Description,0.790086030960083,textual,True
70,500spend_jun2016,Secondary Service,500spend_sep2015,Service Name,0.7886466383934021,textual,True
71,500spend_jun2016,Secondary Service,500spend_nov2015,Service,0.7805725932121277,textual,True
72,500spend_jun2016,Secondary Service,500spend_oct2015,Service Name,0.7653870582580566,textual,True
73,500spend_sep2015,Merchant Type,500spend_sep2016,Merchant Category,0.6237439513206482,textual,True
74,500spend_nov2015,Merchant Category,500spend_sep2015,Merchant Type,0.6190385222434998,textual,True
75,500spend_oct2015,Service Category,500spend_sep2015,Merchant Type,0.5811554193496704,textual,True
76,500spend_jun2016,Primary Service,500spend_sep2015,Merchant Type,0.5698239207267761,textual,True
