,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.5699481865284974,0.3416149068322981,0.24390243902439024,0.18998272884283246,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.5699481865284974,0.3416149068322981,0.24390243902439024,0.18998272884283246,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.5092592592592593,0.3055555555555556,0.21825396825396826,0.1697530864197531,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.5365853658536586,0.3216374269005848,0.22964509394572025,0.17886178861788618,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4583333333333333,0.2756892230576441,0.1967799642218247,0.15299026425591097,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.47413793103448276,0.2842377260981912,0.2029520295202952,0.15804597701149425,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.43478260869565216,0.26128266033254155,0.1864406779661017,0.14511873350923482,0.9272727272727272
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.44534412955465585,0.26763990267639903,0.1909722222222222,0.14864864864864866,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9176470588235294,0.43137254901960786,0.25882352941176473,0.18487394957983194,0.1437908496732026,0.8818181818181818
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9767441860465116,0.4263565891472868,0.2564102564102564,0.18302828618968386,0.1423027166882277,0.9181818181818182
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-cos,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.872093023255814,0.4263565891472868,0.2558139534883721,0.18272425249169436,0.1421188630490956,0.8363636363636363
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-euc,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.896551724137931,0.421455938697318,0.2534562211981567,0.18092105263157895,0.14066496163682865,0.8818181818181818
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-cos,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.8735632183908046,0.4230769230769231,0.25462962962962965,0.18181818181818182,0.14138817480719795,0.8181818181818182
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-euc,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.8636363636363636,0.4166666666666667,0.2505694760820046,0.17886178861788618,0.1390644753476612,0.8272727272727273
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-cos,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.8604651162790697,0.3643410852713178,0.24883720930232558,0.18272425249169436,0.1421188630490956,0.7090909090909091
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-euc,0.9727272727272728,0.9727272727272728,0.9727272727272728,0.8181818181818182,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.7454545454545455
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-cos,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.6551724137931034,0.30115830115830117,0.2111368909512761,0.18211920529801323,0.14175257731958762,0.5363636363636364
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-euc,0.990909090909091,0.990909090909091,0.990909090909091,0.6477272727272727,0.3446969696969697,0.2431818181818182,0.17857142857142858,0.1388888888888889,0.5727272727272728
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-cos,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.5517241379310345,0.25769230769230766,0.18287037037037038,0.1669421487603306,0.14138817480719795,0.45454545454545453
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-euc,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.5340909090909091,0.29545454545454547,0.18863636363636363,0.17857142857142858,0.1388888888888889,0.45454545454545453
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-cos,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.39080459770114945,0.2230769230769231,0.17824074074074073,0.15206611570247933,0.13753213367609254,0.36363636363636365
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-euc,0.39090909090909093,0.39090909090909093,0.39090909090909093,0.38636363636363635,0.22348484848484848,0.17995444191343962,0.15284552845528454,0.13527180783817952,0.36363636363636365
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-00-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-00-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-01-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-01-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-02-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-02-euc,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
valentwin-DCMS_NHM_NHM-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-03-cos,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,0.4166666666666667,0.25,0.17857142857142858,0.1388888888888889,0.9545454545454546
