,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,neurips_1,Authors,0.9994326829910278,textual,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9994311928749084,textual,True
2,arxiv_1,_id,neurips_1,_id,0.9989088177680968,numerical,True
3,arxiv_1,_id,arxiv_2,_id,0.998784363269806,numerical,True
4,citeseer_1,id,dblp_3,id,0.998716413974762,numerical,True
5,arxiv_2,_id,neurips_1,_id,0.998656153678894,numerical,True
6,arxiv_1,_id,google_scholar_1,ID,0.99839848279953,numerical,True
7,arxiv_1,Title,thecvf_1,Title,0.998187243938446,textual,True
8,arxiv_2,_id,google_scholar_1,ID,0.9981065988540648,numerical,True
9,arxiv_2,Title,thecvf_1,Title,0.998087465763092,textual,True
10,dblp_1,year,dblp_3,year,0.9980185031890868,numerical,True
11,neurips_1,Authors,thecvf_1,Authors,0.997968316078186,textual,True
12,dblp_1,ID,neurips_1,_id,0.9979495406150818,numerical,True
13,arxiv_1,Title,arxiv_2,Title,0.9978808760643004,textual,True
14,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9975275993347168,textual,True
15,arxiv_1,Title,neurips_1,Title,0.997504949569702,textual,True
16,arxiv_2,Title,neurips_1,Title,0.9974956512451172,textual,True
17,neurips_1,Title,thecvf_1,Title,0.9974438548088074,textual,True
18,google_scholar_1,year,google_scholar_2,year,0.9974188804626464,numerical,True
19,arxiv_1,_id,dblp_1,ID,0.99739271402359,numerical,True
20,dblp_1,ID,google_scholar_1,ID,0.99733704328537,numerical,True
21,google_scholar_1,ID,neurips_1,_id,0.9972502589225768,numerical,True
22,arxiv_2,_id,dblp_1,ID,0.9970359206199646,numerical,True
23,arxiv_1,Authors,thecvf_1,Authors,0.9970194101333618,textual,True
24,citeseer_1,year,google_scholar_1,year,0.9965897798538208,numerical,True
25,citeseer_1,authors,dblp_3,authors,0.996243417263031,textual,True
26,arxiv_2,Year,thecvf_1,Year,0.9960753917694092,numerical,True
27,dblp_1,number,google_scholar_1,number,0.9957929849624634,mixed,True
28,arxiv_1,Authors,dblp_3,authors,0.995639443397522,textual,True
29,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.99553120136261,textual,True
30,citeseer_1,year,google_scholar_2,year,0.9955173134803772,numerical,True
31,arxiv_2,Authors,google_scholar_1,author,0.9943310022354126,textual,True
32,dblp_2,year,dblp_3,year,0.9939172863960266,numerical,True
33,dblp_3,authors,neurips_1,Authors,0.9937077760696412,textual,True
34,dblp_1,title,dblp_2,title,0.9935628175735474,textual,True
35,arxiv_1,_id,thecvf_1,_id,0.993321657180786,numerical,True
36,arxiv_2,_id,thecvf_1,_id,0.9930396676063538,numerical,True
37,dblp_1,title,google_scholar_2,title,0.9929145574569702,textual,True
38,arxiv_1,Authors,citeseer_1,authors,0.9927955269813538,textual,True
39,google_scholar_1,ID,thecvf_1,_id,0.9926410913467408,numerical,True
40,dblp_2,title,neurips_1,Title,0.9924980401992798,textual,True
41,neurips_1,_id,thecvf_1,_id,0.992321789264679,numerical,True
42,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.9922903180122375,textual,True
43,dblp_2,authors,neurips_1,Authors,0.9919435381889344,textual,True
44,dblp_1,pages,google_scholar_1,pages,0.9918813705444336,mixed,True
45,arxiv_1,Authors,dblp_2,authors,0.9918006658554076,textual,True
46,dblp_2,title,thecvf_1,Title,0.9914177656173706,textual,True
47,citeseer_1,authors,neurips_1,Authors,0.9913524985313416,textual,True
48,citeseer_1,title,dblp_2,title,0.9909087419509888,textual,True
49,arxiv_1,Title,dblp_3,title,0.9906687140464784,textual,True
50,dblp_1,title,dblp_3,title,0.9902108907699584,textual,True
51,dblp_1,title,thecvf_1,Title,0.9899663925170898,textual,True
52,dblp_3,title,google_scholar_1,title,0.989948272705078,textual,True
53,citeseer_1,authors,dblp_2,authors,0.9898108839988708,textual,True
54,dblp_2,title,google_scholar_2,title,0.9895436763763428,textual,True
55,dblp_2,authors,thecvf_1,Authors,0.9895260334014891,textual,True
56,arxiv_2,Title,dblp_2,title,0.9894712567329408,textual,True
57,dblp_1,ID,thecvf_1,_id,0.9892739057540894,numerical,True
58,arxiv_1,Title,dblp_2,title,0.9890636801719666,textual,True
59,citeseer_1,title,google_scholar_2,title,0.9889015555381776,textual,True
60,dblp_3,title,google_scholar_2,title,0.988616406917572,textual,True
61,dblp_1,year,dblp_2,year,0.9885815978050232,numerical,True
62,dblp_2,authors,dblp_3,authors,0.988463819026947,textual,True
63,dblp_3,title,thecvf_1,Title,0.9880506992340088,textual,True
64,dblp_1,title,neurips_1,Title,0.9875118732452391,textual,True
65,arxiv_1,Title,dblp_1,title,0.98748779296875,textual,True
66,dblp_3,authors,thecvf_1,Authors,0.9873225688934326,textual,True
67,dblp_1,journal,dblp_3,journal,0.987288236618042,textual,True
68,citeseer_1,title,dblp_1,title,0.9863980412483216,textual,True
69,citeseer_1,authors,thecvf_1,Authors,0.9858946800231934,textual,True
70,dblp_3,title,neurips_1,Title,0.985585629940033,textual,True
71,dblp_2,title,dblp_3,title,0.985509991645813,textual,True
72,citeseer_1,title,neurips_1,Title,0.9852257370948792,textual,True
73,dblp_1,author,dblp_3,authors,0.9849256277084352,textual,True
74,arxiv_2,Title,dblp_3,title,0.9846259355545044,textual,True
75,dblp_2,authors,google_scholar_2,authors,0.9845631122589112,textual,True
76,arxiv_2,Title,dblp_1,title,0.98428475856781,textual,True
77,dblp_3,authors,google_scholar_2,authors,0.9824944734573364,textual,True
78,google_scholar_1,title,google_scholar_2,title,0.9817938804626464,textual,True
79,arxiv_2,Year,dblp_1,year,0.9816501140594482,numerical,True
80,citeseer_1,title,thecvf_1,Title,0.9814911484718324,textual,True
81,google_scholar_2,title,thecvf_1,Title,0.9814655184745787,textual,True
82,google_scholar_2,title,neurips_1,Title,0.9814427495002748,textual,True
83,citeseer_1,authors,google_scholar_2,authors,0.9811649322509766,textual,True
84,dblp_1,title,google_scholar_1,title,0.98100745677948,textual,True
85,arxiv_1,Title,google_scholar_2,title,0.9805981516838074,textual,True
86,citeseer_1,authors,dblp_1,author,0.9803058505058287,textual,True
87,arxiv_2,Year,dblp_3,year,0.980111300945282,numerical,True
88,arxiv_2,Title,citeseer_1,title,0.9796568751335144,textual,True
89,arxiv_1,Title,citeseer_1,title,0.978022277355194,textual,True
90,arxiv_2,Title,google_scholar_2,title,0.9767329692840576,textual,True
91,arxiv_1,Authors,google_scholar_2,authors,0.975786566734314,textual,True
92,dblp_1,journal,google_scholar_1,journal,0.9740824103355408,textual,True
93,arxiv_1,Title,google_scholar_1,title,0.9740456342697144,textual,True
94,citeseer_1,title,dblp_3,title,0.9735718965530396,textual,True
95,google_scholar_2,authors,neurips_1,Authors,0.9722970128059388,textual,True
96,citeseer_1,id,thecvf_1,_id,0.9720314741134644,numerical,True
97,arxiv_1,Authors,dblp_1,author,0.9712958335876464,textual,True
98,google_scholar_1,title,thecvf_1,Title,0.9705508351325988,textual,True
99,dblp_1,year,thecvf_1,Year,0.97014981508255,numerical,True
