,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,neurips_1,Authors,0.9996028542518616,textual,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9996018409729004,textual,True
2,arxiv_1,_id,neurips_1,_id,0.9992361664772034,numerical,True
3,arxiv_1,_id,arxiv_2,_id,0.9991490840911864,numerical,True
4,citeseer_1,id,dblp_3,id,0.9991015195846558,numerical,True
5,arxiv_2,_id,neurips_1,_id,0.9990593194961548,numerical,True
6,arxiv_1,Title,thecvf_1,Title,0.9987310767173768,textual,True
7,arxiv_2,Title,thecvf_1,Title,0.9986612200737,textual,True
8,dblp_1,year,dblp_3,year,0.998612940311432,numerical,True
9,neurips_1,Authors,thecvf_1,Authors,0.9985778331756592,textual,True
10,arxiv_1,Title,arxiv_2,Title,0.9985166192054749,textual,True
11,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9982693195343018,textual,True
12,arxiv_1,Title,neurips_1,Title,0.9982534646987916,textual,True
13,arxiv_2,Title,neurips_1,Title,0.998246967792511,textual,True
14,neurips_1,Title,thecvf_1,Title,0.9982107281684875,textual,True
15,google_scholar_1,year,google_scholar_2,year,0.9981932044029236,numerical,True
16,dblp_1,ID,google_scholar_1,ID,0.9981359243392944,numerical,True
17,arxiv_1,Authors,thecvf_1,Authors,0.9979135990142822,textual,True
18,citeseer_1,year,google_scholar_1,year,0.9976128339767456,numerical,True
19,citeseer_1,authors,dblp_3,authors,0.997370421886444,textual,True
20,arxiv_2,Year,thecvf_1,Year,0.9972527623176576,numerical,True
21,dblp_1,number,google_scholar_1,number,0.9970551133155824,mixed,True
22,citeseer_1,year,google_scholar_2,year,0.9968621134757996,numerical,True
23,dblp_2,year,dblp_3,year,0.9957420825958252,numerical,True
24,dblp_1,title,dblp_2,title,0.9954939484596252,textual,True
25,arxiv_1,_id,thecvf_1,_id,0.9953251481056212,numerical,True
26,arxiv_2,_id,thecvf_1,_id,0.99512779712677,numerical,True
27,dblp_1,title,google_scholar_2,title,0.9950401782989502,textual,True
28,neurips_1,_id,thecvf_1,_id,0.9946252703666688,numerical,True
29,dblp_1,pages,google_scholar_1,pages,0.9943169355392456,mixed,True
30,citeseer_1,title,dblp_2,title,0.9936361312866212,textual,True
31,dblp_1,title,dblp_3,title,0.993147611618042,textual,True
32,dblp_3,title,google_scholar_1,title,0.9929637908935548,textual,True
33,citeseer_1,authors,dblp_2,authors,0.992867648601532,textual,True
34,dblp_2,title,google_scholar_2,title,0.992680549621582,textual,True
35,citeseer_1,title,google_scholar_2,title,0.9922310709953308,textual,True
36,dblp_3,title,google_scholar_2,title,0.9920315146446228,textual,True
37,dblp_1,year,dblp_2,year,0.9920071363449096,numerical,True
38,dblp_2,authors,dblp_3,authors,0.9919247031211852,textual,True
39,dblp_1,journal,dblp_3,journal,0.9911017417907716,textual,True
40,citeseer_1,title,dblp_1,title,0.9904786348342896,textual,True
41,dblp_2,title,dblp_3,title,0.989857017993927,textual,True
42,dblp_2,authors,google_scholar_2,authors,0.98919415473938,textual,True
43,dblp_3,authors,google_scholar_2,authors,0.9877461194992064,textual,True
44,google_scholar_1,title,google_scholar_2,title,0.9872556924819946,textual,True
45,citeseer_1,authors,google_scholar_2,authors,0.9868154525756836,textual,True
46,dblp_1,title,google_scholar_1,title,0.986705243587494,textual,True
47,dblp_1,journal,google_scholar_1,journal,0.9818577170372008,textual,True
48,citeseer_1,title,dblp_3,title,0.9815003275871276,textual,True
49,dblp_2,title,google_scholar_1,title,0.9772750735282898,textual,True
50,dblp_3,journal,google_scholar_1,journal,0.9757545590400696,textual,True
51,citeseer_1,title,google_scholar_1,title,0.9693751931190492,textual,True
52,dblp_1,booktitle,google_scholar_1,booktitle,0.9591220617294312,textual,True
53,arxiv_2,Month,thecvf_1,Month,0.9455999135971068,textual,True
54,arxiv_2,Authors,thecvf_1,Authors,0.9334295392036438,textual,True
55,citeseer_1,journal,google_scholar_1,journal,0.9311529397964478,textual,True
56,citeseer_1,journal,dblp_3,journal,0.923745572566986,textual,True
57,arxiv_2,Authors,neurips_1,Authors,0.9226539134979248,textual,True
58,arxiv_1,Authors,arxiv_2,Authors,0.920804500579834,textual,True
59,dblp_2,title,neurips_1,Title,0.9151798486709596,textual,True
60,dblp_2,title,thecvf_1,Title,0.914423644542694,textual,True
61,arxiv_1,Title,dblp_3,title,0.913899302482605,textual,True
62,dblp_1,title,thecvf_1,Title,0.9134076833724976,textual,True
63,citeseer_1,journal,dblp_1,journal,0.9130651354789734,textual,True
64,arxiv_2,Title,dblp_2,title,0.9130610823631288,textual,True
65,arxiv_1,Title,dblp_2,title,0.9127757549285888,textual,True
66,dblp_3,title,thecvf_1,Title,0.9120666980743408,textual,True
67,dblp_1,title,neurips_1,Title,0.911689519882202,textual,True
68,arxiv_1,Title,dblp_1,title,0.9116726517677308,textual,True
69,dblp_3,title,neurips_1,Title,0.9103411436080932,textual,True
70,citeseer_1,title,neurips_1,Title,0.9100891947746276,textual,True
71,arxiv_2,Title,dblp_3,title,0.9096693396568298,textual,True
72,arxiv_2,Title,dblp_1,title,0.9094305038452148,textual,True
73,dblp_2,id,google_scholar_2,id,0.907785177230835,textual,True
74,citeseer_1,title,thecvf_1,Title,0.9074749946594238,textual,True
75,google_scholar_2,title,thecvf_1,Title,0.9074570536613464,textual,True
76,google_scholar_2,title,neurips_1,Title,0.9074411392211914,textual,True
77,arxiv_1,Title,google_scholar_2,title,0.9068499207496644,textual,True
78,arxiv_2,Title,citeseer_1,title,0.9061909914016724,textual,True
79,arxiv_1,Title,citeseer_1,title,0.905046820640564,textual,True
80,arxiv_2,Title,google_scholar_2,title,0.904144287109375,textual,True
81,arxiv_1,Title,google_scholar_1,title,0.9022631645202636,textual,True
82,google_scholar_1,title,thecvf_1,Title,0.8998168110847473,textual,True
83,google_scholar_1,title,neurips_1,Title,0.8967829346656799,textual,True
84,arxiv_2,Title,google_scholar_1,title,0.8961138725280762,textual,True
85,dblp_1,author,google_scholar_1,author,0.8959495425224304,textual,True
86,arxiv_2,Year,dblp_1,year,0.8946598768234253,numerical,True
87,arxiv_2,Year,dblp_3,year,0.8935827016830444,numerical,True
88,arxiv_2,JournalRef,thecvf_1,JournalRef,0.889577329158783,textual,True
89,arxiv_1,Date,neurips_1,Date,0.8886719346046448,textual,True
90,dblp_1,year,thecvf_1,Year,0.886609673500061,numerical,True
91,arxiv_2,Authors,google_scholar_1,author,0.885567307472229,textual,True
92,arxiv_2,Year,dblp_2,year,0.8855112791061401,numerical,True
93,dblp_3,year,thecvf_1,Year,0.8854188919067383,numerical,True
94,dblp_1,publisher,google_scholar_1,publisher,0.8781090974807739,textual,True
95,dblp_2,year,thecvf_1,Year,0.8774596452713013,numerical,True
96,citeseer_1,id,thecvf_1,_id,0.8707380890846252,numerical,True
97,arxiv_1,Authors,dblp_1,author,0.8694427013397217,textual,True
98,dblp_3,id,thecvf_1,_id,0.8682045936584473,numerical,True
99,dblp_1,author,neurips_1,Authors,0.8666020631790161,textual,True
100,dblp_1,author,thecvf_1,Authors,0.858993411064148,textual,True
101,arxiv_2,_id,citeseer_1,id,0.8579182028770447,numerical,True
102,arxiv_2,_id,dblp_3,id,0.8566662669181824,numerical,True
103,citeseer_1,id,neurips_1,_id,0.8564890623092651,numerical,True
104,arxiv_1,_id,citeseer_1,id,0.8563603758811951,numerical,True
105,dblp_3,id,neurips_1,_id,0.8554999232292175,numerical,True
106,dblp_1,author,dblp_3,authors,0.8549959659576416,textual,True
107,arxiv_1,_id,dblp_3,id,0.8549514412879944,numerical,True
