,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_2,Year,thecvf_1,Year,0.9608347746485608,numerical,True
1,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9574680589137436,textual,True
2,google_scholar_1,year,google_scholar_2,year,0.9539848883750768,numerical,True
3,dblp_1,year,dblp_3,year,0.9486028648073606,numerical,True
4,google_scholar_1,year,citeseer_1,year,0.9420314777986752,numerical,True
5,arxiv_1,Abstract,neurips_1,Abstract,0.9371747331199788,textual,True
6,dblp_1,number,google_scholar_1,number,0.934157463850473,mixed,True
7,citeseer_1,year,google_scholar_2,year,0.924323267545987,numerical,True
8,dblp_2,year,dblp_3,year,0.9225170356329808,numerical,True
9,dblp_1,year,dblp_2,year,0.9174792276031528,numerical,True
10,neurips_1,Authors,thecvf_1,Authors,0.9161802813610276,textual,True
11,arxiv_1,Authors,neurips_1,Authors,0.9147130545719272,textual,True
12,arxiv_1,Authors,thecvf_1,Authors,0.9085988183846232,textual,True
13,arxiv_2,_id,neurips_1,_id,0.895751426193891,numerical,True
14,citeseer_1,id,dblp_3,id,0.8929046998108396,numerical,True
15,arxiv_1,_id,neurips_1,_id,0.8918408727670445,numerical,True
16,arxiv_1,Title,arxiv_2,Title,0.8891052237358416,textual,True
17,arxiv_1,_id,arxiv_2,_id,0.8876064414136919,numerical,True
18,arxiv_1,Title,neurips_1,Title,0.8860874269778561,textual,True
19,arxiv_2,Title,neurips_1,Title,0.8855145979328869,textual,True
20,arxiv_2,Title,thecvf_1,Title,0.8841771098658485,textual,True
21,arxiv_1,Title,thecvf_1,Title,0.8838826071866759,textual,True
22,neurips_1,Title,thecvf_1,Title,0.8833480151954983,textual,True
23,dblp_1,ID,google_scholar_1,ID,0.8796201017242397,numerical,True
24,dblp_2,authors,dblp_3,authors,0.8760221496924009,textual,True
25,neurips_1,_id,thecvf_1,_id,0.8756517472819896,numerical,True
26,citeseer_1,authors,dblp_3,authors,0.8755412677504181,textual,True
27,arxiv_1,_id,thecvf_1,_id,0.872896170908222,numerical,True
28,thecvf_1,_id,arxiv_2,_id,0.8724408076866881,numerical,True
29,google_scholar_1,pages,dblp_1,pages,0.8703973642043826,mixed,True
30,citeseer_1,authors,dblp_2,authors,0.8609495180453428,textual,True
31,dblp_3,title,google_scholar_1,title,0.8552413893775395,textual,True
32,dblp_2,authors,google_scholar_2,authors,0.8456530085655543,textual,True
33,dblp_1,title,dblp_3,title,0.8444612948703591,textual,True
34,dblp_2,title,dblp_3,title,0.8416072070925251,textual,True
35,dblp_3,authors,google_scholar_2,authors,0.8397300631449045,textual,True
36,dblp_1,title,dblp_2,title,0.8393583361523108,textual,True
37,citeseer_1,authors,google_scholar_2,authors,0.8350290272044183,textual,True
38,dblp_1,journal,dblp_3,journal,0.8327610377373083,textual,True
39,dblp_1,title,google_scholar_1,title,0.8309140661307237,textual,True
40,dblp_3,title,google_scholar_2,title,0.8233569145122484,textual,True
41,dblp_2,title,google_scholar_2,title,0.8221572884898585,textual,True
42,dblp_2,title,google_scholar_1,title,0.8218186994957533,textual,True
43,citeseer_1,title,dblp_2,title,0.8209775663661008,textual,True
44,dblp_1,title,google_scholar_2,title,0.8170854515921097,textual,True
45,google_scholar_1,title,google_scholar_2,title,0.8159428646573195,textual,True
46,citeseer_1,title,google_scholar_2,title,0.8100951039279694,textual,True
47,citeseer_1,title,dblp_1,title,0.8099413586191002,textual,True
48,citeseer_1,title,dblp_3,title,0.8096304686311597,textual,True
49,arxiv_2,Authors,thecvf_1,Authors,0.8092054184142565,textual,True
50,arxiv_2,Month,thecvf_1,Month,0.8060333019710574,textual,True
51,arxiv_2,Authors,neurips_1,Authors,0.7964929343326865,textual,True
52,citeseer_1,title,google_scholar_1,title,0.7929526895405218,textual,True
53,arxiv_1,Authors,arxiv_2,Authors,0.7920528645260334,textual,True
54,dblp_1,journal,google_scholar_1,journal,0.7786966921137277,textual,True
55,arxiv_2,Year,dblp_1,year,0.7706749186227154,numerical,True
56,dblp_2,id,google_scholar_2,id,0.770233643502265,textual,True
57,dblp_3,journal,google_scholar_1,journal,0.7639658143916528,textual,True
58,arxiv_2,Year,dblp_3,year,0.7627949323327271,numerical,True
59,google_scholar_1,author,dblp_1,author,0.7610888218918356,textual,True
60,arxiv_1,Title,dblp_3,title,0.7604885674328704,textual,True
61,dblp_1,year,thecvf_1,Year,0.7591368231702756,numerical,True
62,arxiv_2,Authors,google_scholar_1,author,0.7589318098413165,textual,True
63,dblp_3,title,thecvf_1,Title,0.7565245970059846,textual,True
64,dblp_3,title,neurips_1,Title,0.7550374545962859,textual,True
65,arxiv_2,Year,dblp_2,year,0.7543211698441443,numerical,True
66,dblp_1,booktitle,google_scholar_1,booktitle,0.7526189276521036,textual,True
67,arxiv_2,Title,dblp_3,title,0.7519333607230294,textual,True
68,arxiv_1,Date,neurips_1,Date,0.7503379502464279,textual,True
69,dblp_3,year,thecvf_1,Year,0.7501813347581425,numerical,True
70,dblp_2,title,neurips_1,Title,0.7449158298192378,textual,True
71,dblp_2,year,thecvf_1,Year,0.743917526281942,numerical,True
72,dblp_2,title,thecvf_1,Title,0.7409525392663923,textual,True
73,arxiv_2,Title,dblp_2,title,0.7407368082001811,textual,True
74,arxiv_1,Title,dblp_2,title,0.7388098693400813,textual,True
75,arxiv_1,Title,google_scholar_1,title,0.7379080047034716,textual,True
76,dblp_1,title,thecvf_1,Title,0.73723984090728,textual,True
77,dblp_1,title,neurips_1,Title,0.7355982733146718,textual,True
78,google_scholar_1,title,thecvf_1,Title,0.7343129948851526,textual,True
79,arxiv_1,Title,dblp_1,title,0.7334765622639523,textual,True
80,google_scholar_1,title,neurips_1,Title,0.7310831125924486,textual,True
81,arxiv_2,Title,dblp_1,title,0.7293885851564834,textual,True
82,arxiv_2,Title,google_scholar_1,title,0.7293085827370696,textual,True
83,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.7249587438106724,textual,True
84,citeseer_1,journal,dblp_1,journal,0.7246799259510119,textual,True
85,citeseer_1,journal,dblp_3,journal,0.7240945778461256,textual,True
86,citeseer_1,journal,google_scholar_1,journal,0.7200272196772279,textual,True
87,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.7173237348926006,textual,True
88,google_scholar_2,title,thecvf_1,Title,0.7111973830078938,textual,True
89,citeseer_1,title,neurips_1,Title,0.7104504593207073,textual,True
90,google_scholar_2,title,neurips_1,Title,0.7100409641529706,textual,True
91,arxiv_2,JournalRef,thecvf_1,JournalRef,0.7097275265114156,textual,True
92,arxiv_1,Authors,dblp_1,author,0.7097002081706081,textual,True
93,citeseer_1,title,thecvf_1,Title,0.7090233802658914,textual,True
94,arxiv_1,Title,google_scholar_2,title,0.7078772064094396,textual,True
95,neurips_1,Authors,dblp_1,author,0.7070167922208568,textual,True
96,citeseer_1,id,thecvf_1,_id,0.7066994633719752,numerical,True
97,dblp_3,authors,neurips_1,Authors,0.7062638964853758,textual,True
98,arxiv_1,Authors,dblp_3,authors,0.7060749383899984,textual,True
99,arxiv_1,Title,citeseer_1,title,0.7050770748420908,textual,True
100,arxiv_2,Title,citeseer_1,title,0.7050093101554049,textual,True
101,arxiv_2,Title,google_scholar_2,title,0.7037557162005635,textual,True
102,dblp_3,id,thecvf_1,_id,0.7010215539330731,numerical,True
103,dblp_2,authors,neurips_1,Authors,0.6973649548382613,textual,True
104,arxiv_1,Authors,dblp_2,authors,0.6959573928571927,textual,True
105,dblp_1,author,thecvf_1,Authors,0.6955585116363714,textual,True
106,dblp_3,authors,thecvf_1,Authors,0.6947436301435482,textual,True
107,dblp_3,authors,dblp_1,author,0.6913288806548982,textual,True
108,dblp_2,authors,thecvf_1,Authors,0.6911156581562342,textual,True
109,arxiv_1,_id,citeseer_1,id,0.68203201555348,numerical,True
110,arxiv_2,_id,citeseer_1,id,0.68089391813175,numerical,True
111,arxiv_1,_id,dblp_3,id,0.6805354838488437,numerical,True
112,arxiv_2,_id,dblp_3,id,0.6803615884800518,numerical,True
113,arxiv_1,Authors,citeseer_1,authors,0.6800579171572976,textual,True
114,citeseer_1,id,neurips_1,_id,0.6798728997085701,numerical,True
115,dblp_1,publisher,google_scholar_1,publisher,0.679434847770186,textual,True
116,citeseer_1,authors,neurips_1,Authors,0.679432327542397,textual,True
117,google_scholar_1,author,thecvf_1,Authors,0.6788304570326396,textual,True
118,dblp_3,id,neurips_1,_id,0.6788186026233074,numerical,True
119,citeseer_1,authors,thecvf_1,Authors,0.6719727495706911,textual,True
120,google_scholar_1,author,neurips_1,Authors,0.669659120334633,textual,True
121,dblp_1,year,google_scholar_1,year,0.6679248147048638,numerical,True
122,dblp_3,year,google_scholar_1,year,0.667354963039313,numerical,True
123,citeseer_1,authors,dblp_1,author,0.6671735303744151,textual,True
124,arxiv_1,Authors,google_scholar_1,author,0.664282301319916,textual,True
125,dblp_3,year,google_scholar_2,year,0.6612832893113338,numerical,True
126,dblp_1,year,google_scholar_2,year,0.6611621779564059,numerical,True
127,dblp_2,year,google_scholar_1,year,0.6601176335470336,numerical,True
128,dblp_1,author,dblp_2,authors,0.6570427741856857,textual,True
129,dblp_2,year,google_scholar_2,year,0.6555025313408658,numerical,True
130,dblp_3,year,citeseer_1,year,0.6544284241327005,numerical,True
131,arxiv_2,Month,dblp_3,month,0.6531938160241071,textual,True
132,dblp_1,year,citeseer_1,year,0.6527428288349907,numerical,True
133,arxiv_2,Tag,thecvf_1,Tag,0.6496545361721913,textual,True
134,dblp_3,month,thecvf_1,Month,0.6478025321030813,textual,True
135,citeseer_1,year,dblp_2,year,0.6457798167960624,numerical,True
136,arxiv_1,Authors,google_scholar_2,authors,0.6436194818616134,textual,True
137,google_scholar_2,authors,neurips_1,Authors,0.6429752543204317,textual,True
138,dblp_2,venue,google_scholar_2,venue,0.6414217304211134,textual,True
139,dblp_1,author,google_scholar_2,authors,0.6379600813405863,textual,True
140,google_scholar_2,authors,thecvf_1,Authors,0.635706861617684,textual,True
141,dblp_2,authors,google_scholar_1,author,0.6219371616144864,textual,True
142,arxiv_2,_id,google_scholar_1,ID,0.6161961763683313,numerical,True
143,dblp_3,authors,google_scholar_1,author,0.6092369504315431,textual,True
144,google_scholar_1,ID,neurips_1,_id,0.6081355780229103,numerical,True
145,arxiv_1,_id,google_scholar_1,ID,0.6072726185921665,numerical,True
146,neurips_1,Journal-ref,arxiv_1,Journal-ref,0.6019130308466676,textual,True
147,arxiv_2,_id,dblp_1,ID,0.5997757178800336,numerical,True
148,dblp_1,ID,neurips_1,_id,0.5979814247896169,numerical,True
149,citeseer_1,authors,google_scholar_1,author,0.5960663133004802,textual,True
150,arxiv_2,Authors,dblp_1,author,0.5937573729176855,textual,True
151,arxiv_1,_id,dblp_1,ID,0.5935048879460705,numerical,True
152,arxiv_2,Authors,dblp_2,authors,0.5896441294055332,textual,True
153,google_scholar_1,ID,thecvf_1,_id,0.5884268970160591,numerical,True
154,google_scholar_1,author,google_scholar_2,authors,0.5786644918007063,textual,True
155,arxiv_2,Authors,dblp_3,authors,0.577586094419684,textual,True
156,dblp_1,ID,thecvf_1,_id,0.5745071910779923,numerical,True
157,citeseer_1,id,google_scholar_1,ID,0.5687461717765825,numerical,True
158,dblp_3,id,google_scholar_1,ID,0.5657428750908045,numerical,True
159,arxiv_2,Authors,citeseer_1,authors,0.563747422434058,textual,True
160,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.5632980568844872,textual,True
161,citeseer_1,id,dblp_1,ID,0.5556630391233108,numerical,True
162,dblp_1,ID,dblp_3,id,0.55370882324783,numerical,True
163,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.553477182594604,textual,True
164,arxiv_2,Authors,google_scholar_2,authors,0.5464246304305018,textual,True
165,google_scholar_1,year,thecvf_1,Year,0.5451400921922136,numerical,True
166,arxiv_2,Year,google_scholar_1,year,0.5444155574604965,numerical,True
167,thecvf_1,Year,google_scholar_2,year,0.5377485016245516,numerical,True
168,arxiv_2,Year,google_scholar_2,year,0.5369940758789876,numerical,True
169,arxiv_2,Year,citeseer_1,year,0.5287845968406766,numerical,True
170,citeseer_1,publication_type,dblp_3,publication_type,0.5287742446422028,textual,True
171,thecvf_1,Year,citeseer_1,year,0.5284395724871195,numerical,True
172,dblp_1,volume,google_scholar_1,volume,0.5101541826376903,textual,True
173,citeseer_1,title,google_scholar_1,booktitle,0.4892933544381225,textual,False
174,dblp_2,id,dblp_3,id,0.4850793027175121,textual,True
175,citeseer_1,id,dblp_2,id,0.48268910003065,textual,True
176,dblp_2,title,google_scholar_1,booktitle,0.4821972043069302,textual,False
177,dblp_3,id,google_scholar_2,id,0.480677985731164,textual,True
178,citeseer_1,id,google_scholar_2,id,0.4782610569613328,textual,True
179,dblp_1,title,google_scholar_1,booktitle,0.4774619988349289,textual,False
180,google_scholar_2,title,google_scholar_1,booktitle,0.471884945193336,textual,False
181,dblp_1,volume,google_scholar_1,number,0.4707268840304299,mixed,False
182,dblp_1,booktitle,dblp_2,title,0.4518221435871453,textual,False
183,dblp_3,title,google_scholar_1,booktitle,0.4516850434703007,textual,False
184,google_scholar_1,booktitle,neurips_1,Title,0.4511938191604123,textual,False
185,thecvf_1,Tag,dblp_1,link,0.449636450640807,textual,False
