,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_2,Year,thecvf_1,Year,0.973889929238567,numerical,True
1,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9716453924773774,textual,True
2,google_scholar_1,year,google_scholar_2,year,0.9693232787849329,numerical,True
3,dblp_1,year,dblp_3,year,0.965735263073122,numerical,True
4,google_scholar_1,year,citeseer_1,year,0.9613543384006652,numerical,True
5,arxiv_1,Abstract,neurips_1,Abstract,0.9581165086148676,textual,True
6,dblp_1,number,google_scholar_1,number,0.9561050553731752,mixed,True
7,citeseer_1,year,google_scholar_2,year,0.949548864898873,numerical,True
8,dblp_2,year,dblp_3,year,0.9483447102902024,numerical,True
9,dblp_1,year,dblp_2,year,0.94498617160365,numerical,True
10,neurips_1,Authors,thecvf_1,Authors,0.944120267046878,textual,True
11,arxiv_1,Authors,neurips_1,Authors,0.9431421158541444,textual,True
12,arxiv_1,Authors,thecvf_1,Authors,0.939065958395942,textual,True
13,arxiv_2,_id,neurips_1,_id,0.930501030268787,numerical,True
14,citeseer_1,id,dblp_3,id,0.9286032126800862,numerical,True
15,arxiv_1,_id,neurips_1,_id,0.9278939946508894,numerical,True
16,arxiv_1,Title,arxiv_2,Title,0.9260701690254428,textual,True
17,arxiv_1,_id,arxiv_2,_id,0.9250710404153212,numerical,True
18,arxiv_1,Title,neurips_1,Title,0.9240583045201192,textual,True
19,arxiv_2,Title,neurips_1,Title,0.9236764184901396,textual,True
20,arxiv_2,Title,thecvf_1,Title,0.9227847597787806,textual,True
21,arxiv_1,Title,thecvf_1,Title,0.9225884246593322,textual,True
22,neurips_1,Title,thecvf_1,Title,0.9222320299985473,textual,True
23,dblp_1,ID,google_scholar_1,ID,0.9197467543510414,numerical,True
24,dblp_2,authors,dblp_3,authors,0.9173481792677936,textual,True
25,neurips_1,_id,thecvf_1,_id,0.9171012443275196,numerical,True
26,citeseer_1,authors,dblp_3,authors,0.9170275913064718,textual,True
27,arxiv_1,_id,thecvf_1,_id,0.9152641934116744,numerical,True
28,thecvf_1,_id,arxiv_2,_id,0.9149606179306518,numerical,True
29,google_scholar_1,pages,dblp_1,pages,0.9135982626711368,mixed,True
30,citeseer_1,authors,dblp_2,authors,0.9072997581697548,textual,True
31,dblp_3,title,google_scholar_1,title,0.9034943986625308,textual,True
