,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,neurips_1,Authors,0.9847224950790404,textual,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9843569397926332,textual,True
2,arxiv_1,_id,neurips_1,_id,0.979413628578186,numerical,True
3,arxiv_1,_id,arxiv_2,_id,0.978204071521759,numerical,True
4,arxiv_2,_id,neurips_1,_id,0.9778598546981812,numerical,True
5,citeseer_1,id,dblp_3,id,0.9773992300033568,numerical,True
6,arxiv_1,Title,thecvf_1,Title,0.9725180864334106,textual,True
7,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.972289264202118,textual,True
8,arxiv_2,Title,thecvf_1,Title,0.9719869494438172,textual,True
9,neurips_1,Authors,thecvf_1,Authors,0.9714346528053284,textual,True
10,dblp_1,year,dblp_3,year,0.9712821841239928,numerical,True
11,arxiv_1,Title,arxiv_2,Title,0.9712428450584412,textual,True
12,arxiv_2,Title,neurips_1,Title,0.9686729907989502,textual,True
13,arxiv_1,Title,neurips_1,Title,0.968644082546234,textual,True
14,neurips_1,Title,thecvf_1,Title,0.9686369299888612,textual,True
15,google_scholar_1,year,google_scholar_2,year,0.9672829508781432,numerical,True
16,dblp_1,ID,google_scholar_1,ID,0.96603125333786,numerical,True
17,arxiv_1,Authors,thecvf_1,Authors,0.9653988480567932,textual,True
18,dblp_1,number,google_scholar_1,number,0.9623607397079468,mixed,True
19,arxiv_2,Year,thecvf_1,Year,0.9592626094818116,numerical,True
20,citeseer_1,authors,dblp_3,authors,0.958520233631134,textual,True
21,citeseer_1,year,google_scholar_1,year,0.9561321139335632,numerical,True
22,dblp_1,title,dblp_2,title,0.953559160232544,textual,True
23,citeseer_1,year,google_scholar_2,year,0.9519999623298644,numerical,True
24,arxiv_1,_id,thecvf_1,_id,0.9499263167381288,numerical,True
25,dblp_2,year,dblp_3,year,0.9498386979103088,numerical,True
26,dblp_1,title,google_scholar_2,title,0.9491458535194396,textual,True
27,arxiv_2,_id,thecvf_1,_id,0.9487051963806152,numerical,True
28,neurips_1,_id,thecvf_1,_id,0.9462187886238098,numerical,True
29,citeseer_1,title,google_scholar_2,title,0.9421595335006714,textual,True
30,dblp_1,pages,google_scholar_1,pages,0.9400162100791932,mixed,True
31,citeseer_1,title,dblp_2,title,0.9397717714309692,textual,True
32,dblp_3,title,google_scholar_1,title,0.9393457174301147,textual,True
33,dblp_2,title,google_scholar_2,title,0.9385458827018738,textual,True
34,dblp_1,journal,dblp_3,journal,0.9385066032409668,textual,True
35,dblp_1,title,dblp_3,title,0.937816858291626,textual,True
36,citeseer_1,authors,dblp_2,authors,0.9370126128196716,textual,True
37,dblp_2,authors,dblp_3,authors,0.9332990646362304,textual,True
38,dblp_1,year,dblp_2,year,0.9312344789505004,numerical,True
39,citeseer_1,title,dblp_1,title,0.9301658272743224,textual,True
40,dblp_3,title,google_scholar_2,title,0.9267447590827942,textual,True
41,dblp_2,title,dblp_3,title,0.9262576699256896,textual,True
42,dblp_2,authors,google_scholar_2,authors,0.92177414894104,textual,True
43,citeseer_1,authors,google_scholar_2,authors,0.918421506881714,textual,True
44,dblp_1,title,google_scholar_1,title,0.9165340065956116,textual,True
45,dblp_3,authors,google_scholar_2,authors,0.9157691597938538,textual,True
46,google_scholar_1,title,google_scholar_2,title,0.9136622548103333,textual,True
47,dblp_1,journal,google_scholar_1,journal,0.9110532999038696,textual,True
48,dblp_3,journal,google_scholar_1,journal,0.9011632204055786,textual,True
49,citeseer_1,title,dblp_3,title,0.8959833383560181,textual,True
50,dblp_2,title,google_scholar_1,title,0.8921683430671692,textual,True
51,citeseer_1,title,google_scholar_1,title,0.8725734949111938,textual,True
52,dblp_2,title,neurips_1,Title,0.8616020679473877,textual,True
53,dblp_2,title,thecvf_1,Title,0.8600704073905945,textual,True
54,dblp_1,booktitle,google_scholar_1,booktitle,0.859968364238739,textual,True
55,arxiv_1,Title,dblp_3,title,0.8594970703125,textual,True
56,dblp_1,title,thecvf_1,Title,0.8550944328308105,textual,True
57,dblp_3,title,thecvf_1,Title,0.8535062074661255,textual,True
58,arxiv_2,Title,dblp_2,title,0.8511591553688049,textual,True
59,arxiv_1,Title,dblp_2,title,0.8498292565345764,textual,True
60,dblp_1,title,neurips_1,Title,0.8471435308456421,textual,True
61,dblp_3,title,neurips_1,Title,0.8463327288627625,textual,True
62,arxiv_1,Title,dblp_1,title,0.8449461460113525,textual,True
63,arxiv_2,Title,dblp_3,title,0.8430947065353394,textual,True
64,arxiv_2,Authors,google_scholar_1,author,0.8414686918258667,textual,True
65,arxiv_2,Title,dblp_1,title,0.8379203677177429,textual,True
66,citeseer_1,title,neurips_1,Title,0.8307777643203735,textual,True
67,google_scholar_2,title,thecvf_1,Title,0.8292701244354248,textual,True
68,google_scholar_2,title,neurips_1,Title,0.8271843791007996,textual,True
69,citeseer_1,title,thecvf_1,Title,0.8262890577316284,textual,True
70,arxiv_2,Month,thecvf_1,Month,0.8238105773925781,textual,True
71,citeseer_1,journal,google_scholar_1,journal,0.8237680196762085,textual,True
72,arxiv_1,Title,google_scholar_2,title,0.8230745196342468,textual,True
73,arxiv_1,Title,google_scholar_1,title,0.8203244209289551,textual,True
74,arxiv_2,Year,dblp_1,year,0.8201098442077637,numerical,True
75,arxiv_2,Title,citeseer_1,title,0.818526566028595,textual,True
76,arxiv_2,Title,google_scholar_2,title,0.816791296005249,textual,True
77,arxiv_2,Year,dblp_3,year,0.8167018890380859,numerical,True
78,arxiv_1,Authors,dblp_3,authors,0.8162776231765747,textual,True
79,google_scholar_1,title,thecvf_1,Title,0.815708339214325,textual,True
80,arxiv_1,Title,citeseer_1,title,0.8155113458633423,textual,True
81,citeseer_1,journal,dblp_3,journal,0.8145582675933838,textual,True
82,google_scholar_1,title,neurips_1,Title,0.8075694441795349,textual,True
83,dblp_3,authors,neurips_1,Authors,0.8075231313705444,textual,True
84,arxiv_2,Title,google_scholar_1,title,0.8051004409790039,textual,True
85,arxiv_2,Authors,thecvf_1,Authors,0.8037803769111633,textual,True
86,citeseer_1,journal,dblp_1,journal,0.8012394905090332,textual,True
87,arxiv_1,Authors,citeseer_1,authors,0.8009661436080933,textual,True
88,arxiv_1,Authors,dblp_2,authors,0.8008062839508057,textual,True
89,dblp_2,authors,neurips_1,Authors,0.8006690740585327,textual,True
90,dblp_1,year,thecvf_1,Year,0.7956132888793945,numerical,True
91,citeseer_1,authors,neurips_1,Authors,0.7951977252960205,textual,True
92,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.794385552406311,textual,True
93,arxiv_2,Year,dblp_2,year,0.7931011915206909,numerical,True
94,dblp_2,authors,thecvf_1,Authors,0.7929219007492065,textual,True
95,dblp_3,year,thecvf_1,Year,0.7926944494247437,numerical,True
96,dblp_1,author,dblp_3,authors,0.7891666889190674,textual,True
97,arxiv_2,Authors,neurips_1,Authors,0.7885096073150635,textual,True
98,dblp_3,authors,thecvf_1,Authors,0.7867944240570068,textual,True
99,arxiv_1,Authors,arxiv_2,Authors,0.786565899848938,textual,True
100,citeseer_1,id,thecvf_1,_id,0.7863593101501465,numerical,True
101,arxiv_1,Authors,dblp_1,author,0.7833511829376221,textual,True
102,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.7824233770370483,textual,True
103,citeseer_1,authors,thecvf_1,Authors,0.7804514169692993,textual,True
104,dblp_3,id,thecvf_1,_id,0.7793719172477722,numerical,True
105,citeseer_1,authors,dblp_1,author,0.778340220451355,textual,True
106,dblp_1,author,neurips_1,Authors,0.7756142616271973,textual,True
107,dblp_2,year,thecvf_1,Year,0.773311972618103,numerical,True
108,dblp_2,id,google_scholar_2,id,0.7710838913917542,textual,True
109,arxiv_1,_id,google_scholar_1,ID,0.764941930770874,numerical,True
110,arxiv_2,_id,google_scholar_1,ID,0.7641397714614868,numerical,True
111,google_scholar_1,ID,neurips_1,_id,0.7587169408798218,numerical,True
112,dblp_1,author,google_scholar_1,author,0.7582948207855225,textual,True
113,arxiv_1,Authors,google_scholar_2,authors,0.7582252025604248,textual,True
114,dblp_1,author,thecvf_1,Authors,0.7581518292427063,textual,True
115,dblp_1,ID,neurips_1,_id,0.7578263282775879,numerical,True
116,arxiv_2,_id,citeseer_1,id,0.7572231888771057,numerical,True
117,dblp_1,publisher,google_scholar_1,publisher,0.7556610107421875,textual,True
118,citeseer_1,id,neurips_1,_id,0.754332959651947,numerical,True
119,arxiv_2,_id,dblp_3,id,0.7540478706359863,numerical,True
120,arxiv_1,_id,citeseer_1,id,0.7537859678268433,numerical,True
121,arxiv_2,_id,dblp_1,ID,0.7535836696624756,numerical,True
122,arxiv_2,JournalRef,thecvf_1,JournalRef,0.7523841857910156,textual,True
123,arxiv_1,_id,dblp_1,ID,0.7522170543670654,numerical,True
124,dblp_3,id,neurips_1,_id,0.7517285346984863,numerical,True
125,dblp_1,author,google_scholar_2,authors,0.7516355514526367,textual,True
126,google_scholar_2,authors,neurips_1,Authors,0.7508718967437744,textual,True
127,arxiv_1,_id,dblp_3,id,0.7504200339317322,numerical,True
128,arxiv_1,Date,neurips_1,Date,0.74807208776474,textual,True
129,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.7447965741157532,textual,True
130,dblp_1,author,dblp_2,authors,0.741013765335083,textual,True
131,google_scholar_2,authors,thecvf_1,Authors,0.7396502494812012,textual,True
132,google_scholar_1,ID,thecvf_1,_id,0.737443208694458,numerical,True
133,dblp_2,venue,google_scholar_2,venue,0.7288424372673035,textual,True
134,dblp_1,ID,thecvf_1,_id,0.723750114440918,numerical,True
135,google_scholar_1,author,thecvf_1,Authors,0.7229929566383362,textual,True
136,google_scholar_1,author,neurips_1,Authors,0.71006840467453,textual,True
137,arxiv_1,Authors,google_scholar_1,author,0.7079839110374451,textual,True
138,dblp_3,month,thecvf_1,Month,0.6941235065460205,textual,True
139,dblp_2,authors,google_scholar_1,author,0.6795114278793335,textual,True
140,citeseer_1,id,google_scholar_1,ID,0.6701785326004028,numerical,True
141,dblp_3,id,google_scholar_1,ID,0.6664993762969971,numerical,True
142,citeseer_1,id,dblp_1,ID,0.6660742163658142,numerical,True
143,dblp_1,ID,dblp_3,id,0.6631219983100891,numerical,True
144,citeseer_1,authors,google_scholar_1,author,0.6602226495742798,textual,True
145,dblp_3,authors,google_scholar_1,author,0.6579676270484924,textual,True
146,arxiv_2,Month,dblp_3,month,0.6504309177398682,textual,True
147,google_scholar_1,author,google_scholar_2,authors,0.6469260454177856,textual,True
148,arxiv_2,Authors,dblp_2,authors,0.6390326023101807,textual,True
149,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.638785719871521,textual,True
150,citeseer_1,year,dblp_3,year,0.624300479888916,numerical,True
151,citeseer_1,year,dblp_1,year,0.6232019662857056,numerical,True
152,dblp_3,year,google_scholar_1,year,0.621870756149292,numerical,True
153,dblp_1,year,google_scholar_1,year,0.6211549639701843,numerical,True
154,arxiv_2,Authors,citeseer_1,authors,0.6205042600631714,textual,True
155,arxiv_2,Authors,dblp_3,authors,0.6180613040924072,textual,True
156,arxiv_2,Authors,dblp_1,author,0.6176477670669556,textual,True
157,dblp_3,year,google_scholar_2,year,0.6156007051467896,numerical,True
158,dblp_1,year,google_scholar_2,year,0.6141901016235352,numerical,True
159,citeseer_1,year,dblp_2,year,0.6141472458839417,numerical,True
160,dblp_2,year,google_scholar_1,year,0.611818790435791,numerical,True
161,arxiv_2,Authors,google_scholar_2,authors,0.6081000566482544,textual,True
162,dblp_2,year,google_scholar_2,year,0.6064905524253845,numerical,True
163,arxiv_2,Tag,thecvf_1,Tag,0.6055747270584106,textual,True
164,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.5995382070541382,textual,True
165,dblp_1,volume,google_scholar_1,number,0.5977510809898376,mixed,False
166,dblp_2,venue,google_scholar_1,organization,0.5843701362609863,textual,True
167,dblp_3,journal,google_scholar_2,venue,0.5817595720291138,textual,True
168,google_scholar_1,booktitle,thecvf_1,JournalRef,0.5761927366256714,textual,True
169,dblp_2,venue,google_scholar_1,publisher,0.5755664110183716,textual,False
170,dblp_1,booktitle,thecvf_1,JournalRef,0.5734954476356506,textual,True
171,google_scholar_1,journal,google_scholar_2,venue,0.5713275671005249,textual,True
172,citeseer_1,journal,google_scholar_2,venue,0.564289927482605,textual,True
