,table_a,column_a,table_b,column_b,similarity,type,correct
0,arxiv_1,Authors,neurips_1,Authors,0.9934525489807128,textual,True
1,arxiv_1,Abstract,neurips_1,Abstract,0.9932957887649536,textual,True
2,arxiv_1,_id,neurips_1,_id,0.9911773204803468,numerical,True
3,arxiv_1,_id,arxiv_2,_id,0.9906589388847352,numerical,True
4,arxiv_2,_id,neurips_1,_id,0.990511417388916,numerical,True
5,citeseer_1,id,dblp_3,id,0.99031400680542,numerical,True
6,arxiv_1,Title,thecvf_1,Title,0.9882220029830932,textual,True
7,dblp_1,ENTRYTYPE,google_scholar_1,ENTRYTYPE,0.9881239533424376,textual,True
8,arxiv_2,Title,thecvf_1,Title,0.9879944324493408,textual,True
9,neurips_1,Authors,thecvf_1,Authors,0.9877578020095824,textual,True
10,dblp_1,year,dblp_3,year,0.9876923561096193,numerical,True
11,arxiv_1,Title,arxiv_2,Title,0.9876754879951476,textual,True
12,arxiv_2,Title,neurips_1,Title,0.9865741729736328,textual,True
13,arxiv_1,Title,neurips_1,Title,0.9865617752075196,textual,True
14,neurips_1,Title,thecvf_1,Title,0.9865586757659912,textual,True
15,google_scholar_1,year,google_scholar_2,year,0.985978364944458,numerical,True
16,dblp_1,ID,google_scholar_1,ID,0.9854419231414796,numerical,True
17,arxiv_1,Authors,thecvf_1,Authors,0.9851709604263306,textual,True
18,dblp_1,number,google_scholar_1,number,0.9838689565658568,mixed,True
19,arxiv_2,Year,thecvf_1,Year,0.9825412034988404,numerical,True
20,citeseer_1,authors,dblp_3,authors,0.9822230339050292,textual,True
21,citeseer_1,year,google_scholar_1,year,0.9811995029449464,numerical,True
22,dblp_1,title,dblp_2,title,0.9800969362258912,textual,True
23,citeseer_1,year,google_scholar_2,year,0.97942852973938,numerical,True
24,arxiv_1,_id,thecvf_1,_id,0.9785399436950684,numerical,True
25,dblp_2,year,dblp_3,year,0.9785022735595704,numerical,True
26,dblp_1,title,google_scholar_2,title,0.9782055616378784,textual,True
27,arxiv_2,_id,thecvf_1,_id,0.9780165553092957,numerical,True
28,neurips_1,_id,thecvf_1,_id,0.976951003074646,numerical,True
29,citeseer_1,title,google_scholar_2,title,0.9752113819122314,textual,True
30,dblp_1,pages,google_scholar_1,pages,0.9742926359176636,mixed,True
31,citeseer_1,title,dblp_2,title,0.9741880893707277,textual,True
32,dblp_3,title,google_scholar_1,title,0.9740054607391356,textual,True
33,dblp_2,title,google_scholar_2,title,0.9736627340316772,textual,True
34,dblp_1,journal,dblp_3,journal,0.9736457467079164,textual,True
35,dblp_1,title,dblp_3,title,0.9733502864837646,textual,True
36,citeseer_1,authors,dblp_2,authors,0.973005473613739,textual,True
37,dblp_2,authors,dblp_3,authors,0.9714139699935912,textual,True
38,dblp_1,year,dblp_2,year,0.970529079437256,numerical,True
39,citeseer_1,title,dblp_1,title,0.970071256160736,textual,True
40,dblp_3,title,google_scholar_2,title,0.9686050415039062,textual,True
41,dblp_2,title,dblp_3,title,0.9683963060379028,textual,True
42,dblp_2,authors,google_scholar_2,authors,0.966474711894989,textual,True
43,citeseer_1,authors,google_scholar_2,authors,0.9650378227233888,textual,True
44,dblp_1,title,google_scholar_1,title,0.9642290472984314,textual,True
45,dblp_3,authors,google_scholar_2,authors,0.963901162147522,textual,True
46,google_scholar_1,title,google_scholar_2,title,0.9629982709884644,textual,True
47,dblp_1,journal,google_scholar_1,journal,0.9618800282478333,textual,True
48,dblp_3,journal,google_scholar_1,journal,0.9576414227485656,textual,True
49,citeseer_1,title,dblp_3,title,0.9554216265678406,textual,True
50,dblp_2,title,google_scholar_1,title,0.9537866115570068,textual,True
51,citeseer_1,title,google_scholar_1,title,0.9453887939453124,textual,True
52,dblp_1,booktitle,google_scholar_1,booktitle,0.9399864077568054,textual,True
53,dblp_2,title,neurips_1,Title,0.9280855059623718,textual,True
54,dblp_2,title,thecvf_1,Title,0.9274290800094604,textual,True
55,arxiv_1,Title,dblp_3,title,0.9271833300590516,textual,True
56,dblp_1,title,thecvf_1,Title,0.9252964854240416,textual,True
57,dblp_3,title,thecvf_1,Title,0.9246158599853516,textual,True
58,arxiv_2,Month,thecvf_1,Month,0.924490213394165,textual,True
59,citeseer_1,journal,google_scholar_1,journal,0.9244720339775084,textual,True
60,arxiv_2,Title,dblp_2,title,0.923609972000122,textual,True
61,arxiv_1,Title,dblp_2,title,0.9230400323867798,textual,True
62,dblp_1,title,neurips_1,Title,0.9218889474868774,textual,True
63,dblp_3,title,neurips_1,Title,0.9215414524078368,textual,True
64,arxiv_1,Title,dblp_1,title,0.9209471940994264,textual,True
65,citeseer_1,journal,dblp_3,journal,0.9205250144004822,textual,True
66,arxiv_2,Title,dblp_3,title,0.9201537370681764,textual,True
67,arxiv_2,Title,dblp_1,title,0.9179362058639526,textual,True
68,arxiv_2,Authors,thecvf_1,Authors,0.9159059524536132,textual,True
69,citeseer_1,title,neurips_1,Title,0.9148750901222228,textual,True
70,citeseer_1,journal,dblp_1,journal,0.9148169755935668,textual,True
71,google_scholar_2,title,thecvf_1,Title,0.9142289161682128,textual,True
72,google_scholar_2,title,neurips_1,Title,0.9133350849151612,textual,True
73,citeseer_1,title,thecvf_1,Title,0.9129513502120972,textual,True
74,arxiv_1,Title,google_scholar_2,title,0.9115736484527588,textual,True
75,arxiv_1,Title,google_scholar_1,title,0.910395085811615,textual,True
76,arxiv_2,Title,citeseer_1,title,0.9096245765686036,textual,True
77,arxiv_2,Authors,neurips_1,Authors,0.9093613028526306,textual,True
78,arxiv_2,Title,google_scholar_2,title,0.9088808298110962,textual,True
79,arxiv_1,Authors,arxiv_2,Authors,0.9085282683372498,textual,True
80,google_scholar_1,title,thecvf_1,Title,0.908416748046875,textual,True
81,arxiv_1,Title,citeseer_1,title,0.908332347869873,textual,True
82,google_scholar_1,title,neurips_1,Title,0.9049286842346193,textual,True
83,arxiv_2,Title,google_scholar_1,title,0.9038705229759216,textual,True
84,dblp_2,id,google_scholar_2,id,0.901893138885498,textual,True
85,arxiv_2,Year,dblp_1,year,0.8994364738464355,numerical,True
86,arxiv_2,Year,dblp_3,year,0.8979759216308594,numerical,True
87,dblp_1,author,google_scholar_1,author,0.8964120149612427,textual,True
88,dblp_1,publisher,google_scholar_1,publisher,0.8952833414077759,textual,True
89,arxiv_2,JournalRef,thecvf_1,JournalRef,0.8938788771629333,textual,True
90,arxiv_1,Date,neurips_1,Date,0.8920309543609619,textual,True
91,arxiv_2,Authors,google_scholar_1,author,0.889389157295227,textual,True
92,dblp_1,year,thecvf_1,Year,0.8889379501342773,numerical,True
93,arxiv_2,Year,dblp_2,year,0.8878613710403442,numerical,True
94,dblp_3,year,thecvf_1,Year,0.8876869678497314,numerical,True
95,dblp_2,venue,google_scholar_2,venue,0.883789598941803,textual,True
96,dblp_2,year,thecvf_1,Year,0.8793802261352539,numerical,True
97,citeseer_1,id,thecvf_1,_id,0.8667036294937134,numerical,True
98,arxiv_1,Authors,dblp_1,author,0.8644816279411316,textual,True
99,dblp_3,id,thecvf_1,_id,0.8637090921401978,numerical,True
100,dblp_1,author,neurips_1,Authors,0.8611658215522766,textual,True
101,arxiv_2,_id,citeseer_1,id,0.8542167544364929,numerical,True
102,dblp_1,author,thecvf_1,Authors,0.8536819219589233,textual,True
103,citeseer_1,id,neurips_1,_id,0.8529780507087708,numerical,True
104,arxiv_2,_id,dblp_3,id,0.8528558611869812,numerical,True
105,arxiv_1,_id,citeseer_1,id,0.8527436256408691,numerical,True
106,dblp_3,month,thecvf_1,Month,0.8524301648139954,textual,True
107,dblp_3,id,neurips_1,_id,0.8518618941307068,numerical,True
108,arxiv_1,_id,dblp_3,id,0.8513010740280151,numerical,True
109,citeseer_1,year,dblp_3,year,0.8389859199523926,numerical,True
110,google_scholar_1,author,thecvf_1,Authors,0.8386138081550598,textual,True
111,citeseer_1,year,dblp_1,year,0.8385151028633118,numerical,True
112,dblp_3,year,google_scholar_1,year,0.8379446268081665,numerical,True
113,dblp_1,year,google_scholar_1,year,0.8376378417015076,numerical,True
114,dblp_3,year,google_scholar_2,year,0.8352574110031128,numerical,True
115,dblp_1,year,google_scholar_2,year,0.8346529006958008,numerical,True
116,citeseer_1,year,dblp_2,year,0.83463454246521,numerical,True
117,dblp_1,author,dblp_3,authors,0.8339176774024963,textual,True
118,arxiv_2,Month,dblp_3,month,0.8337047696113586,textual,True
119,dblp_2,year,google_scholar_1,year,0.8336366415023804,numerical,True
120,arxiv_1,Authors,dblp_3,authors,0.8333154916763306,textual,True
121,google_scholar_1,author,neurips_1,Authors,0.833074688911438,textual,True
122,arxiv_1,Authors,google_scholar_1,author,0.8321813344955444,textual,True
123,dblp_2,year,google_scholar_2,year,0.8313530683517456,numerical,True
124,arxiv_2,Tag,thecvf_1,Tag,0.8309606313705444,textual,True
125,dblp_3,authors,neurips_1,Authors,0.8295636177062988,textual,True
126,citeseer_1,authors,dblp_1,author,0.829277753829956,textual,True
127,arxiv_1,Journal-ref,neurips_1,Journal-ref,0.8283734917640686,textual,True
128,arxiv_1,Authors,citeseer_1,authors,0.8267534375190735,textual,True
129,arxiv_1,Authors,dblp_2,authors,0.8266849517822266,textual,True
130,dblp_2,authors,neurips_1,Authors,0.826626181602478,textual,True
131,citeseer_1,authors,neurips_1,Authors,0.8242812752723694,textual,True
132,dblp_2,authors,thecvf_1,Authors,0.8233059048652649,textual,True
133,dblp_3,authors,thecvf_1,Authors,0.8206799030303955,textual,True
134,citeseer_1,authors,thecvf_1,Authors,0.8179614543914795,textual,True
135,dblp_1,author,google_scholar_2,authors,0.817832887172699,textual,True
136,arxiv_1,Journal-ref,thecvf_1,JournalRef,0.8173072934150696,textual,True
137,dblp_1,author,dblp_2,authors,0.8132807016372681,textual,True
138,arxiv_1,Authors,google_scholar_2,authors,0.8084359169006348,textual,True
139,google_scholar_2,authors,neurips_1,Authors,0.8052845001220703,textual,True
140,google_scholar_2,authors,thecvf_1,Authors,0.8004751801490784,textual,True
141,arxiv_2,Authors,dblp_1,author,0.7934658527374268,textual,True
142,citeseer_1,publication_type,dblp_3,publication_type,0.7875931859016418,textual,True
143,dblp_2,authors,google_scholar_1,author,0.7869225740432739,textual,True
144,dblp_1,volume,google_scholar_1,volume,0.7846269607543945,textual,True
145,citeseer_1,authors,google_scholar_1,author,0.7786559462547302,textual,True
146,dblp_3,authors,google_scholar_1,author,0.777689516544342,textual,True
147,citeseer_1,title,google_scholar_1,booktitle,0.7768468260765076,textual,False
148,arxiv_2,Year,citeseer_1,year,0.7744715809822083,numerical,True
149,dblp_1,ENTRYTYPE,dblp_3,publication_type,0.7743914127349854,textual,True
150,arxiv_2,Year,google_scholar_1,year,0.7739486694335938,numerical,True
151,citeseer_1,year,thecvf_1,Year,0.7735987901687622,numerical,True
152,google_scholar_1,year,thecvf_1,Year,0.7732439041137695,numerical,True
153,google_scholar_1,author,google_scholar_2,authors,0.7729573845863342,textual,True
154,arxiv_1,Journal-ref,arxiv_2,JournalRef,0.7718740701675415,textual,True
155,arxiv_2,Year,google_scholar_2,year,0.7704706192016602,numerical,True
156,google_scholar_2,year,thecvf_1,Year,0.7697557806968689,numerical,True
157,dblp_3,publication_type,google_scholar_1,ENTRYTYPE,0.769264817237854,textual,True
158,dblp_2,title,google_scholar_1,booktitle,0.7673460245132446,textual,False
159,google_scholar_1,booktitle,google_scholar_2,title,0.7661310434341431,textual,False
160,dblp_1,title,google_scholar_1,booktitle,0.7637813687324524,textual,False
161,arxiv_2,Authors,dblp_2,authors,0.7573533654212952,textual,True
162,dblp_2,id,dblp_3,id,0.7495392560958862,textual,True
163,citeseer_1,title,dblp_1,booktitle,0.7494163513183594,textual,False
164,arxiv_2,Authors,citeseer_1,authors,0.7494126558303833,textual,True
165,citeseer_1,id,dblp_2,id,0.7488169074058533,textual,True
166,arxiv_2,Authors,dblp_3,authors,0.7483656406402588,textual,True
167,dblp_3,id,google_scholar_2,id,0.7479105591773987,textual,True
168,citeseer_1,id,google_scholar_2,id,0.747265100479126,textual,True
169,dblp_3,title,google_scholar_1,booktitle,0.7468013763427734,textual,False
170,arxiv_2,Authors,google_scholar_2,authors,0.7440965175628662,textual,True
171,dblp_1,booktitle,google_scholar_2,title,0.7418479323387146,textual,False
172,dblp_1,booktitle,dblp_2,title,0.7412383556365967,textual,False
173,google_scholar_1,booktitle,neurips_1,Title,0.7395377159118652,textual,False
174,google_scholar_1,booktitle,thecvf_1,Title,0.7385558485984802,textual,False
175,arxiv_2,Title,google_scholar_1,booktitle,0.735193133354187,textual,False
176,arxiv_1,Title,google_scholar_1,booktitle,0.7324441075325012,textual,False
177,dblp_1,booktitle,dblp_3,title,0.7240297794342041,textual,False
178,dblp_1,booktitle,google_scholar_1,title,0.7151409983634949,textual,False
179,citeseer_1,journal,thecvf_1,JournalRef,0.7147749662399292,textual,True
180,dblp_1,booktitle,neurips_1,Title,0.7131317853927612,textual,False
181,dblp_1,booktitle,thecvf_1,Title,0.7123598456382751,textual,False
182,arxiv_2,Title,dblp_1,booktitle,0.7091509103775024,textual,False
183,arxiv_1,Title,dblp_1,booktitle,0.7069334983825684,textual,False
184,google_scholar_1,journal,thecvf_1,JournalRef,0.7067692875862122,textual,True
185,neurips_1,Journal-ref,thecvf_1,JournalRef,0.6983089447021484,textual,True
186,dblp_3,journal,thecvf_1,JournalRef,0.6917698979377747,textual,True
187,dblp_1,journal,thecvf_1,JournalRef,0.6865898370742798,textual,True
188,arxiv_2,JournalRef,citeseer_1,journal,0.6804980635643005,textual,True
189,arxiv_2,JournalRef,google_scholar_1,journal,0.6792721152305603,textual,True
190,citeseer_1,id,google_scholar_1,ID,0.6732087731361389,numerical,True
191,arxiv_2,JournalRef,dblp_3,journal,0.6718134880065918,textual,True
192,dblp_3,id,google_scholar_1,ID,0.671631932258606,numerical,True
193,citeseer_1,id,dblp_1,ID,0.6714497804641724,numerical,True
194,dblp_1,ID,dblp_3,id,0.6701844930648804,numerical,True
195,dblp_2,venue,google_scholar_1,organization,0.6686694025993347,textual,True
196,arxiv_2,JournalRef,dblp_1,journal,0.6674409508705139,textual,True
197,arxiv_1,_id,google_scholar_1,ID,0.6651771664619446,numerical,True
198,arxiv_2,_id,google_scholar_1,ID,0.6648333668708801,numerical,True
199,google_scholar_1,ID,neurips_1,_id,0.6625092625617981,numerical,True
200,dblp_1,ID,neurips_1,_id,0.6621276140213013,numerical,True
201,arxiv_2,_id,dblp_1,ID,0.6603093147277832,numerical,True
202,arxiv_1,_id,dblp_1,ID,0.6597236394882202,numerical,True
203,dblp_2,id,neurips_1,_id,0.659694254398346,textual,True
204,google_scholar_2,id,neurips_1,_id,0.6594861745834351,textual,True
205,arxiv_2,_id,dblp_2,id,0.659063458442688,textual,True
206,arxiv_2,_id,google_scholar_2,id,0.6586639285087585,textual,True
