,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9921162088002192,numerical,True
1,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9920114499822827,numerical,True
2,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9918612682122177,numerical,True
3,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9908429474594228,numerical,True
4,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9905679228622408,numerical,True
5,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.990150911083766,numerical,True
6,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9874705952506758,numerical,True
7,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9817807904191732,numerical,True
8,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9807142071159574,numerical,True
9,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9805537496893167,numerical,True
10,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9802648842863652,numerical,True
11,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.979982102778652,numerical,True
12,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9793285166879794,numerical,True
13,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9790230474606836,numerical,True
14,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.978411259362509,numerical,True
15,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.959391815582128,numerical,True
16,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.9576157429943042,numerical,True
17,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9575295667758996,numerical,True
18,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9574154641144492,numerical,True
19,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.9572783405836954,numerical,True
20,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.956742577699007,numerical,True
21,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.956725039266721,numerical,True
22,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.95549207227287,numerical,True
23,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.954634692460992,numerical,True
24,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.9545961499449612,numerical,True
25,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9544659085272332,numerical,True
26,amo-ame-2009-eng,MINC,amo-ame-2010-eng,MINC,0.947737250075994,numerical,True
27,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.9475561105358086,textual,True
28,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.9399891311198106,numerical,True
29,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9312784598915418,numerical,True
30,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.926274255944527,numerical,True
31,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9215253207044504,numerical,True
32,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9168020536442107,numerical,True
33,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9143473707262773,numerical,True
34,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.913849756838486,numerical,True
35,amo-ame-2009-eng,MINE,amo-ame-2010-eng,MINE,0.911670295836277,textual,True
36,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9103443778343956,numerical,True
37,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9085032985688202,numerical,True
38,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.9078345306888536,textual,True
39,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.9044337830561616,numerical,True
40,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9020196326089676,numerical,True
41,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.8962578059503894,textual,True
42,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.8869456675575806,textual,True
43,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.8802370428076777,textual,True
44,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.8785678687980782,textual,True
45,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2017-eng,DEPT_EN_DESC,0.8696898625019509,textual,True
46,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8692757730502223,mixed,True
47,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.8661910749433446,textual,True
48,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2010-eng,ï»¿FSCL_YR,0.8583376762035537,mixed,True
49,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.8497188559184652,textual,True
50,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.8429457834668527,textual,True
51,amo-ame-2010-eng,MINC,amo-ame-2019-eng,minc,0.8413477778615379,numerical,True
52,amo-ame-2018-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.8408529771665398,textual,True
53,amo-ame-2011-eng,MINC,amo-ame-2019-eng,minc,0.8323557896427852,numerical,True
54,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.830863404529213,textual,True
55,amo-ame-2009-eng,MINC,amo-ame-2019-eng,minc,0.8279827948575398,numerical,True
56,amo-ame-2013-eng,MINC,amo-ame-2019-eng,minc,0.81829613804495,numerical,True
57,amo-ame-2008-eng,AGGREGATE,amo-ame-2009-eng,AGRG_PYMT_AMT,0.8063091686697671,numerical,True
58,amo-ame-2008-eng,AGGREGATE,amo-ame-2011-eng,AGRG_PYMT_AMT,0.8056461291762763,numerical,True
59,amo-ame-2008-eng,AGGREGATE,amo-ame-2018-eng,AGRG_PYMT_AMT,0.8053465180178981,numerical,True
60,amo-ame-2008-eng,AGGREGATE,amo-ame-2017-eng,AGRG_PYMT_AMT,0.8045657268673564,numerical,True
61,amo-ame-2010-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.8041255004554086,numerical,True
62,amo-ame-2017-eng,MINE,amo-ame-2011-eng,MINE,0.802410719078626,textual,True
63,amo-ame-2011-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.8011469496629551,numerical,True
64,amo-ame-2018-eng,MINE,amo-ame-2011-eng,MINE,0.8002387081091014,textual,True
65,amo-ame-2012-eng,Amount,amo-ame-2017-eng,AGRG_PYMT_AMT,0.8000931681378344,numerical,True
66,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2012-eng,Amount,0.7997802757087042,numerical,True
67,amo-ame-2012-eng,Amount,amo-ame-2018-eng,AGRG_PYMT_AMT,0.79916150711772,numerical,True
68,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.798635054537983,numerical,True
69,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.798372130095177,numerical,True
70,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2012-eng,Amount,0.7980523644966375,numerical,True
71,amo-ame-2017-eng,ï»¿MINC,amo-ame-2019-eng,minc,0.797531592862617,numerical,True
72,amo-ame-2009-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7969692566348888,numerical,True
73,amo-ame-2013-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7964898385352088,numerical,True
74,amo-ame-2013-eng,Amount,amo-ame-2017-eng,AGRG_PYMT_AMT,0.7961731049315066,numerical,True
75,amo-ame-2013-eng,Amount,amo-ame-2018-eng,AGRG_PYMT_AMT,0.7951870488348175,numerical,True
76,amo-ame-2017-eng,MINE,amo-ame-2010-eng,MINE,0.7921918321099316,textual,True
77,amo-ame-2008-eng,AGGREGATE,amo-ame-2012-eng,Amount,0.7883249057623177,numerical,True
78,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,0.7870425659012064,textual,True
79,amo-ame-2008-eng,AGGREGATE,amo-ame-2013-eng,Amount,0.7867992633848147,numerical,True
80,amo-ame-2018-eng,MINE,amo-ame-2009-eng,MINE,0.7855007189614647,textual,True
81,amo-ame-2018-eng,MINE,amo-ame-2010-eng,MINE,0.7843836791268644,textual,True
82,amo-ame-2011-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.7833762701453804,mixed,True
83,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.7777507173739727,mixed,True
84,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2018-eng,DEPT_EN_DESC,0.7775317450641177,textual,True
85,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,0.7772960092159825,textual,True
86,amo-ame-2017-eng,MINE,amo-ame-2009-eng,MINE,0.7756153573455534,textual,True
87,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2019-eng,DEPT_EN_DESC,0.7675610255707271,textual,True
88,amo-ame-2012-eng,ID,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.7651664955467774,numerical,True
