,table_a,column_a,table_b,column_b,similarity,type,correct
0,amo-ame-2009-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.997319757938385,numerical,True
1,amo-ame-2010-eng,OBJ_CD,amo-ame-2011-eng,OBJ_CD,0.9971269965171814,numerical,True
2,amo-ame-2009-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9970957040786744,numerical,True
3,amo-ame-2009-eng,OBJ_CD,amo-ame-2010-eng,OBJ_CD,0.9969266057014464,numerical,True
4,amo-ame-2010-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9968345165252686,numerical,True
5,amo-ame-2011-eng,OBJ_CD,amo-ame-2012-eng,OBJ_CD,0.9965670704841614,numerical,True
6,amo-ame-2013-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9953923225402832,numerical,True
7,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2011-eng,AGRG_PYMT_AMT,0.9940713047981262,numerical,True
8,amo-ame-2012-eng,Amount,amo-ame-2013-eng,Amount,0.9931328296661376,numerical,True
9,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9924345016479492,numerical,True
10,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.992314636707306,numerical,True
11,amo-ame-2012-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.9910059571266174,numerical,True
12,amo-ame-2010-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.990797221660614,numerical,True
13,amo-ame-2011-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.990585207939148,numerical,True
14,amo-ame-2009-eng,OBJ_CD,amo-ame-2018-eng,OBJ_CD,0.990381121635437,numerical,True
15,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9901769161224364,numerical,True
16,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2017-eng,AGRG_PYMT_AMT,0.9898367524147034,numerical,True
17,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2018-eng,AGRG_PYMT_AMT,0.9890616536140442,numerical,True
18,amo-ame-2012-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9888886213302612,numerical,True
19,amo-ame-2010-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9883967638015748,numerical,True
20,amo-ame-2009-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9882903695106506,numerical,True
21,amo-ame-2011-eng,OBJ_CD,amo-ame-2013-eng,OBJ_CD,0.9880889654159546,numerical,True
22,amo-ame-2010-eng,MINC,amo-ame-2011-eng,MINC,0.987654745578766,numerical,True
23,amo-ame-2009-eng,MINC,amo-ame-2011-eng,MINC,0.985371470451355,numerical,True
24,amo-ame-2009-eng,MINC,amo-ame-2013-eng,MINC,0.9846293330192566,numerical,True
25,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9841218590736388,numerical,True
26,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2011-eng,OBJ_EN_NM,0.98271644115448,textual,True
27,amo-ame-2009-eng,MINC,amo-ame-2010-eng,MINC,0.9824727177619934,numerical,True
28,amo-ame-2011-eng,MINC,amo-ame-2013-eng,MINC,0.9819058179855348,numerical,True
29,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.9800669550895692,numerical,True
30,amo-ame-2010-eng,MINC,amo-ame-2013-eng,MINC,0.9793545603752136,numerical,True
31,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9782239198684692,numerical,True
32,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.9764667749404908,numerical,True
33,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.976063311100006,numerical,True
34,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,0.9748772978782654,numerical,True
35,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9713711738586426,numerical,True
36,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2017-eng,DEPT_EN_DESC,0.9699205160140992,textual,True
37,amo-ame-2009-eng,MINE,amo-ame-2010-eng,MINE,0.9674195051193236,textual,True
38,amo-ame-2010-eng,MINE,amo-ame-2011-eng,MINE,0.9671549797058104,textual,True
39,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9669360518455504,numerical,True
40,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9665552973747252,numerical,True
41,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.9593464136123656,numerical,True
42,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9592235088348388,textual,True
43,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2018-eng,OBJ_EN_NM,0.9586495757102966,textual,True
44,amo-ame-2009-eng,MINE,amo-ame-2011-eng,MINE,0.9562355875968932,textual,True
45,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.953494429588318,textual,True
46,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2018-eng,DEPT_EN_DESC,0.9504925608634948,textual,True
47,amo-ame-2017-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.950122594833374,textual,True
48,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.9429900646209716,textual,True
49,amo-ame-2011-eng,MINE,amo-ame-2018-eng,MINE,0.9412130117416382,textual,True
50,amo-ame-2010-eng,MINE,amo-ame-2018-eng,MINE,0.9265654683113098,textual,True
51,amo-ame-2017-eng,MINE,amo-ame-2018-eng,MINE,0.9264432191848756,textual,True
52,amo-ame-2018-eng,DEPT_EN_DESC,amo-ame-2019-eng,DEPT_EN_DESC,0.9252753853797911,textual,True
53,amo-ame-2009-eng,MINE,amo-ame-2018-eng,MINE,0.9190547466278076,textual,True
54,amo-ame-2010-eng,MINE,amo-ame-2017-eng,MINE,0.9141496419906616,textual,True
55,amo-ame-2011-eng,MINE,amo-ame-2017-eng,MINE,0.913482129573822,textual,True
56,amo-ame-2009-eng,MINE,amo-ame-2017-eng,MINE,0.9006645679473877,textual,True
57,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8831866383552551,mixed,True
58,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2010-eng,ï»¿FSCL_YR,0.8734124302864075,mixed,True
59,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2010-eng,DEPT_EN_DESC,0.8505094647407532,textual,True
60,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2017-eng,DEPT_EN_DESC,0.8478200435638428,textual,True
61,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2018-eng,DEPT_EN_DESC,0.845133364200592,textual,True
62,amo-ame-2010-eng,MINC,amo-ame-2019-eng,minc,0.8208706378936768,numerical,True
63,amo-ame-2011-eng,MINC,amo-ame-2019-eng,minc,0.8179653286933899,numerical,True
64,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2019-eng,DEPT_EN_DESC,0.8152033090591431,textual,True
65,amo-ame-2009-eng,MINC,amo-ame-2019-eng,minc,0.8151633143424988,numerical,True
66,amo-ame-2013-eng,MINC,amo-ame-2019-eng,minc,0.8144707083702087,numerical,True
67,amo-ame-2011-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.8064283728599548,mixed,True
68,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2011-eng,ï»¿FSCL_YR,0.8014013171195984,mixed,True
69,amo-ame-2010-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.7790842056274414,mixed,True
70,amo-ame-2008-eng,AGGREGATE,amo-ame-2009-eng,AGRG_PYMT_AMT,0.7679561972618103,numerical,True
71,amo-ame-2008-eng,AGGREGATE,amo-ame-2011-eng,AGRG_PYMT_AMT,0.7672412991523743,numerical,True
72,amo-ame-2008-eng,AGGREGATE,amo-ame-2018-eng,AGRG_PYMT_AMT,0.7659878730773926,numerical,True
73,amo-ame-2008-eng,AGGREGATE,amo-ame-2017-eng,AGRG_PYMT_AMT,0.7624706029891968,numerical,True
74,amo-ame-2009-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7616235017776489,numerical,True
75,amo-ame-2010-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7614509463310242,numerical,True
76,amo-ame-2013-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7609591484069824,numerical,True
77,amo-ame-2011-eng,MINC,amo-ame-2017-eng,ï»¿MINC,0.7584163546562195,numerical,True
78,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2012-eng,Amount,0.7563759684562683,numerical,True
79,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.7561411261558533,numerical,True
80,amo-ame-2012-eng,Amount,amo-ame-2018-eng,AGRG_PYMT_AMT,0.755427896976471,numerical,True
81,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2013-eng,Amount,0.7547391653060913,numerical,True
82,amo-ame-2017-eng,ï»¿MINC,amo-ame-2019-eng,minc,0.7540539503097534,numerical,True
83,amo-ame-2009-eng,ï»¿FSCL_YR,amo-ame-2018-eng,ï»¿FSCL_YR,0.7537272572517395,mixed,True
84,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2012-eng,Amount,0.7530952095985413,numerical,True
85,amo-ame-2012-eng,Amount,amo-ame-2017-eng,AGRG_PYMT_AMT,0.7527409791946411,numerical,True
86,amo-ame-2013-eng,Amount,amo-ame-2018-eng,AGRG_PYMT_AMT,0.751763641834259,numerical,True
87,amo-ame-2013-eng,Amount,amo-ame-2017-eng,AGRG_PYMT_AMT,0.7506966590881348,numerical,True
88,amo-ame-2008-eng,AGGREGATE,amo-ame-2012-eng,Amount,0.7405076026916504,numerical,True
89,amo-ame-2008-eng,AGGREGATE,amo-ame-2013-eng,Amount,0.7401085495948792,numerical,True
90,amo-ame-2013-eng,Description,amo-ame-2018-eng,OBJ_EN_NM,0.7397555112838745,textual,True
91,amo-ame-2008-eng,ORGANIZATION DESCRIPTION,amo-ame-2012-eng,Description,0.7332114577293396,textual,True
92,amo-ame-2010-eng,MINE,amo-ame-2019-eng,Category,0.7248506546020508,textual,True
93,amo-ame-2017-eng,MINE,amo-ame-2019-eng,Category,0.7246801257133484,textual,True
94,amo-ame-2008-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2012-eng,ID,0.7243974804878235,numerical,True
95,amo-ame-2012-eng,ID,amo-ame-2019-eng,DepartmentNumber-Numéro-de-Ministère,0.7234019637107849,numerical,True
96,amo-ame-2011-eng,MINE,amo-ame-2012-eng,ï»¿Name,0.7232284545898438,textual,True
97,amo-ame-2012-eng,ID,amo-ame-2017-eng,DepartmentNumber-Numéro-de-Ministère,0.7220202684402466,numerical,True
98,amo-ame-2012-eng,ID,amo-ame-2018-eng,DepartmentNumber-Numéro-de-Ministère,0.7211390733718872,numerical,True
99,amo-ame-2011-eng,MINE,amo-ame-2019-eng,Category,0.7191985845565796,textual,True
100,amo-ame-2009-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,0.7191554307937622,textual,True
101,amo-ame-2011-eng,OBJ_EN_NM,amo-ame-2013-eng,Description,0.7182071805000305,textual,True
102,amo-ame-2018-eng,MINE,amo-ame-2019-eng,Category,0.7163271903991699,textual,True
103,amo-ame-2010-eng,DepartmentNumber-Numéro-de-Ministère,amo-ame-2012-eng,ID,0.7151244878768921,numerical,True
104,amo-ame-2008-eng,ORGANIZATION,amo-ame-2009-eng,MINE,0.7135260105133057,textual,True
105,amo-ame-2009-eng,MINE,amo-ame-2012-eng,ï»¿Name,0.7123709321022034,textual,True
106,amo-ame-2008-eng,ORGANIZATION,amo-ame-2019-eng,Category,0.711881697177887,textual,True
107,amo-ame-2010-eng,MINE,amo-ame-2012-eng,ï»¿Name,0.7103215456008911,textual,True
108,amo-ame-2012-eng,ï»¿Name,amo-ame-2019-eng,Category,0.7094686031341553,textual,True
109,amo-ame-2008-eng,ORGANIZATION,amo-ame-2010-eng,MINE,0.7083527445793152,textual,True
110,amo-ame-2012-eng,Description,amo-ame-2018-eng,DEPT_EN_DESC,0.7063822150230408,textual,True
111,amo-ame-2009-eng,MINE,amo-ame-2019-eng,Category,0.7050344944000244,textual,True
112,amo-ame-2011-eng,AGRG_PYMT_AMT,amo-ame-2019-eng,AGRG_PYMT_AMT,0.7022737264633179,numerical,True
113,amo-ame-2008-eng,ORGANIZATION,amo-ame-2011-eng,MINE,0.7007629871368408,textual,True
114,amo-ame-2008-eng,ï»¿DATE,amo-ame-2009-eng,ï»¿FSCL_YR,0.6994293332099915,mixed,True
115,amo-ame-2009-eng,AGRG_PYMT_AMT,amo-ame-2019-eng,AGRG_PYMT_AMT,0.698967456817627,numerical,True
116,amo-ame-2018-eng,AGRG_PYMT_AMT,amo-ame-2019-eng,AGRG_PYMT_AMT,0.6978585720062256,numerical,True
117,amo-ame-2017-eng,AGRG_PYMT_AMT,amo-ame-2019-eng,AGRG_PYMT_AMT,0.6972676515579224,numerical,True
118,amo-ame-2010-eng,DEPT_EN_DESC,amo-ame-2012-eng,Description,0.6957789659500122,textual,True
119,amo-ame-2012-eng,ï»¿Name,amo-ame-2018-eng,MINE,0.6950876116752625,textual,True
120,amo-ame-2012-eng,Description,amo-ame-2017-eng,DEPT_EN_DESC,0.6912481188774109,textual,True
121,amo-ame-2008-eng,ORGANIZATION,amo-ame-2018-eng,DEPT_EN_DESC,0.6883739233016968,textual,False
122,amo-ame-2009-eng,MINE,amo-ame-2012-eng,Description,0.6867988705635071,textual,False
123,amo-ame-2008-eng,ORGANIZATION,amo-ame-2010-eng,DEPT_EN_DESC,0.6837408542633057,textual,False
124,amo-ame-2011-eng,MINE,amo-ame-2012-eng,Description,0.6794739961624146,textual,False
125,amo-ame-2008-eng,ORGANIZATION,amo-ame-2017-eng,DEPT_EN_DESC,0.6792553663253784,textual,False
126,amo-ame-2008-eng,ORGANIZATION,amo-ame-2012-eng,ï»¿Name,0.6763575077056885,textual,True
127,amo-ame-2010-eng,MINE,amo-ame-2012-eng,Description,0.6755012273788452,textual,False
128,amo-ame-2008-eng,ORGANIZATION,amo-ame-2018-eng,MINE,0.662803590297699,textual,True
129,amo-ame-2012-eng,ï»¿Name,amo-ame-2017-eng,MINE,0.6596450805664062,textual,True
130,amo-ame-2012-eng,Description,amo-ame-2018-eng,MINE,0.6513299345970154,textual,False
131,amo-ame-2012-eng,Description,amo-ame-2019-eng,DEPT_EN_DESC,0.6509097814559937,textual,True
132,amo-ame-2008-eng,ORGANIZATION,amo-ame-2017-eng,MINE,0.6491612792015076,textual,True
133,amo-ame-2012-eng,Description,amo-ame-2019-eng,Category,0.6406257152557373,textual,False
134,amo-ame-2008-eng,ï»¿DATE,amo-ame-2010-eng,ï»¿FSCL_YR,0.6402427554130554,mixed,True
135,amo-ame-2008-eng,ORGANIZATION,amo-ame-2019-eng,DEPT_EN_DESC,0.6371093988418579,textual,False
136,amo-ame-2011-eng,ï»¿FSCL_YR,amo-ame-2013-eng,ï»¿Fiscal Year,0.6192615032196045,mixed,True
