,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9999887347221376,textual,True
1,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.9999684691429138,numerical,True
2,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.99989652633667,numerical,True
3,amazon_2,ID,goodreads_4,ID,0.9998209476470948,numerical,True
4,barnes_and_noble_4,ID,imsa_1,ID,0.9997922778129578,numerical,True
5,goodreads_3,_id,imsa_1,_id,0.9997678995132446,numerical,True
6,barnes_and_noble_4,ID,goodreads_3,ID,0.999727189540863,numerical,True
7,goodreads_2,year,goodreads_3,year,0.9996639490127563,numerical,True
8,amazon_1,pages,barnes_and_noble_1,pages,0.9996560215950012,numerical,True
9,amazon_2,ID,imsa_1,ID,0.9996395707130432,numerical,True
10,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9996099472045898,numerical,True
11,amazon_5,pages,barnes_and_noble_6,pages,0.9995983242988586,numerical,True
12,amazon_2,ID,barnes_and_noble_4,ID,0.9995964765548706,numerical,True
13,goodreads_4,_id,imsa_1,_id,0.9995714426040648,numerical,True
14,goodreads_3,ID,imsa_1,ID,0.9995694756507874,numerical,True
15,amazon_5,_id,barnes_and_noble_6,_id,0.99954354763031,numerical,True
16,goodreads_4,ID,imsa_1,ID,0.9994983077049256,numerical,True
17,book_depository_1,ID,imsa_1,ID,0.9994968175888062,numerical,True
18,barnes_and_noble_4,ID,book_depository_1,ID,0.9994725584983826,numerical,True
19,barnes_and_noble_6,_id,book_depository_1,_id,0.9994688034057616,numerical,True
20,barnes_and_noble_4,ID,goodreads_4,ID,0.9994649291038512,numerical,True
21,book_depository_1,_id,imsa_1,_id,0.9994451999664308,numerical,True
22,barnes_and_noble_2,ID,goodreads_1,ID,0.9994297027587892,numerical,True
23,goodreads_3,_id,goodreads_4,_id,0.9994295835494996,numerical,True
24,amazon_1,id,barnes_and_noble_1,id,0.9994238018989564,numerical,True
25,amazon_1,pages,barnes_and_noble_5,pages,0.999416172504425,numerical,True
26,barnes_and_noble_2,ID,book_depository_1,ID,0.999399185180664,numerical,True
27,amazon_2,ID,book_depository_1,ID,0.999379336833954,numerical,True
28,barnes_and_noble_2,ID,barnes_and_noble_4,ID,0.999331831932068,numerical,True
29,book_depository_1,_id,goodreads_3,_id,0.9992919564247132,numerical,True
30,barnes_and_noble_2,ID,imsa_1,ID,0.99925434589386,numerical,True
31,amazon_2,ID,goodreads_3,ID,0.9992541670799256,numerical,True
32,amazon_4,_id,barnes_and_noble_6,_id,0.9992318749427797,numerical,True
33,amazon_2,ISBN_10,book_depository_1,ISBN_10,0.999220073223114,mixed,True
34,book_depository_1,ID,goodreads_4,ID,0.9991649985313416,numerical,True
35,barnes_and_noble_1,pages,barnes_and_noble_5,pages,0.9991323351860046,numerical,True
36,goodreads_3,ID,goodreads_4,ID,0.999128758907318,numerical,True
37,amazon_5,_id,book_depository_1,_id,0.9990890026092528,numerical,True
38,amazon_1,pages,barnes_and_noble_6,pages,0.9990639090538024,numerical,True
39,amazon_1,pages,amazon_5,pages,0.9990503191947936,numerical,True
40,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.9990458488464355,numerical,True
41,barnes_and_noble_2,ID,goodreads_3,ID,0.9990259408950806,numerical,True
42,amazon_5,pages,barnes_and_noble_1,pages,0.9990250468254088,numerical,True
43,book_depository_1,ID,goodreads_1,ID,0.999013900756836,numerical,True
44,amazon_1,pubday,barnes_and_noble_1,pubday,0.9990068078041076,numerical,True
45,book_depository_1,ID,goodreads_3,ID,0.9989979863166808,numerical,True
46,book_depository_1,_id,goodreads_4,_id,0.9989749193191528,numerical,True
47,amazon_4,_id,amazon_5,_id,0.9989336729049684,numerical,True
48,barnes_and_noble_1,pages,barnes_and_noble_6,pages,0.9989323019981384,numerical,True
49,amazon_3,Pages,barnes_and_noble_4,Pages,0.9988902807235718,numerical,True
50,amazon_4,_id,goodreads_2,_id,0.9988127946853638,numerical,True
51,amazon_5,_id,goodreads_3,_id,0.9988098740577698,numerical,True
52,amazon_2,ID,barnes_and_noble_2,ID,0.9987539649009703,numerical,True
53,amazon_5,_id,imsa_1,_id,0.9987460374832152,numerical,True
54,barnes_and_noble_6,_id,imsa_1,_id,0.9987169504165648,numerical,True
