,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9968408965869476,textual,True
1,barnes_and_noble_1,isbn13,amazon_1,isbn13,0.9950325082245888,numerical,True
2,amazon_2,Language,amazon_1,language,0.988798837272832,textual,True
3,amazon_1,language,book_depository_1,Language,0.9859347789335102,textual,True
4,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9700322124785744,numerical,True
5,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.9645539178342512,textual,True
6,goodreads_2,year,goodreads_3,year,0.9538292156017184,numerical,True
7,amazon_5,pages,barnes_and_noble_6,pages,0.9453993761137046,numerical,True
8,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9409353555914782,numerical,True
9,barnes_and_noble_2,Author2,goodreads_1,ThirdAuthor,0.9346562152586269,textual,True
10,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.934262102525002,textual,True
11,amazon_5,product_dimensions,barnes_and_noble_4,Product_dimensions,0.9317626338382984,textual,True
12,amazon_5,old_price,barnes_and_noble_6,old_price,0.9314170681921256,mixed,True
13,goodreads_2,rating,amazon_4,rating,0.9313175859551972,numerical,True
14,goodreads_3,_id,goodreads_4,_id,0.9300596752333083,numerical,True
15,amazon_2,ID,goodreads_4,ID,0.9292370221566948,numerical,True
16,goodreads_3,_id,imsa_1,_id,0.928720717636055,numerical,True
17,barnes_and_noble_4,ID,goodreads_3,ID,0.928611393961968,numerical,True
18,amazon_2,ISBN_10,book_depository_1,ISBN_10,0.9284207286289896,mixed,True
19,goodreads_4,Language,amazon_2,Language,0.9283516442435292,textual,True
20,amazon_2,ID,goodreads_3,ID,0.928312404312588,numerical,True
21,amazon_1,pages,amazon_5,pages,0.928075957317119,numerical,True
22,barnes_and_noble_3,Dimensions,barnes_and_noble_4,Product_dimensions,0.9276556562956696,textual,True
23,amazon_2,ID,imsa_1,ID,0.926688099812541,numerical,True
24,amazon_2,ISBN_13,barnes_and_noble_4,ISBN_13,0.926565951048156,mixed,True
25,goodreads_3,ID,imsa_1,ID,0.926393811686818,numerical,True
26,goodreads_4,_id,imsa_1,_id,0.92597081083373,numerical,True
27,book_depository_1,Language,goodreads_4,Language,0.9257877088214174,textual,True
28,barnes_and_noble_3,Dimensions,barnes_and_noble_6,product_dimensions,0.9253264861040432,textual,True
29,barnes_and_noble_4,ID,imsa_1,ID,0.9251724754607986,numerical,True
30,amazon_2,ID,barnes_and_noble_4,ID,0.9245009903759092,numerical,True
31,barnes_and_noble_6,pages,amazon_1,pages,0.9244310575693508,numerical,True
32,book_depository_1,ISBN_13,half_1,ISBN13,0.9240207747278242,numerical,True
33,barnes_and_noble_3,ISBN13,book_depository_1,ISBN_13,0.9239137488193246,numerical,True
34,barnes_and_noble_1,pubday,amazon_1,pubday,0.9238607655022598,numerical,True
35,goodreads_3,ID,goodreads_4,ID,0.9231641526282918,numerical,True
36,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.923143052072278,numerical,True
37,book_depository_1,ISBN_10,half_1,ISBN10,0.9230727801878776,mixed,True
38,barnes_and_noble_5,pages,amazon_1,pages,0.9230608549026406,numerical,True
39,amazon_1,pages,barnes_and_noble_1,pages,0.9226374527923,numerical,True
40,goodreads_4,Language,amazon_1,language,0.9213552154309916,textual,True
41,goodreads_1,Language,amazon_2,Language,0.921220197515805,textual,True
42,book_depository_1,Language,goodreads_1,Language,0.9208407217182798,textual,True
43,barnes_and_noble_6,book_format,book_depository_1,Format,0.92081475064604,textual,True
44,amazon_3,Pages,barnes_and_noble_4,Pages,0.9205524443992096,numerical,True
45,amazon_3,Pages,barnes_and_noble_3,Pages,0.9202433854640584,numerical,True
46,amazon_5,_id,goodreads_3,_id,0.9202323021600624,numerical,True
47,barnes_and_noble_4,ID,goodreads_4,ID,0.9199694408051938,numerical,True
48,amazon_5,pages,barnes_and_noble_1,pages,0.9194969409818604,numerical,True
49,book_depository_1,ID,goodreads_4,ID,0.9194329144332044,numerical,True
50,amazon_5,_id,barnes_and_noble_6,_id,0.919383756634323,numerical,True
51,amazon_2,ID,book_depository_1,ID,0.9191451675577872,numerical,True
52,goodreads_4,ID,imsa_1,ID,0.9189769044929268,numerical,True
53,book_depository_1,_id,goodreads_4,_id,0.918935052604398,numerical,True
54,barnes_and_noble_2,ID,goodreads_1,ID,0.9187016420176872,numerical,True
55,barnes_and_noble_2,ID,barnes_and_noble_4,ID,0.9184661494357984,numerical,True
56,barnes_and_noble_2,ID,goodreads_3,ID,0.9182665655925654,numerical,True
57,amazon_5,publication_date,barnes_and_noble_6,publication_date,0.91788958770801,mixed,True
58,barnes_and_noble_4,ID,book_depository_1,ID,0.9178501135606744,numerical,True
59,amazon_2,ISBN_10,barnes_and_noble_5,ISBN-10,0.917723536140902,mixed,True
