,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9968408965869476,textual,True
1,barnes_and_noble_1,isbn13,amazon_1,isbn13,0.9950325082245888,numerical,True
2,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.970032182676252,numerical,True
3,amazon_2,Language,amazon_1,language,0.9594783886358234,textual,True
4,amazon_1,language,book_depository_1,Language,0.9566143302965016,textual,True
5,goodreads_2,year,goodreads_3,year,0.953829185799396,numerical,True
6,amazon_5,pages,barnes_and_noble_6,pages,0.9453993463113822,numerical,True
7,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9409353555914782,numerical,True
8,barnes_and_noble_4,Product_dimensions,barnes_and_noble_6,product_dimensions,0.9400842889041594,textual,True
9,amazon_5,product_dimensions,barnes_and_noble_6,product_dimensions,0.9342620727226796,textual,True
10,amazon_5,old_price,barnes_and_noble_6,old_price,0.9314170830932867,mixed,True
11,goodreads_2,rating,amazon_4,rating,0.9313175561528748,numerical,True
12,goodreads_3,_id,goodreads_4,_id,0.9300596752333083,numerical,True
13,amazon_2,ID,goodreads_4,ID,0.9292370221566948,numerical,True
14,goodreads_3,_id,imsa_1,_id,0.928720717636055,numerical,True
15,barnes_and_noble_4,ID,goodreads_3,ID,0.928611393961968,numerical,True
16,amazon_2,ISBN_10,book_depository_1,ISBN_10,0.9284207286289896,mixed,True
17,goodreads_4,Language,amazon_2,Language,0.9283516442435292,textual,True
18,amazon_2,ID,goodreads_3,ID,0.928312404312588,numerical,True
19,amazon_1,pages,amazon_5,pages,0.9280759275147966,numerical,True
20,amazon_2,ID,imsa_1,ID,0.926688099812541,numerical,True
21,amazon_2,ISBN_13,barnes_and_noble_4,ISBN_13,0.926565951048156,mixed,True
22,goodreads_3,ID,imsa_1,ID,0.926393811686818,numerical,True
23,goodreads_4,_id,imsa_1,_id,0.92597081083373,numerical,True
24,book_depository_1,Language,goodreads_4,Language,0.9257877088214174,textual,True
25,barnes_and_noble_4,ID,imsa_1,ID,0.9251724754607986,numerical,True
26,amazon_2,ID,barnes_and_noble_4,ID,0.9245009903759092,numerical,True
27,barnes_and_noble_6,pages,amazon_1,pages,0.9244310277670283,numerical,True
28,barnes_and_noble_1,pubday,amazon_1,pubday,0.9238607655022598,numerical,True
29,goodreads_3,ID,goodreads_4,ID,0.9231641526282918,numerical,True
30,barnes_and_noble_3,Pages,barnes_and_noble_4,Pages,0.9231430222699556,numerical,True
31,barnes_and_noble_5,pages,amazon_1,pages,0.9230608251003182,numerical,True
32,amazon_1,pages,barnes_and_noble_1,pages,0.9226374229899776,numerical,True
33,goodreads_1,Language,amazon_2,Language,0.921220197515805,textual,True
34,book_depository_1,Language,goodreads_1,Language,0.9208407217182798,textual,True
35,amazon_3,Pages,barnes_and_noble_4,Pages,0.9205524145968872,numerical,True
36,amazon_3,Pages,barnes_and_noble_3,Pages,0.920243355661736,numerical,True
37,amazon_5,_id,goodreads_3,_id,0.9202323021600624,numerical,True
38,barnes_and_noble_4,ID,goodreads_4,ID,0.9199694408051938,numerical,True
39,amazon_5,pages,barnes_and_noble_1,pages,0.919496911179538,numerical,True
40,book_depository_1,ID,goodreads_4,ID,0.9194329144332044,numerical,True
41,amazon_5,_id,barnes_and_noble_6,_id,0.919383756634323,numerical,True
42,amazon_2,ID,book_depository_1,ID,0.9191451675577872,numerical,True
43,goodreads_4,ID,imsa_1,ID,0.9189769044929268,numerical,True
44,book_depository_1,_id,goodreads_4,_id,0.918935052604398,numerical,True
45,barnes_and_noble_2,ID,goodreads_1,ID,0.9187016420176872,numerical,True
46,barnes_and_noble_2,ID,barnes_and_noble_4,ID,0.9184661494357984,numerical,True
47,barnes_and_noble_2,ID,goodreads_3,ID,0.9182665655925654,numerical,True
48,amazon_5,publication_date,barnes_and_noble_6,publication_date,0.9178895579056876,mixed,True
49,barnes_and_noble_4,ID,book_depository_1,ID,0.9178501135606744,numerical,True
50,barnes_and_noble_2,ID,imsa_1,ID,0.9165778176635828,numerical,True
51,amazon_1,id,barnes_and_noble_1,id,0.9163719424094658,numerical,True
52,book_depository_1,_id,goodreads_3,_id,0.9162713025479948,numerical,True
53,barnes_and_noble_5,pages,barnes_and_noble_1,pages,0.916052057099388,numerical,True
54,amazon_5,pages,barnes_and_noble_5,pages,0.9152408587817004,numerical,True
55,barnes_and_noble_6,_id,book_depository_1,_id,0.9149216927063204,numerical,True
56,book_depository_1,ID,goodreads_3,ID,0.914846029216097,numerical,True
57,goodreads_1,Language,goodreads_4,Language,0.9147691165287668,textual,True
58,barnes_and_noble_2,ID,book_depository_1,ID,0.913915157815564,numerical,True
59,book_depository_1,_id,imsa_1,_id,0.9138130567720224,numerical,True
60,amazon_2,ID,barnes_and_noble_2,ID,0.9137212824245652,numerical,True
61,amazon_5,_id,goodreads_4,_id,0.9136756148066918,numerical,True
