,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_2,Language,book_depository_1,Language,0.9988707304000854,textual,True
1,amazon_1,isbn13,barnes_and_noble_1,isbn13,0.998122215270996,numerical,True
2,barnes_and_noble_3,ISBN13,half_1,ISBN13,0.9967442750930786,numerical,True
3,amazon_2,ID,goodreads_4,ID,0.9957643747329712,numerical,True
4,barnes_and_noble_4,ID,imsa_1,ID,0.9954813718795776,numerical,True
5,goodreads_3,_id,imsa_1,_id,0.9946104288101196,numerical,True
6,barnes_and_noble_4,ID,goodreads_3,ID,0.9942221641540528,numerical,True
7,goodreads_2,year,goodreads_3,year,0.9941694736480712,numerical,True
8,amazon_1,pages,barnes_and_noble_1,pages,0.994056761264801,numerical,True
9,amazon_2,ID,imsa_1,ID,0.9938937425613404,numerical,True
10,amazon_1,pubmonth,barnes_and_noble_1,pubmonth,0.9938172101974488,numerical,True
11,amazon_2,ID,barnes_and_noble_4,ID,0.9935417175292968,numerical,True
12,goodreads_4,_id,imsa_1,_id,0.9934760332107544,numerical,True
13,amazon_5,pages,barnes_and_noble_6,pages,0.993471622467041,numerical,True
14,goodreads_3,ID,imsa_1,ID,0.9930166006088256,numerical,True
15,goodreads_4,ID,imsa_1,ID,0.992900252342224,numerical,True
16,amazon_5,_id,barnes_and_noble_6,_id,0.9928427934646606,numerical,True
17,barnes_and_noble_6,_id,book_depository_1,_id,0.9927801489830016,numerical,True
18,barnes_and_noble_4,ID,goodreads_4,ID,0.9926639795303344,numerical,True
19,amazon_1,id,barnes_and_noble_1,id,0.992502748966217,numerical,True
20,book_depository_1,ID,imsa_1,ID,0.9925026893615724,numerical,True
21,barnes_and_noble_2,ID,goodreads_1,ID,0.9924802780151368,numerical,True
22,barnes_and_noble_2,ID,book_depository_1,ID,0.9924110174179076,numerical,True
23,barnes_and_noble_4,ID,book_depository_1,ID,0.9923725128173828,numerical,True
24,amazon_1,pages,barnes_and_noble_5,pages,0.9923282861709596,numerical,True
25,goodreads_3,_id,goodreads_4,_id,0.9921541213989258,numerical,True
