,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.848780487804878,0.39819004524886875,0.25958702064896755,0.1925601750547046,0.15304347826086956,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-00-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.848780487804878,0.39819004524886875,0.25958702064896755,0.1925601750547046,0.15304347826086956,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.8018433179723502,0.3689727463312369,0.2391304347826087,0.17670682730923695,0.14171974522292993,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-01-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.8130841121495327,0.3752665245202559,0.24376731301939059,0.18032786885245902,0.14308943089430895,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7719298245614035,0.3464566929133858,0.2233502538071066,0.166510757717493,0.13194959229058562,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-02-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7857142857142857,0.35555555555555557,0.23237597911227154,0.171648987463838,0.13608562691131498,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7652173913043478,0.3424124513618677,0.2227784730913642,0.16435826408125578,0.1302121433796635,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-03-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7652173913043478,0.3463035019455253,0.2236180904522613,0.164967562557924,0.13069016152716592,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7586206896551724,0.3416506717850288,0.2202970297029703,0.16255707762557078,0.128705712219812,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-04-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7619047619047619,0.3436293436293436,0.22139303482587064,0.163302752293578,0.12936046511627908,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7586206896551724,0.3416506717850288,0.2202970297029703,0.16255707762557078,0.128705712219812,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-05-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7574468085106383,0.33904761904761904,0.2184049079754601,0.16108597285067874,0.12759856630824373,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-cos,0.8275862068965517,0.9333333333333333,0.877284595300261,0.7111111111111111,0.3346153846153846,0.21975308641975308,0.1621129326047359,0.12842712842712842,0.9222222222222223
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-06-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7467811158798283,0.3377609108159393,0.21733821733821734,0.16021602160216022,0.12687099073414113,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-cos,0.8040201005025126,0.8888888888888888,0.8443271767810027,0.6788990825688074,0.31906614785992216,0.21339950372208435,0.16226071103008205,0.12851985559566786,0.8666666666666667
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-07-euc,0.8159203980099502,0.9111111111111111,0.8608923884514436,0.6933333333333334,0.3371212121212121,0.21680876979293545,0.15978456014362658,0.12660028449502134,0.8777777777777778
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-cos,0.7731958762886598,0.8333333333333334,0.8021390374331551,0.5951219512195122,0.3058823529411765,0.20224719101123595,0.15722120658135283,0.12851985559566786,0.7444444444444445
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-08-euc,0.7918781725888325,0.8666666666666667,0.8275862068965516,0.5865384615384616,0.3103448275862069,0.2097560975609756,0.1593554162936437,0.1261516654854713,0.7444444444444445
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-cos,0.7340425531914894,0.7666666666666667,0.75,0.5380710659898477,0.2857142857142857,0.19573400250941028,0.15229357798165138,0.12861271676300579,0.6333333333333333
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-09-euc,0.7473684210526316,0.7888888888888889,0.7675675675675675,0.5226130653266332,0.2807017543859649,0.19631901840490798,0.15426008968609867,0.12606232294617564,0.6
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-cos,0.632183908045977,0.6111111111111112,0.6214689265536724,0.44324324324324327,0.24439918533604887,0.18227848101265823,0.14575645756457564,0.12481857764876633,0.5111111111111111
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-cos-cnw-10-euc,0.632183908045977,0.6111111111111112,0.6214689265536724,0.43617021276595747,0.23952095808383234,0.17866004962779156,0.1444043321299639,0.12349183818310859,0.5111111111111111
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-00-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7435897435897436,0.332703213610586,0.21385176184690158,0.1575649059982095,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-00-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7435897435897436,0.332703213610586,0.21385176184690158,0.1575649059982095,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-01-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.332703213610586,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-01-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.332703213610586,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-02-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-02-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-03-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-03-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-04-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-04-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-05-cos,0.8390243902439024,0.9555555555555556,0.8935064935064936,0.7381974248927039,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-05-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-06-cos,0.8275862068965517,0.9333333333333333,0.877284595300261,0.7048458149779736,0.32761904761904764,0.21680876979293545,0.15978456014362658,0.12660028449502134,0.8888888888888888
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-06-euc,0.8333333333333334,0.9444444444444444,0.8854166666666667,0.7381974248927039,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9555555555555556
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-07-cos,0.8040201005025126,0.8888888888888888,0.8443271767810027,0.6575342465753424,0.31153846153846154,0.21052631578947367,0.16007194244604317,0.1267806267806268,0.8222222222222222
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-07-euc,0.81,0.9,0.8526315789473685,0.669683257918552,0.32637571157495254,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.8666666666666667
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-08-cos,0.7668393782383419,0.8222222222222222,0.7935656836461127,0.5853658536585366,0.30409356725146197,0.20124223602484473,0.15636363636363637,0.12778176597272076,0.6777777777777778
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-08-euc,0.7794871794871795,0.8444444444444444,0.8106666666666666,0.5797101449275363,0.30710172744721687,0.2095006090133983,0.1592128801431127,0.12606232294617564,0.7444444444444445
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-09-cos,0.7272727272727273,0.7555555555555555,0.7411444141689373,0.5279187817258884,0.2811881188118812,0.1947565543071161,0.14821591948764867,0.12805755395683452,0.6
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-09-euc,0.7340425531914894,0.7666666666666667,0.75,0.5226130653266332,0.2807017543859649,0.1941031941031941,0.15426008968609867,0.12606232294617564,0.6
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-10-cos,0.632183908045977,0.6111111111111112,0.6214689265536724,0.44324324324324327,0.24439918533604887,0.18227848101265823,0.14575645756457564,0.12481857764876633,0.5111111111111111
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-10-euc,0.632183908045977,0.6111111111111112,0.6214689265536724,0.43617021276595747,0.23952095808383234,0.17866004962779156,0.1444043321299639,0.12349183818310859,0.5111111111111111
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-00-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7435897435897436,0.332703213610586,0.21385176184690158,0.1575649059982095,0.12606232294617564,0.9666666666666667
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-00-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7435897435897436,0.332703213610586,0.21385176184690158,0.1575649059982095,0.12606232294617564,0.9666666666666667
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-01-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.332703213610586,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-01-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.332703213610586,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-02-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-02-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-03-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9777777777777777
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-03-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-04-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-04-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-05-cos,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7489361702127659,0.33584905660377357,0.21628189550425272,0.1593554162936437,0.1261516654854713,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-05-euc,0.8446601941747572,0.9666666666666667,0.9015544041450777,0.7542372881355932,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9888888888888889
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-06-cos,0.8275862068965517,0.9333333333333333,0.877284595300261,0.7105263157894737,0.32761904761904764,0.21680876979293545,0.15978456014362658,0.12660028449502134,0.9
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-06-euc,0.8333333333333334,0.9444444444444444,0.8854166666666667,0.7381974248927039,0.33584905660377357,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.9555555555555556
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-07-cos,0.8040201005025126,0.8888888888888888,0.8443271767810027,0.6575342465753424,0.31153846153846154,0.21052631578947367,0.15992812219227315,0.12669039145907474,0.8222222222222222
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-07-euc,0.81,0.9,0.8526315789473685,0.6933333333333334,0.32637571157495254,0.21601941747572814,0.1592128801431127,0.12606232294617564,0.8666666666666667
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-08-cos,0.7668393782383419,0.8222222222222222,0.7935656836461127,0.5825242718446602,0.3035019455252918,0.20074349442379183,0.1559383499546691,0.12750716332378223,0.6777777777777778
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-08-euc,0.7857142857142857,0.8555555555555555,0.8191489361702127,0.5797101449275363,0.30710172744721687,0.2095006090133983,0.1592128801431127,0.12606232294617564,0.7444444444444445
valentwin-chicago_parks-n-100-hn-10-selective-neg-lr-3e5-bs-512-euc-cnw-09-cos,0.7272727272727273,0.7555555555555555,0.7411444141689373,0.5279187817258884,0.2845849802371542,0.1947565543071161,0.14821591948764867,0.12805755395683452,0.6
