,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,1.0,textual,True
1,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,1.0,textual,True
2,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,1.0,textual,True
3,cihr_co-applicant_0,Province,cihr_co-applicant_6,Province,1.0,textual,True
4,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,1.0,textual,True
5,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,1.0,textual,True
6,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,1.0,textual,True
7,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,1.0,textual,True
8,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,1.0,textual,True
9,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,1.0,textual,True
10,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,1.0,textual,True
11,cihr_co-applicant_1,nan0,cihr_co-applicant_5,nan0,1.0,textual,False
12,cihr_co-applicant_1,nan1,cihr_co-applicant_5,nan1,1.0,textual,False
13,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,1.0,textual,True
14,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,1.0,textual,True
15,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,1.0,textual,True
16,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,1.0,textual,True
17,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,1.0,textual,True
18,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,1.0,textual,True
19,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,1.0,textual,True
20,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,1.0,textual,True
21,cihr_co-applicant_10,Program Code,cihr_co-applicant_3,Program Code,1.0,textual,True
22,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,1.0,textual,True
23,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,1.0,textual,True
24,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,1.0,textual,True
25,cihr_co-applicant_10,Title of Study,cihr_co-applicant_8,Title of Study,1.0,textual,True
26,cihr_co-applicant_10,Title of Study,cihr_co-applicant_9,Title of Study,1.0,textual,True
27,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,1.0,textual,True
28,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,1.0,textual,True
29,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,1.0,textual,True
30,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_2,AppOrgNm,1.0,textual,True
31,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,1.0,textual,True
32,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,1.0,textual,True
33,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_2,AppOrgID,1.0,textual,True
34,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,1.0,textual,True
35,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,1.0,textual,True
36,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_2,ProvinceEN,1.0,textual,True
37,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,1.0,textual,True
38,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,1.0,textual,True
39,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,1.0,textual,True
40,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0,textual,True
41,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,1.0,textual,True
42,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_4,ProgramIDProgramme,1.0,textual,True
43,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,1.0,textual,True
44,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_4,ProgramNameEN,1.0,textual,True
45,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,1.0,textual,True
46,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,1.0,textual,True
47,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,1.0,textual,True
48,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,1.0,textual,True
49,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_4,CodeCommitteeCode,1.0,textual,True
50,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,1.0,textual,True
51,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,1.0,textual,True
52,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,1.0,textual,True
53,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,1.0,textual,True
54,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,1.0,textual,True
55,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_4,AreasOfScienceEN,1.0,textual,True
56,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,1.0,textual,True
57,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,1.0,textual,True
58,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_4,ResearchClassEN,1.0,textual,True
59,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,1.0,textual,True
60,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,1.0,textual,True
61,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_4,TitreApplicationTitle,1.0,textual,True
62,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,1.0,textual,True
63,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,1.0,textual,True
64,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,1.0,textual,True
65,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_4,AppOrgID,1.0,textual,True
66,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_5,AppOrgID,1.0,textual,True
67,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_4,AppOrgNm,1.0,textual,True
68,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_5,AppOrgNm,1.0,textual,True
69,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,1.0,textual,True
70,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_5,ProvinceEN,1.0,textual,True
71,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,1.0,textual,True
72,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,1.0,textual,True
73,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,1.0,textual,True
74,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,1.0,textual,True
75,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,1.0,textual,True
76,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,1.0,textual,True
77,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,1.0,textual,True
78,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,1.0,textual,True
79,cihr_co-applicant_3,Committee Title,cihr_co-applicant_8,Committee Title,1.0,textual,True
80,cihr_co-applicant_3,Research Title,cihr_co-applicant_7,Research Title,1.0,textual,True
81,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,1.0,textual,True
82,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,1.0,textual,True
83,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,1.0,textual,True
84,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,1.0,textual,True
85,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,1.0,textual,True
86,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,1.0,textual,True
87,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,1.0,textual,True
88,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,1.0,textual,True
89,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,1.0,textual,True
90,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,1.0,textual,True
91,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,1.0,textual,True
92,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,1.0,textual,True
93,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,1.0,textual,True
94,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,1.0,textual,True
95,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,1.0,textual,True
96,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,1.0,textual,True
97,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,1.0,textual,True
98,cihr_co-applicant_4,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,1.0,textual,True
99,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,1.0,textual,True
100,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,1.0,textual,True
101,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,1.0,textual,True
102,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,1.0,textual,True
103,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,1.0,textual,True
104,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,1.0,textual,True
105,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,1.0,textual,True
106,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,1.0,textual,True
107,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,1.0,textual,True
108,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,1.0,textual,True
109,cihr_co-applicant_6,Program ID,cihr_co-applicant_9,Program ID,1.0,textual,True
110,cihr_co-applicant_6,Program Name,cihr_co-applicant_8,Program Name,1.0,textual,True
111,cihr_co-applicant_6,Program Name,cihr_co-applicant_9,Program Name,1.0,textual,True
112,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,1.0,textual,True
113,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,1.0,textual,True
114,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,1.0,textual,True
115,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,1.0,textual,True
116,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,1.0,textual,True
117,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,1.0,textual,True
118,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,1.0,textual,True
119,cihr_co-applicant_8,Program ID,cihr_co-applicant_9,Program ID,1.0,textual,True
120,cihr_co-applicant_8,Program Name,cihr_co-applicant_9,Program Name,1.0,textual,True
121,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,1.0,textual,True
122,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,1.0,textual,True
123,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_9,Areas of Study,1.0,textual,True
124,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,1.0,textual,True
125,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,1.0,textual,True
126,cihr_co-applicant_3,Research Class,cihr_co-applicant_8,Study Class,0.8416188359260559,textual,True
127,cihr_co-applicant_3,Research Class,cihr_co-applicant_9,Study Class,0.8416188359260559,textual,True
128,cihr_co-applicant_1,nan0,cihr_co-applicant_5,nan1,0.8414396047592163,textual,False
129,cihr_co-applicant_1,nan1,cihr_co-applicant_5,nan0,0.8414396047592163,textual,False
130,cihr_co-applicant_1,nan2,cihr_co-applicant_5,nan1,0.8202430605888367,textual,False
131,cihr_co-applicant_1,nan4,cihr_co-applicant_5,nan1,0.8161631226539612,textual,False
132,cihr_co-applicant_1,nan3,cihr_co-applicant_5,nan1,0.8116272687911987,textual,False
133,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_3,Research Areas,0.8033323287963867,textual,True
134,cihr_co-applicant_3,Research Areas,cihr_co-applicant_8,Areas of Study,0.8033323287963867,textual,True
135,cihr_co-applicant_3,Research Areas,cihr_co-applicant_9,Areas of Study,0.8033323287963867,textual,True
136,cihr_co-applicant_1,nan4,cihr_co-applicant_5,nan0,0.7993210554122925,textual,False
137,cihr_co-applicant_10,Title of Study,cihr_co-applicant_3,Research Title,0.7972829341888428,textual,True
138,cihr_co-applicant_10,Title of Study,cihr_co-applicant_7,Research Title,0.7972829341888428,textual,True
139,cihr_co-applicant_3,Research Title,cihr_co-applicant_8,Title of Study,0.7972829341888428,textual,True
140,cihr_co-applicant_3,Research Title,cihr_co-applicant_9,Title of Study,0.7972829341888428,textual,True
141,cihr_co-applicant_7,Research Title,cihr_co-applicant_8,Title of Study,0.7972829341888428,textual,True
142,cihr_co-applicant_7,Research Title,cihr_co-applicant_9,Title of Study,0.7972829341888428,textual,True
143,cihr_co-applicant_10,Class of Study,cihr_co-applicant_3,Research Class,0.7934516668319702,textual,True
144,cihr_co-applicant_1,nan2,cihr_co-applicant_5,nan0,0.785463809967041,textual,False
145,cihr_co-applicant_10,Class of Study,cihr_co-applicant_8,Study Class,0.7828055620193481,textual,True
146,cihr_co-applicant_10,Class of Study,cihr_co-applicant_9,Study Class,0.7828055620193481,textual,True
147,cihr_co-applicant_1,nan3,cihr_co-applicant_5,nan0,0.7745353579521179,textual,False
148,cihr_co-applicant_10,Committee Code,cihr_co-applicant_7,Institution Code,0.7651594877243042,textual,False
149,cihr_co-applicant_1,nan3,cihr_co-applicant_11,AppNm,0.7527687549591064,textual,False
150,cihr_co-applicant_1,nan3,cihr_co-applicant_2,AppNm,0.7527687549591064,textual,False
151,cihr_co-applicant_1,nan3,cihr_co-applicant_4,AppNm,0.7527687549591064,textual,False
152,cihr_co-applicant_1,nan3,cihr_co-applicant_5,AppNm,0.7527687549591064,textual,False
153,cihr_co-applicant_1,nan4,cihr_co-applicant_11,AppNm,0.752244770526886,textual,False
154,cihr_co-applicant_1,nan4,cihr_co-applicant_2,AppNm,0.752244770526886,textual,False
155,cihr_co-applicant_1,nan4,cihr_co-applicant_4,AppNm,0.752244770526886,textual,False
156,cihr_co-applicant_1,nan4,cihr_co-applicant_5,AppNm,0.752244770526886,textual,False
