,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,1.0000000655651091,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,1.0000000655651091,textual,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.9986996849108194,textual,True
3,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.9986996849108194,textual,True
4,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.9977458091943828,textual,True
5,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9973993042565296,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9973993042565296,textual,True
7,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9973993042565296,textual,True
8,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9973993042565296,textual,True
9,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9973793737155652,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9959440805530206,textual,True
11,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9959440805530206,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.99479854294795,textual,True
13,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.993343319591368,textual,True
14,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9922345708833238,textual,True
15,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.991752386034748,textual,True
16,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9896602402062978,textual,True
17,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9896550959731196,textual,True
18,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9891516243792414,textual,True
19,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9891516243792414,textual,True
20,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9871882244719478,textual,True
21,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.987082051007461,textual,True
22,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.9865508627237348,textual,True
23,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9861903529311056,textual,True
24,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.9860151492581424,textual,True
25,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.9853735827549984,textual,True
26,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.9837364135466306,textual,True
27,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.9836007054281544,textual,True
28,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.9811278668498156,textual,True
29,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9810109247052452,textual,True
30,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9808971742220456,textual,True
31,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.9797475554348414,textual,True
32,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9795922001479443,textual,True
33,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9793815141717356,textual,True
34,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.9793668363185029,textual,True
35,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9793629174981936,textual,True
36,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9790032055708108,textual,True
37,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.9782248971068068,textual,True
38,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.977698642918704,textual,True
39,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.975753990217862,textual,True
40,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.973876557427146,textual,True
41,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9723328683859158,textual,True
42,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9716382102935508,textual,True
43,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9709100688577698,textual,True
44,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.9707924071532568,textual,True
45,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,0.9703721620196524,textual,True
46,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.969933454820172,textual,True
47,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,0.966784580395414,textual,True
48,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.966784580395414,textual,True
49,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.966243103778921,textual,True
50,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.9654841981799528,textual,True
51,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.9624358389409192,textual,True
52,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_2,ProvinceEN,0.9620668606942396,textual,True
53,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9620577795337546,textual,True
54,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9616702260228128,textual,True
55,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.960415935137478,textual,True
56,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9602971695447295,textual,True
57,cihr_co-applicant_8,Program Name,cihr_co-applicant_6,Program Name,0.9579468974910722,textual,True
58,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9575892046786812,textual,True
59,cihr_co-applicant_0,Province,cihr_co-applicant_6,Province,0.957029478248826,textual,True
60,cihr_co-applicant_10,Organization Code,cihr_co-applicant_7,Institution Code,0.9567206153954746,textual,True
61,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9565764651018296,textual,True
62,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,0.9558885658741794,textual,True
63,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9555961660393056,textual,True
64,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9554435514755074,textual,True
65,cihr_co-applicant_11,CountryEN,cihr_co-applicant_9,Country,0.9551252027082896,textual,True
66,cihr_co-applicant_4,CountryEN,cihr_co-applicant_9,Country,0.9551252027082896,textual,True
67,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.9538248220539997,textual,True
68,cihr_co-applicant_11,CountryEN,cihr_co-applicant_6,Country,0.9525244415731732,textual,True
69,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.9525244415731732,textual,True
70,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.9525244415731732,textual,True
71,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.9525244415731732,textual,True
72,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9516544816698036,textual,True
73,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.9516182417448402,textual,True
74,cihr_co-applicant_5,CountryEN,cihr_co-applicant_6,Country,0.95122406074542,textual,True
75,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.95122406074542,textual,True
76,cihr_co-applicant_0,Country,cihr_co-applicant_5,CountryEN,0.9507786647938709,textual,True
77,cihr_co-applicant_3,Funding Type,cihr_co-applicant_9,Grant Type,0.9506602246756124,textual,True
78,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.9499236799176666,textual,True
79,cihr_co-applicant_10,Country,cihr_co-applicant_4,CountryEN,0.9499236799176666,textual,True
80,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9496786742661932,textual,True
81,cihr_co-applicant_0,Country,cihr_co-applicant_11,CountryEN,0.9494782839661176,textual,True
82,cihr_co-applicant_0,Country,cihr_co-applicant_4,CountryEN,0.9494782839661176,textual,True
83,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9490648148057368,textual,True
84,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.9486232997837672,textual,True
85,cihr_co-applicant_11,CountryEN,cihr_co-applicant_3,Country,0.9484684565610848,textual,True
86,cihr_co-applicant_3,Country,cihr_co-applicant_4,CountryEN,0.9484684565610848,textual,True
87,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.9474795694637912,textual,True
88,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.9471680757333312,textual,True
89,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,0.9462885774865192,textual,True
90,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,0.9453469899235198,textual,True
91,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9441575507245908,textual,True
92,cihr_co-applicant_10,Funding Category,cihr_co-applicant_3,Funding Type,0.9441141742491428,textual,True
93,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9431478836666152,textual,True
94,cihr_co-applicant_0,Organization Code,cihr_co-applicant_7,Institution Code,0.9389683704356482,textual,True
95,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,0.9388207273480184,textual,True
96,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9377942383613124,textual,True
97,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.9372189960362436,textual,True
98,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.93581249711873,textual,True
99,cihr_co-applicant_8,Program ID,cihr_co-applicant_9,Program ID,0.9350177971158288,textual,True
100,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9340530348309316,textual,True
