,table_a,column_a,table_b,column_b,similarity,type,correct
0,cihr_co-applicant_11,CountryEN,cihr_co-applicant_4,CountryEN,0.9999999880790712,textual,True
1,cihr_co-applicant_6,Country,cihr_co-applicant_8,Country,0.9999999880790712,textual,True
2,cihr_co-applicant_11,CountryEN,cihr_co-applicant_5,CountryEN,0.999349797751926,textual,True
3,cihr_co-applicant_4,CountryEN,cihr_co-applicant_5,CountryEN,0.999349797751926,textual,True
4,cihr_co-applicant_10,Country,cihr_co-applicant_3,Country,0.998872859893708,textual,True
5,cihr_co-applicant_10,Country,cihr_co-applicant_6,Country,0.9986996074247813,textual,True
6,cihr_co-applicant_10,Country,cihr_co-applicant_8,Country,0.9986996074247813,textual,True
7,cihr_co-applicant_6,Country,cihr_co-applicant_9,Country,0.9986996074247813,textual,True
8,cihr_co-applicant_8,Country,cihr_co-applicant_9,Country,0.9986996074247813,textual,True
9,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_4,FundingTypeEN,0.9986896719566216,textual,True
10,cihr_co-applicant_3,Country,cihr_co-applicant_6,Country,0.9979719955730268,textual,True
11,cihr_co-applicant_3,Country,cihr_co-applicant_8,Country,0.9979719955730268,textual,True
12,cihr_co-applicant_10,Country,cihr_co-applicant_9,Country,0.9973992267704914,textual,True
13,cihr_co-applicant_3,Country,cihr_co-applicant_9,Country,0.9966716150922004,textual,True
14,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9961172705405008,textual,True
15,cihr_co-applicant_0,Country,cihr_co-applicant_9,Country,0.9958761483138904,textual,True
16,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9948301052019878,textual,True
17,cihr_co-applicant_4,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9948275330853986,textual,True
18,cihr_co-applicant_0,Country,cihr_co-applicant_6,Country,0.9945757674861372,textual,True
19,cihr_co-applicant_0,Country,cihr_co-applicant_8,Country,0.9945757674861372,textual,True
20,cihr_co-applicant_0,Country,cihr_co-applicant_3,Country,0.9935940675324904,textual,True
21,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_5,FundingTypeEN,0.9935410106025694,textual,True
22,cihr_co-applicant_0,Country,cihr_co-applicant_10,Country,0.993275386658384,textual,True
23,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.9930951615643916,textual,True
24,cihr_co-applicant_10,Province,cihr_co-applicant_9,Province,0.99300755972791,textual,True
25,cihr_co-applicant_10,Province,cihr_co-applicant_3,Province,0.992686776476338,textual,True
26,cihr_co-applicant_3,Province,cihr_co-applicant_9,Province,0.991868191872154,textual,True
27,cihr_co-applicant_8,Province,cihr_co-applicant_9,Province,0.991800337812916,textual,True
28,cihr_co-applicant_0,Province,cihr_co-applicant_3,Province,0.9905639185237468,textual,True
29,cihr_co-applicant_4,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9905054474514616,textual,True
30,cihr_co-applicant_10,Funding Category,cihr_co-applicant_6,Funding Category,0.9904485424075392,textual,True
31,cihr_co-applicant_0,Province,cihr_co-applicant_9,Province,0.9898737628162596,textual,True
32,cihr_co-applicant_3,Province,cihr_co-applicant_8,Province,0.9897960851728111,textual,True
33,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9896907421847068,textual,True
34,cihr_co-applicant_8,Grant Type,cihr_co-applicant_9,Grant Type,0.989683373455768,textual,True
35,cihr_co-applicant_5,FundingTypeEN,cihr_co-applicant_7,FundingTypeEN,0.9896814438479355,textual,True
36,cihr_co-applicant_10,Province,cihr_co-applicant_6,Province,0.9895015878842444,textual,True
37,cihr_co-applicant_10,Province,cihr_co-applicant_8,Province,0.9891124336522422,textual,True
38,cihr_co-applicant_4,AppOrgID,cihr_co-applicant_5,AppOrgID,0.988849321459352,textual,True
39,cihr_co-applicant_0,Province,cihr_co-applicant_10,Province,0.9878769802077698,textual,True
40,cihr_co-applicant_0,Province,cihr_co-applicant_8,Province,0.9869382638124118,textual,True
41,cihr_co-applicant_8,Org Code,cihr_co-applicant_9,Org Code,0.9861664192917968,textual,True
42,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9858191051467756,textual,True
43,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_4,AppOrgID,0.9854550344288848,textual,True
44,cihr_co-applicant_6,Province,cihr_co-applicant_9,Province,0.9853961886754672,textual,True
45,cihr_co-applicant_6,Province,cihr_co-applicant_8,Province,0.985186066108665,textual,True
46,cihr_co-applicant_3,Province,cihr_co-applicant_6,Province,0.9849667125089248,textual,True
47,cihr_co-applicant_11,CountryEN,cihr_co-applicant_2,CountryEN,0.9833922454942234,textual,True
48,cihr_co-applicant_2,CountryEN,cihr_co-applicant_4,CountryEN,0.9833922454942234,textual,True
49,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9831215369882992,textual,True
50,cihr_co-applicant_2,CountryEN,cihr_co-applicant_5,CountryEN,0.9827420543864928,textual,True
51,cihr_co-applicant_0,Organization Code,cihr_co-applicant_10,Organization Code,0.981217859865815,textual,True
52,cihr_co-applicant_11,ProvinceEN,cihr_co-applicant_2,ProvinceEN,0.9810334154459586,textual,True
53,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_4,ProvinceEN,0.981028874865716,textual,True
54,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_4,AppOrgNm,0.9808350981102454,textual,True
55,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_9,Areas of Study,0.980207952667578,textual,True
56,cihr_co-applicant_2,ProvinceEN,cihr_co-applicant_5,ProvinceEN,0.9801485698712036,textual,True
57,cihr_co-applicant_8,Program Name,cihr_co-applicant_6,Program Name,0.978973433844375,textual,True
58,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9787945874381796,textual,True
59,cihr_co-applicant_0,Province,cihr_co-applicant_6,Province,0.9785147242232518,textual,True
60,cihr_co-applicant_8,Org Name,cihr_co-applicant_9,Org Name,0.9782881878474312,textual,True
61,cihr_co-applicant_6,Program ID,cihr_co-applicant_8,Program ID,0.9779442680359284,textual,True
62,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9777980383161692,textual,True
63,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9777217310342702,textual,True
64,cihr_co-applicant_4,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9758271961314182,textual,True
65,cihr_co-applicant_8,Code,cihr_co-applicant_9,Code,0.975809105971259,textual,True
66,cihr_co-applicant_4,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.974839292429613,textual,True
67,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9745323925017072,textual,True
68,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.9737397698307344,textual,True
69,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_8,Areas of Study,0.9731442738420985,textual,True
70,cihr_co-applicant_8,Study Class,cihr_co-applicant_9,Study Class,0.9726734800605988,textual,True
71,cihr_co-applicant_5,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.972078730658812,textual,True
72,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9715739269321464,textual,True
73,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,0.969410348772848,textual,True
74,cihr_co-applicant_5,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9688970744771728,textual,True
75,cihr_co-applicant_6,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.9686094831169608,textual,True
76,cihr_co-applicant_4,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.9679062038558814,textual,True
77,cihr_co-applicant_8,Program ID,cihr_co-applicant_9,Program ID,0.9675088836567532,textual,True
78,cihr_co-applicant_4,CodeCommitteeCode,cihr_co-applicant_7,CodeCommitteeCode,0.9670265025143048,textual,True
79,cihr_co-applicant_8,Areas of Study,cihr_co-applicant_9,Areas of Study,0.9668734244560684,textual,True
80,cihr_co-applicant_9,Program Name,cihr_co-applicant_8,Program Name,0.966445924385573,textual,True
81,cihr_co-applicant_6,Program ID,cihr_co-applicant_9,Program ID,0.9652998663900404,textual,True
82,cihr_co-applicant_4,AppNm,cihr_co-applicant_5,AppNm,0.9650337734005852,textual,True
83,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_6,CodeCommitteeCode,0.9648986966892028,textual,True
84,cihr_co-applicant_6,App Name,cihr_co-applicant_8,App Name,0.9640498218908736,textual,True
85,cihr_co-applicant_11,AppOrgID,cihr_co-applicant_2,AppOrgID,0.963947342438017,textual,True
86,cihr_co-applicant_2,AppNm,cihr_co-applicant_4,AppNm,0.96339893970461,textual,True
87,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_4,CodeCommitteeCode,0.9633767002978356,textual,True
88,cihr_co-applicant_2,AppNm,cihr_co-applicant_5,AppNm,0.9626127893032737,textual,True
89,cihr_co-applicant_11,AppNm,cihr_co-applicant_2,AppNm,0.9622502200853288,textual,True
90,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_5,AppOrgID,0.9621866131061128,textual,True
91,cihr_co-applicant_6,App Name,cihr_co-applicant_9,App Name,0.9620652219700212,textual,True
92,cihr_co-applicant_11,AppNm,cihr_co-applicant_4,AppNm,0.9619209641831852,textual,True
93,cihr_co-applicant_11,AppNm,cihr_co-applicant_5,AppNm,0.961582974047531,textual,True
94,cihr_co-applicant_8,App Name,cihr_co-applicant_9,App Name,0.9609466822221072,textual,True
95,cihr_co-applicant_2,AppOrgID,cihr_co-applicant_4,AppOrgID,0.960501044809384,textual,True
96,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_4,ProgramNameEN,0.9591192540977904,textual,True
97,cihr_co-applicant_11,AppOrgNm,cihr_co-applicant_2,AppOrgNm,0.9588068949270137,textual,True
98,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_4,ProgramIDProgramme,0.9584667815982754,textual,True
99,cihr_co-applicant_6,Program Name,cihr_co-applicant_9,Program Name,0.958334005706588,textual,True
100,cihr_co-applicant_4,AppOrgNm,cihr_co-applicant_2,AppOrgNm,0.9563958606953312,textual,True
101,cihr_co-applicant_11,ProgramIDProgramme,cihr_co-applicant_5,ProgramIDProgramme,0.9562571315367612,textual,True
102,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.9550789869592092,textual,True
103,cihr_co-applicant_4,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,0.954224383702677,textual,True
104,cihr_co-applicant_2,AppOrgNm,cihr_co-applicant_5,AppOrgNm,0.9538785419157356,textual,True
105,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.9534676860137694,textual,True
106,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_7,ResearchClassEN,0.9533273249107111,textual,True
107,cihr_co-applicant_10,Title of Study,cihr_co-applicant_9,Title of Study,0.9530162063507952,textual,True
108,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_5,ProgramNameEN,0.9524324697988876,textual,True
109,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_7,CommitteeNameEN,0.9517355961974656,textual,True
110,cihr_co-applicant_10,Title of Study,cihr_co-applicant_8,Title of Study,0.9512407562135085,textual,True
111,cihr_co-applicant_8,Title of Study,cihr_co-applicant_9,Title of Study,0.9509840080490388,textual,True
112,cihr_co-applicant_3,Research Title,cihr_co-applicant_7,Research Title,0.9509302204909096,textual,True
113,cihr_co-applicant_4,TitreApplicationTitle,cihr_co-applicant_5,TitreApplicationTitle,0.9503956754085728,textual,True
114,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_4,CommitteeNameEN,0.9501468538316168,textual,True
115,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_4,TitreApplicationTitle,0.949021345014639,textual,True
116,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_4,ResearchClassEN,0.9482444839299724,textual,True
117,cihr_co-applicant_10,Program Code,cihr_co-applicant_3,Program Code,0.9482120115651576,textual,True
118,cihr_co-applicant_3,Committee Title,cihr_co-applicant_8,Committee Title,0.9467664695527266,textual,True
119,cihr_co-applicant_11,CommitteeNameEN,cihr_co-applicant_6,CommitteeNameEN,0.9460173737276848,textual,True
120,cihr_co-applicant_11,ResearchClassEN,cihr_co-applicant_5,ResearchClassEN,0.9406935100883772,textual,True
121,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_7,AreasOfScienceEN,0.9364208851393432,textual,True
122,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_4,AreasOfScienceEN,0.9279448485603992,textual,True
123,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_5,AreasOfScienceEN,0.9245592687031384,textual,True
124,cihr_co-applicant_3,Research Class,cihr_co-applicant_8,Study Class,0.8410140486566393,textual,True
125,cihr_co-applicant_3,Research Class,cihr_co-applicant_9,Study Class,0.8263430897416004,textual,True
126,cihr_co-applicant_1,nan1,cihr_co-applicant_5,nan0,0.8233247616733766,textual,False
127,cihr_co-applicant_10,Class of Study,cihr_co-applicant_8,Study Class,0.8204746408812358,textual,True
128,cihr_co-applicant_10,Class of Study,cihr_co-applicant_9,Study Class,0.8179837496108511,textual,True
129,cihr_co-applicant_10,Organization Code,cihr_co-applicant_7,Institution Code,0.8144911502642276,textual,True
130,cihr_co-applicant_7,Research Title,cihr_co-applicant_10,Title of Study,0.8125266011331312,textual,True
131,cihr_co-applicant_7,Research Title,cihr_co-applicant_9,Title of Study,0.8111920813033775,textual,True
132,cihr_co-applicant_3,Research Areas,cihr_co-applicant_8,Areas of Study,0.8110499125384134,textual,True
133,cihr_co-applicant_7,Research Title,cihr_co-applicant_8,Title of Study,0.8108998910791911,textual,True
134,cihr_co-applicant_3,Research Title,cihr_co-applicant_8,Title of Study,0.8062821209725805,textual,True
135,cihr_co-applicant_10,Title of Study,cihr_co-applicant_3,Research Title,0.8061671243944831,textual,True
136,cihr_co-applicant_0,Organization Code,cihr_co-applicant_7,Institution Code,0.8056150277843144,textual,True
137,cihr_co-applicant_3,Research Title,cihr_co-applicant_9,Title of Study,0.805152182591992,textual,True
138,cihr_co-applicant_10,Class of Study,cihr_co-applicant_3,Research Class,0.8046980464478994,textual,True
139,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_3,Research Areas,0.7960395091698431,textual,True
140,cihr_co-applicant_3,Research Areas,cihr_co-applicant_9,Areas of Study,0.7893099806922638,textual,True
141,cihr_co-applicant_3,Program Title,cihr_co-applicant_6,Program Name,0.7777713128254506,textual,True
142,cihr_co-applicant_3,Program Title,cihr_co-applicant_8,Program Name,0.775030348265586,textual,True
143,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_10,Committee Code,0.7733298388097445,textual,True
144,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_4,CodeCommitteeCode,0.7719507969482293,textual,True
145,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_6,CodeCommitteeCode,0.7603719828922804,textual,True
146,cihr_co-applicant_3,Code Committee Code,cihr_co-applicant_7,CodeCommitteeCode,0.7586167017015841,textual,True
147,cihr_co-applicant_3,Program Title,cihr_co-applicant_9,Program Name,0.7585917797628843,textual,True
148,cihr_co-applicant_1,nan1,cihr_co-applicant_5,nan1,0.7577239517369625,textual,False
149,cihr_co-applicant_11,CodeCommitteeCode,cihr_co-applicant_3,Code Committee Code,0.7541686871267286,textual,True
150,cihr_co-applicant_1,nan0,cihr_co-applicant_5,nan0,0.7506090068186045,textual,False
151,cihr_co-applicant_11,CountryEN,cihr_co-applicant_9,Country,0.7494732091689336,textual,True
152,cihr_co-applicant_4,CountryEN,cihr_co-applicant_9,Country,0.7494732091689336,textual,True
153,cihr_co-applicant_5,CountryEN,cihr_co-applicant_9,Country,0.7488230188417887,textual,True
154,cihr_co-applicant_11,CountryEN,cihr_co-applicant_6,Country,0.7481728286013756,textual,True
155,cihr_co-applicant_11,CountryEN,cihr_co-applicant_8,Country,0.7481728286013756,textual,True
156,cihr_co-applicant_4,CountryEN,cihr_co-applicant_6,Country,0.7481728286013756,textual,True
157,cihr_co-applicant_4,CountryEN,cihr_co-applicant_8,Country,0.7481728286013756,textual,True
158,cihr_co-applicant_5,CountryEN,cihr_co-applicant_6,Country,0.7475226381874989,textual,True
159,cihr_co-applicant_5,CountryEN,cihr_co-applicant_8,Country,0.7475226381874989,textual,True
160,cihr_co-applicant_0,Country,cihr_co-applicant_5,CountryEN,0.7472999402117243,textual,True
161,cihr_co-applicant_10,Country,cihr_co-applicant_11,CountryEN,0.7468724477736222,textual,True
162,cihr_co-applicant_10,Country,cihr_co-applicant_4,CountryEN,0.7468724477736222,textual,True
163,cihr_co-applicant_0,Country,cihr_co-applicant_11,CountryEN,0.7466497497978477,textual,True
164,cihr_co-applicant_0,Country,cihr_co-applicant_4,CountryEN,0.7466497497978477,textual,True
165,cihr_co-applicant_10,Country,cihr_co-applicant_5,CountryEN,0.7462222577066725,textual,True
166,cihr_co-applicant_11,CountryEN,cihr_co-applicant_3,Country,0.7461448360953312,textual,True
167,cihr_co-applicant_3,Country,cihr_co-applicant_4,CountryEN,0.7461448360953312,textual,True
168,cihr_co-applicant_10,Committee Name,cihr_co-applicant_8,Committee Title,0.7459680600135508,textual,True
169,cihr_co-applicant_3,Funding Type,cihr_co-applicant_9,Grant Type,0.7459018955228114,textual,True
170,cihr_co-applicant_3,Country,cihr_co-applicant_5,CountryEN,0.7454946456814545,textual,True
171,cihr_co-applicant_0,Role Code,cihr_co-applicant_10,Committee Code,0.7417225048652389,textual,False
172,cihr_co-applicant_2,CountryEN,cihr_co-applicant_3,Country,0.7359056701436733,textual,True
173,cihr_co-applicant_3,Funding Type,cihr_co-applicant_8,Grant Type,0.7356097170478854,textual,True
174,cihr_co-applicant_10,Country,cihr_co-applicant_2,CountryEN,0.7355505751204675,textual,True
175,cihr_co-applicant_2,CountryEN,cihr_co-applicant_6,Country,0.7354662274590069,textual,True
176,cihr_co-applicant_2,CountryEN,cihr_co-applicant_8,Country,0.7354662274590069,textual,True
177,cihr_co-applicant_2,CountryEN,cihr_co-applicant_9,Country,0.7341658466312537,textual,True
178,cihr_co-applicant_0,Country,cihr_co-applicant_2,CountryEN,0.733220588580864,textual,True
179,cihr_co-applicant_3,Program Title,cihr_co-applicant_7,Program NameEN,0.7323717619629905,textual,True
180,cihr_co-applicant_1,nan0,cihr_co-applicant_11,AppNm,0.7316957219523721,textual,True
181,cihr_co-applicant_1,nan0,cihr_co-applicant_5,AppNm,0.7313602047121923,textual,True
182,cihr_co-applicant_6,Program Name,cihr_co-applicant_7,Program NameEN,0.7312779766745312,textual,True
183,cihr_co-applicant_1,nan0,cihr_co-applicant_2,AppNm,0.7309239260015336,textual,True
184,cihr_co-applicant_1,nan0,cihr_co-applicant_4,AppNm,0.7305539963808974,textual,True
185,cihr_co-applicant_10,Committee Code,cihr_co-applicant_11,CodeCommitteeCode,0.7290640621847244,textual,True
186,cihr_co-applicant_7,Program NameEN,cihr_co-applicant_8,Program Name,0.727732895059174,textual,True
187,cihr_co-applicant_10,Committee Name,cihr_co-applicant_3,Committee Title,0.7247312361150152,textual,True
188,cihr_co-applicant_1,nan2,cihr_co-applicant_5,nan1,0.7229635505499749,textual,False
189,cihr_co-applicant_10,Committee Code,cihr_co-applicant_7,CodeCommitteeCode,0.7229088282945144,textual,True
190,cihr_co-applicant_10,Funding Category,cihr_co-applicant_3,Funding Type,0.7192485311639163,textual,True
191,cihr_co-applicant_6,CodeCommitteeCode,cihr_co-applicant_10,Committee Code,0.7166844199410014,textual,True
192,cihr_co-applicant_10,Committee Code,cihr_co-applicant_4,CodeCommitteeCode,0.7138722326609761,textual,True
193,cihr_co-applicant_7,Program NameEN,cihr_co-applicant_5,ProgramNameEN,0.7115968029271846,textual,True
194,cihr_co-applicant_3,Funding Type,cihr_co-applicant_6,Funding Category,0.7107629425144852,textual,True
195,cihr_co-applicant_0,Role Code,cihr_co-applicant_3,Code Committee Code,0.7096859495599113,textual,False
196,cihr_co-applicant_7,Program NameEN,cihr_co-applicant_9,Program Name,0.7079388585728918,textual,True
197,cihr_co-applicant_4,ProgramNameEN,cihr_co-applicant_7,Program NameEN,0.7024116698156527,textual,True
198,cihr_co-applicant_10,Organization Code,cihr_co-applicant_8,Org Code,0.6990445945170702,textual,True
199,cihr_co-applicant_7,Institution Code,cihr_co-applicant_8,Org Code,0.6985405443798378,textual,True
200,cihr_co-applicant_7,Institution Code,cihr_co-applicant_9,Org Code,0.6976681992778286,textual,True
201,cihr_co-applicant_6,Program ID,cihr_co-applicant_7,ProgramID,0.6951958674808549,textual,True
202,cihr_co-applicant_10,Organization Code,cihr_co-applicant_9,Org Code,0.6949462823325288,textual,True
203,cihr_co-applicant_0,Organization Code,cihr_co-applicant_9,Org Code,0.6943271966973333,textual,True
204,cihr_co-applicant_0,Organization Code,cihr_co-applicant_8,Org Code,0.6900708079307066,textual,True
205,cihr_co-applicant_7,ProgramID,cihr_co-applicant_8,Program ID,0.6892309285869995,textual,True
206,cihr_co-applicant_10,Program Code,cihr_co-applicant_3,Code Committee Code,0.6882419758438314,textual,False
207,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_7,Program NameEN,0.686530762833454,textual,True
208,cihr_co-applicant_5,TitreApplicationTitle,cihr_co-applicant_6,AppTitle,0.6851977855617237,textual,True
209,cihr_co-applicant_11,TitreApplicationTitle,cihr_co-applicant_6,AppTitle,0.6830465718797971,textual,True
210,cihr_co-applicant_0,Organization Name,cihr_co-applicant_10,Organization,0.6818976649196491,textual,True
211,cihr_co-applicant_10,Class of Study,cihr_co-applicant_9,Areas of Study,0.6813255152336675,textual,False
212,cihr_co-applicant_10,Class of Study,cihr_co-applicant_8,Areas of Study,0.6784207206547724,textual,False
213,cihr_co-applicant_4,TitreApplicationTitle,cihr_co-applicant_6,AppTitle,0.6778926802546773,textual,True
214,cihr_co-applicant_7,ProgramID,cihr_co-applicant_9,Program ID,0.677766972338358,textual,True
215,cihr_co-applicant_0,Role Code,cihr_co-applicant_3,Program Code,0.6753842431305411,textual,False
216,cihr_co-applicant_0,Role Code,cihr_co-applicant_10,Program Code,0.6726702750401257,textual,False
217,cihr_co-applicant_11,AreasOfScienceEN,cihr_co-applicant_9,Areas of Study,0.6719782556278644,textual,True
218,cihr_co-applicant_10,Organization,cihr_co-applicant_3,Applicant Organization,0.6711972581358173,textual,True
219,cihr_co-applicant_10,Committee Code,cihr_co-applicant_3,Program Code,0.6682352549674598,textual,False
220,cihr_co-applicant_10,Class of Study,cihr_co-applicant_3,Research Areas,0.6655352574291361,textual,False
221,cihr_co-applicant_3,Research Areas,cihr_co-applicant_5,AreasOfScienceEN,0.6650575871133639,textual,True
222,cihr_co-applicant_1,nan0,cihr_co-applicant_5,nan1,0.6644753539582092,textual,False
223,cihr_co-applicant_3,Funding Type,cihr_co-applicant_5,FundingTypeEN,0.6641691140842172,textual,True
224,cihr_co-applicant_3,Research Areas,cihr_co-applicant_4,AreasOfScienceEN,0.662923192451162,textual,True
225,cihr_co-applicant_10,Areas of Study,cihr_co-applicant_11,AreasOfScienceEN,0.6629079234276161,textual,True
226,cihr_co-applicant_3,Funding Type,cihr_co-applicant_4,FundingTypeEN,0.6615967128415601,textual,True
227,cihr_co-applicant_11,FundingTypeEN,cihr_co-applicant_3,Funding Type,0.6603101903587307,textual,True
228,cihr_co-applicant_10,Applicant,cihr_co-applicant_3,Applicant Name,0.6587944175085492,textual,True
229,cihr_co-applicant_11,ProgramNameEN,cihr_co-applicant_2,AppRoleEN,0.6564671666248793,textual,False
230,cihr_co-applicant_3,Funding Type,cihr_co-applicant_7,FundingTypeEN,0.6564506239510239,textual,True
231,cihr_co-applicant_3,Program Code,cihr_co-applicant_4,CodeCommitteeCode,0.6557988023545811,textual,False
232,cihr_co-applicant_10,Program,cihr_co-applicant_9,Program Name,0.6543485703306272,textual,True
233,cihr_co-applicant_3,Program Code,cihr_co-applicant_6,CodeCommitteeCode,0.6542897976845554,textual,False
234,cihr_co-applicant_0,Organization Name,cihr_co-applicant_9,Org Name,0.6539050273367372,textual,True
235,cihr_co-applicant_3,Research Areas,cihr_co-applicant_7,AreasOfScienceEN,0.6535910205861661,textual,True
